,Date,Score,reviews
0,2018年10月4日,1,強迫更新，然後閃退，重登後要回原來那個伺服器，卻要重新開設新腳色，是哪招？？百百款耶
1,2018年10月4日,1,妳粮欸，，，爛，，，重灌後很多地方進不去，重灌很多次還是一樣，爛欸，逼我們這些會花錢的玩家退遊嗎？爛，，，，，
2,2018年10月2日,3,為什麼我重新下載很多次了，還是有些地方都會卡住跑不進去呢？
3,2018年10月1日,3,可以告訴我嗎為什麼我都重新更新了 還是有些 地方我根本都進不去進去之後根本只在那邊 跑資料怎麼跑都跑不過 然後還要重新上下限 我覺得怎麼越來越玩越 卡卡的啦 我已經重新更新不知道多少次了都還是會有這樣的情況 真的很無言呢
4,2018年9月29日,1,遊戲很好玩 但是遊戲刪除在下載裡面的資料都不見了
5,2018年9月27日,5,整體來說是不錯的 是有時候會卡卡的，不過那個更新完的表情圖貼就太好看 感覺怪怪的(中指圖案也太多了吧) 也希望讓我們能容易點賺綁元 幸運轉盤也是時候把浴火鳳羽換成其他東西了吧(仙羽，衣服，坐騎比較好) 活動是最能吸引我儲值的 所以希望紫青能做好 謝謝
6,2018年9月22日,5,有點難升
7,2018年9月21日,1,有時登入都登入不了
8,2018年9月20日,4,打活動一直斷線，火大。
9,2018年9月17日,1,手機上有伺服器人物等級可是沒事卻被官方刪人物，其他伺服最低等級的人物還可以玩，現在是選擇性刪人物嗎，而且一直反應也沒用，案件沒處理回覆區卻顯示處理完畢，是做一套演一套？
10,2018年9月17日,1,登入遊戲 改成這樣 那我請問你們我該怎麼進入我原本腳色 以前就綁定了 無法進去 搞屁喔
11,2018年9月17日,1,越來越亂的遊戲。貴公司只想賺錢吧一直反利。合服有些東西不能用佔空間而已。要用還得花錢綁什麼遊戲啊，很想刪
12,2018年9月17日,1,儲值了沒進帳客服又沒回應，什麼爛遊戲
13,2018年9月16日,1,帳號不見
14,2018年9月15日,5,迷上了
15,2018年9月10日,1,玩個遊戲到底為什麼要存取聯絡人 看了你們惡俗的廣告 想說來開開眼界看看廣告費跟製作費有差多少 結果要求一堆權限 算了吧
16,2018年9月8日,1,為什麼這次更新完，又無法登入了?
17,2018年9月6日,3,卡卡的
18,2018年9月5日,1,法寶的修煉點最多500點根本不夠用升個特殊技能就要1000點，隨便解個任務就超過500點/還要突破修煉值，是否官方能把法寶修煉值改為5000點嗎？
19,2018年9月4日,5,超好玩
20,2018年9月2日,5,好玩呀…不需要憑估啦^&
21,2018年9月2日,3,我希望要生寶寶功能
22,2018年9月1日,1,爛死了，只會要錢，活動不給活動的獎勵4天了反應也沒用，反應感覺還被紫青列入黑名單，退錢……這個爛遊戲請退錢，不正常又不處理我給你4天的時間回我處理了本根本更誇張把我黑了……
