,Date,Score,reviews
0,2018年12月21日,1,一直當機
1,2018年12月20日,4,b3fxyx 好友優惠
2,2018年12月20日,1,遊戲為什麼需要多媒體跟電話權限
3,2018年12月19日,3,请问下以强化装备怎么处理
4,2018年12月18日,1,有夠無聊 語音難聽死 卸載88
5,2018年12月15日,5,s125邀請碼pxwdgx，歡迎加好友一起來玩
6,2018年12月15日,5,進入介面後右上角超值活動，點邀請活耀，輸入序號4eq6tk可以拿禮包喔！
7,2018年12月14日,3,需要大量課金的遊戲，武將寶物抽很容易是碎片，還需要再合成，時間很多的可以打發時間，上班族就不建議了
8,2018年12月13日,3,開個遊戲要開幾百次？整天卡在90%，到底何時才修復bug？？
9,2018年12月12日,1,看到刷評論的就覺得不行
10,2018年12月11日,3,為什麼常常遊戲當機，點擊畫面都沒反應，可以改善嗎！
11,2018年12月8日,5,很好
12,2018年12月8日,5,不錯玩
13,2018年12月8日,1,進不了
14,2018年12月8日,5,好玩，遊戲人物都很生動
15,2018年12月7日,5,我的邀請碼是vkkkqb 來和我一齊玩 拿豐富的遊戲獎勵吧
16,2018年12月7日,1,網路超不穩 爛透了
17,2018年12月7日,1,玩幾個月充完值總是出問題，要這樣又那樣，很少看這麼會騙人的遊戲，垃圾公司
18,2018年12月5日,5,找到我喜歡的塔防遊戲了
19,2018年12月3日,5,遊戲內容豐富，不論PVP或是塔防推圖都很有樂趣，歡迎來試試
20,2018年12月3日,1,"儲值此遊戲的消費者要小心,儲錯金額或是誤按金額,都不會允許退款!!寄Mail給開發人員或是跟FB的粉絲團小編聯絡,他們永遠只會說已經到帳無法退款!然後時間拖了又拖,從本來48小時以內就申請退款到2個禮拜依舊是一樣回答,所以消費者要儲值此遊戲時請務必小心,只要有關他們的損失一概是敷衍過去!只有有利於他們才會理會!然後跟Google客服聯絡他們又只會要求消費者跟開發商聯絡,然後開發商又會叫消費者去跟Google聯絡,就這樣不停的循環敷衍!真的千萬要小心這遊戲,對消費者一點保障都沒有!"
21,2018年12月2日,1,與廣告圖文不符 內容根本不一樣 詐騙
22,2018年12月2日,1,你們的廣告居然抄襲萬萬沒想到，哇…還要臉嗎？？？
23,2018年12月1日,1,畫的好醜
24,2018年11月30日,1,有人通天副本每日的第五波都滿分的嗎？快來S109看神人，通天全滿分
25,2018年11月30日,5,好玩~不用花錢都可玩得很開心的遊戲
26,2018年11月30日,5,美術設計得細膩. 團隊很用心
27,2018年11月30日,5,建議官方活動可以在多元化一點，玩起來更有勁
28,2018年11月30日,5,經典的塔防玩法，可愛逗趣的武將人物，輕鬆好上手，大推
29,2018年11月30日,5,輕度、不課金也能輕鬆玩，很適合殺時間
30,2018年11月30日,5,遊戲介面清楚易懂 很好上手 又好玩
31,2018年11月30日,5,元寶給得很大方，大推
32,2018年11月30日,5,這真是一個很好玩的遊戲
33,2018年11月30日,5,後宮玩樂還可以提升能力!!讚啦!
34,2018年11月30日,5,人物都畫的超Q的啦!超可愛的
