,Date,Score,reviews
0,2017年8月13日,1,"搞什麼東西，昨晚大當機就算了，今天打天秤也一直跳掉是怎樣？ 難怪一堆人跳game, 沒交易系統也就算了，現在還搞得三天一小當五天一大當，玩屁啊～莫名其妙，每次跟公司反應，又每次都說已跟團隊反應，是否請教一下，該團隊人才哪找的？一點素質都沒有，差的可以……"
1,2017年8月13日,1,一直說網路不穩，但是卻沒有阿，其他遊戲都可以玩就你們家遊戲一直網路不穩
2,2017年8月6日,4,如可以加個夫妻副本會更好唷…
3,2017年8月5日,1,儲值了1.2000結果前幾次更新後遊戲都打不開 可以退錢嗎有夠傻眼
4,2017年8月5日,2,用市話儲值成功怎沒給我鑽石
5,2017年7月31日,4,請問為什麼我不能在遊戲裡發言？要重新下載後才可以發言，但是隔天又不能發言了
6,2017年7月30日,1,請問遊戲內是否可以新增指定賣家購買 或是以郵寄方式貨到付款 不然轉給朋友或是分身的物品都會被惡意玩家搶走
7,2017年7月28日,4,能不能每天都送金幣啊… 金幣管道難得… 剛開始很好玩… 更新後沒有送金幣… 身邊的朋友們都快玩不下去了啦……
8,2017年7月28日,1,公會戰是要不要修好一點 一直卡怎麼打
9,2017年7月27日,5,fb官方首頁都沒人在回訊息，有問題根本找不到人反應
10,2017年7月27日,2,為何不能把多辦的刪掉？
11,2017年7月22日,1,你是要我下載幾次 改一下好嗎？  有夠爛
12,2017年7月20日,5,說會閃退的 卡頓的 通通都是你們手機爛 我三星舊的J5怎不會 舊的欸
13,2017年7月20日,1,資本額才100萬的公司代理的遊戲大概也只有這樣的水平而已。
14,2017年7月20日,3,玩到一半都會跳出畫面
15,2017年7月19日,1,為什麼 都不能進去玩 都更新完了 就卡在100%
16,2017年7月19日,4,是好玩但是會一直當當的希望可改進
17,2017年7月19日,5,很迅速解決我的儲值問題，遊戲本身很好玩多元，會想繼續玩滴
18,2017年7月18日,5,不要太多更新 不要太多更新
19,2017年7月18日,1,會卡卡的，非常的頓，也不法順暢的玩。沒有自動打怪的功能。
20,2017年7月17日,2,我玩不到五分鐘自動跳掉
21,2017年7月16日,5,好玩~~~~55等的地方玩好久…… 我還再55等
22,2017年7月15日,5,怎麼突然維修都沒告知
23,2017年7月14日,5,可以快點改善裝備憑空消失的問題?
24,2017年7月13日,1,開不到 重新啟動也開不到 快点弄一弄 如果用弄的話我會給你們5星
25,2017年7月13日,2,一直換畫面浪費時間又耗電
26,2017年7月13日,3,手機耗電的問題
27,2017年7月10日,3,遊戲退出，重新進去會要我們重玩請改進這一點
28,2017年7月10日,5,超級好玩
29,2017年7月9日,1,爛遊戲想說剛下載來玩看看，結果手機的耗電率太高了，不值得推薦
30,2017年7月9日,1,因為無聊
31,2017年7月8日,5,名片怎麼用😕？
32,2017年7月7日,3,登入畫面跑不進去齒輪一直轉
33,2017年7月7日,1,這遊戲其實是 下載445MB 再來解壓縮 然後 下載445MB 再來解壓縮 又下載然後解壓 又下載又解壓 一直重複 是浪費記憶體跟時間的遊戲嘛 還是他就是這樣??
34,2017年7月7日,3,手機變很燙
35,2017年7月7日,1,為什麼下載完，防毒軟體，會出現病毒？
36,2017年7月6日,2,進入角色選擇一直閃退不能玩
37,2017年7月6日,1,拍賣 強化石 顯示一下吧
38,2017年7月5日,3,遊戲不錯玩但是儲值方式有點少沒辦法直接網頁儲值好麻煩
39,2017年7月5日,3,可是用電量真的很兇
40,2017年7月5日,1,一直閃退煩
41,2017年7月5日,1,怎麼登不上去
42,2017年7月5日,3,請問這遊戲怎麼和倩女幽魂這麼像? 仿的嗎？
43,2017年7月5日,1,你們這個遊戲點卡沒辦法儲值年卡
44,2017年7月5日,1,太誇張了啦  好不容易結婚條件都不符合  結果冒出5百萬是怎樣....  錢又不是說很好賺
45,2017年7月5日,3,不能登入，角色與名字，一直不行
46,2017年7月5日,1,爛遊戲 砸錢才是王道
47,2017年7月4日,5,請問最多女生在哪個伺服器
48,2017年7月4日,1,加你們的賴都不回 血很快就沒了 玩屁！
49,2017年7月4日,5,超好玩
50,2017年7月3日,2,在選角色一直跳出是怎樣。。。可不可以不要一直跳出？這樣我是要怎麼玩？
51,2017年7月3日,1,無言以對，看了評論一堆人都是卡卡的問題，連我也是，進遊戲就是卡卡卡！到底卡幾點的？你們到底有沒有處理卡卡的問題？卡成這樣怎麼玩？
52,2017年7月3日,3,有的時候會閃退，但不常，真正的問題是當機～～還有一堆bug~~以及許多的屁孩和幽靈玩家～～～-_-#Orz 求改進～
53,2017年7月2日,1,只會賺錢，不顧品質，遊戲狂閃退，人都流失。。私服器狂開新的，有意義嘛？
54,2017年7月2日,1,一直卡在同一個畫面，動不了  也發不了攻擊  以前不會這樣 現在越來越頻繁
55,2017年7月2日,1,根本進不去怎麼玩
56,2017年7月2日,1,爛，刪遊戲吧，光閃退就飽了
57,2017年7月2日,5,可結婚
58,2017年7月2日,1,不要玩這遊戲 發生問題後發電子郵件沒人回應的 如果還不回覆 會追究的
59,2017年7月1日,1,不能下載阿
60,2017年7月1日,1,我剛儲值隔天馬上出問題 腳色經驗消失一大半 要怎麼處理?
61,2017年7月1日,5,喜歡可是閃退滿嚴重的
62,2017年7月1日,4,為什麼每天常常遊戲對話無法發出，每天都要重載一次，麻煩系統處理一下
63,2017年6月30日,1,字太小要保護眼睛最好別玩不然這遊戲我蠻喜歡的。。感到有些可惜。為什麼現在手遊還用手動？要不要改善看自己了
64,2017年6月30日,5,好玩
65,2017年6月30日,1,要怎樣用儲值卡  apk還是不行啊   幫忙一下
66,2017年6月30日,5,親雞愛
67,2017年6月30日,3,3天玩到48等 不錯的遊戲 是目前看過手機遊戲裡面選角介面最讓我感興趣的 四種職業 操作方式是手動式的打鬥 不過我的平板玩不出那感覺 操作非常不流暢而且很累格 每進入一場戰鬥都要讀取一次場景很浪費時間 偶爾會閃退 而且畫面很卡 拍賣行價格非常混亂 寵物不儲值只有三個選擇（大概） 最扯的是才玩兩小時平板就熱到系統警告了（玩其他流量大的遊戲都沒事）
68,2017年6月30日,3,問一下，儲值的點數去哪了，有儲值記錄為何遊戲中沒到帳，沒到帳的也該歸還吧！
69,2017年6月30日,3,為何過主線任務，有跳獲得經驗值，但，底下經驗值沒增加！？
70,2017年6月30日,5,遊戲玩法豐富不會像很多類似遊戲一樣玩久會無聊 只是家族裡能做的事太少了希望新增多一點家族活動 大推這款遊戲
71,2017年6月30日,4,遊戲中 訊號滿格 卻會出現連線中斷 連結超時 希望能改善
72,2017年6月30日,4,請問可以點卡儲值嗎？
73,2017年6月30日,5,這個遊戲非常的好玩還可以結婚也可以當好朋友但是有的BOS很難但是你們應該覺得很好玩吧!
74,2017年6月30日,1,大家可以不用留言了 這種機器人式的回答 勸大家早點刪遊戲吧～
75,2017年6月29日,2,本來玩的好好的結果更新後fb帳號登不進去 然後測試了一下免註冊的就進去  本想儲值的這樣我還敢玩嗎？
76,2017年6月29日,2,為什麼下載安裝，系統顯示有病毒？！(華為 Mate 9)
77,2017年6月29日,1,只能利用遊戲賺賴點數...很不喜歡這樣
78,2017年6月28日,1,會一直閃退 破壞遊戲體驗 如果有改善才給五顆星
79,2017年6月28日,1,為啥燈不進去？？？
80,2017年6月28日,1,是怎樣，照片不能傳，超爛，傳照片一直閃退怎麼玩
81,2017年6月28日,1,糞game 別出來禍害眾生
82,2017年6月28日,3,遊戲的豐富度是不錯的，但是遊戲本身的耗電量實在大到恐怖，手機電量滿格接著充電器玩都可以玩到沒電，根本無法長時間掛機。
83,2017年6月28日,1,你的遊戲有惡意軟體，我一安裝，手機就馬上要我解除安裝。
84,2017年6月28日,1,為什麼創立角色時，草&lt;-包含遮罩字，無法使用。 請協助解決!!
85,2017年6月28日,5,我的手機偵測到這是惡意的軟體。。。。
86,2017年6月28日,3,能教我換換頭像嗎？
87,2017年6月28日,1,為何下載完一直顯示有病毒
88,2017年6月28日,3,驚喜禮盒希望可以改成用金幣開啟
89,2017年6月27日,3,不知道為什麼公會任務明明沒有解卻一直說已完成沒刷新是怎麼樣…
90,2017年6月27日,5,好玩
91,2017年6月27日,1,為什麼一直卡在下載資源包？
92,2017年6月27日,5,我已經儲值490元，為什麼沒有給我鑽石，麻煩解釋一下，請您們處理一下，不處理請退錢給我，如果不處理不退錢，就等法院通知
93,2017年6月26日,3,能請貴公司的婚姻系統條件別這麼高好嗎？，（如更新好友度滿500不要儲值金錢用遊戲幣就能夠辦婚禮）也不是要任何都需要買花才能夠結婚或是用鑽石結婚，因為現在很多星宮迷都是學生或是待業中的無薪俸可憐百姓（請可憐可憐我們好嗎？）感謝喔~
94,2017年6月26日,3,遊戲無法登入*請盡速修復
95,2017年6月26日,3,網路沒問題但更新時說資源更新失敗，請檢查網路。
96,2017年6月26日,3,基本上玩得都還不錯、只是… 請問明明網路沒問題、卻一直顯示資料更新失敗 麻煩一次更新可以更新好一點嗎 一直出包
97,2017年6月26日,2,訊號4G還跟我說訊號不佳，資料更新錯誤……還讓不讓人玩？
98,2017年6月26日,1,爛遊戲
99,2017年6月26日,3,好玩是好玩，當每次打怪想躲，但不好操控！ 打怪時也不能360°的看周圍！ 希望快快改進！！！
100,2017年6月26日,1,卡成這樣，玩一玩就卡，明明是4g上網，顯示什麼2g，否則遊戲基本是不錯的，但一直卡頓玩的如此累。。強烈建議想玩的玩家千萬別載，好的遊戲搭一個不穩的系統，玩只是浪費時間，刪除才是王道，要來刪這個好遊戲但是爛系統爛代理根本就沒在處理
101,2017年6月26日,1,下載了過沒多久自動解除？遊戲整體算不錯
102,2017年6月26日,1,可以改善一下閃退嗎 這樣玩不起來
103,2017年6月26日,5,好玩但是如果加弓箭手職業的話那就更好了
104,2017年6月25日,2,下載完顯示惡意軟體
105,2017年6月25日,5,但會一直跳
106,2017年6月25日,5,超級好玩der
107,2017年6月25日,1,進去都一直卡住   有時候玩到一半還會自動退出  解任務  都看不到人  按包包  任務就出來  包包關不掉   必須關掉在重來  才好   關掉再開關掉再開  任務一樣1分ˋ鐘才會出來  煩死了   原本我還很支持這款遊戲  遇到這種狀況  害我只想玩別的
108,2017年6月25日,2,什麼爛東西 我明明手機4G 遊戲左下腳卻是2G 而且一直卡住 也一直做重複的動作
109,2017年6月25日,5,我為何手機說惡意程式啊…
110,2017年6月24日,1,一直閃退。
111,2017年6月24日,1,我安裝了星宫獵手後手機說是惡意軟體欸？不知道是不是真的？所以我解除安裝了！
112,2017年6月24日,5,很棒
113,2017年6月24日,3,能不能不要儲值
114,2017年6月24日,1,閃退還給不給玩@@
115,2017年6月24日,5,為什麼我一用上傳相片就會一直回到遊戲開始的畫面啊
116,2017年6月24日,5,Good
117,2017年6月24日,1,沒有點數儲值嗎？
118,2017年6月24日,1,天蠍才開幾天你又開新伺服器15號以後玩的玩家有砸錢的全部變悲劇沒砸的直接去最新新人又不來 。整個伺服器都快沒人玩了  。你至少幫天蠍也打上新吧！？跟朋友都在猶豫要不要繼續花錢 。沒人還要花錢玩個屁？
119,2017年6月24日,5,還沒下載完
120,2017年6月24日,1,為什麼APK 不能下載使用
121,2017年6月24日,1,永遠就一直卡就好了  不用玩了啊
122,2017年6月24日,3,在破主線任務的時候已經跑過的路線會一直重複跑像鬼打牆那樣遊戲不錯玩角色也很好看唯獨這點請改善謝謝!
123,2017年6月24日,5,要幾級才能結婚
124,2017年6月23日,5,很好玩
125,2017年6月23日,5,滿新奇
126,2017年6月23日,1,很貴的遊戲 技能真貴 儲值真貴 時間真貴
127,2017年6月23日,2,抱歉我不知道怎麼經入遊戲裡
128,2017年6月23日,1,上傳照片的問題還是一樣不改善。
129,2017年6月23日,1,為何安裝後顯示特洛伊木馬病毒？
130,2017年6月23日,1,更新後連拍賣場都要強制儲值才能買東西
131,2017年6月23日,1,之前練那麼久的時間經驗都很少 練那麼久才升等 現在更新後那麼快升等真的很不爽   還有拍賣場為什麼需要鑽石 強迫買點？？？ 乾脆刪了不要玩😒😒😒
132,2017年6月22日,3,勇氣試煉一直卡住不能動
133,2017年6月22日,1,卡在勇氣熟練是怎樣，完全不能動，主線任務欸，不能做遊戲怎麼繼續玩下去
134,2017年6月22日,1,遊戲中常常沒反應
