,Date,Score,reviews
0,2017年5月14日,5,不錯玩，不用一直耗時間在練功
1,2017年5月14日,5,好玩，睡覺也能升級
2,2017年5月14日,5,不錯喔～休閒的好遊戲
3,2017年5月14日,1,強迫安裝...
4,2017年5月14日,4,我的英雄無法升星0.0
5,2017年5月14日,4,不錯的游戲
6,2017年5月14日,5,無盡戰記好玩又可拿鑽。。不用整天拿手機出來也可以輕鬆打怪
7,2017年5月14日,5,玩起來輕鬆沒壓力，滿好玩的
8,2017年5月14日,4,不錯玩的遊戲。懶人也可以試試喔～
9,2017年5月14日,5,好玩的遊戲    輕鬆玩，簡單操作，下線自動打怪生級跟裝備喲！送鑽不手軟，有問題馬上處理，團隊好強，有心經營的手遊，給五星還覺得太少。
10,2017年5月14日,5,好玩 送鑽不手軟 不會無趣
11,2017年5月14日,5,真是不錯遊戲，很肯給鑽石，
12,2017年5月14日,5,非常適合想玩手遊卻又沒空檔的玩家
13,2017年5月14日,4,方便好玩易上手！無壓力升級的口袋遊戲！
14,2017年5月14日,5,遊戲不錯玩，可以休閒又不會影響工作，玩起來輕鬆自在👍👍👍
15,2017年5月14日,5,很適合上班族的遊戲。。讚！
16,2017年5月14日,5,這是一個可以長期玩的遊戲 雖然沒課金不會強很快 但官方寶石送的也不囉唆 值得一推
17,2017年5月14日,5,這款遊戲還不錯，適合沒時間的上班族，有內掛系統
18,2017年5月14日,5,這個遊戲對我這手機白痴來說真的很容易上手，也可以陪我度過每天無聊的時間
19,2017年5月14日,5,好玩又不花時間的好遊戲
20,2017年5月14日,5,好玩
21,2017年5月14日,5,可以打發無聊的時間，又不用整天顧著，但法師請改強一點，要不然也給法師有補血技～
22,2017年5月14日,5,很容易上手的遊戲 。不錯玩
23,2017年5月14日,5,認真不錯玩 給獎勵給的很大方 玩起來很有爽感 但橙武器的掉落率頗低😅
24,2017年5月14日,5,不錯玩~不用一直盯著遊戲。
25,2017年5月14日,5,蠻好玩的一款遊，不用一直盯著螢幕。
26,2017年5月14日,5,不錯玩唷！
27,2017年5月14日,5,不用整天盯著遊戲，離線也可練攻，很適合上班族!!!!
28,2017年5月14日,5,好玩又不會花很多時間，比我以前玩的許多遊戲好多了。
29,2017年5月14日,5,打發時間的好遊戲
30,2017年5月14日,5,很好玩，不需要浪費許多時間。是一款很適合上班族的遊戲
31,2017年5月14日,5,超好玩
32,2017年5月14日,5,很好玩的遊戲
33,2017年5月14日,5,適合沒什麼時間的人玩
34,2017年5月14日,5,不錯
35,2017年5月14日,5,好玩
36,2017年5月14日,5,非常好玩
37,2017年5月14日,4,簡單上手好玩，還不錯玩。
38,2017年5月14日,5,好玩
39,2017年5月14日,5,好玩
40,2017年5月14日,5,優質～大家一起來玩yo
41,2017年5月14日,5,非常好玩
42,2017年5月14日,4,打發時間的好遊戲
43,2017年5月14日,5,打發時間好遊戲
44,2017年5月14日,5,可以掛機打裝備 也不用一直顧它 是上班空閒時間的好遊戲！
45,2017年5月14日,5,很好玩 不用花錢也可以很強
46,2017年5月14日,5,Good
47,2017年5月14日,5,不錯玩
48,2017年5月14日,5,好玩
49,2017年5月14日,5,上班族不錯玩
50,2017年5月14日,5,這遊戲真棒 因為不會佔用太多時間 蠻適合學生和上班族群玩
51,2017年5月14日,5,好玩的遊戲，剛玩就愛不釋手！
52,2017年5月14日,5,86千金重斬 。只是玩劍士推圖好慢蠻累的 。
53,2017年5月14日,5,簡單好玩易上手，不用花很多時間就能體驗玩遊戲的樂趣
54,2017年5月14日,5,好玩的遊戲，24h離線掛機很輕鬆！ 推推唷~
55,2017年5月14日,5,好玩，非常好上手，上班殺時間的好幫手！！ 還沒玩過  送鑽這麼不手軟的！
56,2017年5月14日,5,剛玩一下就超好玩聽說今天會開伺服器所以要重練一下
57,2017年5月14日,5,這個遊戲不錯 關機下線後還會自動掛機打怪  讚
58,2017年5月13日,5,"這一款遊戲真的非常適合工作忙碌的人玩,玩一段時間感覺非常的棒沒有任何不適,請繼續加油&gt;_&lt;"
59,2017年5月13日,5,好玩的遊戲 送鑽大方
60,2017年5月13日,5,好玩又不用常盯著手機，離線還有經驗值裝備金幣可以拿，very good 👍
61,2017年5月13日,5,加油
62,2017年5月13日,5,遊戲相當的好玩，給鑽不手軟，最難得的是有任何問題問小編，小編回復的很快。
63,2017年5月13日,5,很棒，有時間再上線就好了
64,2017年5月13日,5,美麥剩~^_^
65,2017年5月13日,5,簡單上手 又好玩
66,2017年5月13日,5,沒時間常駐的好遊戲
67,2017年5月13日,5,簡單明瞭
68,2017年5月13日,5,不錯的游遊戲 送鑽很大方 好玩
69,2017年5月13日,5,很好玩
70,2017年5月13日,5,好玩
71,2017年5月13日,5,不錯的手遊
72,2017年5月13日,5,( •̥́ ˍ •̀ू )
73,2017年5月13日,5,好玩無負擔。回覆問題快速
74,2017年5月13日,5,好玩
75,2017年5月13日,5,簡單上手好玩
76,2017年5月13日,5,不錯玩的遊戲，可以自己掛機戰鬥，適合上班族，各方面目前玩都覺得很ok
77,2017年5月13日,5,這個遊戲越來越讓我愛，福利多，讓人感動到每天想衝等更多。小編很有心。不錯。一萬個讚。
78,2017年5月13日,5,簡單易上手不用整天顧適合工作忙的人
79,2017年5月13日,5,不用需要太顧一，活動常出讓上班族有抒壓的遊戲
80,2017年5月13日,5,遊戲好玩
81,2017年5月13日,5,滿好玩的遊戲……不用一直盯著手機看！
82,2017年5月13日,5,簡單好玩不浪費時間，可惜弓手太強，明明攻擊力高10萬還是打不過，平衡真的要請你們衡量一下，現在還在玩的我看大約八成都是弓手吧！
83,2017年5月13日,5,這是一款適合上班組玩的好遊戲
84,2017年5月13日,5,好好玩大家快來
85,2017年5月13日,5,這個遊戲不錯玩 掛機也不用一直顧  裝備也蠻好打的
86,2017年5月13日,5,好玩
87,2017年5月13日,5,讚 好玩的遊戲
88,2017年5月13日,4,弓箭手的女神之力直接加魔攻 為什麼劍士的要多扣魔防? 我劍士戰力高7萬打不贏弓箭手 也太平衡
89,2017年5月13日,5,簡單好玩容易上手～～ 還有免費v1可以拿～～
90,2017年5月13日,5,小編在哪裡，我機87
91,2017年5月13日,5,簡單好玩的手遊，線上24小時掛機練等，不怕你沒時間，超推的一款遊戲
92,2017年5月13日,4,這是一款好玩又可以掛機的好遊戲，推薦給大家，謝謝
93,2017年5月13日,5,很不錯遊戲
94,2017年5月13日,5,好玩
95,2017年5月13日,5,很好玩~~我要神器裝
96,2017年5月13日,5,好玩
97,2017年5月13日,5,簡單輕鬆，適合上班族玩
98,2017年5月13日,1,職業不平衡 弓箭手技能太過強勢
99,2017年5月13日,4,好像不錯玩
100,2017年5月13日,4,整體上不錯玩
101,2017年5月13日,5,很好玩  非常好玩
102,2017年5月13日,3,殺時間相當不錯的遊戲，但1.打王的時候，角色提升戰力後，王的血量也跟著增加(例原本8萬變10萬)，2.弓手將王打到一定的血量，治癒術就會失靈，明明會過的，打到有點不爽，不知是刻意調整，還是遊戲bug，若是刻意調整就太黑暗了點&gt;&lt;！
103,2017年5月13日,5,非常好玩而且很輕易就上手的遊戲 連續登入14天還能拿到永久V1
104,2017年5月13日,3,目前覺得還可以  只是還在摸索
105,2017年5月13日,5,簡單又好玩的遊戲，線上24小時掛機，不怕沒時間練等。 大家快點加入吧！
106,2017年5月13日,5,好玩！ 適合上班族，而且自动戰鬥超棒的。
107,2017年5月13日,5,不錯遊戲，可以掛機玩，不用隨時守者，另外小編很用心，回覆速度超快。
108,2017年5月13日,5,還可以，滿打發時間的！，小諞
109,2017年5月13日,5,耐玩不花時間的好遊戲
110,2017年5月13日,4,好棒棒，但更新一直失敗，進不去
111,2017年5月12日,4,血色城堡當攻方公會沒活躍度
112,2017年5月12日,5,不需要整天手動練功又可以自動升級的好遊戲！送鑽超大方！推薦給大家^^
113,2017年5月12日,4,簡單，易上手，不錯的遊戲。
114,2017年5月12日,5,好遊戲，不用費心練功，鑽石狂送不手軟，每天都有免費鑽石
115,2017年5月12日,5,下線也可自動練功 不怕沒電
116,2017年5月12日,5,非常好上手！ 會聽不下來 好玩！
117,2017年5月12日,1,85級雙神器，有強化，追加 ，祝福，卻無法傳承，融合，吞噬。 更無法賣出，熔煉，這是什麼鬼? 留站空間嗎？
118,2017年5月12日,4,整體上不錯玩，但有兩個缺點，1買裝備要用非綁定鑽石 但賣裝備得到卻是綁鑽，這不合乎情理，2遊戲有bug，羅蘭副本 房主戰力未達到入房的戰力 卻能要求多少戰力才能進入 等同1的戰力，卻能開1億戰力才能進入的房，這也不合乎邏輯
119,2017年5月12日,3,發現有玩家59等，卻裝備100等武器，房具，戰力2000000多萬，，有拍照存證了。
120,2017年5月12日,2,買東西一定要真鑽，賣掉的東西確換成綁鑽？
