,Date,Score,reviews
0,2018年6月2日,5,還可以
1,2018年5月20日,5,好玩，非常好，正
2,2018年5月11日,5,跟本不用擔心還不了錢！
3,2018年5月8日,5,賺錢還債
4,2018年5月5日,4,很好玩，只是錢除了賭博和等好客人希望還有其他方式賺到
5,2018年5月4日,4,好uc
6,2018年4月30日,5,人生
7,2018年4月28日,5,好玩
8,2018年4月15日,4,賭馬王，馬卷20倍直接賺一千萬
9,2018年4月14日,5,為什麼一直讓我欠債 明明就還完了阿
10,2018年4月11日,5,蠻好玩
11,2018年4月5日,5,可以體驗賭博的樂趣
12,2018年4月2日,5,Very good
13,2018年3月30日,1,一堆廣告
14,2018年3月25日,5,請問還有這種老婆可以娶的嗎 介紹一個我可以嗎 拜託了
15,2018年3月24日,5,Good
16,2018年3月24日,3,希望不要每次都變成平名
17,2018年3月23日,5,好愛賭~錢難賺~
18,2018年3月23日,5,好好玩的遊戲
19,2018年3月22日,5,好好玩
20,2018年3月20日,5,很好玩 一直想故事要讓男主角負債XD
21,2018年3月18日,5,好晚
22,2018年3月12日,5,好玩
23,2018年3月11日,5,我全部結局玩完了，收集一大堆羽毛先暫時不要用，不斷的打工，不賭博，等到討債的來，不夠錢再用羽毛抵，賽馬會中獎，那是因為你手速不好，我都選天不應，我結局破全了，為啥還要還啊？
24,2018年3月9日,5,好玩
25,2018年3月8日,5,都叫老婆去打工
26,2018年3月3日,3,還不錯
27,2018年3月2日,3,感覺主角是人渣，刮刮樂除了100元還能中其他的嗎
28,2018年2月28日,5,"好好玩,好有趣,還一世的債,還完債,再轉出新的還款款項,還債其間仲可以賭錢,好得意呀"
29,2018年2月27日,5,不錯
30,2018年2月27日,5,這遊戲嘔心瀝血之作阿大家來玩
31,2018年2月24日,5,還不錯
32,2018年2月20日,5,那個賽馬紅色可
33,2018年2月20日,5,不錯
34,2018年2月19日,5,好玩
35,2018年2月14日,5,好玩
36,2018年2月11日,1,好無聊
37,2018年2月10日,4,很好玩
38,2018年2月7日,5,我玩到20億都沒在叫了/其它人不要亂
39,2018年2月6日,5,齁勝
40,2018年2月3日,5,好玩不過不要常常用完錢
41,2018年2月1日,5,廣告太多了
42,2018年2月1日,5,這款遊戲很好玩我推薦大家玩
43,2018年1月31日,5,剛開始不怎麼樣，但是會越玩越上癮!
44,2018年1月31日,3,好恐怖
45,2018年1月29日,5,超好玩
46,2018年1月27日,5,我覺得很好玩的
47,2018年1月27日,5,老婆好可憐
48,2018年1月25日,1,爛遊戲，每種賭博方法都中不了，是不是已經內定好要坑錢啊，希望你們可以給我一個交代
49,2018年1月24日,5,只是暫時只有這其實骨質疏鬆症是一種實際上只是四處算是只是在只是吃
50,2018年1月23日,1,賽馬根本不會贏
51,2018年1月20日,5,超好玩
52,2018年1月20日,5,很勸世的人生遊戲
53,2018年1月19日,5,很好
54,2018年1月19日,5,好玩
55,2018年1月14日,1,賭马必输
56,2018年1月12日,5,很好玩
57,2018年1月9日,1,我從來沒看過這種遊戲 賽馬是不是根本不會中獎阿
58,2018年1月7日,5,best
59,2018年1月6日,5,還不錯!
60,2018年1月5日,5,呵呵外掛超棒
61,2017年12月31日,1,詐騙遊戲
62,2017年12月30日,5,好有意   義的遊戲
63,2017年12月29日,5,有鑑於晉文公
64,2017年12月27日,5,超級寫實又超刺激超好玩的啊哈哈，讚
65,2017年12月24日,3,我想去死
66,2017年12月17日,5,很好玩
67,2017年12月16日,5,好玩
68,2017年12月14日,5,好玩
69,2017年12月14日,1,爛。！！！！！！
70,2017年12月12日,5,😊😊😊😊😊😊😊
71,2017年12月10日,4,好玩
72,2017年12月9日,1,爛到爆 什麼鬼 遊戲 幹**
73,2017年12月9日,5,超好玩第一次就愛上
74,2017年12月4日,1,爛遊戲，裡外都要賺，，，刪除
75,2017年12月2日,1,很難贏廣告又多
76,2017年11月27日,5,非常有想法的遊戲
77,2017年11月25日,4,好玩
78,2017年11月25日,5,真的很好玩
79,2017年11月24日,4,反思遊戲，尋回迷失方向。
80,2017年11月22日,5,很好玩的遊戲
