,Date,Score,reviews
0,2018年12月29日,1,卡公告进不去
1,2018年12月29日,1,我儲值沒有成功給我加值我要退款
2,2018年12月29日,5,好久沒玩了，現在回來……嗯！果然是一個很不錯的遊戲呢！
3,2018年12月29日,5,為甚麼我練的帳戶都不見請一定要修
4,2018年12月29日,2,為什麼更新玩都登不進去？？？
5,2018年12月29日,5,棒
6,2018年12月29日,1,爛死了
7,2018年12月29日,2,請問12/28號 更新過後 跑登入畫面就卡住不動了 已經一天都這樣 重新安裝也是 這怎麼玩？
8,2018年12月28日,1,沒辦法登入
9,2018年12月28日,1,為什麼我都沒辦法登入，官方給個理由
10,2018年12月28日,5,好玩
11,2018年12月28日,5,坐在醋
12,2018年12月28日,5,非常好玩
13,2018年12月27日,1,安卓系統的手機又不能玩了，重新下載也是一樣。
14,2018年12月27日,1,一群廢物不傳球一直自上沒進的廢材
15,2018年12月27日,3,請問這款遊戲要 修復到什麼時候
16,2018年12月26日,5,很好玩的遊戲，希望能一直營運下去
17,2018年12月26日,4,什麼時候會有全場5v5
18,2018年12月25日,5,good
19,2018年12月25日,1,可以把那些都不肯傳球的人直接鎖帳號嗎？ 害我天梯一直輸
20,2018年12月25日,1,為何我的帳號莫名其妙的消失了?? 我花蠻多錢的 只是幾個月沒玩進去變成創新角色??搞甚麼
21,2018年12月25日,1,CPU 電腦玩家的智商可不可以高一點 TMD遊戲時間78短 死不傳球 有空檔又不出手 助攻有夠78難拿 最難的不是對手 而是擁有87豬隊友 ※這遊戲其實練等沒意義 誰錢多誰強 就醬
22,2018年12月24日,3,無法更新，刪掉遊戲後重新下載只能載到87%.....  我重開機在下載也是一樣 我手機是小米3
23,2018年12月24日,4,每次fb登入一定要重打帳號密碼嗎？
24,2018年12月24日,4,好玩
25,2018年12月24日,5,超好玩
26,2018年12月23日,3,什麼時候才要出櫻木啊
27,2018年12月23日,1,騙錢的遊戲
28,2018年12月23日,2,怎麼又登不進去了
29,2018年12月23日,1,為什麼打不開？？ 又來了...閃頻
30,2018年12月23日,2,不能跟好友玩
31,2018年12月23日,5,這遊戲很好玩但有些角色超爛建議你考慮輕楚
32,2018年12月22日,5,很好玩
33,2018年12月22日,1,我要辣妹的角色。
34,2018年12月22日,3,好玩
35,2018年12月22日,1,支付失敗？？？249港幤google 收了你一句支付失敗就算？？？？
36,2018年12月22日,5,問一下，為啥我用夜神模擬器下載後，進入遊戲時，馬上跳出來主畫面
37,2018年12月21日,5,非常爽！
38,2018年12月21日,4,"這遊戲越来越好,我玩了接返4 年，看看它更新。希望會更好，但大部分都要充，因为不充就不能和天梯的籃板打😥"
39,2018年12月21日,1,開了不是白頻就是閃退
40,2018年12月20日,5,FB不能登入，切換Wi-Fi 也是不行
41,2018年12月20日,1,我使用電腦的BlusStacks軟體來玩這款遊戲 但進去螢幕都是白色的 重下也是一樣 有辦法解決嗎? 解決後給五星好評
42,2018年12月20日,1,我有個意見。 希望增加 有課金 跟無課金的玩家分開 這樣至少可以給沒有課金的玩家 最好的保障 不然永遠一顆星
43,2018年12月19日,4,剛更新完後不能登入喔！會一直跳回登入畫面
44,2018年12月19日,1,更新完之後變得好卡(´-ι_-｀)
45,2018年12月19日,5,我覺得可以
46,2018年12月19日,1,怎麼無法下載
47,2018年12月19日,1,北七
48,2018年12月18日,3,有些問題希望貴公司改進 最近體驗遇到的問題，時常遇到對方或我方抄截掉球（場上無人持球狀態）時，第一時間無法撲球，其按鍵依然滯留在上一個狀態中（變成抄截及要球）約1～2秒；也遇到抄截或被抄截掉球時，造成其站位產生位移（不在原本的所停留位置）。最後常見有玩家原本在禁區移動，下一秒飄移到外線。
49,2018年12月18日,4,遊戲的體驗應該還可以再加一點小小的分數 。快狠準三樣加分 ，快-一切突破.投籃有關 ，狠 -一切火煱 .灌籃 ，準-一切抄截 .搶板有關 ，其他動作額外加分-如卡位 還有希望天梯比賽時如果有人消極比賽的話到時後只是消極比賽的人扣分其他人沒事 ，也不知道能不能設定成 ，一個人消極比賽成為二打三局面時大贏五分至十分的話不知道能不能多拿一個球這樣說不定能勾起我們的求勝心？遊戲的體驗應該還可以再加一點小小的分數 。
50,2018年12月18日,1,你們連線品質可以再爛一點，用wifi還能一場比賽斷網好幾次
51,2018年12月18日,1,下載完打不開
52,2018年12月18日,5,如果有觀戰模式會更好，這樣會更知道怎麼比會比較好
53,2018年12月17日,5,ok
54,2018年12月17日,5,可以改善網路問題嗎，我玩緊時候一直斷線
55,2018年12月16日,1,官方一直說 重點是玩得開心，啊一直被課金的電是要怎麼開心，隊伍平衡性也不行，能力加成道具也不好拿，可以麻煩體諒一下想要輕鬆開心玩的玩家嗎
56,2018年12月16日,5,Nice
57,2018年12月16日,3,為什麼我下載完之後卻不行打開來玩
58,2018年12月16日,1,我進不去
59,2018年12月15日,1,我只是第一次玩還不太會就有人說我消極比賽籃球點數被扣五點一氣之下就刪了我再也不會玩這爛遊戲
60,2018年12月15日,1,超級不滿意這個遊戲的電腦玩家 打生涯拿星的標準這麼高 電腦還配的這麼差 要嘛死不傳球 不然就是空檔不投 硬要被干擾到才頭 我建議大家還沒載的不要載了 這遊戲大家都課金
61,2018年12月15日,1,根本不好玩，我下載三次，三次都超級當。
62,2018年12月15日,1,我充了2次150台幣，只有一次成功，垃圾遊戲，垃圾體驗
63,2018年12月15日,2,匹配都要等超久
64,2018年12月15日,5,坑錢
65,2018年12月14日,5,喜歡
66,2018年12月14日,1,為什麼我轉盤幸運直到100了都抽不到稀有的大獎
67,2018年12月14日,1,課金怎投怎進
68,2018年12月14日,1,假投真傳超廢
69,2018年12月14日,4,第六站主線的第一個獎勵無法領取
70,2018年12月13日,1,藍蝶都檔請問是會有比較多玩家？ 還想不想營運？
71,2018年12月13日,1,什麼人都有 爛的要命
72,2018年12月12日,3,有點真的不知道要說什麼抄截練習在練就很好抄，在跟人打的時侯明明在他三角以內抄真的打不掉根本就不用守好了，三分球明明素質不低投十幾球才中2～3顆反而一些空裝的人隨便投都中這是玩個芋頭蕃薯是吧。ID：我黑不是夢
73,2018年12月12日,1,反應的問題牛頭不對馬嘴的，趕緊收一收吧
74,2018年12月12日,3,為甚麼我充了60點卷但我沒有拿到60點卷並扣了我13元
75,2018年12月11日,4,好玩，但是大轉盤拿到時裝的機率有點低
76,2018年12月11日,5,非常好玩但是生崖當機不給我獎勵希望以後出暗或光的雷貝塔和暗或光的萊斯利或出影子籃球圓的角色
77,2018年12月11日,5,非常好玩
78,2018年12月11日,5,超好玩
79,2018年12月10日,3,付款按到返回沒有拿到鑽石怎麼解決
80,2018年12月10日,5,Fagan
81,2018年12月10日,1,爛死了每次只要打到第3顆天梯都遇到強的不用玩阿
82,2018年12月9日,1,為何進不去進去就跳出來
83,2018年12月9日,5,很好玩謝謝
84,2018年12月9日,2,遊戲公司為了賺錢一直出櫻木，然後玩家就抗議籃板都櫻木再搶，於是就開始改奇怪的板點，遠板就算了也符合真實。但板點改這麼低…最高點不能搶板，搶籃板比慢跳的，等球快落地才是板點。沒看過這麼奇怪的！ 第一次玩籃球遊戲搶籃板是比慢比矮的…彈跳這項能力完全沒啥用處了，所以補扣『橘』色技能也變的跟廢物一樣……然後每次改版玩遊戲都lag的跟什麼一樣。遊戲公司永遠說是玩家的問題！！！
85,2018年12月9日,4,還不錯
86,2018年12月9日,2,等級有在分嗎？ 有時候兩方很平均 很棒 但有時候怎麼一直跟高等的 很難打耶 拜託低等跟低等 高等跟高等
87,2018年12月9日,1,為何金幣抽獎超過100次仍沒給稀有時裝
88,2018年12月9日,1,很抱歉，我從現在開始不想在玩你們的遊戲了，從全民到飛車到這裡，全部都是課金至上的遊戲，無課是錯了嗎？
89,2018年12月9日,1,根本就沒有人要去防守啊，要投籃結果也沒進啊，天梯升上去又被雷隊友雷下來，檢舉也沒用是怎樣啦
90,2018年12月9日,3,活動多一點啦，一直這樣打很無聊欸
91,2018年12月8日,5,好
92,2018年12月8日,3,"快要比賽時就一直跳掉,又要重新登入"
93,2018年12月8日,1,遇到儲職的跟本打不贏
94,2018年12月8日,3,生涯挑戰，同隊電腦都只在傳球沒有要進攻，同時又要玩家完成一些任務需要隊友的支援，但是有只能在那邊傳球，需要完成助攻數，但電腦接到球有不進攻一直傳。這樣怎麼可能完成的了三顆星？
95,2018年12月8日,5,謝謝你給我玩街頭籃球
96,2018年12月8日,5,一開始可以給多一點技能
97,2018年12月8日,1,腦殘們。進不去網路四不會不要做拉。幹
98,2018年12月8日,3,不錯
99,2018年12月8日,4,每次開始玩的主角是女生，沒有像格鬥遊戲一樣有分職業及性別嗎？玩的很不習慣，能新增職業及性別嗎？
100,2018年12月8日,5,裡面的人物都超帥的
101,2018年12月8日,5,無法更新
102,2018年12月7日,5,很好玩希望送寶石能在送多一點
103,2018年12月7日,2,訊號很好 但連線不順
104,2018年12月7日,5,好玩
105,2018年12月7日,1,爛死了，籃下都不會進，你們設計的那啥小電腦人啊！叫他傳都不傳的，你們最好給我把這遊戲下架，幹你娘老機掰
106,2018年12月7日,5,在唷
107,2018年12月7日,1,這遊戲是要（花錢）才贏的過人嗎，我50等了籃板完全搶不到
108,2018年12月7日,1,講那些有無防守人員 乾脆錄影好了 連空檔投籃也都不進 還給我唬一堆
109,2018年12月7日,3,生桂莫式要加常長時間
110,2018年12月7日,5,遊戲非常好玩但有時卡卡
111,2018年12月7日,4,對你好一點！給４星，技能商店賣得很貴，本來１７０多鑽石的變成３７０多貴鬆鬆！希望賣便宜一點！不過這次更新除了技能變貴以外都變好了！加油！努力做到最好最高境界好讓其他玩家覺得不用課金也可以好好玩！讓你正面對品價變得更多！OuO!加油！！！！！
112,2018年12月7日,5,很不錯喔！可以在更好的
113,2018年12月7日,4,"12/6號更新後，進去第一次還沒有問題，隔天要進去，他就顯示""請求資源中""，求解"
114,2018年12月7日,5,好好玩
115,2018年12月7日,1,亂改
116,2018年12月7日,1,時間太短
117,2018年12月7日,5,為什麼儲了錢，遊戲裡面却沒收到，要怎麼處理
118,2018年12月7日,5,可以免費VIP
