,Date,Score,reviews
0,2018年12月19日,2,為什麼我遊戲更新了，居然無法使用召喚台呀?
1,2018年12月19日,3,蠻容易閃退的....
2,2018年12月19日,3,更新後都不可以開
3,2018年12月18日,1,看影片縮短召喚時間，都無法看！爛死了
4,2018年12月16日,5,求好友！sing0925
5,2018年12月16日,1,遊戲影片都無法看
6,2018年12月15日,1,每次維修都要關機重開，才能登入，影片不能看很久了。
7,2018年12月15日,4,吼～😡😡😡為什麼又不能玩也進不去
8,2018年12月15日,2,影片不能播放
9,2018年12月15日,3,Line好友不見了，小花盆無法給鑽石@@，經過早上反應後，下午已回復正常，但有時候還是會不正常運作...
10,2018年12月14日,5,因為我的她也在玩所以給五星，我對妳至死不渝。火蛋
11,2018年12月14日,1,遊戲沒有通知就算了，越來越難登錄，進入遊戲一直遲頓，因為要給好友丟鑽石，不然根本玩不下去。昨天剛提意見，今天連小鑽都不能丟，真的沒救了。
12,2018年12月14日,4,為什麼突然的Line部份不見了，好友都丟掉了，刪掉重下載，還不行？？？？？
13,2018年12月14日,1,明明與LINE連動，為何突然LINE好友全不見顯示? 什麼爛遊戲! 眾多玩家反應的事情不見改善，反而愈來愈多狀況，當玩家是白痴嗎?
14,2018年12月13日,1,看影片功能爛到極點，換新手機64G容量，定期清理影片檔，2週就又出現無法看影片狀況。提醒大家，這是一個沒有服務的遊戲公司，只顧著賺錢而已
15,2018年12月13日,1,不能登入啊
16,2018年12月12日,1,昨天已經完成冰屬性卻沒拿到雪人，剛剛才恢復正常！！
17,2018年12月12日,3,系統出問題了嗎？用冰娃與匏牙鼠製造的雪蝟不算冰屬性嗎？與任務不符嗎？………… 真是無言
18,2018年12月12日,1,為何昨天更新後就無法開啟？會不會太誇張？
19,2018年12月12日,5,只要有活動，就很常沒影片可看。 寫過信給客服，移除後重新安裝，重開機都試過，有時完全沒效，有時看個一兩片後又不行 。 希望能改進這點!!
20,2018年12月11日,1,每次更新完都不能連結Line，可以馬上更改嗎？😥😥
21,2018年12月11日,1,最進一直進不了遊戲。合寵機率又很低。再這樣。真的要棄坑了。。。。
22,2018年12月11日,1,這幾天無法登入，一直要line連動，同意連動又進不去。 影片也看不了，或是看完又重新開起遊戲，不然就是一直轉圈圈當掉。
23,2018年12月10日,1,😡😡一陣子沒玩就算回鍋還是一樣爛的遊戲，還以為有什麼改變結果禮物房和膠囊抽獎永遠想盡辦法要花光你的錢和鑽石，花完了還是得不到想要的寵！！這樣到底花這麼多錢意義是什麼？尤其是膠囊抽獎真的是最爛的一種！爛到我非常想送10元買早餐八元買豆干給這個只要錢的爛遊戲 絕對不會再花錢了也不會再繼續玩這騙錢的爛遊戲😡🙄😒😑
24,2018年12月10日,1,🙀影片還是老看不了😈膠囊抽獎都抽不到寵🙀
25,2018年12月9日,3,影片時常無法播放。
26,2018年12月8日,1,影片無能看到片子，請你們改善嗎？
27,2018年12月8日,5,好玩
28,2018年12月7日,1,影片連3天一直無法看，太糟糕了！！
29,2018年12月6日,3,"希望能跟line play一樣有多個登入法，或是，可以直接輸入line的帳密登入，不然，這遊戲需要的空間容量很大，line本身就2點多G了,手機空間不夠啊…都玩不了這遊戲很久了…，之前就已經很難開起來，之後是完全不夠空間…"
30,2018年12月5日,1,我完成膠囊任務為何系統沒給我過，我耗很多時間耶…也沒影片可播放，要如何完成任務，真的非常爛>~<
31,2018年12月4日,2,詐騙>>更新完很多影片跑完無法離開直接重新讀取遊戲<<詐騙...因為給負評會給爛運氣只好給五星評價QQ
32,2018年12月4日,1,為什麼一定要跟line連動啊？不小心刪了line結果連遊戲資料都不見了，還好我沒花半毛錢
