,Date,Score,reviews
0,2018年11月29日,5,非常好玩
1,2018年11月29日,1,無法下載更新
2,2018年11月29日,2,裝備太複雜，沒有想要了解
3,2018年11月29日,5,OK
4,2018年11月29日,4,為何最近活動商店跟特價商店裡面都沒有東西!?是我手機的問題嗎???
5,2018年11月29日,2,你 功 克奇門 很爛沒有花 元寶 就會當機 不花元寶 就不能過關 爛透了
6,2018年11月29日,5,還不錯玩
7,2018年11月29日,4,玩咗一年，鮑三娘+王元姬+孫尚香，夠玩
8,2018年11月29日,1,一直閃退 爛死了
9,2018年11月29日,3,今日咩都下載唔到請跟進
10,2018年11月29日,5,很棒
11,2018年11月29日,5,人物不是很好拿取
12,2018年11月29日,5,好玩
13,2018年11月29日,1,太多付費項目。
14,2018年11月28日,4,不用更新
15,2018年11月28日,5,很多時會閃退
16,2018年11月28日,2,"好奇怪的神石，戰力竟然比玉石低，防禦200攻擊100，真不知道這樣的神石有何意義？改名廢石好了。“稱號”別的遊戲稱號戰力是用所獲得稱號全部加上去的，這個遊戲換稱號戰力還會掉,真不懂這樣努力的獲得稱號有什麼意思。"
17,2018年11月28日,1,根本不能玩
18,2018年11月27日,5,昨天開始就上不了遊戲，顯示been 什麼意思...是我被檢測使用 外掛 嗎？ 請官方人員詳查...好歹也花了不少...別搞這種勿鎖!!! 你不是橘子吧？
19,2018年11月26日,1,外掛一堆
20,2018年11月26日,5,打極都唔厭嘅遊戲
21,2018年11月25日,4,"1自動作戰系統常常失靈,三分天下困難7-5那關,一開始有個指示,明明是往那一邊,自動作戰往另一邊,後來再玩一次發現往指示的那邊可以直接通過一關,往另一邊(自動作戰帶領的)出現很多小兵,不只這樣,在別的關卡自動作戰也很常出錯,反應不夠快,有無雙桶子會跳國過,這樣變成都要靠自己打,很難相信自動作戰。 2有些關卡設計太複雜,裡面的小關卡太多,即使戰力足夠也很難過關,還要隨時留意屬性的分配,需多次嘗試才能抓到訣竅通關。 不過遊戲真的很好玩有些地方需改進!"
22,2018年11月24日,5,最近好幾次在馳聘沙場中會突然中離並退出遊戲程式，其中顯示常常是網路的問題，但最近憑繁的發生，是否是遊戲哪裡出了問題該解決？
23,2018年11月24日,1,幹你娘的什么爛遊戲
24,2018年11月24日,5,子裡有
25,2018年11月24日,5,很好玩
26,2018年11月24日,5,我只想說這遊戲能不能在公正公平一些啊，越來越讓我無言了
27,2018年11月23日,1,玩了一年，越來越爛，一直出禮包，問題都擺爛不解決。 共鬥打一次閃退一次，4G轉wifi也可以重啟。連選武將也可以閃退。 還有技能發展越來越不公平，力隊武將天生技(暈)也可以被反冰(暈)，還不如不要。 爛透了，幫軍團打完這期後，不完了。
28,2018年11月22日,3,那个对战的时候不停微卡机知道有多郁闷嘛？
29,2018年11月21日,1,每天都在閃退。其他遊戲又正常
30,2018年11月20日,1,最後通知！已經拍大量短片證明操控遊戲！連打兵仔都係打空氣！如不改善會直接放YouTube發佈及直接向Google Play反映
31,2018年11月20日,5,"it, good!!!!!"
32,2018年11月16日,5,劉備和劉玄德是兩個人？ 我也是醉了 別唬弄了
33,2018年11月16日,5,好玩而且超刺激
34,2018年11月16日,1,糞Game 雖然說公司是要賺錢 但吃相實在太難看..
35,2018年11月16日,1,為甚麼這樣白痴? 身處香港 用雙卡雙代手機 一張電話卡是外地的話 就出現 不是該地區用戶 不可登錄遊戲? 每次登入遊戲就一個先將手機外地電話卡關閉先可以成功登入。 這樣玩遊戲太滋擾了吧！
36,2018年11月16日,5,好好玩喔！我喜歡~
37,2018年11月16日,4,使用wifi還是會很容易重啟app
38,2018年11月16日,2,我沒有購買高級28日禮包，但系統顯示我已購買並可以領取，可以幫我看一下是甚麼一回事嗎？
39,2018年11月15日,1,爛東西，現在連開啟遊戲都只能開出一片白色畫面，越來越爛
40,2018年11月15日,3,大致上ok，但為何唔比玩家創作角色，加入什麼陣營可供選擇！玩家有普通士兵打起升致將軍的話:因該比現在會好得多，現在玩了半天非常沉悶呀！太多複雜東西會導致玩家流失。🙁🙁
41,2018年11月15日,1,痴能線，我用咗9O分钟都打唔过馳騁沙埸中的虎牢关二埸，之前不是閃退便是説连線不稳定，到依家每次打到最尾就無時間，叫我玩鬼呀，有耐心唔代表可以俾你玩架，正pK！GM唔該你跟進吓，你無時間就執笠算啦！
