,Date,Score,reviews
0,2018年12月29日,1,已經兩次記錄不見了，一直重來
1,2018年12月29日,5,很好玩 但是沒有40張
2,2018年12月29日,2,一個不課金就不會贏的一款遊戲
3,2018年12月29日,5,可以隨時對戰很方便
4,2018年12月28日,1,在你們把怪獸空間根魔法、陷阱空間改成五個，先後攻都能抽牌，起始手牌六張，把這遊戲做好，別在摧毀這個動漫給人的童年了，給你們1星我還嫌評價太高了
5,2018年12月28日,3,很好玩 規則簡單不複雜 可以殺時間 但是 遊戲很坑 沒有 課金很難贏
6,2018年12月27日,5,好遊戲，推一波
7,2018年12月26日,5,很好玩
8,2018年12月26日,5,好
9,2018年12月26日,3,潛艇機人 直接攻擊玩家 一直閃退 快點修理
10,2018年12月26日,5,goodhhgh
11,2018年12月25日,3,快改成五格
12,2018年12月25日,1,帳號資料遺失，有氪金
13,2018年12月25日,5,好
14,2018年12月25日,2,請問為什麼我的資料不見了？
15,2018年12月25日,5,很棒 可以更好
16,2018年12月24日,5,gd
17,2018年12月24日,3,操作一般，給我出鐘擺和Link啊
18,2018年12月24日,1,希望改成一回合的限制秒數
19,2018年12月24日,5,還可以，算不坑又能晚了
20,2018年12月24日,3,跟流浪者 和dd塔打快贏的局面 常常都停在一個畫面 重開返回戰鬥後也是卡在一樣的畫面 請改進
21,2018年12月24日,5,希望主角的所有王牌怪獸動畫可以加上攻擊時就最好，仲有召喚的時候不單止一次，謝謝。
22,2018年12月24日,5,遊戲好玩
23,2018年12月23日,5,重新寫一下心得 XD 給五顆星！！！！！ 因為是很棒的童年回憶 我的回合！抽牌！！
24,2018年12月23日,4,希望变五格怪兽，五格陷阱区域
25,2018年12月23日,2,為什麼神之卡上面寫正常召喚成功對方不可以發動魔法 陷阱 怪獸效果 我召喚出天空龍還是被對方的陷阱卡弄死
26,2018年12月23日,5,快速戰鬥很適合現在的遊戲環境
27,2018年12月23日,5,……
28,2018年12月23日,4,歐貝利斯克什麼時後出
29,2018年12月22日,3,"devs, I found a bug where when I got a card, it disappeared. can't find it in the deck editor."
30,2018年12月22日,5,xx
31,2018年12月22日,1,垃圾遊戲 !
32,2018年12月22日,5,好玩!!
33,2018年12月22日,1,請問一下遊戲王裡的階級決鬥常常出現 連線錯誤 請在訊號更穩定的位置重試一次 這要如何解決 今天是12月22日了還是沒改善ㄟ 我用BlueStacks遊戲 遊戲王裡的階級決鬥還是會出現連線錯誤 訊號不穩 請在訊號更穩定的位置在重試一次 而且還會當掉
34,2018年12月22日,5,面白いケー厶!
35,2018年12月21日,1,有時候感覺牌都沒洗一樣？？？？
36,2018年12月21日,1,只有垃圾可以形容，洗牌系統跟本糞，能洗到那麼不平均，最近好幾場都這樣，你們這個遊戲存心想倒閉就繼續這樣吧…
37,2018年12月21日,5,为什么你们的问题我都没有：）
38,2018年12月21日,2,不能吧我的帳號恢復嗎？換個手機就不能用了，你知道那個我花了多少錢嗎？
39,2018年12月21日,3,三星a7 2018 不能正常開啟遊戲
40,2018年12月20日,3,以前都正常，怎麼最近又開始閃退了（有幾次是打到關鍵時刻就閃退）請改善
41,2018年12月20日,3,v6超量了，dl可以跟啦
42,2018年12月20日,4,容易卡住不動 打NPC的時候最嚴重
43,2018年12月20日,1,為什麼我的遊戲資料都不見了，play遊戲還看得到成就，進遊戲卻是重新開始，google帳號重連也沒用，麻煩一下，看是怎麼一回事
44,2018年12月20日,3,網絡又出問題，loading.......
45,2018年12月20日,4,每次要贏的時候，就給我斷線，然後害我每次輸多勝少，然後對手也很卑鄙，就故意拖延時間，直到對方斷線，然後就在要打敗對手時，就因為這樣輸了，超級不爽！因為好玩勉強給四星
46,2018年12月19日,5,說實話，有點意外，沒想到20張卡，4000點，三個怪獸區的玩法反而更好玩
47,2018年12月19日,5,童年
48,2018年12月19日,5,很好玩，選對卡包新手也能很強
49,2018年12月18日,5,好
50,2018年12月18日,2,套牌組三十張魔陷 抽完全都是怪獸卡 真佛心的抽牌系統\^。^/
51,2018年12月18日,1,一直不禁陷阱卡
52,2018年12月17日,5,遊戲很棒 BUG少又有原作元素 卡片之間也有注重平衡 但是最近的作為根本在逼走玩家 公司想賺錢可以理解 但是賺錢的大前提是留住玩家 留住玩家才能產生消費的續航力 結果你是嫌玩家太多反其道而行嗎?
53,2018年12月17日,5,很好玩
54,2018年12月17日,5,Ok
55,2018年12月16日,5,請問一下為何要用3G的或者是WiFi 可不可以用 4G 的玩 會比較好玩
56,2018年12月16日,5,非常棒的一款游戏
57,2018年12月16日,5,在你們把垃圾的掉卡機率改掉之前就一直維持一星吧
58,2018年12月16日,5,ok
59,2018年12月16日,1,啃！早上起來發現儲了三百的帳號沒了！
60,2018年12月16日,5,更新之後突然無法進入伺服器了
61,2018年12月16日,5,有無搞錯抽咗好多次一UR都無
62,2018年12月16日,4,可惜舊紀錄無法找回
63,2018年12月16日,1,玩了好幾個月的帳號被鎖原因是因為是第二組帳號 第一組就忘了不然是想怎樣 投訴也不回 爛公司
64,2018年12月16日,5,求高人 我重設手機後這遊戲的資料都沒了，求幫助
65,2018年12月16日,5,好玩 除了有時會斷線沒什麼其他問題
66,2018年12月16日,5,口袋龍，技能bug無法觸發，紅鞋技能無法觸發斷頭台連鎖請查修
67,2018年12月15日,5,好玩
68,2018年12月15日,5,挚爱青眼！
69,2018年12月15日,1,新活動的卡不能使用
70,2018年12月15日,5,Good
71,2018年12月15日,5,希望BF卡组出多几张牌
72,2018年12月14日,5,為什麼一直抽不到好牌，連打階排也只能一直輸，我建議大家不要下載。
73,2018年12月14日,4,暗黑界效果不可用神奇氣球和惡魔射手觸發
74,2018年12月14日,3,可以先改善一直出現連不上網路嗎 點重新連接明明就可以 還有打某些NPC角色(如雷族家族)都會停頓很久 改善後我在給5星
75,2018年12月14日,3,改一改。戰鬥 被要求重開
76,2018年12月14日,5,好玩
77,2018年12月14日,4,Master Duel plz
78,2018年12月14日,1,商店維護是怎樣2018/4/12是殺小
79,2018年12月14日,5,巨神兵什麼時候出，格子能出五格
80,2018年12月13日,5,重現童年
81,2018年12月13日,5,你是男還是女生呢？
82,2018年12月12日,5,好好好好好
83,2018年12月12日,4,"不差,大包主流不禁就很白目"
84,2018年12月12日,5,請大家多支持遊戲王
85,2018年12月12日,3,常常斷線，還有有些翻譯可以修正一下嗎？ 如：競技決鬥的勝敗場
