,Date,Score,reviews
0,2018年12月23日,1,巴達克那一池不知道花多少了，就是抽不到巴達克，是什麼情形? 查一下紀錄好嗎？
1,2018年12月28日,1,別被其他帶風向說這遊戲轉蛋很好的給騙了，我已經連續遊玩180天的老玩家，大概遊戲剛出不到1個月就入坑，每天花一堆時間，至少2小時，結果呢？ Sp 還有大概9隻以上抽不到，抽不到的都是一些強勢角色，我最低等的角色600等起跳，EX沒一隻低過1000等，還有近10隻Hero 1500等的，我花那麼多時間練，SP強勢角色還是永遠抽不到。 連必中卷（累積七天可抽的那種）也都只送舊的sp 角色，連四次超轉蛋的必中卷都是舊sp 了，還有最新的step轉蛋我花了4100鑽，才抽到一隻SP，沒看錯就只有一隻，已經噴到無感了，真的是爛遊戲 。 從以前到現在10抽超級容易全Hero ，要想20鑽抽到SP 真的要燒香拜拜好嗎！ 這次真的退遊了，廢物遊戲，大家還沒玩的，別玩！ 你會氣到中風，玩到累的別撐了！ 退遊吧！
2,2018年12月28日,5,整體來說，新劇情，聲優配音，動作流暢度和畫面我都非常喜歡，抽卡我真的認為是運氣，也有抽到喜歡的角色，有優質的好遊戲還是要支持的!但在pvp方面真的非常可惜，一堆黑心玩家為了遊玩方便糟蹋好遊戲，這點希望官方能持續徹底改善，不然這款遊戲遲早會黑掉，但目前會繼續支持下去的!
3,2018年12月21日,5,昨天玩為什麼顯示我的不是正版的，要重新下載，可以解釋一下嗎
4,2018年12月23日,1,聖誕登入獎勵領了之後沒給，現在遊戲體驗很差
5,2018年12月20日,5,可以提升抽蛋SP機會
6,2018年12月20日,1,還沒玩的別入坑了。抽卡機率低，外掛多，pvp一堆延遲，根本毫無良好體驗。
7,2018年12月20日,4,希望sp可以容易抽點
8,2018年12月28日,1,花了3000都沒中 怎麼玩得下去啊
9,2018年12月26日,1,垃圾抽蛋 10抽無一隻好野
10,2018年12月26日,3,爛遊戲，這是我玩過最爛的遊戲
11,2018年12月20日,3,獲得角色機率較低請改善
12,2018年12月26日,4,我更變唔到顯示語音
13,2018年12月26日,1,更新只是越更越差，害我還要課金，無奈
