,Date,Score,reviews
0,2018年12月23日,5,希望能多出一些地圖 還有教室物品位置要一直改變 不然有些人都背地圖殺人的 希望轉生商店能快點跟新 已經有15w 轉生點數.....
1,2018年12月16日,1,剛剛更新後，連線成功但根本無法進入戰場！試了幾次怎麼都進不去！吃的興奮劑都浪費了！！！怒 刪掉重載一樣不能玩！到底為什麼！
2,2018年12月20日,5,希望在看生活照時，可以點了就出現，不然現在大家都去拾荒了，回來的天數少之又少，要等到他變成想要的服裝真的是很慢。
3,2018年12月19日,1,剛下載遊戲，完全新手，才玩第二場就卡結算畫面，網路穩到不行都能卡，且放著等5分鐘還沒跑出結算畫面，重新登錄果然什麼都沒拿到，虧我新手還玩到第三名，這真是美好的遊戲體驗。卸載，bye。
4,2018年12月14日,4,我覺得這個遊戲很好玩，雖然有時被打死了會生氣不過我還是會一而在再而三的玩，希望遊戲能繼續加油加油*-* 😀😁😃
5,2018年12月17日,4,希望玩家跟玩家間可以互相穿越 不這樣的話會刻意卡點
6,2018年12月14日,4,更新後無法打開 在logo載入時閃退 試好多次都不行就只能忍痛卸載
7,2018年12月17日,3,最近更新之後，我就進不去遊戲區域採集素材，一直卡在讀取畫面
8,2018年12月15日,3,更新完後…遊戲開始會延遲一段時間…還沒開始動就掛了這怎玩？
9,2018年12月14日,4,我把一個角色脫離隊伍然後我就加不回來了哈哈哈求交謝謝
10,2018年12月21日,4,我只有兩人床鋪，可是派一名出去拾荒時就會有另一名想要加進來，我認為這不是一個好設定😥
11,2018年12月16日,3,這遊戲在被人幹掉的時侯同時點開右上腳的菜單的話有一個Bug，這Bug就是返回庇護所的按鈕會被放棄的按鈕取代，所以變得只能放棄，大大影響遊戲體驗，所以請務必修好這個Bug 謝謝。
12,2018年12月21日,5,希望有更多賺轉生幣的手段啊 拜託
13,2018年12月17日,5,可以更新及設計更多家具嗎？物資有太多餘下，轉生點數一直儲存但又冇用。很喜歡小白，希望可以再設計更多新角色。謝謝
14,2018年12月22日,4,在毒區裡一直找到食物是可以活一分鐘以上的。 是說電腦AI是不是會穿越物品呀？看到人直接從我們身上走過，不然就是‘假AI真外掛’
15,2018年12月14日,4,那個，雖然我很喜歡這個遊戲，但更新後我的帳號直接消失了，請問能解決嗎？
16,2018年12月16日,4,玩這個遊戲以來第一次看到外掛!!我用眼鏡道具看到有人跟我之間隔一道牆吃到還原藥水，竟然直接穿牆過來殺我，拜託……抓抓外掛……別讓好遊戲又不能玩了……
17,2018年12月17日,4,這個遊戲很好，唯一一點我覺得需要改進的地方就是太卡了，經常會產生一些迅移或者其他情況。另外就是安那了。。。
18,2018年12月15日,1,安娜太扯 幾乎是課金安娜就等於當鬼一定贏 棄
19,2018年12月14日,5,有的時候沒有點物品，我就走過它旁邊，就變成那個東西，雖然次數不多，但有時會很嘔，很好玩的遊戲
20,2018年12月16日,2,pixel2 探索时卡loading完全没办法进入探索，已经试了一晚上了。这个问题应该怎么解决。
21,2018年12月19日,5,發生問題後教官和工友叔叔都很努力幫忙，請加薪。
22,2018年12月15日,1,才剛更新就沒辦法玩，直接閃退，刪快取也沒辦法正常進入，我朋友也是一樣直接閃退，能否盡快解決？
23,2018年12月24日,5,我覺得可以讓所有設施都有功能 例如：鴨鴨可以回復精神（真的不錯玩，希望常有活動。）
24,2018年12月14日,5,官方處理問題都很快，給讚(´▽｀)期待這是一個能長久的手遊
25,2018年12月28日,5,很好玩👍希望多出一點男角，如果能有故事就更好了，想看更多角色間的互動( ˘•ω•˘ )
26,2018年12月14日,5,支持國產~~遊戲很好玩!也一直有在改善bug，希望能長久!
27,2018年12月16日,5,嗚嗚嗚嗚 控制希望能更好 呱吉吃ㄉㄅ
28,2018年12月20日,2,外掛橫行，沒有檢舉系統可以厄止，通知大家不要課金被外掛狂虐
29,2018年12月19日,5,背景音樂聽起來跟天使X戀夢境之穴的音樂好像ㄚ~好懷念
30,2018年12月21日,5,还不错！不过很多萌新貌似很爱开场杀…这边说一下掠夺来的资源只有10%喔！开场杀是拿不到多少资源的 (´・ω・｀) 安娜只+10%移速咱是觉得还好，只是有些人玩的太极端了是真的烦…
31,2018年12月15日,4,12/13更新後遊戲畫面準備好卻進不去希望早日改進
32,2018年12月14日,5,好 玩 是沒錯 最後 一秒當鬼就贏了
