,Date,Score,reviews
0,2018年9月5日,5,希望儲值方式能多些 佳佳和珊珊超可愛 ❤
1,2018年9月11日,1,聊天頻Gm一直刷 那開聊天頻幹嘛
2,2018年9月10日,5,被秘書迷倒到不能自我XDD 很吃策略
3,2018年9月15日,1,為什麼出現會話失敗 請重新登錄
4,2018年9月12日,5,同當官類似還加入別種風格推薦你們來玩
5,2018年11月25日,1,美食城活動對我很多意見一直把我退格
6,2018年9月20日,5,本來以為要做一輩子魯蛇呢，被這個遊戲解救啦
7,2018年9月12日,5,故事會讓人一直想玩下去 邊熟悉高手攻略
8,2018年9月18日,1,很爛的遊戲，光是更新就可以自己執行當掉，根本沒辦法玩。
9,2018年9月17日,5,遊戲名超贊，風流總裁，玩起遊戲更加正，咁多俏秘書點可以唔風流
10,2018年11月23日,3,操作上有些地方可以更快點會更好
11,2018年9月12日,2,手機恢復原廠設定完，帳號就不見了，都已經玩到百憶總裁了，還要重新來過，錢也花了。請改進
12,2018年9月17日,5,可以提供點數儲值方法嗎？例如mycard、貝殼幣之類的
13,2018年9月9日,5,請問要怎麼找回之前玩的伺服器
14,2018年9月8日,1,我個帳戶唔知去咗邊度
15,2018年9月20日,5,和商會的人一起改名字客服還送了鑽石很爽哎
16,2018年9月17日,5,很符合我阿宅的氣質XDD很喜歡玩
17,2018年10月23日,1,最近常常卡在“檢查需要同步的文件”這個畫面，能否盡快修復，謝謝
18,2018年9月17日,5,值得推薦哎，畫風很好還有各種禮包，下班之後還不錯玩的
19,2018年10月13日,5,值得推薦的好遊戲，客服人員服務態度非常熱心
20,2018年11月5日,4,大致上都不錯，就是商會財富值太少不夠開副本
21,2018年9月14日,1,好遊戲下載是要花時間的 哈哈
22,2018年10月3日,1,早上玩還可以，下午就開始登不進去。準備刪遊戲了。
23,2018年11月9日,5,今天要開起一直秒退出遊戲
24,2018年10月20日,5,好玩，可以幫我消除工作一整天的疲勞
25,2018年11月26日,4,請問要充儲值的話我想用儲值卡 要買哪家的?
26,2018年9月23日,5,通關任務能不能出快點呢
27,2018年9月24日,4,曾小賢跟陳赫長得一模一樣
28,2018年9月20日,5,剛開始玩，21區的小夥伴都很nice！
29,2018年10月3日,3,選女角也是女秘書是怎樣，百合哦23333
30,2018年11月9日,2,換手機怎麼找回帳號
31,2018年9月11日,4,為何fb登不近去
32,2018年10月3日,5,律師所要有攻擊者ID
33,2018年9月10日,5,難得的好遊戲啊~不同於以往的免洗
34,2018年9月12日,5,難得的好遊戲啊~不同於以往的免洗
35,2018年9月14日,3,洪興有5子，金融巨鱷卻少了亞馬遜的貝佐斯?
36,2018年9月10日,5,好遊戲很讚！操作簡單
37,2018年9月18日,5,滿適合消磨時間的遊戲
38,2018年9月26日,1,我的角色不見了，沒綁定，請盡快幫找角色
39,2018年10月15日,2,儲值功能好像怪怪的
40,2018年11月29日,2,這幾天 遊戲不太穩定! 可以檢查一下嗎？
41,2018年11月18日,5,感謝雨嘉的服務，幫忙處理問題
42,2018年9月29日,2,為什麼一直會話失效，請幫幫我
43,2018年9月17日,5,角色、人物、劇情、服務都好好好好好，希望可以枕住玩下去
44,2018年10月26日,5,訴訟書碎片要由活動取得，請問要參與什麼活動呢？
45,2018年11月4日,2,你客服不管我
