,Date,Score,reviews
0,2018年12月6日,1,更新後小地圖的跑車顯示根本就是屁 什麼都看不到 排位賽的物資分配不要太誇張 跑了兩三棟房子只有手槍跟配件 藏寶圖也不要開放啦 這遊戲是我要活下去 不是我要開寶箱
1,2018年12月5日,5,更新完就進不去了，我也很喜歡這款遊戲哦~希望伺服器能快一點修好。🖒🖒
2,2018年12月8日,1,一堆傳奇玩家都使用電腦模擬器玩的。他們用電競滑鼠可以隨時控制速度訊速描準敵人頭部。你們要手機玩家怎麼跟他們打。為何無法偵測玩家是用電腦還是手機玩。要公平的話應該進入遊戲大廳就要分配好模擬器的人玩同一個場。給他們自己玩就好。只會欺負手機玩家。如果他們因此都配不到玩家。請他們用手機玩對大家都公平
3,2018年12月12日,4,跟本，就不給玩嗎！被隊友開車撞進虛空直接掛掉是那招阿！
4,2018年12月5日,5,不錯最近有跑車的但是只有一臺重機我覺得可以記序發明
5,2018年12月9日,1,可以不要再出那麼變態的衣服嗎？這樣子我真的要刪遊戲了，自從遊戲是你們接手之後就越來越變態了！我以前本來很愛玩這個遊戲的，但因為這樣我越來越不喜歡了！如果你們把這種衣服改掉，我會非常支持你們的，遊戲很好，就差這個讓我非常不喜歡，請貴公司立即改進，謝謝
6,2018年12月8日,1,爛死了都一直被外掛殺就好了嗎！都讓外掛玩就好了嗎！何必拿出來上架登陸到最熱門遊戲 就在那邊邱，啊不就好棒棒要不要送你煙火送你連人都不會想玩的煙火！最後告訴你不會做遊戲就不要做不然會丟面子
7,2018年12月5日,5,更新後，等好久都還沒進去遊戲，為什麼呢？請幫忙修復一下，謝謝你們，辛苦了！
8,2018年12月5日,5,很好玩但是為什麼更新完也超過6:30可是沒辦法進去可以改進嗎？
9,2018年12月5日,5,官方阿為什麼更新登不進去阿，為什麼那麼好玩的游戲一天不進不行阿。
10,2018年12月15日,1,XXX 一堆 死 外掛 還 有 屁孩 外掛都不抓 X 跟你們講 （外掛 死全家）
11,2018年12月7日,3,為何一直說網路連接錯誤我網路滿各欸要開始遊戲時就閃退WTF
12,2018年12月5日,5,這個遊戲不只能有刺激感還能讓我們感受到勝利的滋味
13,2018年12月5日,5,更新後，登不進去都顯示100% 拜託盡快處理 謝謝
14,2018年12月27日,3,伺服器壞掉了，希望能修好，還是很喜歡你們做的遊戲哦♥
15,2018年12月6日,5,更新之後莫名其妙站著就死亡 也沒有地雷 死後也沒辦法看別人玩 而且三次剛好都拿famas 希望給個解釋
16,2018年12月7日,3,為什麼我重新下載後 頭像 頭像框 降落傘 滑板 背包造型 全都沒了 而且我要抽鈕蛋完全沒辦法抽 然後我看鈕蛋的獎品全都是尼基塔記憶碎片
17,2018年12月9日,5,可以把個人的想說的話打在個人資料那邊，就像是個人簽名~~也可以自己自我介紹，謝謝
18,2018年12月16日,5,其實我覺得不要太花俏 還是要保留原本的樣子 當初設計也是荒野吃雞的感覺 現在根本是像萬聖節派對 還有一些奇怪的道具出來 我也覺得還是不要更新的太平凡
19,2018年12月5日,5,為什麼我的遊戲改版過後登不進去，就一直卡在讀取上《有在動》
20,2018年12月5日,5,更新後為什麼登不進去？ 請看一下是不有問題。 辛苦了！謝謝您
21,2018年12月9日,1,我玩到一半就閃退我希望可以好好玩吃雞而且只有在玩多人的時候才會馬上閃退
22,2018年12月5日,3,可以快一點更改嗎，我超喜歡這個遊戲，希望你們可以趕快修復
23,2018年12月5日,5,我更新以後進去一半就一直停在100不動，希望能快點改善，辛苦了，加油！
24,2018年12月5日,5,修護時間是1:00-8:30 但現在的時間是8：53 修護時間怎麼還在進行呢？ 登不了遊戲有些煩惱 不過也期待你們可以更新的更好！ 辛苦了~加油💪
25,2018年12月5日,5,請快點休復好，因為我們真的很期待這次更新
26,2018年12月21日,1,把我們這些弱的匹配到強的你覺得好玩嗎？儲值的感覺就像外掛沒兩樣我們存的辛辛苦苦儲值的儲值一下直接擁有這遊戲還比大陸的刺激戰場爛
27,2018年12月15日,2,為什麼我薄荷糖抽到東西後為什麼在空頭撿薄荷糖回到主話面薄荷糖就不見了我不見了10課我叫密密麻麻3331E請還來不然我檢舉
28,2018年12月25日,1,爛遊戲只會跳掉，沒事說網路錯物，大家刪遊戲不要玩
29,2018年12月19日,5,建議可以讓玩家有限時段開房間跟朋友對打增加遊戲的樂趣，還有希望主隊可以調整到5個人一主
30,2018年12月24日,4,非常喜歡這個遊戲 但有時候更新改版或 重大活動常常當機無法上線 還有一些使用非法程式的玩家會破壞遊戲平衡 希望可以改善 另希望能出一些暗黑系歌德情侶裝💕
31,2018年12月5日,1,我更新後，更好友玩玩一場後，就馬上被自動退出，然後又說網路連接錯誤，我遇到三~四次了，請改善，謝謝您
32,2018年12月26日,1,一推跳掉 排積分怎麼完？ 還有無緣無故三發死 這麼誇張 補償器在兇也不可能三發躺 差評
33,2018年12月14日,1,我真的覺得這個遊戲越來越坑錢了以前不用鑽石的角色現在全都要了已刪不用說了
34,2018年12月16日,5,其實現在系統和用FF幣換鑽石扭蛋卷我都很滿意，可是希望金幣轉蛋的大獎可以好一點
35,2018年12月29日,5,儲值時可不可以去超商結帳，不要用信用卡，因為只花60元我家人會因為金額太少怕被倒用
36,2018年12月27日,3,遇到外掛啊 這個人 啊咧顧每槍都爆頭跑步快的要死害我排位扣分
37,2018年12月18日,1,支持你們的遊戲好久了，但是外掛真的多到我想退遊了= =“
38,2018年12月15日,5,超級炸好玩 希望升級的時候可以給我鑽石 不然就感覺沒有升級的意義了
39,2018年12月19日,3,外掛一堆再不處理遊戲就爛掉了，我花了快2萬決定現在不再花了，看遊戲公司有沒有心要處理外掛的事情再來決定要不要花…
40,2018年12月5日,4,為甚麼一更新就都進不去 ，喜望能趕快恢復
41,2018年12月5日,4,更新後開啟顯示伺服器關閉中 是否請你們儘快修復？你們辛苦了 謝謝。
42,2018年12月5日,5,都更新完了，還是登不進去，希望廠商可以快一點修復。
43,2018年12月7日,3,這遊戲現在沒品的人越來越多 被擊倒就退出遊戲 請官方處理一下這該怎麼算
44,2018年12月7日,5,金幣有一點難賺😖 然後希望可以多一些任務管道之類的讓零客玩家有機會獲取鑽石！不然真的完全沒辦法收集！即使是一次1顆鑽石而已也沒關係！
45,2018年12月8日,1,我明明以經快撿了40個拐杖糖了結果勒一個都沒有領到簡直爛爆了嘛
46,2018年12月7日,5,我希望這個遊戲可以更新到送好有東西比如鑽石和錢和背包和角色和一些裝備拜託了(థฺˇ౪ˇథ)
47,2018年12月5日,4,按 開始遊戲 進不去還寫網路連線錯誤 請處理
48,2018年12月15日,5,更新之後可用FF代幣換鑽石扭蛋卷，讓我們這種沒法儲值的人也有辦法用鑽石扭蛋，非常棒喔！
49,2018年12月23日,1,國內就國內人玩嘛，國外參與個屁啊，祈禱遊戲下架，回去修改再說，10場只有半場是活著9成半是死的，跟本是給國內人在洗敗績的嘛！不改遊戲沒人敢再消費
50,2018年12月6日,5,那些只給一顆星又一直抱怨的人別吵，你不爽就不要玩，別只說幹話，不然你自己做一個好棒棒的遊戲，不要給人對free fire有不好的想法，全球不缺你這種爛玩家
51,2018年12月5日,3,玩一玩結果說錯誤 網路什麼的 重登也不能登入了
52,2018年12月5日,4,為什麼更新之後沒辦法登入 我等超久
53,2018年12月21日,5,是的問題為主要原因而言談談論證券市場經濟上面積木柵你好(⊙o⊙)不能自拔牙科大湖南部門口中山
54,2018年12月21日,4,為什麼我召回戰友都沒辦法，我明明就有召回戰友，然後我就去問他有沒有收到他都說沒有請問這是怎麼一回事?可以告訴我嗎？
55,2018年12月7日,1,爛遊戲 媽的 按到別的fb然後就永遠都是那個 爛死了 又不能重換帳號 廢物遊戲 去死啦 干你娘
56,2018年12月22日,1,希望有更多用金幣就可以買到的服裝、而且鑽石太難拿到是要怎麼抽獎買衣服？吃玩個遊戲還要錢？
57,2018年12月28日,1,超值空投680因系統延遲閃退多儲值了兩次以為沒成功結果只給一次東西，客服打不通線上回報記錄也不見，根本不給要求退費你們是坑錢吧！
58,2018年12月8日,2,雖然官方有在處理外掛.但還是有很多人使用外掛.而且局內有很多bug.我希望能改善
59,2018年12月16日,1,我對這個遊戲只有一個字要說，爛，每次打排位，東西撿多了就給我當機或是給我自己退出，害我減積分
60,2018年12月21日,5,背包藍色 我想要你們的背包有顏色的我只要有那個我每天上線1到6日都在線
61,2018年12月27日,5,我覺得很好玩，但是最近不知道為什麽登入時會寫下載失敗是否重試，希望快點改善
62,2018年12月11日,3,為甚麼原本紫色的衣服在更新後變成藍色，而且服裝原本亮亮的效果也沒了，瞬間變弱很多。算了，我好好玩我的電腦絕地
63,2018年12月23日,1,為什麼換新手機下載登入，進去資料都還再卻看不到我的人物，角色頁面點進去，空空什麼都沒有，重點看不到人物，按開始進也進不去，還自動取消，只能按退出。
64,2018年12月5日,4,很好玩沒錯，但外掛也太多了吧？ 有一人在圈外鐵架上，看著他被毒最後兩圈結果一直死不了，最後自己被毒死，飲恨第二名 不然就是打超過500滴血還是打不死……
65,2018年12月21日,1,又是被錢砸壞的公司，以前比較吃技術，現在有錢了不起。唉唉希望塗裝可以不要改槍的數值
66,2018年12月5日,5,我更新完就登不進去一直說網路異常所以請你們改善謝謝您
67,2018年12月12日,1,"拜託你們改善，我擊倒人但我要射活人一直自己瞄準被擊倒的，害我死。 全部都是棒棒糖，幾乎沒有拐杖糖，玩5,、6場只有收集到一根"
68,2018年12月8日,3,我自從更新後就沒辦法再登進去了，重登帳號、返回再登入、重新下載遊戲、關機在重開，這些方法都試過了，但按了開始遊戲，始終登不進去，明明遊戲背景都沒有任何卡當的跡象，但我按了開始鍵卻沒有辦法進去，請問有辦法解決嗎？
69,2018年12月15日,5,想請問一下我這兩天從空投拿到薄荷糖各5顆，為什麼在兌換獎勵時顯示0顆
70,2018年12月14日,1,有漏洞，我開跑車去救隊友的時候隊友也開車往我這邊跑，結果隊友車子開來撞我，我不僅沒翻車我被隊友駕駛的藍色卡車撞到後我沉到地板裡面，裡面都是水而且我跟著跑車一起撞進去沒幾秒我就死在（地裡面）沒屍體跑車也不再路上也消失了
71,2018年12月23日,4,"畫質很好但是外掛還是要防治,有時候也會卡卡的,希望能改善."
72,2018年12月7日,5,原本以為只是男生在玩的 我錯了這個遊戲不但有各種槍還有各種模式超好玩
73,2018年12月5日,4,遊戲是不錯玩啦！但外掛太多ㄌ，鑽石購買的物品太多ㄌ
74,2018年12月5日,5,"這款遊戲很好玩 , 更新完之後大部分的人都登不進去 , 搞什麼？請趕快解決 , 各位玩家都很期待這次的更新~"
75,2018年12月15日,5,這那麼好玩，你們不會玩在那變說外掛，我承認的確很多外掛，但不是每個都是吧，爛就說，大家會教你玩的
76,2018年12月16日,1,我本來有到空投拿薄荷糖（排位賽單人），結果打完後系統沒給我薄荷糖，請官方說明一下。
77,2018年12月22日,1,官方請你把轟炸改成不要炸到人馬的我打排位被轟炸死又扣分幹！
78,2018年12月5日,3,今天更新之後遊戲一直進不去都顯示登入失敗，請趕快修好，不然我沒辦法玩，謝謝 辛苦了
79,2018年12月5日,4,剛有儲值300元，但卻沒有鑽石進入，後又再儲值一次也是同樣，請問之後會補鑽石還是退儲值嗎？
80,2018年12月22日,5,[Free Fire-我要活下去]這個遊戲話面非常精緻，控制功能也非常好，我希望[Free Fire-我要活下去]能再更多新玩法或操作方法，謝謝！
81,2018年12月28日,3,你們請好好維護我本來在M峰戰盟的戰隊結果不只為甚麼跑到別的戰隊
82,2018年12月6日,2,你們的金卷轉蛋太難抽了，我24張金卷以及24萬的錢沒了，你們要還我！！！
83,2018年12月22日,3,現在的玩家有些是透明的，打也打不死，要是這能改善我會給更好的評論！ 希望不要有外掛玩家！😌
84,2018年12月6日,1,為什麼我昨天4點50分儲250元我9點多登入卻沒有那到
85,2018年12月5日,5,更新後無法登入等超久，很期待的說
86,2018年12月5日,1,更新完都登不進去 請盡快改善好嗎
87,2018年12月28日,5,我孓的超棒der!!(可是有一件事情就是能不能商城賣以前出過的衣服我超想要的。像是男生泳裝等..)
88,2018年12月11日,1,他#的，我玩到最後第二名😠，結果我打一槍50喔！ 幹，他一槍不是用狙擊就80這遊戲大家不要玩 會遭殃 （ 慎重提醒）如果這個遊戲 在這樣我會去法院告你們！爛遊戲
89,2018年12月16日,1,基本的遊戲公平性已不存在，藉需要花錢買裝備勝率才會提高，一點樂趣也沒有
90,2018年12月5日,5,為何維護時間已經過 卻不能登入遊戲
91,2018年12月5日,4,誒 現在登不進去誒 更新過了 跑到100%就卡住
92,2018年12月13日,3,我覺得可以設計讓每日撿起的物品撿滿的人不能在撿不然很多人的都撿不到
93,2018年12月18日,5,超好玩！！！但：1外掛2遇到很xxxxxx 的玩家不能檢舉（死亡後只能在隊友的視角）3Bug（撿起灌木叢不能脫掉、下車時會跳很高）不過很好玩！待加強
94,2018年12月20日,1,我是老玩家，玩了近一年的時間，最近改版後外掛滿街跑，打排位場場遇到外掛，從來沒遇到這麼多外掛過，檢舉系統檢舉了，但是外掛依然很多，被官方鎖了再開新人物繼續打，官方若在以這種消極態度處理會流失不少玩家，希望官方可以積極的想出解決方式，杜絕外掛。
95,2018年12月22日,5,我覺得很好玩，我以經用 薄荷糖抽了很多次 都沒有給大獎，我的名字叫我想要吃雞5751x
96,2018年12月9日,1,小屁孩很多，多到讓我覺得越打越煩，雖然外掛有減少。遊戲不是可以讓我們很歡樂嗎？我覺得就是因為這些小屁孩，我才越來越生氣了，對我來說這個遊戲已經不歡樂了...(個人觀感)
97,2018年12月11日,4,"真的很好玩,可是美中不足的是扭蛋我都已經扭35次還沒中大獎"
98,2018年12月5日,4,可以開伺服器嗎拜託 我已經等到天荒地老了拜託快點開伺服器阿
99,2018年12月11日,3,為何要一直回報，就不能讓我好好玩場遊戲嗎？
100,2018年12月10日,4,為什麼更新之後都完全卡在登入哪裡玩其他遊戲都很正常
101,2018年12月5日,5,為啥更新完進不去
102,2018年12月5日,1,到底給不給玩？我花錢都花爽的嗎，你們爽歪歪我在這邊等？對待客戶是這樣的嗎爛遊戲
103,2018年12月22日,3,薄荷糖連撿三場 都沒計算進去 是Bug嗎？ 搶空投搶的要死不活都沒算進去捏!!
104,2018年12月5日,5,我真的很喜歡玩ff ，手機裡也只有這個遊戲，但是最近不知道為什麼一直維修、更新，希望能夠加油，我永遠支持ff👻👻
105,2018年12月7日,3,都登不進去一直在外面轉圈圈很怒誒要玩你們的遊戲卻又不給登
106,2018年12月7日,5,現在登進去全部空白， 角色全部不見， 不能下載服裝， 所以現在是…
107,2018年12月6日,3,希望能找回我遊客登入的帳號，因為我儲了很多錢，也玩了很久，但所有東西都不見了，拜託幫我找回帳號
108,2018年12月22日,5,可以把殭屍模式裡面的車改多一點嗎
109,2018年12月29日,5,我真心覺得你們很誇張，之前我儲100，結果沒拿到點數這樣就算了，剛剛我儲700，我一樣也沒拿到，你們在幹什麼東西啊？ 你們最好幫我拿回點數………😠
110,2018年12月5日,2,12月5日更新完了，結果不能進去。
111,2018年12月5日,5,聖誕節多期待！登不進去太焦急了
112,2018年12月24日,2,我手機突然關機，然後進去了嘛，它幫我重連接回去，因為連太久了！然後殭屍感應到我，然後我被殭屍打趴了，而且我被打趴的時候，才回到遊戲畫面😡😡
113,2018年12月22日,2,一直登不進去，畫面變全白。之前從新下載過，只正常一天就又無法登入
114,2018年12月5日,4,更新之後就登不進去，還顯示網路連結錯誤，但我網路很好啊！?連wifi也是一樣
115,2018年12月14日,1,笑人那麼多儲狗跟我們平明打一只死廢遊戲
116,2018年12月15日,3,有一些人都會開外掛，可以更新：程式自動偵測出有開外掛的人，並封鎖帳號。如果可以的話真的謝謝！！
117,2018年12月5日,5,剛才說下午11點到8點維護期間，結果已經快9點了，都還不能玩，我希望能改進。
118,2018年12月5日,1,更新完之後沒有辦法登入很煩欸
119,2018年12月5日,5,12月5日更新之後為什麼進不去
120,2018年12月5日,1,是要更新多久啦 偷改時間不用發公告喔 真D優秀呢
121,2018年12月25日,3,不能開房間 點進去到的時候都無法創房間 希望官方改善問題 謝謝
122,2018年12月22日,5,"這遊戲非常好玩,武器和遊戲模式都很創新"
123,2018年12月13日,1,腳色只能用鑽石買，以前都可以用錢買的，我希望你們可以在改成用錢買，有改的話我就給五星
124,2018年12月5日,5,希望可以盡快解決更新後不能登入的問題。
125,2018年12月20日,1,牌位賽分數扣分扣的也太嚴重了吧 地圖都沒掩體怎麼打？ 地圖也那麼小
126,2018年12月5日,5,我原本連怎麼玩都不知道就下載了😂玩久了發現其實還不錯，我很喜歡這個遊戲👍👍
127,2018年12月5日,5,更新後都進不去，可以快點改進嗎？ 跟朋友約好了結果凸然就不能玩了
128,2018年12月8日,1,這上車系統可不可以改一下啊！都沒辦法上車！按好了幾下上不去還被敵人打死
129,2018年12月7日,1,你好我是華為mate9手機此次更新後我就無法按開始遊戲進入
130,2018年12月5日,1,登入不進去啦 趕快用一用啦 不然會沒人花錢啦
131,2018年12月29日,5,我跟你講啦 官方 請你 這是從車下來 的時候 會從天而降
132,2018年12月16日,1,這操作手感....這畫質..一顆星都不想給= =沒有惡意，但真的很糟，絕地手機版也出來了，你們再不加油就被壓過去了，而且基本的腰射，第一人稱都沒有，唯一優點就是交通載具還不錯，加油啊兄ㄉㄟˇ
133,2018年12月7日,5,為什麼更新後，倉庫點不進去我真的很傻眼耶！更新後點不進去就算了，難道你們要這樣玩弄玩家嗎？，可以可以改啊！🖕🖕
134,2018年12月5日,1,今天早上我有付費超值優惠包，但是並沒有收到任何東西，麻煩請盡快處理，謝謝。
135,2018年12月5日,5,為什麼更新後都無法進入，一直現實網路錯誤
136,2018年12月9日,4,奇怪 拐杖糖果檢9個進大廳沒有，還回來！快點還來！吃雞我的名字 實況豆皮。
137,2018年12月29日,3,好玩是好玩拉！但是！！！！！！！！！！！ 每日任務 遇到好萊污戰隊v 檢舉好萊污戰隊v 到底要檢舉幾次這種丟人戰隊才會被除掉？！ 單人排位 三人組隊⋯🙄🙄 如果官方在不處理我就不想玩這個爛遊戲了一直非法組隊🙄
138,2018年12月5日,1,為什麼更新完到現在還沒辦法登入
139,2018年12月5日,4,改版之後進不去誒 還以為是手機壞掉了。
140,2018年12月5日,5,八點半了怎麼還沒有更新完畢
141,2018年12月5日,2,等線上客服回覆都要等很久 電話客服又不容易打進去
142,2018年12月5日,1,爛東西一定要有FB或VK才能玩嗎？ 把我三十二等帳還我
143,2018年12月16日,5,為什麼好不容易撿空投撿到的薄荷糖會不見這是我第一次撿
144,2018年12月21日,5,越來越喜歡這遊戲 只是每局人數上限50人有點少
145,2018年12月5日,4,可以有天堂島可匹配嗎經典的不要打只有排位有而已
146,2018年12月5日,1,更新完右上那部分的控制都偏掉可以不要愈更愈爛嘛
147,2018年12月7日,5,遊戲改版之後這個遊戲我進去一直跳出來很奇怪 希望能改進
148,2018年12月7日,1,超爛 很會當機 都不送我們鑽石 都叫我們自己儲
149,2018年12月23日,1,現在一堆韓國狗都開外掛
150,2018年12月10日,1,在打排位，突然被卡，之前不會這樣為什麼現在越更新越懶。請趕快修改，謝謝
151,2018年12月5日,5,維修伺服器到8：30，都已經8：50了怎麼還是登不進去啊，我已經重登4次了
152,2018年12月5日,3,為什麼更新了登不進去阿！
153,2018年12月5日,1,爛遊戲 不給更新 你要這樣 我也是呵呵 呵呵是我爸 你知道嗎？ 郭呵呵
154,2018年12月5日,5,今天都登不進去，還沒用好就不要開放
155,2018年12月27日,1,進去一直請求超時==傻眼 根本不能組隊……更新完也一樣拜託別那麼爛
156,2018年12月14日,2,12/14明明有拿到薄荷糖怎麼沒有紀錄，遊戲又出狀況了嗎
157,2018年12月28日,5,這是一款很好玩的遊戲，但是希望金幣轉蛋的東西好一點。
158,2018年12月5日,5,大家快點進去已經可以玩了
159,2018年12月5日,5,我希望能下載快一點，然後就算對方離線也可以傳送密語
160,2018年12月28日,2,這是什麼廢物遊戲，每次都匹配到豬隊友，要不然就是機器人，爛死了！
161,2018年12月26日,1,太爛了被誤鎖帳號也不處理效率太差總之很爛
162,2018年12月28日,4,公司有在認真做遊戲
163,2018年12月28日,3,請你們告訴我，為什麼我明明收集到5顆糖果，為何遊戲結束後，我只拿到1顆糖果
164,2018年12月25日,2,地心引力太強不能飛車特技 下車會重天上掉下來bug
165,2018年12月28日,5,我儲了理財卡，為什麼沒辦法領取60鑽石...🙄
166,2018年12月27日,2,有bug 我玩的時候無法連線到 縱使我左上連線顯示正常
167,2018年12月22日,5,請問新槍出了嗎我們玩家在每個地圖中都找不到
168,2018年12月22日,1,遊戲訊號很爛耶我網路明明就很好一玩了就開始盪
169,2018年12月25日,1,明明打了很多搶，敵人卻沒死? 真不知道這是什麼遊戲
170,2018年12月23日,5,"我是覺得不錯，但希望時裝那一些可以遊戲幣買，而且也希望寶石好拿一點不然我連一顆寶石都沒有，希望貴公司可以改善我講的這機點，然後貴公司也希望可以多出一些模式譬如:只能拿近戰武器其它像防彈衣,槍,手雷這些等......都不可以拿，希望貴公司可以使用我的意見，感謝，祝貴公司聖誕節快樂。"
171,2018年12月19日,5,好棒，不錯玩，越來越好玩 有沒有人要跟我玩我叫做:笨琳(~>__<~) ↑這是新帳號哦
172,2018年12月18日,1,這是一款非常坑錢的吃雞遊戲，一般來說這類型的遊戲最重要的是公平，不過在我要活下去，角色或是補助裝備是沒有很大的影響，但只要有槍的造型就能變強，這太離譜了，還有車的造型，有些能減傷，會不會太誇張？像荒野行動，他雖然賣很多衣服或寶箱等，但都沒有影響遊戲的公平性。
173,2018年12月17日,1,一堆外掛毫不改善，操控常常延遲，每場遊戲都要等老半天才會開始
174,2018年12月20日,1,外掛比貓毛還多，200M內自瞄鎖定爆頭，無草樹，跳曜落地無硬直，提高射擊傷害，降低被擊傷害，，，
175,2018年12月16日,2,改版前明明就不會爆批現在狂爆是怎樣
176,2018年12月10日,1,更新後怎麼遊戲沒有人物 還一直卡卡的 怎麼回事
177,2018年12月15日,5,為什麼我都沒有壯碩呢？因該每一個人都要有啊！這樣才公平。
