,Date,Score,reviews
0,2017年9月26日,1,亂凍結軍資 辛苦的手動玩家就這樣 大陸一堆直接用外掛洗的不鎖 正常玩家交易寄售場被鎖 以後誰敢買東西賣裝備 有夠爛
1,2017年7月27日,3,剛下載好 選角色時不是斷線就閃退 到現在還是無法正常使用 明明網路順暢 空間也足夠 為何一直發生這種事？
2,2017年7月26日,1,本來很期待，結果載到又重新載不知道幾次了？現在只能給一顆星，資源檔下載中到  1571.21m/就停止了欸。麻煩儘快處理好不？？不要讓我對你們的遊戲滿心期待成零了好嗎。
3,2017年7月30日,1,不喜歡美金交易，為什麼不能直接台幣購買點數，還有聊天也不方便，也不能購買成長基金，每十級能領取的道具還要另外花錢購買，搶錢搶真兇
4,2017年8月13日,4,很好玩 人物畫面都很美很精緻 但是有一個問題就是玩久了手機會發熱 很燙 我認為不是手機的問題 因為我這支手機才剛換沒多久 雖然這遊戲電腦也可以玩這點是滿不錯的 可是也不是人人都有電腦啊 希望你們可以做得更好 加油
5,2017年7月28日,1,資源檔下載完也有進去開頭動畫，接下來就卡在這一直重複開頭播完就進不去了如有改善再更改評分
6,2017年9月8日,2,第五章到應龍殿打伏羲時我玩了2次都快要贏了但它竟然說失敗？我正當的在打怪卻變成這樣真是夠了。
7,2017年7月27日,1,非常期待這款遊戲，但重新安裝了好幾次，資源檔都卡在1743.59，目前只給一顆星，如有改善，能給更好的分數。麻煩盡快回覆及改善
8,2017年8月7日,3,禮包都抽不到時裝 連開40包 還只額外出現2個啦機道具   時裝也才一個月  都抽上百包了  耍玩家喔
9,2017年8月1日,1,欸欸欸  開什麼玩笑  為什麼不能選那個上手難度4顆星的角色？  一選就閃退  選其他角色就沒問題   請快改善  不然別逼我刪遊戲
10,2017年7月28日,1,能自動掛機卻不能自動喝水～那全手動就好，掛個屁機，不管紅藍水都只補1000，法師玩個屁啊，設計遊戲的時候腦子在想什麼？😒
11,2017年9月20日,1,任務解到倦了太乏味了每天務一樣副本每天都等人或等組讓費時間累了不完了
12,2017年7月31日,2,為什麼電腦bluestacks3不能玩 其他遊戲都可以就這個不行 如果是我電腦問題我在這裡說聲抱歉 打擾到評論 但如果是你們的問題 那要給個交代
13,2017年7月29日,1,Efun代理的遊戲建議大家不要花錢 之前臥虎藏龍我花了不知道幾萬了 結果下架了 騙完錢就走 真的笑死
14,2017年8月2日,5,很好玩的遊戲 劇情也很不錯 但我只想說 我們遊戲玩家在劇情裡根本工具人嘛😂 希望掛機能自動回血之類的 不然沒注意就死了
15,2017年8月2日,5,支持阿丁！！！(好像有點慢來留言了。 很高興天下3D有這麼用心的服務端，喜歡遊戲的特色，遊戲的人物，遊戲的視覺效果，也很喜歡阿丁的小短信還附上貼心的小禮物~ 我很喜歡這款遊戲，也謝謝阿丁，我支持你ow&lt;
