,Date,Score,reviews
0,2018年3月11日,4,死亡後轉到隊友的視角時，打開背包會有BUG
1,2018年3月17日,5,希望有15倍鏡
2,2018年3月3日,3,lost progress after update
3,2018年3月27日,4,點解要好耐先可以匹配到
4,2018年3月27日,3,我覺得這遊戲還OK啦，有點難打到人就是了。
5,2018年3月15日,2,毒圈太快了啦！害
6,2018年3月27日,1,爛爛泥沙灘鈞鑒賞臉蛋白
7,2018年3月2日,3,外掛有點多
8,2018年4月7日,2,要跑很久才能開始遊戲
9,2018年3月21日,1,還是有掛，哎
10,2018年3月28日,1,垃圾遊戲 根本進不去
11,2018年3月18日,2,Tons of Chinese hackers
12,2018年7月27日,1,太多外掛
13,2018年3月24日,1,做這個遊戲的人，吃屎
14,2018年3月19日,3,優化不佳
15,2018年3月4日,5,非常好玩
16,2018年10月22日,1,Login fail
17,2018年3月9日,5,好玩
18,2018年3月2日,5,我覺得網路可以再優化，不然有些人網路不好射他根本射不到
19,2018年3月2日,1,垃圾遊戲…到處外掛…侍服器垃圾便通知你網路不好
20,2018年3月1日,5,個人認為比 我要活下去 好玩
21,2018年3月1日,5,超快移動速度跟隱形外掛（不能攻擊）
22,2018年2月9日,4,希望可以增加在飛機上時顯示艙內人數和車子時速希望可以調高因為人用跑的車子還會輸而有時候會有些外掛縱橫希望可以有看門狗馬上確認並封鎖謝謝❤
23,2018年2月28日,5,"真的超好玩的！還可以認識很多外國人，雖然有時有些小bug ,但還是不影響遊戲的好玩程度！"
24,2018年2月15日,1,"覺得以前比較好玩,現在加太多東西,變得不好控制,畫面太混亂,以前真的比較好"
25,2018年2月18日,5,畫質和操控都很棒但可以把無鏡瞄準更新回來
26,2018年2月21日,1,外掛太囂張穿牆   加速  靠還玩屁阿
27,2018年2月9日,1,剛剛更新遊戲後。之前的錢 遊戲紀錄都沒了
28,2018年2月15日,1,根本不能撿東西，爛爛爛 刪 大家千萬不要玩
29,2018年3月1日,1,超級無敵爛的遊戲，根本沒辦法玩遊戲，大家千萬不要玩
30,2018年2月19日,1,垃圾遊戲. 他們沒射到我 我也死 玩三小？
31,2018年2月28日,4,最近一直bug 我網路明明就很快
32,2018年2月23日,5,這遊戲要怎樣才能不被毒死，爛遊戲
33,2018年2月11日,1,手槍根本只有一點點傷害
34,2018年2月9日,1,更新後，動作不流暢
35,2018年2月18日,5,很好玩的遊戲!
36,2018年2月14日,3,希望bug可以少一點。
37,2018年2月23日,3,開外掛的人太多人，請改善
38,2018年3月2日,4,人数太少，希望人数可以多一点，不然没有了快感
39,2018年2月25日,1,遊戲畫面 整體 爛
40,2018年2月23日,1,好爛還很當幹
41,2018年2月9日,3,沒瞄準鈕了
42,2018年2月12日,4,希望有語音
43,2018年3月4日,4,導航系統好一點
44,2018年3月1日,5,匹配很久
45,2018年2月11日,1,太不真實
46,2018年2月18日,1,不好玩
47,2018年2月24日,5,都還可以//不錯😊😊😊
48,2018年1月31日,5,鎖血打不死，加速比車快三倍，穿牆龜石頭裡，地底有人偷射，不在天上飛我還不知道，不知道會不會有老實人聽不懂我在嘲諷
49,2018年1月30日,4,現在根本知道被射我就被殺死了而且外掛間題嚴重 槍和車輛也可以適量增加 被車輛傷害的傷害量應減底 玩家奔跑時間亦應設下限期     請改善！
50,2018年2月5日,2,為了現在手遊都要有腳部聲和槍聲，是怕耳包聽不到嗎？
51,2018年2月5日,3,現在每三場至少就有一場會遇到外掛 會不會太扯
52,2018年1月31日,1,很厲害，玩到最後剩三個人，剩我和兩個外掛，我第三名，我看他們兩個怎麼結束遊戲
53,2018年1月30日,1,Too many hacker you guys should listen your player or you will lose your game player
54,2018年2月1日,1,不好意思，我遇到太多外掛了，麻煩處理一下遊戲內的外掛，不然這個遊戲很好玩，謝謝
55,2018年2月10日,5,我希望可以將背包分別一級二級三級我覺得這樣會更好！
56,2018年2月9日,4,希望可以一場多點人和好操控和不檔
57,2018年1月30日,5,外掛太多！！！ 不會玩就開掛乾脆不要別玩
58,2018年2月1日,1,遇到越來越多外掛了！！而且大多都是(中國)的旗子!希望可以處理
59,2018年2月9日,5,請問為什麼有時候打雙排的時候 都會出現一些英文字
60,2018年2月4日,1,爛遊戲，按開槍又不開槍，那就死一死就好了阿!
61,2018年2月4日,1,時常遇到外掛，打都打不贏，怎麼玩！！
62,2018年2月9日,4,外掛其實唔難打，如果可以肉搏會更好
63,2018年2月7日,1,外掛一堆 是怎樣啦
64,2018年1月30日,3,帳號遺失  綁定失敗  求救援
65,2018年2月17日,3,外掛有點氾濫
66,2018年1月30日,2,外掛！！太嚴重了吧！ 到底要不要抓呀！？ 不抓，刪遊戲！
67,2018年2月1日,4,外掛太多，應該加強查緝。
68,2018年2月9日,4,請問是不是會自動更新的
69,2018年2月3日,1,一直跳掉完個頭
70,2018年2月10日,2,沒瞄準鈕.. 不要有技能比較好
71,2018年2月9日,5,耶！更新了 超級好玩的遊戲
72,2018年2月1日,2,怎麼加好友，我加我朋友不能加
73,2018年1月30日,5,越來越好玩了！
74,2018年2月6日,1,拉雞遊戲
75,2018年2月7日,4,外掛，外掛，全都是外掛！
76,2018年2月12日,4,有點卡。
77,2018年2月8日,5,好玩
78,2018年1月28日,1,今天11：48誰開掛啊幹你娘雞掰不會玩紙會在那邊開掛豬弟弟喔馬的
79,2018年1月28日,1,外掛太多，都沒在抓！還沒有檢舉的選項？爛遊戲
80,2018年1月30日,1,爛到爆 跟本不能玩
81,2018年1月28日,5,不斷更新改良，非常棒的遊戲
82,2018年1月28日,4,It is fun but too many hackers
83,2018年1月28日,2,看不到人我就被殺死了？倍鏡沒有那麼遠的吧？
84,2018年1月30日,2,痴線的 那麼多人開外掛
85,2018年1月27日,1,外掛太多了 雙排跟四排不要不定時關閉 這兩項改了 你的玩家就不會在流失掉了
86,2018年1月20日,3,希望可以新增更多不同品種的車輛 和武器
87,2018年1月20日,5,增加不同 倍數鏡
88,2018年1月20日,4,希望網路能優化
89,2018年1月22日,2,越改越爛
90,2018年2月2日,5,開車也會被射殺
91,2018年1月28日,3,存在太多外掛
92,2018年1月25日,5,還滿好玩的
93,2018年1月24日,4,有點難操作
94,2018年1月27日,1,廢垃圾
95,2018年1月28日,5,好玩
96,2018年1月22日,1,等快10分鐘結果不能動
97,2018年1月19日,1,真的是越改越爛
98,2018年1月18日,4,不錯
99,2018年1月17日,2,有人開加速器就算了  游泳不管怎麼游都沒前進 一開始直接沒降落傘摔死 玩到剩2個人 對一個人打了6.70槍都沒扣血 還是把他的車射爆加上他被電磁碰到才死的
100,2018年6月30日,4,之前可以玩，但現在不知道為什麼說我的地區不支持這個項目
101,2018年1月17日,3,死大陸仔開外掛加速，連這遊戲也淪陷了
102,2018年1月18日,1,更新成顯示開槍位置。我果斷刪遊戲了。垃圾。越改越垃圾。越更新越差。
103,2018年1月20日,3,加速器、無敵外掛抓一下吧
104,2018年1月17日,2,太無聊了
105,2018年1月9日,5,玩了很多類似手遊，還是這款最有雞味，跟freefire比起來建築物好太多
106,2018年1月6日,3,我等你的中港一街1號演義東西不能留嗎
107,2018年1月5日,3,玩了「荒野行動」後發現這邊太少東西，而且玩的人太少，雙排，排不到人，無面板自定義，去玩[荒野行動]吧♥
108,2018年1月17日,4,如何解鎖商店和4排模式？我希望可以增加加朋友和車。
109,2018年1月13日,1,只能說更新後 現在是個垃圾遊戲  荒野求生好多了
110,2018年1月28日,1,外掛OK？請問可以處理嗎？很困難？困難就別放在這裡了？把這遊戲放其他地方
111,2018年1月16日,4,I want to drive cars so the game can be more fun
112,2018年1月16日,3,為什麼不能2排或是4排啊  搞神魔鬼
113,2018年3月2日,5,非常好玩 可以出殭屍模式嗎
114,2018年1月14日,5,快更新想要開車
115,2018年1月13日,5,請問這遊戲可開車嗎？
116,2018年1月15日,3,有人開加速器破壞遊戲啦…
117,2018年1月16日,4,很好，如果可以駕車就好
118,2018年1月15日,3,一直跳出去
119,2018年1月1日,4,能讓按鈕可以變成自訂義嗎 可以自己輕鬆調好自己想要的位置來打 更容易吃雞 也希望地圖大缺少了車子 這樣很無趣
120,2017年12月31日,5,1:能像荒野行動一樣有平底鍋或鐮刀嗎？ 2:能下次更新有語音和隊友聊天嗎？ 3:車子也希望下次可以發動和載隊友 4:如果可以我會支持你們
121,2018年1月3日,4,好玩，但可以加入更多武器種類，以及改善畫質，算是偏差（和free fire，knive out和rules of survival比）。人數也太少。
122,2017年12月30日,5,是喜歡😆，左射擊鍵小顆沒關係，但位子太高難按到😢
123,2017年12月30日,1,"New version sucks , the recoil model is totally garbage , revolt to original recoil model"
124,2017年12月31日,1,不好控制 想射擊但極難瞄準 需單手一下射擊一下瞄準 很困難 希望可以右手瞄準左手射擊
125,2018年1月3日,1,外掛還不處理是怎樣還隱形掛
126,2017年12月30日,3,人數太少40人隨便打都能前5，缺乏真實性，
127,2018年1月6日,5,希望可以新增Tec9 M249 和新增汽車(能駕駛的)
128,2018年7月22日,1,想回歸 但…還是算了 看到這機甲根本不想玩
129,2018年1月4日,1,還是一樣，手遊裡最破爛的吃雞遊戲。建議各位別玩。
130,2018年1月19日,3,如果有車就更好了
131,2018年1月3日,1,排一場那麼久
132,2018年1月5日,5,ˊ真的越來越好了
133,2018年1月4日,1,無人玩
134,2018年1月5日,5,好玩
135,2018年1月10日,5,有添好友就★☆★☆★
136,2017年12月25日,1,更新同朋友組隊玩會lag到爆炸400-1000ping？我單人照樣排四人隊就乜事都無，更新個組隊功能用吾到？系咩玩法？求解。
137,2017年12月30日,5,個game 好順，單人我都吃左五次雞
138,2017年12月24日,1,本来很讚的，怎么更新成垃圾了
139,2017年12月30日,5,這遊戲真的很棒，但可惜的是還不能組隊，相信組隊模式出來一定爆紅
140,2017年12月30日,1,越改越爛 什麼都自動 那還需要什麼技術
141,2017年12月30日,4,希望能有新增Kar98 k和Kar98和AWA 😄
142,2018年3月13日,5,希望能加語音系統
143,2017年12月30日,4,好玩。希望可以開車就更棒了！
144,2018年1月7日,1,介面改的好醜
145,2017年12月30日,5,跟朋友打有語音系統嗎？
146,2017年12月29日,5,吃雞沒被紀錄下來 已經兩次?
147,2017年12月28日,1,越改越爛  爛遊戲
148,2017年12月30日,5,可以新增開車
