,Date,Score,reviews
0,2017年6月22日,1,卡在勇氣熟練是怎樣，完全不能動，主線任務欸，不能做遊戲怎麼繼續玩下去
1,2017年6月22日,3,不能上傳照片 很容易閃退 遊戲不錯玩 希望可以更好
2,2017年7月30日,1,請問遊戲內是否可以新增指定賣家購買 或是以郵寄方式貨到付款 不然轉給朋友或是分身的物品都會被惡意玩家搶走
3,2017年6月30日,5,遊戲玩法豐富不會像很多類似遊戲一樣玩久會無聊 只是家族裡能做的事太少了希望新增多一點家族活動 大推這款遊戲
4,2017年6月28日,1,會一直閃退 破壞遊戲體驗 如果有改善才給五顆星
5,2017年6月24日,3,在破主線任務的時候已經跑過的路線會一直重複跑像鬼打牆那樣遊戲不錯玩角色也很好看唯獨這點請改善謝謝!
6,2017年6月26日,3,基本上玩得都還不錯、只是… 請問明明網路沒問題、卻一直顯示資料更新失敗 麻煩一次更新可以更新好一點嗎 一直出包
7,2017年6月21日,1,不讓玩家花錢不甘願？  說什麼很多都免費   笑死人
8,2017年6月22日,1,想說要回來玩，但是卡在試煉沒辦法點人，切心了
9,2017年7月2日,1,不要玩這遊戲 發生問題後發電子郵件沒人回應的 如果還不回覆 會追究的
10,2017年6月30日,5,這個遊戲非常的好玩還可以結婚也可以當好朋友但是有的BOS很難但是你們應該覺得很好玩吧!
11,2017年7月20日,5,說會閃退的 卡頓的 通通都是你們手機爛 我三星舊的J5怎不會 舊的欸
12,2017年6月27日,3,不知道為什麼公會任務明明沒有解卻一直說已完成沒刷新是怎麼樣…
13,2017年6月30日,1,大家可以不用留言了 這種機器人式的回答 勸大家早點刪遊戲吧～
14,2017年7月2日,1,一直卡在同一個畫面，動不了  也發不了攻擊  以前不會這樣 現在越來越頻繁
15,2017年7月3日,1,無言以對，看了評論一堆人都是卡卡的問題，連我也是，進遊戲就是卡卡卡！到底卡幾點的？你們到底有沒有處理卡卡的問題？卡成這樣怎麼玩？
16,2017年6月24日,5,為什麼我一用上傳相片就會一直回到遊戲開始的畫面啊
