,Date,Score,reviews
0,2016年12月18日,1,歡迎，手動玩家進入 一般，3星難到爆炸。精英，生存關卡，卡到我想殺人。手動技術不好不要來，保證氣死你。
1,2016年12月18日,1,說好的佛心呢 玩不出快感ㄚ
2,2016年12月17日,5,不錯玩 五星蠻好抽的，打擊感有感，最重要女角卡牌都很美!!!
3,2016年12月16日,5,讚讚讚 人物可愛
4,2016年12月15日,2,遊戲中缺乏完善遊戲規劃設計 遊戲中存在許多BUG 設定上圖利特定玩家
5,2016年12月15日,1,太坑 太扯 競技場打戰力多2千的 對方居然連血都沒少 扯成那樣
6,2016年12月15日,5,不錯玩的遊戲 技能充實 讚讚
7,2016年12月14日,1,爛 只會義氣嗎？  廣告～唉o(︶︿︶)o
8,2016年12月14日,5,還不賴 如題。
9,2016年12月14日,1,我的同班狗母 他說很好玩我想電看看同班狗母
10,2016年12月14日,5,不錯 挺好玩的遊戲
11,2016年12月14日,5,還不錯玩
12,2016年12月14日,1,關卡boss難打死，三星要求太離譜 任務關卡每個boss血都硬成這樣，還有要少於受到30次攻擊這是什麼鬼條件，不改善不會繼續玩了
13,2016年12月13日,5,好玩 好玩
14,2016年12月13日,5,… 不錯玩
15,2016年12月13日,5,好玩 招式挺華麗
16,2016年12月13日,5,三服 感覺好好玩，雖不知是那裡的故事
17,2016年12月13日,5,角色豐富~不錯
18,2016年12月13日,5,讚 殺時間
19,2016年12月12日,5,還不錯玩
20,2016年12月12日,5,好玩 簡單。好玩
21,2016年12月12日,5,很好玩的
22,2016年12月11日,5,好玩ㄛ 超好玩ㄛ
23,2016年12月11日,3,劇情 這劇情怎麼感覺跟大唐雙龍傳雷同啊？改些名字、名稱而已
24,2016年12月11日,5,很棒的遊戲 操作上非常的順手喲
25,2016年12月11日,5,優 畫值很好的遊戲
26,2016年12月11日,5,讚 好玩
27,2016年12月11日,5,好玩 可以消磨時間
28,2016年12月11日,5,夠義氣 看過工商實況不錯玩
29,2016年12月10日,5,好玩
30,2016年12月10日,5,不錯玩 送的東西很多
31,2016年12月10日,5,酷 酷  英雄
32,2016年12月10日,5,拿五星 棒
33,2016年12月10日,1,換湯不換藥 原名是隨唐英雄傳 老早就出 換個名稱模組坑錢秒刪
34,2016年12月10日,5,好玩 好玩
35,2016年12月10日,5,五星 五星
36,2016年12月10日,5,真的不錯玩
37,2016年12月9日,5,好玩！ 好玩！
38,2016年12月9日,1,廣告是腦袋卡到哦？
39,2016年12月9日,1,line點數活動騙下載 下載完活動就結束了，是我運氣“太好“嗎
40,2016年12月9日,5,寫程式辛苦囉！ 加油! 讚! 預祝下一代更上一層樓。
41,2016年12月9日,3,不難玩， 重點是 點數有老實給~讚~
42,2016年12月9日,5,五星評論送 好遊戲棒
43,2016年12月9日,5,好玩
44,2016年12月9日,5,還不錯 來玩吧
45,2016年12月9日,5,值得推 消遣時間還可以
46,2016年12月9日,5,義氣 好玩^^
47,2016年12月9日,5,義氣 義氣是拿來說的，不是拿來做的
48,2016年12月9日,1,不能玩
49,2016年12月9日,5,佛心遊戲 免克金獎勵爽爽拿
50,2016年12月9日,1,原來不錯玩 後來發覺關卡副本好爛 3星過關條件 好好玩不能嗎 老是要這要這 爛死  不比打次數超爛
51,2016年12月9日,5,紫靈殿 角色帥氣又好玩  紫靈殿收人 大家一起打拼
52,2016年12月8日,5,遊戲節奏快，合我的口味！！
53,2016年12月8日,1,沒拿到LINE代幣，騙下載?
54,2016年12月8日,5,打鬥也太爽了 打擊感很好又很好操作
55,2016年12月8日,5,義氣 夠義氣
56,2016年12月8日,1,沒代幣，騙人下載的 下載完就消失
57,2016年12月8日,5,拿獎勵哈哈 遊戲id 15078
58,2016年12月8日,5,還不錯玩的一款手遊!!! 真的很讚 推薦給大家。
59,2016年12月8日,5,畫風超讚
60,2016年12月8日,5,目前沒遇到什麼大問題
61,2016年12月8日,5,好玩，消磨時間
62,2016年12月8日,5,希望抽5星英雄機率高一點!
63,2016年12月7日,5,請問是維修到幾點
64,2016年12月7日,5,好玩 超棒的 快來玩~!
65,2016年12月7日,5,霸氣無雙～ 夠87才有17～～～
66,2016年12月7日,5,好玩的義氣
67,2016年12月7日,5,遊戲角色精緻可愛，遊戲內容豐富有趣
68,2016年12月7日,5,義氣3D 簡單好玩
69,2016年12月7日,5,不錯玩唷~ 希望開點卡!
70,2016年12月7日,5,義氣 夠義氣 兄弟多
71,2016年12月7日,5,很棒的遊戲 希望可以抽獎英雄機率能高一點
72,2016年12月6日,5,打起來很爽快啊！
73,2016年12月6日,5,五星角色很好抽，遊戲節奏明快又不需花費大量時間
74,2016年12月6日,1,下載停在三分之一，為何?
