,Date,Score,reviews
0,2018年12月21日,5,因為它有很多鋼琴一資
1,2018年12月26日,5,celine Dion my heart will go on 1997 titanic song
2,2018年12月20日,5,廣告很多希望能改善
3,2018年12月23日,1,我哥哥的版本不同。 有沒有獎盃和排行榜
4,2018年12月22日,3,經常在關卡及廣告後沒有聲音
5,2018年12月21日,5,很有挑戰性的一款遊戲的說！
6,2018年12月26日,4,在介紹的版面哪首是什麼歌，好好聽
7,2018年12月28日,3,触控可以再烂一点
8,2018年12月22日,5,希望動漫音樂再多一點
9,2018年12月21日,1,廣告一大堆要怎麼玩啊🙄
10,2018年12月22日,1,一個鍵都按不到，只有不停的廣告
11,2018年12月19日,5,好玩！很喜歡~
12,2018年12月22日,4,按鍵的特效令我眼花，希望可以關閉
13,2018年12月23日,5,可以調整心情，是一個非常棒的遊戲
14,2018年12月24日,5,我覺得好好玩1
15,2018年12月26日,5,good 不過廣告很多！
16,2018年12月28日,4,可以訓練手指靈活度，但廣告太多了。
17,2018年12月26日,1,玩玩下有廣告，我玩到994分時，有廣告，痴線，嘩！熱門排行第一！！！多廣告第一才對！！！
18,2018年12月19日,5,很好玩，很喜歡
19,2018年12月23日,1,为什么玩了一天就开不了了！？
20,2018年12月24日,5,超級好玩good！
21,2018年12月28日,1,很爛不要下載
22,2018年12月23日,5,這個game超爽
23,2018年12月22日,5,動動手也不錯
24,2018年12月25日,3,覺得有點太簡單
25,2018年12月28日,4,觸控不良，希望可以修正
26,2018年12月26日,5,很好的遊戲，好治療呀！
27,2018年12月20日,5,還蠻好玩的
28,2018年12月29日,1,太多廣告
29,2018年12月28日,5,方塊大一點
30,2018年12月24日,5,要困難一點
31,2018年12月21日,5,喜歡音歌
32,2018年12月19日,5,好好玩
33,2018年12月25日,5,好聽！！ 好聽！！
34,2018年12月24日,5,神经病!
35,2018年12月20日,4,廣告太多太久了……希望能改善😊
36,2018年12月20日,5,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
37,2018年12月24日,5,很好玩
38,2018年12月28日,5,好刺激
39,2018年12月25日,5,很喜欢
40,2018年12月21日,5,挺好玩的
41,2018年12月22日,2,超卡
42,2018年12月22日,3,感應不良
43,2018年12月25日,5,很好玩
44,2018年12月21日,5,good game
45,2018年12月21日,5,超好玩
46,2018年12月21日,5,蠻好玩的
47,2018年12月21日,5,還可以
48,2018年12月28日,1,糞game
49,2018年12月25日,5,超好玩
50,2018年12月28日,5,很好玩
51,2018年12月28日,1,無法安裝
52,2018年12月24日,5,好玩，有趣
53,2018年12月27日,5,可添加《青春修煉手冊》。
54,2018年12月26日,1,欸…廣告遊戲…
55,2018年12月18日,5,可以
56,2018年12月23日,4,很好玩~~
57,2018年12月19日,5,很好
58,2018年12月20日,5,好
59,2018年12月20日,4,is ok
60,2018年12月20日,5,good
61,2018年12月23日,4,棒
62,2018年12月21日,5,好玩
63,2018年12月23日,5,好玩
64,2018年12月26日,5,好玩
65,2018年12月23日,5,好
66,2018年12月22日,5,good
67,2018年12月26日,5,挺好的
68,2018年12月21日,1,mm
69,2018年12月22日,5,好玩
70,2018年12月21日,5,好玩
71,2018年12月24日,5,臣子
72,2018年12月25日,5,good
73,2018年12月22日,5,好玩
74,2018年12月26日,5,good
75,2018年12月23日,5,好玩
76,2018年12月24日,5,ye
77,2018年12月26日,5,Good
78,2018年12月23日,5,ya ya
79,2018年12月19日,4,阿😥
80,2018年12月28日,5,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好！
81,2018年12月28日,5,👍👍
82,2018年12月28日,5,😊
83,2018年12月26日,5,👍
84,2018年12月23日,5,😄
85,2018年12月27日,5,哇⊙∀⊙！
86,2018年12月16日,1,登入fb後 手機壞了 換新手機 登入同fb遊戲資料已清空。沒資料了。氣的刪遊戲 不玩了拒絕往來
87,2018年12月16日,1,根本沒有保持進度，再登入已全清空
88,2018年12月18日,5,"音樂ok,不用錢"
89,2018年12月19日,5,但自己鍾意嘅歌😗
90,2018年12月16日,5,很好玩，很刺激
91,2018年12月18日,5,熟悉的歌，熟悉的感覺，還好聽，感覺沒變
92,2018年12月16日,5,不拉不拉
93,2018年12月16日,1,廣告app
94,2018年12月16日,5,喜歡
95,2018年12月16日,5,ok
