,Date,Score,reviews
0,2017年5月12日,5,線上客服人員處理帳號問題快又有效率
1,2017年5月13日,1,職業不平衡 弓箭手技能太過強勢
2,2017年5月12日,1,85級雙神器，有強化，追加 ，祝福，卻無法傳承，融合，吞噬。 更無法賣出，熔煉，這是什麼鬼? 留站空間嗎？
3,2017年5月14日,5,好玩，非常好上手，上班殺時間的好幫手！！ 還沒玩過  送鑽這麼不手軟的！
4,2017年5月14日,5,很好玩，不需要浪費許多時間。是一款很適合上班族的遊戲
5,2017年5月15日,4,掛機簡便，不用一直盯著手機。職業對抗略失平衡。 小編有問必答，回覆迅速。
6,2017年5月12日,5,非常好上手！ 會聽不下來 好玩！
7,2017年5月15日,3,第一個月好玩，第二個月無趣，第三個月了無新意想刪遊戲
8,2017年5月13日,5,不錯的游遊戲 送鑽很大方 好玩
9,2017年5月13日,5,不錯遊戲，可以掛機玩，不用隨時守者，另外小編很用心，回覆速度超快。
10,2017年5月14日,5,這款遊戲還不錯，適合沒時間的上班族，有內掛系統
11,2017年5月14日,5,很好玩 不用花錢也可以很強
12,2017年5月11日,5,很棒的遊戲，不用花錢花太多時間就可以衝戰力，
13,2017年5月15日,3,無法用遊客登入方式綁定帳號，用了FB登入後，原本的遊客帳號就無法登入......這是什麼鬼阿!!
14,2017年5月11日,1,怎都顯示滿線，無法進入遊戲
15,2017年5月13日,5,耐玩不花時間的好遊戲
16,2017年5月16日,3,可以合併伺服器嗎？人超少的，快不想玩了都沒人
17,2017年5月14日,4,方便好玩易上手！無壓力升級的口袋遊戲！
18,2017年5月13日,5,沒時間常駐的好遊戲
19,2017年5月13日,3,目前覺得還可以  只是還在摸索
20,2017年5月12日,5,好遊戲，不用費心練功，鑽石狂送不手軟，每天都有免費鑽石
21,2017年5月12日,5,好玩又不用花錢
22,2017年5月14日,5,遊戲操作簡單方便玩
23,2017年5月13日,5,好玩的遊戲 送鑽大方
24,2017年5月12日,5,小編速度快，快速處理反應問題
25,2017年5月14日,5,適合沒什麼時間的人玩
26,2017年5月15日,5,很簡單上手的好遊戲
27,2017年5月13日,5,好好玩大家快來
28,2017年5月11日,1,一天到晚伺服器爆滿。乾脆收掉好了
29,2017年5月14日,5,好玩的遊戲，24h離線掛機很輕鬆！ 推推唷~
30,2017年5月12日,5,省時又省電的遊戲
31,2017年5月13日,5,很棒，有時間再上線就好了
32,2017年5月12日,2,買東西一定要真鑽，賣掉的東西確換成綁鑽？
33,2017年5月14日,5,玩起來輕鬆沒壓力，滿好玩的
34,2017年5月16日,5,好玩到無法自拔!
35,2017年5月14日,5,遊戲不錯玩，可以休閒又不會影響工作，玩起來輕鬆自在👍👍👍
36,2017年5月12日,5,耐玩，又不用整天盯著手機看，鑽石超敢送，讚
37,2017年5月14日,4,不錯玩的遊戲。懶人也可以試試喔～
38,2017年5月13日,5,好玩！ 適合上班族，而且自动戰鬥超棒的。
39,2017年5月14日,5,蠻好玩的一款遊，不用一直盯著螢幕。
40,2017年5月16日,3,怎麽登不進
41,2017年5月14日,4,打發時間的好遊戲
42,2017年5月13日,5,簡單上手 又好玩
43,2017年5月11日,5,很好玩喔喔喔
44,2017年5月13日,5,好玩無負擔。回覆問題快速
45,2017年5月16日,5,很好玩。上班族很方便的遊戲
46,2017年5月13日,4,整體上不錯玩
47,2017年5月11日,5,好玩不浪費時間
48,2017年5月14日,5,很容易上手的遊戲 。不錯玩
49,2017年5月14日,5,打發時間好遊戲
50,2017年5月14日,5,不錯玩唷！
51,2017年5月16日,5,游戲公司非常用心
52,2017年5月13日,5,簡單輕鬆，適合上班族玩
53,2017年5月14日,4,我的英雄無法升星0.0
54,2017年5月13日,4,好棒棒，但更新一直失敗，進不去
55,2017年5月13日,5,小編在哪裡，我機87
56,2017年5月16日,5,不必浪費時間，清鬆玩
57,2017年5月14日,5,不錯喔～休閒的好遊戲
58,2017年5月16日,5,蠻好玩的，雖然錢不好賺，哈哈，快點來玩吧
59,2017年5月14日,5,好玩，睡覺也能升級
60,2017年5月14日,5,不錯玩~不用一直盯著遊戲。
61,2017年5月13日,5,很不錯遊戲
62,2017年5月14日,5,很好消時間
63,2017年5月11日,5,不錯玩的遊戲
64,2017年5月13日,5,讚 好玩的遊戲
65,2017年5月16日,5,滿悠閒的遊戲
66,2017年5月16日,5,很好玩的遊戲
67,2017年5月13日,4,好像不錯玩
68,2017年5月14日,5,真是不錯遊戲，很肯給鑽石，
69,2017年5月12日,5,很好玩，休嫌用
70,2017年5月13日,5,很好玩  非常好玩
71,2017年5月14日,5,很適合上班族的遊戲。。讚！
72,2017年5月14日,4,簡單上手好玩，還不錯玩。
73,2017年5月13日,5,還可以，滿打發時間的！，小諞
74,2017年5月15日,5,棒棒棒，讚哦！
75,2017年5月16日,5,107，龍雀
76,2017年5月13日,5,很好玩~~我要神器裝
77,2017年5月11日,5,還不錯的遊戲喲……讚
78,2017年5月12日,4,簡單，易上手，不錯的遊戲。
79,2017年5月13日,5,遊戲好玩
80,2017年5月14日,5,不錯玩
81,2017年5月12日,5,簡單好玩
82,2017年5月11日,5,容易入手
83,2017年5月14日,5,超好玩
84,2017年5月15日,5,不錯玩
85,2017年5月14日,4,不錯的游戲
86,2017年5月14日,5,非常好玩
87,2017年5月13日,5,簡單明瞭
88,2017年5月11日,4,無法登錄
89,2017年5月15日,5,不錯玩
90,2017年5月16日,5,不錯玩
91,2017年5月14日,5,非常好玩
92,2017年5月14日,5,還不錯
93,2017年5月10日,3,沒有
94,2017年5月14日,5,太棒了，我喜歡。
95,2017年5月13日,5,( •̥́ ˍ •̀ू )
96,2017年5月12日,5,好玩^_^
97,2017年5月13日,5,好玩
98,2017年5月15日,5,好玩
99,2017年5月13日,5,好玩
100,2017年5月11日,5,好玩
101,2017年5月16日,5,好玩
102,2017年5月13日,5,加油
103,2017年5月14日,5,Good
104,2017年5月14日,5,不錯
105,2017年5月14日,5,好玩
106,2017年5月13日,5,好玩
107,2017年5月13日,5,美麥剩~^_^
108,2017年5月11日,5,好玩到爆～～～～(๑•̀ㅁ•́๑)✧
109,2017年2月16日,5,"遊戲簡單 24H不管 開著關著 還能保持著遊戲運作 越簡單的遊戲 在後面團隊下 是多們艱難與疲憊 這款遊戲 不管 上班族 學生等等 都輕鬆玩 很推薦 這款遊戲 五星滿 "" 辛苦了團隊們  讓我們繼續看著你們繼續發展下去 加油。"
110,2017年2月28日,5,不錯遊戲   不用整天盯著打怪升級配裝等   只須偶爾上線整理過小任務及活動即可   也不太須要花台幣  適合上班族群玩
111,2017年2月24日,5,玩了很多手遊每天都是要定時搶王或解任務上班一天沒解任務就馬上名次下降玩了這遊戲上班不用再躲廁所搶王解任務玩的輕鬆而且有問題發問很快就能有答覆效率很好強力推薦上班族一起來掛機聊天
112,2017年3月11日,5,非常不錯的亦款遊戲 送鑽石不手軟 也不用盯螢幕 客服24小時在線上 騙人信息會立刻處理 克服及工程團隊都很強大
113,2017年2月26日,5,是一款不錯的遊戲  可以不用一直盯屏  最重中之重的  就是隨時都能看到線上gm處理各位玩家的問題  能在最短時間內快速解決 這應該是所有喜歡玩遊戲的玩家  最熱愛的 讚！
114,2017年3月8日,5,非常不錯的遊戲 讓上班忙碌的我 也能放肆一下玩個遊戲  可以來體驗看看  跟朋友互相聊天 競爭的好遊戲 官方送獎豪不手軟 我在S58 等你
115,2017年2月18日,5,終於研究此遊戲要怎麼玩了，一直轉跳伺服，還好可自動練等省很多時間，可以不用眼睛盯著影幕看。讚  對吼！都還沒有正式領到1000鑽。 呵呵
116,2017年2月14日,5,讚讚讚 本來想說掛機類的遊戲會很無聊 畢竟這是第一次接觸這類遊戲 沒想到我整整躺在床上玩了4個小時 好玩到一個美叮美當!!!解決問題非常積極～服務品質讚讚讚
117,2017年2月17日,5,超級好玩 第一次接觸掛機手遊 沒想到 一玩就掛不了機 睡覺都捨不得  伺服器有問題小編也很積極處理！！
118,2017年2月28日,5,一款看似平凡的遊戲融合了經典與非凡。不用長時間盯著手機也不怕錯過時間的活動。送禮大方跟細心回覆的客服。滿足了現代上班族的需求。值得大家來玩看看
119,2017年2月24日,5,很好玩唷！第一次為了一個遊戲熬夜玩整個晚上🤗希望能有出打boss時有補血物品不然後面都不好打死😅
120,2017年2月13日,5,很人性化的手遊，比起其他款有在貼近一些的感覺，對平常較沒時間卻想再閒暇之餘舒心的玩家來說，還不賴。 正在慢慢研究中
121,2017年2月25日,4,首次玩打怪完全掛機的遊戲，雖然有點不太知道怎麼玩，不過現在摸了個大概，不用浪費很多時間在上面又能有時候消磨無聊的狀態，我想我會繼續玩下去：）
122,2017年2月23日,5,前幾天的黑客攻擊，真的讓我體會到，這遊戲的工程團隊真的很強大，用最短的時間就把駭客攻擊擋住，而且還給所有玩家大量的補償包，給你們五顆星我給的心服口服，讚!!
123,2017年2月22日,5,輕鬆玩！對工作忙碌的我是一個非常好的遊戲，就希望改善維護時顯示的訊息，最好是可以說明時間，叫人兩分鐘後再試，那知半天也上不到，有點困擾！
124,2017年2月14日,3,搞甚麼飛機侍服器一天開2個要嘛就一次開完一次賺完容量不購就別一值開侍服器每次要打就給我轉不動等能動時又不見了罩理應該是罩樣打玩才對再這樣下去這遊戲一定會前無古人後無來者
125,2017年2月27日,5,這遊戲公司相當負責，有問題會第一時間公告給玩家知道，而且玩家反應的問題也能第一時間處理，至少就我玩過的遊戲來說算不錯的，我給五顆星肯定。
126,2017年2月15日,5,伺服器S36，角色名稱:少臭美，無法登入，請問是伺服器維修嗎？還是什麼問題？好玩也不用花太多時間在上面就可以達到遊戲的樂趣。
127,2017年2月19日,5,對學生來說也是一個不錯的選擇，不用一直看著手機也可以上課玩一下不用一直點，很方便也很好玩，很適合懶人，完全不會玩的勒，也不容易膩繼續加油!!
128,2017年2月13日,4,網路有好一點了 至少不會卡這麼久 但還是希望不要玩一下卡個兩三秒 加油 加一顆星
129,2017年2月21日,4,已可登入遊玩 感謝客服立即處理以及回答效率非常棒給予您們肯定 遊戲風格也不錯可以離線掛機👍
130,2017年2月27日,5,輕鬆玩24h無限掛機 睡覺也能打怪練等 最棒的是他是一款RPG 福利送的好 小編的回覆率也 一級棒！
131,2017年2月17日,4,遊戲還是不錯玩，不用隨時隨地都盯著螢幕看，也很人性化，但唯一缺點就是紅包系統我都不知道為什麼會拿不太到……
132,2017年2月14日,5,看似簡單，卻很耐玩的一款遊戲  謝謝幕後的工作團隊的付出 看到小編的用心回覆也給你大大的讚 加油
133,2017年2月19日,5,我是每天都要工作的上班族沒什麼時間可以玩遊戲，無盡戰記是可以在我上班時不用一直玩也可以打裝備的輕鬆玩手遊!
134,2017年2月19日,5,遊戲單純 離現掛機 無壓力   活動有點少 直有特定節日才有活動  後面開新服的玩家服利太少
135,2017年2月21日,5,遊戲公司處理問題速度很快很積極  本來就很喜歡這款遊戲  不用花太長時間 盯著螢幕看  簡單有趣 福利又好 推薦👍👍👍
