,Date,Score,reviews
0,2018年12月3日,1,現在連在大馬路上滿格的訊號都還會當機卡死，錢賺越多，遊戲品質越爛，
1,2018年11月27日,1,我的帳號已經快一個月沒玩了。上線就閃退能把我課金的錢還給我們嗎…
2,2018年12月12日,1,世界王改那麼強 橘子希望大家退坑的意思了 一個遊戲有沒有心經營看官網就知道了
3,2018年12月2日,2,小米max2開起倉庫視窗的時候會很嚴重lag何時能改善，已經很久了
4,2018年12月11日,1,爛死了，一週年紀念戒指還有限時，應該要永久那還紀念個頭
5,2018年12月19日,1,重新下載，卻到4mb無法更新一直出現下載錯誤
6,2018年11月30日,5,讓我抽到紅變啊~我也太非洲了吧，也開不到藍色東西 也抽不到藍紅變， 巴蘭卡 ID：小眼京 抽到我就花錢買鑽 哈哈哈
7,2018年12月4日,1,經常掉線，，再上要等70-80分鐘 換角色又掉線。。。排隊問題惡化中。。。 倉儲，商店，，，經常掉線 沒人跟進，打怪中也斷線，比早幾天嚴重了。還要排2000人，， 12月26日，晚上8點斷線不能上 不能上線還沒公佈。 每天排隊時間破6小時!!! 每次排到100人左右怕了又斷 代理不跟進。 而家又要鎖香港玩家ip 要vpn先玩到 官方沒有正視問題 又沒有回水(錢) 現在玩不到，是不是要到香港海關報按？？ 什麼了，你鎖了我帳號？ 我少上線要鎖嗎？ 鎖了我私人財產……你跟黑店有什麼分別？ 到了今天12月4日也亂鎖 工作室就不鎖 >臉書帳號再次異常！！！！！！
8,2018年12月6日,1,活動打完無法回卷， 登出再進來活動怪又重生，打死，結果這樣就要被鎖，真悲哀
9,2018年12月13日,3,為什麼要等待那麼久，你知道我今天花了30幾分鐘還登不進去嗎，真的是，伺服器能不能好一點啊，我不喜歡等太久，等到閒得發荒
10,2018年11月27日,5,不錯的手遊只是一直抽不到紅娃有點灰心!
11,2018年11月30日,1,11/28維修後，閃退情況更嚴重，是怎樣 ?太懶了不改善喔～
12,2018年12月23日,1,奇岩商村 一堆角色卡在那邊不動！造成畫面很頓！是否可以設定人物角色死亡後直接斷線的登出！或者設定回到其他村莊！以減輕單一視窗的流量和順暢！
13,2018年11月28日,5,希望在交易所購買的製作卷軸做出來的武器或防具不要刻印願能改善嗎？謝了
14,2018年12月14日,1,火妖沒改 送你一星 再不課金
15,2018年11月28日,1,Brandon無法登入請問為什麼，昨天還好好的今天早上登入卻卡在登入畫面，能否盡快處理啊！
16,2018年12月10日,1,裝置太爛搞的我不能玩 教學教的也不是很完整
17,2018年12月20日,1,"為什麼我的手機小米MAX 2在打怪練功不會lag,但是開包包或交易鎖或打字就會lag"
18,2018年12月16日,1,很廢 一直閃退是怎樣?容量還那麼大 公司這麼大閃退問題一直無法解決
19,2018年12月6日,1,官方出包鎖玩家，連個道歉也沒有，這種遊戲怎玩
20,2018年12月6日,3,鎖掉使用bug不錯哦！希望連外掛使用者都可以一併鎖！會更好哦！
21,2018年11月29日,1,"更新這版之後,很容易crash,只要畫面人一多,就會當掉"
22,2018年11月29日,1,已經不知道說什麼才好了，針對一般低消費玩家而言歧視徹底，無論是遊戲中的玩家及代理商，都是如此，遊戲中的玩家以身家及財力在稱霸遊戲伺服器，代理商則是拒絕使用中低階手機進行遊戲的玩家，現代不是人人都有電腦，手機也未必想拿高階，而為了這款本就只是懷舊性質的遊戲必須去更換手機或添購電腦設備，我真的剩下笑笑而已了，自從版本提升為商店倉庫可設定快速存取購買開始，我遊戲再也沒順過，直至現在，我連正常遊戲都無法進行，無論對話框、商城、倉庫、交易所，甚至只是點開選單都直到卡住死當，手機也幾乎沒有反應得等程式運轉結束，貴公司看來只歡迎身家數十億的玩家，我這貧民區的每日得為三餐拼搏的玩家還是不奉陪了，遊戲已刪除。
23,2018年12月13日,1,改善一下安桌8系統不會閃退累個問題好嗎
24,2018年12月28日,1,這遊戲就是個坑，對新手超不友善，一堆課長囂張霸道用外掛還檢舉不了，爛橘子助紂為虐。
25,2018年12月2日,2,遊戲無法登入，重新下載多次確定更新版本後依然無法進入遊戲
26,2018年12月19日,1,請問，如何將已經登錄的裝置解除？因為貴公司的連線品質，導致重複安裝遊戲內容，現在又無法登入原裝置，請給個回覆吧！謝謝。
27,2018年12月10日,1,常常打歐林副本第二關獎勵關卡死當
28,2018年12月23日,1,唉天堂m還是一直沒改我用手機玩天堂m登入天堂m還是會一直跳出來都無法登入啊我用j7手機玩天堂2都沒問題
29,2018年12月7日,1,吸一堆錢，還狂斷線，常常打不到世界王，幹你娘!
30,2018年12月20日,3,做活動給道具還限期， 光是龍珠戰鬥卷就佔10格 有沒有這麼小氣啊😂
31,2018年12月18日,1,都可以內掛了，還放任外掛，這樣遊戲是不會常久生存的
32,2018年12月19日,1,如果殺紅人會噴裝給人撿更有趣 或者 紅人掛掉損失的5%經驗直轉換0.05%給玩家更讚
33,2018年11月27日,5,干嗎剛好一點連進入認證多不能進
34,2018年12月6日,1,外掛不抓鎖玩家帳號到挺快的。
35,2018年12月2日,1,11/14跟新完後就不能上線了，真差，到現在還不能上線玩，快處理啦~~~~~
36,2018年12月6日,4,我花90買鑽他沒給我，力量私服器名稱:聽聽
37,2018年12月18日,5,裝置機台有7個 登入進不去 剩下如果處理 手機認證
38,2018年12月20日,3,剛剛登入簡訊一下子按太多不能再登入，請問要多久以後可以再傳訊息?
39,2018年11月27日,1,評價這麼低 還是一堆人入坑 真多B
40,2018年12月26日,1,手機玩不到5分就斷線 這樣怎玩 不是一次 是一直重複
41,2018年12月9日,5,這遊戲近戰職業根本找不到怪打，角色平衡有大大的問題！
42,2018年12月16日,1,設計一週年戒指是在那閃三小，自以為很炫?
43,2018年12月16日,5,很棒 但是 我要開我自己帳號卻開不出來有點失望
44,2018年12月23日,1,自從火槍手改版後 手機就不能玩了 到底會不會改
45,2018年11月29日,5,雖然好玩但抽東西機率也太低了
46,2018年11月30日,1,會自動被官方踢下線的垃圾遊戲
