,Date,Score,reviews
0,2017年8月10日,2,8月10更新完，整個lag到不行，根本連玩都玩不了，不改善我就直接刪了
1,2017年8月16日,5,更新後lag的看這邊 請在登入畫面時 上面按清除快取 就ok囉
2,2017年8月11日,1,Fb繼承失敗？我封測的時候我綁定啊 為什麼現在想回歸會登不進去？
3,2017年8月10日,1,改版後因為嚴重LAG，所以移除遊戲再重新安裝，沒想到再也找不到舊帳號了!?!?
4,2017年8月18日,1,競技場應該雙方公平地一人一次行動，每次都是別人或自己一次行曬三隻，那麼還用玩嗎
5,2017年8月10日,1,更新後優化差 競技場跟共鬥一直斷線 常常lag
6,2017年8月11日,1,這種品質的連線環境，玩遊戲還是看跑讀取？請把消費的錢還來！
7,2017年8月10日,1,改版後滿滿的被詐欺感，不會再課了，一星拉黑
8,2017年8月15日,3,更新完超lag拜託今明兩天趕快改善不然要退坑了
9,2017年8月11日,3,終於速度有回來一點，但是讀取還是慢
10,2017年8月23日,2,更新之後都讀不進去 好好的遊戲被弄成這樣 退坑了掰喔
11,2017年8月11日,5,很有創意畫風也很棒 是全世界最好玩的遊戲
12,2017年8月18日,1,自從更新之後遊戲讀取速度就變慢了，整體品質只能用｛差｝來形容，而你們這些人也只會回覆那些官方用語而已，想擺爛就把遊戲收了，想賺錢那就拿出誠意來，不要只會回那五四三的。
13,2017年8月17日,3,太扯了吧，我抽三十抽了，居然一個新角都沒有，要不就幸好我沒儲值，不然不就虧死。
14,2017年8月20日,1,我抽兩次的武器都不見了 你們該什麼處理欸
15,2017年8月18日,1,登10分鐘也登不進去 可是手機內存還很空啊
16,2017年8月18日,1,什麼都要課金 說什麼新手獎勵 ，果然是橘子的遊戲阿
17,2017年8月23日,1,哪個智障遊戲會給傳承碼設定時間，還一個月？！沒看過這麼跨張又爛的遊戲，傳承碼記得清清楚楚，你給我這什麼爛理由「過期」！！！！！，你當我吃飽太閒要我重練！(火大！！！！！
18,2017年8月10日,1,"更新完超lag,而且界限突破對之前抽到很多重復的太不公平"
19,2017年8月28日,5,推 更新完5星機率大增 好遊戲
20,2017年8月13日,5,有問題客服能回應。這喜歡遊戲簡單的操作方式
21,2017年8月10日,5,Bang希望寶石好拿點QQ
