,Date,Score,reviews
0,2018年3月15日,5,我剛剛不小心把舊帳號用掉了，非常非常感謝客服人員很有效率的幫我找回來
1,2018年2月14日,5,最好是寵物碎片能送多點
2,2018年2月13日,3,無限循環老活動只給你三星，不予置評
3,2018年3月14日,1,與FB廣告的畫面完全不一樣，把人騙來下載衝人氣，手段卑劣！
4,2018年2月15日,2,希望賣出去的東西不是綁鑽
5,2018年2月22日,1,可以伺服器別一直開嗎？，那麼多年的遊戲了。一直這樣子，又要合併伺服器
6,2018年2月28日,3,神秘寶箱的今日免費無法使用
7,2018年3月9日,1,畫面同介紹短片完全不同，畫質超差， 不堪入目
8,2018年3月5日,4,遊戲好玩！不錯
9,2018年2月14日,5,還不錯玩，繼續努力
10,2018年2月14日,4,很輕鬆玩
11,2018年2月17日,1,信箱是假的？沒辦法沒辦法退款
12,2018年2月16日,5,非常好的遊戲
13,2018年2月25日,3,Mycard可以儲值嗎？
14,2018年3月23日,3,我需要退費
15,2018年3月10日,1,又被騙了 換湯不換藥………的掛機遊戲
16,2018年2月16日,5,讚啦
17,2018年2月15日,5,不錯歐~
18,2018年2月15日,5,好好玩
19,2018年2月13日,5,好玩
20,2018年2月13日,5,好玩
21,2018年2月16日,5,Ok
22,2017年9月9日,3,可以把經驗還我嗎？吃了字卡本來想吃到49結果經驗居然變成滿了又多2000多 想說因該是卡了  從開又掉回去今天剛開的時後
23,2017年8月29日,4,遊戲內容還不錯，滿容易上手的 遊戲人物讓我想到奇蹟這款遊戲 滿推薦沒辦法花太多時間在遊戲上的人玩 但是希望不要一直狂開新服，然後又一直合服
24,2017年8月27日,5,覺得很不錯而且新服開了幾天後會送3000萬金幣和3000綁定鑽 開服折扣買起來前期都很好 希望遊戲能越來越好 加油
25,2017年9月4日,5,這遊戲非常棒  不會卡  不會很難玩 而且還很好上手   還有多人陪你聊天  也不用上線掛著  下陷他也會掛機  對上班族最方便了！
26,2017年9月3日,5,很好玩  其實不用花台幣就能玩的遊戲！不強迫買鑽石，有些遊戲一定要花台幣才能玩的下去！小編人也很好，很和藹可親，有問題都馬上幫我處理
27,2017年9月8日,5,24小時，自動打怪練功，平常解解副本也不用10分鐘，需要改善的地方，應該是弓手補血補的太誇張了，這個部分，之後或許角色可以改一下平衡，跨服排名前6名都是弓手...
