,Date,Score,reviews
0,2017年6月11日,3,請問為什麼剛進遊戲到初始話那邊開始閃退
1,2017年7月12日,2,為什麼合服我的在黑曼城裡，我是在狼哪裡的呀！為什麼會這樣呢！我的盟變敵人==
2,2018年3月23日,1,加開新伺服器好嗎？高等都已經突破90級以上了，你們還不加開伺服器，是怎樣啊？
3,2017年6月19日,3,都已經全中文了還是一直顯示非法字元
4,2017年6月1日,5,不知道為什麼就是很好玩
5,2018年1月31日,4,希望可以開新服，跟那些八九十的玩，根本玩大便好嗎
6,2017年8月24日,3,用電信小額付款，輸入身分證馬上遊戲當機，為何
7,2017年8月10日,1,三星大奇機開進去就閃退
8,2017年6月12日,2,最近一直閃退  活動要怎麼打阿
9,2017年6月10日,1,拍賣行買的東西沒有送到郵件 沒有顯示郵件
10,2017年6月14日,5,伺服器人數嚴重不足不要再開了
11,2017年6月4日,2,一直閃退要我怎麼過任務
12,2017年6月3日,1,更新後無法用 FB 帳號登入遊戲，會說 FB登入取消 。
13,2018年1月30日,1,沒開新服新手玩家進去都被砍的份怎麼生存啊...
14,2017年5月31日,4,R9s 的手機會出現閃退
15,2017年6月7日,5,不錯 只是很難練等
16,2018年4月12日,1,之前的等級救不回來，以前的人物也不見了！
17,2017年8月9日,2,剛下載都不能玩
18,2017年7月2日,5,角色更新後不見了，ID阿萬師，
19,2017年6月14日,3,遊戲進去會一直跳出
20,2017年6月7日,2,根本就是 六龍 的翻版
21,2017年7月4日,1,無緣無故的伺服器維護中。。維護啥鬼?重登而已就這樣
22,2017年11月25日,5,目前還沒儲值，也覺得不錯玩，一款好遊戲！
23,2018年3月2日,5,到底在更新什麼，一直超卡，還無法下線，要怎麼玩？
24,2017年7月12日,1,更新完，為什麼一直無法登入
25,2017年7月21日,2,為何進不了遊戲
26,2017年6月14日,4,有時開會閃跳
27,2017年5月31日,5,謝謝，只是還是會有些卡卡的
28,2017年8月31日,5,遊戲作的不錯
29,2017年6月7日,3,請問剛剛怎麼玩到一半斷線？
30,2017年6月14日,3,為什麼占卜玩到後面會不見？
31,2017年8月20日,3,會開放二轉嗎？？羽翼的靈石鑲嵌，可以增加另外一種方式拿到嗎？？
32,2017年12月13日,1,更新跑到96%卡死
33,2017年12月30日,2,為何主播都不在線上呢？
34,2017年6月15日,1,2服沒人了，快合服好嗎？ 爛死了 開服快，合服不會？
35,2017年9月4日,1,越玩越無趣....上線只能拼命趕任務。
36,2017年7月1日,4,還好…
37,2017年5月31日,5,還好
38,2017年5月26日,2,那麼好玩的遊戲，因國戰打架Lag這樣造成流失太多玩家了啊！都一個月多了都不改善嗎？還是你們團體錢賺夠了都放給他們爛呢？
39,2017年5月25日,1,這遊戲沒有玩家交易功能。實在很爛。我稱號買錯了。實在會嘔死。收集那些書要多久?手殘點錯。怎辦?可以交易還可以便宜賣掉
40,2017年5月27日,1,首儲根本就沒有翻倍不要亂騙人了謝謝!!!!!!
41,2017年5月28日,5,可以加世界語音 遊戲說明要在詳細一些 語音房間可以使用個人語音.這樣聊天就不用一直按錯 遊戲多一些副本 遊戲空間在大一些地圖 空殼帳戶可以刪除  開房間的問題 語音有時候會斷
42,2017年4月28日,4,打國戰不順暢開WI-fi也一樣，之前玩榮耀王座打國戰都不會頓我也是都把一些設定關閉，但是我在這打國戰能關的都關了還是超頓的 ，如果能把國戰用順暢點我想會更好的
43,2017年4月28日,1,原來有些功能沒反應還要自己手動解鎖，那乾脆全部都自己解就好了啊；刮刮樂也不見了；使用了線上客服卻要等個兩天才會回，我都自己解決囉
44,2017年4月22日,1,就是六龍御天 沒有創意 如果你們想玩正宗的RPG 我保證混沌與秩序online絕對勝過此遊戲100倍 自由度超高 顛覆你對課金遊戲的觀念
45,2017年4月21日,1,太不好玩了，根本逼人儲值麻，出大門就在殺入，免戰牌一天只能用三次，去別國家破任務不只三次，都被人殺任務根本就不用破了啊？  改進一下吧，跟六龍一模一樣，我乾脆玩六龍就好，重練這個也是玩到氣
46,2017年4月21日,1,根本是換皮的六龍御天，破百萬是基本起跳，永遠持續推出花錢的活動，反正就是死要你花錢的遊戲。 不信者可google六龍御天
47,2017年4月22日,3,六龍御天翻版。這根本就是六龍ㄚ，一模一樣的任務一模一樣的表情圖案，連國戰都是8點。你們是同公司嗎？？這樣抄襲不會被告喔。這樣跟六龍一樣很沒創新，放棄了六龍那個大坑現在又來一個換了歐美畫風的六龍。
48,2017年4月22日,4,可以不要一直加開伺服器嗎？  每款類似遊戲都這樣  到最後前面的伺服器人都比較少 再來一個一個跳  根本沒有穩定性
49,2017年4月20日,2,是否有刪除角色的功能呢？創角時沒有注意到可以選國家，發現時也無法刪除角色重練有點麻煩！如果有此功能會方便許多。
50,2017年4月21日,5,好玩 說真的 很多人一直說六龍六龍 我不懂 現在市面上很多遊戲風格都像 那是不是都是抄來的阿 手遊基本都這樣玩  真的不想玩可以不要玩幹嘛來酸  人家開服一大票人卡伺服器 會斷線不是正常ㄇ?說人家賺錢?你不花錢不就好了...真得莫名其妙
