,Date,Score,reviews
0,2018年11月24日,1,無法登入是怎樣，爛死了
1,2018年11月26日,1,糞Game!!各位下載前三思啊～
2,2018年11月24日,1,為什麼突然不能玩了
3,2018年11月22日,5,內容豐富好玩
4,2018年11月26日,5,超好玩！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
5,2018年11月24日,1,登不上去
6,2018年11月24日,1,無法登入
7,2018年11月24日,3,怎麼三，二頭又進不去了，，真是的，，，敢快改進唷，，，
8,2018年11月26日,5,卡等太嚴重，有點難練.....但很好玩！
9,2018年12月8日,1,過期任務的物品無法丟棄、分解只能放交易所or一直浪費你的背包空間！ 圖卡能設計一鍵卸除嗎？慢慢換很費時又不科技！ 互動很可愛，但會開結婚嗎？ 危險狩獵好不容易拼到67等然後馬上顯示70等才能打…本來超喜歡這款遊戲也玩了一個月！我的卷已經350，什麼時候才能使用到？第一次這麼鬱悶！為什麼要配合世界等級？難道要追著課金的玩家跑嗎？是欺負又老又窮嗎？ 難怪大伙都跑去玩“ 風之過度 ”，根本欺負新手！新服我看不用再開服了吧？
10,2018年11月25日,3,還好
11,2018年12月8日,5,不錯
12,2018年11月24日,5,修復辛苦啦(∩＿∩)
13,2018年11月8日,5,最愛玩的就是競技場，因為簡單的背景和操作這款遊戲吸引!當然畫風也還蠻優美的還有騎寵養成也很讚，推薦大家帶著自己的朋友來玩這遊戲還可以一起組公會打競技場~~
14,2018年11月8日,5,這個遊戲的性質就是我喜歡的遊戲欸還蠻特別的流暢度挺好的，航海模式是我最喜歡的，期待每次的更新，更新之後還不錯，希望可以繼續保持!
15,2018年11月14日,1,開始不到一個月，一堆bug，還有一堆刷退仔，貴公司不去處理那些bug，還自己說是外掛程式，這技術真是絕了，還有人遊戲上在那邊人身攻擊，公司也不給交代，現在也還是一堆人有bug，卻又被安在我們這些沒bug的人身上被罵，還是趕緊洗洗睡了，關了吧！
16,2018年11月9日,4,我一開始用試玩，但有不小心點到臉書登入，試玩那隻就無法綁定fb能幫我解決問題嗎(>_<)
17,2018年11月8日,5,覺得寵物實在是太Q惹，還有很多食物可以餵自己的寵物而且餵食物還能培養出好的屬性的寵物，我覺得這遊戲實在是太適合我惹><
18,2018年11月8日,5,好上手，但是有深度具有挑戰性，需要動腦筋耶但對我來說是不會很難喇，更新之後的動感武器讓我好心動，好想要拿到呦~~~~
19,2018年11月22日,2,本來分解裝備會有幻魔石，結果沒事改個東西活動什麼的，就變成分解沒有幻魔石，這樣子根本變相逼玩家花錢嘛，不花錢就是要砸時間，還不一定做的出來自己要的勒，搞屁啊
20,2018年11月10日,5,這明明超級好玩為啥只有3.8星 不過可能是還有一些小小問題所以才醬 還有很大的空間
21,2018年12月20日,1,已經是不能玩的遊戲，戰力都靠bug洗，就算修好了，那些洗戰力的還是活的好好的。 可能要倒了，一直在推出儲值活動，越出越扯
22,2018年11月22日,1,一堆bug沒改是玩個屁，禁地-巨人之亂死掉一個全都不用玩，一直卡當是什麼意思？！？！？爛遊戲，不想給人玩就收掉不要在那丟人現眼
