,Date,Score,reviews
0,2018年10月31日,1,如果因為遊戲的問題一直斷線當機，結果被退賽扣信用分，而你可以不生氣再玩這遊戲
1,2018年8月13日,1,每次維修完都很LAG 甚至無法邀人打競技 副本 越改越爛 今天首儲也沒有贈送該有的鑽石 騙人遊戲？當玩家是凱子？傻子？
2,2018年10月24日,2,糞遊戲都給敵人打2遍我只打1遍不公平大家不要玩了爛比cso還爛
3,2018年8月30日,2,遇到70lv的人我是新手已經開始7回合我都不能功擊這遊戲是好玩但太不公平了
4,2018年9月4日,1,越改越爛一堆東西跑不出來然後又一直小雞這樣只會越來越多人不想玩活動都空白？？
5,2018年9月2日,3,我很喜歡玩這個遊戲 可是下載了五次 和我說 不能下載 重複好機次了 希望能改善
6,2018年10月4日,2,一堆除直狂玩家 沒除職的人根本玩不了幾下就被打死了！ 完全不公平你要那些沒有儲直怎魔玩的下去只會除不會靠實力欸 拜託想個辦法不然真的惠會超想退遊給那些除直狗玩就好了麻
7,2018年7月28日,2,我自己創公會 然後我突然變到別的公會去 還我會長的職位 真的系統問題很多
8,2018年10月12日,1,垃圾遊戲自己設計不好讓我沒辦法攻擊卻說我惡意使用託管減我信用值
9,2018年10月26日,1,休閒模式匹配的等差也太大了吧 這樣是讓沒儲值的人怎麼玩？越打越生氣欸
10,2018年8月24日,4,可以說明一下為何有人一直是第一個開始 而且為何也可以連續攻擊 順序也沒有一定的規則
11,2018年7月2日,1,遊戲開進去跑不動 不然就是進去了 然後也跑不動 我換了很多wifi 和我自己的網路 都是一樣的 糞遊戲
12,2018年7月7日,1,儲值之後每次打開都重新連接是要怎麼玩 騙錢的哦
13,2018年8月13日,1,玩到後面四十幾等，要打排位都沒有搜尋到人，等了整整一分鐘都沒人，到後面才變這樣的，根本無法打排。
14,2018年10月13日,3,為什麼召回活動沒辦法領，可以改成完成任務就可以領嗎，不然我回來玩幹嘛
15,2018年7月22日,4,在網路良好的情況下，會玩到一半突然斷線，就要很久很久才連的上，這樣打排位會輸，信譽也會減少
16,2018年8月13日,5,這遊戲很好玩>w< 回味經典 但如果能瞄準一點就好了>w< 也是希望能連結掏米舊帳!
17,2018年10月24日,1,為什麼二打一，敵方的回合最多，我的只有四回合，這是怎樣，不是輪流打嗎？，還是隨機的，敵方兩個人一直打我，我也不能逃，就一直給他們打，回合結束後，還沒輪到我，又被打，這樣我還能玩嗎？，就給敵人打到爽就好啦，我還玩個屁呀！，你們可以變成輪流打嗎？
18,2018年11月18日,2,為甚麼玩一下不能登，請快修復，我行動網路都沒問題為神麼不能連伺服器
19,2018年12月15日,1,爛死了 明明重連了還不讓我進去 重點是網路滿格欸
20,2018年11月23日,1,70等以後玩休閒不是都AI，不然都配VIP 7以上的玩家，他們開場打一下我們就剩沒多少殘血了，被課到VIP 13的玩家打一下就死 牌位賽更不用說了....比誰課的多才能爬上去，對小課玩家毫無公平性 逼不得已只好退坑
21,2018年7月21日,1,為什麼一直出現小雞要買個東西都有困難餒麻煩再改善謝謝
22,2018年10月12日,5,大多數都是因為自己不會玩才來批評這個遊戲
23,2018年7月5日,5,但是連續攻擊我方一定輸啊，應該要公平一點
24,2018年8月5日,5,請修復BUG登陸遊戲會叫我們去試煉塔可是無法 點擊請修復
25,2018年7月3日,5,以前就玩電腦版的，現在玩手遊版的一樣好玩^_^
26,2018年7月17日,1,剛進去就黑蘋？我問號那麼爛的遊戲就不要出啊
27,2018年10月8日,5,已經可以結婚 但要一直重開遊戲 已修改5星評價
28,2018年8月9日,1,遊戲一堆小雞回報你們感覺很像沒用？ 還是說放著好玩而已？！ 不虧快沒人了
29,2018年7月20日,1,遊戲無聊毫無遊戲常見的邏輯操作方式很爛 伺服器登陸慢公告又不即時
30,2018年7月23日,5,這遊戲真的好玩，但能把網路不穩這毛病修好嗎？拜託！
31,2018年6月28日,1,到底要不要修復阿 操雞掰
32,2018年7月25日,1,才剛進去遊戲沒多久一直常常跑出小雞很煩明明網路好的
33,2018年10月17日,1,我儲值了……顯示沒有成功可是扣款了……連單子都來了請問怎麼回事?上去要反應又說網頁當機……
34,2018年7月27日,1,不給進去是怎樣公會禮物又領不到了你們要怎樣補償
35,2018年8月15日,2,我傻眼，我們一個30級一個24級，給我們配36級，戰力差這麼多，真的輸的很不爽
36,2018年11月7日,1,爛遊戲 禮包內容都標示不清 騙人家買 一堆垃圾
37,2018年8月27日,5,我什麼我一直卡在主畫面登都登不進去重登好幾次
38,2018年10月26日,3,為什麼要做什麼程式，害我一直登不進去，趕快修好這個問題
39,2018年10月13日,3,為何召回活動完成無法領取明明顯示可以領取按了卻沒反應
40,2018年8月8日,1,爛遊戲一更新就卡在99.99更爛的是他也不跑了糞遊戲
41,2018年7月15日,1,更新玩進不去?還一直重複更新... 現在變成伺服器有問題？？ 可不可以一次弄好😐
42,2018年12月13日,2,一堆BUG都不修，官方擺爛的遊戲
43,2018年7月27日,1,優化極差 還會直接跳出遊戲扣信用分數 非常不成熟
44,2018年7月27日,1,為啥又登不進去 也不在FB或是官網發文
