,Date,Score,reviews
0,2018年12月21日,3,Ok
1,2018年9月25日,5,Ee
2,2018年11月3日,4,馬馬虎虎
3,2018年11月17日,5,Good
4,2018年12月1日,4,好
5,2018年7月22日,1,"為什麼把我封停ㄚ？！ 
說什麼系統檢測到之前有不正當的遊戲行為，目前處於封停狀態無法登錄，還封停7120天11時28分19秒，真傻眼ㄟ，我只不過停在那邊一下，就變這樣，我還很疑惑，我啥時有不正當的遊戲行為了？！"
6,2018年7月22日,4,爛遊戲.幫助別人打副本.突然就說我有不法行為.被鎖.我都花5萬的了！還不法.要鎖你們要給玩家一個理由.就因為一個你之前有不法行為就鎖了！你們公司是這樣處理嗎？
7,2018年7月5日,2,這次更新跟本就進不去全部伺服器都在繁忙是怎麼進去丫，我之前在2服現在連2服都進不你們公司是怎麼用的。在不給點回應你們就完蛋了
8,2018年7月5日,1,從早上更新完到現在都已經晚上九點二十分了還是無法登入是什麼狀況，為什麼都沒有人要出來解釋一下啊！？
9,2018年7月6日,3,"更新 後 人物技能特效變爛 ，我剛玩時 就是覺得技能特效不錯 結果一改版 特效就變得很爛 九陰神爪的特效勒 ？？？？月落西山也是， 再這樣下去 
就會讓人不想玩了"
10,2018年7月5日,1,爛死了 卡在11及任務也不能解 點任務 一直說未發現途徑 明明上面寫完成 而且也沒怪可打 整個超火的
11,2018年7月9日,1,更新後每週fb分享任務無法解.一直叫我安裝facebook.明明facebook一直都安裝好的.沒更新前也都能分享.官網也提單發問了.就是沒解決下文
12,2018年7月22日,1,我正常玩家也被你們鎖帳，四個人物都差不多70及，應該是故意的，被封帳跟哪些人物有關應該猜的出來，跟系統檢測無關，現在還要我去求你開帳，去吃屎，我頂多不玩了，我還有其它帳麻煩順便刪掉，要玩此遊戲玩家想清楚了，還有遊戲公司的庄腳在裡面有，當然不承認，多注意幫派裡有些人的對話，久了自然看的出來，個人空間也有端倪，真是一群廢腳。
13,2018年7月22日,1,為何無緣無故就顯示不正當遊戲行為 還鎖帳號這遊戲爛透了 想逼人換遊戲也不用這樣吧
14,2018年7月23日,2,進入天龍一直閃退，也沒說是什麼原因，連主畫面也還沒進就說有問題？請問到底是什麼問題啊 可以解決一下嗎？
15,2018年7月12日,5,重新下載以後 我的第四和第五的伺服器怎麼沒辦法玩耶 你是不讓我再玩下去也是不是手機下載是能到兼差進入 這個遊戲那麼爛喔重新叫我重新下載沒辦法進入
16,2018年8月2日,4,麻煩更改有LINE或電話來電跳出時不會斷線，回個LINE斷線，接個電話斷線，看個LINE也斷，由其是要進入副本時，能改一下嗎？謝謝
17,2018年8月4日,1,越改版越爛，一直斷線也不維修好，一直搞一堆無意義坑錢的活動，想要玩家砸錢起碼也把遊戲品質顧好
18,2018年7月16日,5,想掛地宮一層，按了之後硬跟我說我等級要在二層現在是怎樣了，我掛3000是不能選地點是嗎？連掛古墓也是一樣不能選擇！那用的像可以選擇視窗做什麼！？快處理吧~
19,2018年7月5日,1,越更新越爛，花多少錢了，客服快回應或處理，當玩家都傻子嗎？垃圾遊戲，錢賺飽了喔
20,2018年7月10日,1,明明已經安裝好臉書了~分享好友一直出現沒有申請臉書~還一直閃退~可以處理嗎
21,2018年7月28日,3,怎麼連傭兵都沒有，人已經夠少，副本喊隊都沒有人是要怎麼玩？連想充值的慾望都沒有，拜託出個傭兵唄，不然實在玩不了
22,2018年9月2日,3,：）可不可以出各門派座騎 好懷念電腦板的 一直閃退到底是怎樣 要掛個3000也沒辦法
23,2018年7月8日,5,整體玩起來算容易上手，任務分享一直沒辦法使用，是我手機設定的問題嗎
24,2018年7月5日,1,更新完完全進不去誒 4個人物都花錢了！卻不能玩！
25,2018年7月6日,3,5服日常環玉佩撿不起來19等要怎麼跑啊？，人太多了裝不下了，快開新服
26,2018年7月22日,1,系統說有不當行為便停權老子不爽玩了
27,2018年9月8日,3,遊戲不錯玩但人太少副本找不到人對新手不知道怎麼練下去。
28,2018年7月8日,3,閃退頻率高，任務還會卡住不給解不然整體還不錯
29,2018年7月5日,1,實在很誇張欸 要更新那麼久到現在還不能進去
30,2018年8月1日,1,請問是需要每天都重新安裝遊戲才不會閃退嗎？平均10分鐘要閃退一次，想玩都不想玩了。
31,2018年7月19日,3,"遊戲很好玩，但這回大改版後，安卓系統極易閃退，Note2,Note4,galaxy tab 
8,J7，都有相同問題，ios則較為穩定，望能盡快改善，很喜歡這款遊戲，謝謝你們。"
32,2018年7月24日,1,門派競技設計的太爛，峨嵋低戰力可以打敗高戰力，打一次可以失血一半以上，不是作弊是什麼，請你們的工讀生不要那麼機車好嗎？我們可是花錢的玩家，遊戲講究公平公正，這樣我們怎麼玩下去！
33,2018年7月5日,3,更新後不能登入了…請快點處理Garena快點回復啦…一直斷線
34,2018年7月5日,5,五點呢五點呢 說好的五點呢 為什麼現在已經六點半了還進不去
35,2018年7月30日,3,一直已停止已停止，手機好好的都被你家遊戲操壞了
36,2018年7月5日,1,更新時間一拖再拖，乾脆大家都卸載遊戲，省的大家一起浪費時間
37,2018年7月5日,5,為什麼更新完無法登入可以說明一下嗎？
38,2018年7月18日,3,好玩但是今天玩的時候網路五格跟我說沒連網
