,Date,Score,reviews
0,2017年10月17日,2,昨天玩得好好的今天突然不能開遊戲，說我版本太低叫我更新，按確定到這個頁面發現根本沒更新能按，就這樣進不去遊戲了，好多任務都還沒解……
1,2017年12月30日,3,我的手机玩这游戏好卡 最低画质很卡 开到完美反而顺那么一点点 我用小米a1 玩其他高画质游戏没问题 反而这个游戏超级卡 网络也没问题 想请客服麻烦看有啥办法能解决这个卡顿问题 对于我这部手机的版本 能麻烦更新及有效地解决问题吗 感恩
2,2018年2月22日,1,台服玩到後期幾乎都是給課金玩家打爽的，遊戲平衡有嚴重問題，強的玩家又一天到晚請離戰力差的玩家，不然整體遊戲設計不錯，角色人物繪圖精美，架構都是一流水準，但是敗在課金過頭
3,2017年11月18日,4,我用小米6玩這遊戲怎麼一直很頓，根本沒辦法打王了，就算把性能調到最低也一樣，反而調到完美才順一點，怎麼回事，可以處理一下嗎？
4,2017年11月18日,1,非常爛的遊戲 搞什麼組對副本任務，也不想想自己有沒有那種能力，一進副本根本卡頓到爆炸，三十級副本 四十多進去還能被秘殺 讓人根本不想玩爛透了，龍將坦職 還沒看到幾個能坦的 每個都是狂噴血 會不會設計？
5,2017年10月24日,2,跟玩家對打的任務都會一直盪反應也沒用不知道有沒有心改善，遊戲會一直要重新登入都快煩死了
6,2017年11月17日,1,"玩一天隔天得重新安裝一次,這是單天時效的遊戲嗎？ 啟動遊戲後灰畫面，並無法看到您說的伺服器畫面可以點擊修復...完全無法處理..."
7,2017年12月6日,1,阿G阿妹呀！要搞合服個人尊重你們的營運方陣，但你搞合服也注意一下我們這些小小普通玩家吧，一合服人變多，連一個小小的精英百鬼都打不到，是打屁啊，玩個遊戲要搞到人性發揮到淋漓盡致嘛，快修改一下吧，兩天打不到任務了....
8,2017年11月28日,5,建議可以增加夫妻互動的獎勵，如神兵共解增加等低者掉紫機率，夫妻可互傳經驗，及達一定友好獎勵等……，遊戲有伴玩較長久^^~
9,2017年10月17日,3,上次更新说新玩意725MB 现在又更新说新玩意800多mb你想怎样？这样下去电话真的会没位啦！
