,Date,Score,reviews
0,2018年12月4日,4,普遍上還不錯，只是希望不是每日任務解完，就沒有任何管道升級，任務解完太空虛了，掛機經驗超少很沒意義，有點浪費生命
1,2018年12月26日,3,好玩是好玩 戰場匹配系統整個就是亂來 戰力10幾萬匹配到戰力破百萬的 你說會想玩嗎？
2,2018年12月4日,2,太誇張了遊戲不管打那樣關卡都當機人物罰站到斗沒怪可打這樣怎麼課的下去可以麻煩改善嗎？
3,2018年12月3日,1,又添加1個白爛遊戲 不愧為G 專門地 請找有常識的來回覆…… 刪除回覆只會更降低評分信譽
4,2018年12月4日,1,黑頻也沒什麼改善，很多都不能按進去，像是背包車子還有很多等等都不能使用，我還有從新下載還是一樣，請問可以讓遊戲一切順暢，能讓玩家玩的開心嗎？
5,2018年11月26日,1,滿歡期待的想我，但是下載完開啟遊戲之前直接來個閃退，順便問一下這是有分陸服跟台灣服是嗎？
6,2018年11月26日,1,為了給1星特地來這留言 用u2瘋狂出現廣告 一隻沒幾分鐘就出現好幾次 我還不給1星?
7,2018年12月10日,2,這次有一個7日活動，我差一點就能全拿獎勵，可是活動突然就沒了，明明活動下面寫著在一天關閉，可是怎麼提前關閉了，這樣我為了獎勵所花的錢呢？
8,2018年12月27日,1,越更新越爛，原本可以採集礦物跟藥草的地方都取消了看不懂要去哪採集了，而且遊戲卡頓斷線的問題也是越來越嚴重，這種所有人都有遇到的狀況就別叫我自己找客服了
9,2018年11月26日,1,"今天頭次下載了又更新了，還是黑屏黑屏黑屏!!我的是小米Max 3,浪費時間下載😒"
10,2018年11月27日,1,看到福利就不想玩了，各種免洗各種儲，連基本福利都給不好，不開自動，遊戲流暢就差的不行。
11,2018年12月4日,3,遊戲還不錯玩，只是今天更新後包刮我在內，很多人打開人物和鬼寵不會顯示，重開也沒用，請儘速改善，改善後會更改評分
12,2018年12月27日,1,昨天購買每日禮包，拿到東西都少，鑽石也少，回應線上客服跟報客服工單到現在也不處理，搞毛，罐頭訊息方式講很好聽，有問題回報，回報你們是會理會人喔？
13,2018年12月5日,3,早上更新完還能正常登入 現在選完角色讀取完就閃退
14,2018年12月5日,3,自動改好一點，副本裡不跟隨按自動會跑到固定一個點再攻擊，不能站哪就在哪自動，除非方向動一下
15,2018年12月16日,3,越玩網路越慢，切換場景進入遊戲就只剩半條命馬上就被秒殺了怎麼玩……換了好幾個網路還是一樣，問卦任務破完了還一直顯示沒過！
16,2018年12月27日,4,"今天更新後我一開始水沒辦法自動喝登出再進換採集地圖只有一集的會出現地圖其他等級的都沒出現==""有人和我一樣嗎？ 到底是啥問題?"
17,2018年12月28日,1,為什麼我在快12點的時後除值，除完進遊戲以經12點02分，為何沒有送儲值服利，是在騙錢嗎？請你們趕快處理好嗎？
18,2018年12月7日,4,介面到處充滿儲值內容非常混亂，字太小難看不好按，解謎太簡略，除此外算還不錯。
19,2018年12月20日,4,遊戲中有一個7日活動。我在最後一天有花鑽石買連續領3日的物品。怎麼才第二天，就關閉不給領呢？
20,2018年12月7日,3,我拿oppo的手機。原本是用訪客進去玩。但是找了老半天。。完全找不到可以綁定帳號的地方。問了其他玩家。也再找過。但是就是找不到。。可以幫忙一下嗎？
21,2018年12月19日,1,儲值卻沒鑽石，也給你們看消費記入，客服人員卻叫我一直等，你們等消保官好了，在不處理，別為了一點小錢吃上詐欺罪名。
22,2018年11月28日,1,看完評論我本來還不相信 剛下載完要登錄 居然跟我說同一時間不能用多個帳戶登錄？ 我剛下載第一次登錄而已 算了 我相信評論了 別回應我了 我刪除了
23,2018年11月28日,1,從剛剛當機到現在，進去什麼也沒有，也沒辦法退出副本，要人怎麼繼續玩？可以盡快解決這問題嗎？不然我就刪遊戲了
24,2018年12月4日,1,今天很多介面都當了 包包 人物頭像介面 坐騎 鬼寵 擂台以上這些都不能使用
25,2018年12月10日,5,剛剛在玩戰車，結果直接被強制退出，重新上線，卻在登入遊戲後又強制被退出來回三次，麻煩儘速修復，很喜歡的遊戲不希望變差了。
26,2018年11月27日,1,下線後，開上去一直卡在進入遊戲，登不進去，不然就是登進去會斷線 麻煩請你們改善
27,2018年11月28日,3,為甚麼世界頻道沒人啊 我一直再問有沒有真人沒人要回
28,2018年12月4日,3,今天是第二天玩，晚上的畫面變得好怪，背包點進去是空的看不到裝備，而萌寵也無法餵食，按鍵重疊了><
29,2018年12月5日,4,妳好 請問 我之前遊戲購買時裝武器 為何鑽石沒有回饋給我 能幫我處理嗎…我5服 ID慕夏橙楓
30,2018年12月27日,1,請問你們可以說明一下改了什麼嗎？？一堆沒解釋要自己摸索還有珍寶為啥沒有黑市推薦了妳是要玩家把珍寶名字都記住再找嗎？？？
31,2018年11月26日,1,爛遊戲下載螢幕完全是黑色等五分鐘也沒有看到開始怎麼不能玩爛
32,2018年11月27日,3,這遊戲跟《盜墓筆記》有關聯嗎？ 遊戲裡的述語，場景，甚至角色名例如“胖子”都很相似甚至充滿《盜筆》的影子
33,2018年12月4日,1,為何更新後的bug更多了 我剛上巔峰而已 bug多到不行 鬼寵加點不了 背包打開連看都是黑頻 你們人員最好趕快維修 賺錢不是這樣賺的
34,2018年12月5日,4,是一款好玩的手遊 但非常的耗電 伺服人很少 組隊有時很困難
