,Date,Score,reviews
0,2018年2月1日,5,這款遊戲很好玩我推薦大家玩
1,2018年2月7日,5,我玩到20億都沒在叫了/其它人不要亂
2,2018年1月31日,5,剛開始不怎麼樣，但是會越玩越上癮!
3,2018年3月20日,5,很好玩 一直想故事要讓男主角負債XD
4,2017年12月27日,5,超級寫實又超刺激超好玩的啊哈哈，讚
5,2018年4月14日,5,為什麼一直讓我欠債 明明就還完了阿
6,2017年12月9日,5,超好玩第一次就愛上
7,2018年2月3日,5,好玩不過不要常常用完錢
8,2017年11月17日,5,非常好可以再做更好一點
9,2018年3月24日,3,希望不要每次都變成平名
10,2017年10月23日,3,"天啊！我不上推特。这想法是蛮爆笑的，可是靠这些个赌博游戏关债务感觉吃力又很可悲，就这么几个活动空间订定了一家人的生活形态，光听拉霸的音效 我头就要爆炸了 可能对自尊心强的我 不会玩太久吧？！ 可是酒店和回家的音樂真好聽，對白也繚繞在我心頭 久久揮之不去，所以想念賽馬的情節，又回來重新安裝了, twitter 並沒有開放給台灣人+886的登記選項耶，如何潑文啊，又搞政治的才會使用twitter 就不知道這遊戲的市場策略是怎樣？？？"
11,2017年11月24日,4,反思遊戲，尋回迷失方向。
12,2018年2月28日,5,"好好玩,好有趣,還一世的債,還完債,再轉出新的還款款項,還債其間仲可以賭錢,好得意呀"
13,2018年1月27日,5,我覺得很好玩的
14,2018年3月8日,5,都叫老婆去打工
15,2017年11月27日,5,非常有想法的遊戲
16,2018年1月6日,5,還不錯!
17,2018年5月11日,5,跟本不用擔心還不了錢！
18,2018年2月20日,5,那個賽馬紅色可
19,2017年12月2日,1,很難贏廣告又多
20,2017年12月9日,1,爛到爆 什麼鬼 遊戲 幹**
21,2017年10月6日,4,很好玩的啊！
22,2017年11月2日,5,超喜歡 好玩欸 😘
23,2017年9月24日,5,蠻有趣
24,2017年11月22日,5,很好玩的遊戲
25,2017年12月30日,5,好有意   義的遊戲
26,2018年1月14日,1,賭马必输
27,2017年10月3日,5,感覺很特別
28,2017年10月26日,4,很特別的遊戲
29,2018年3月23日,5,好好玩的遊戲
