,Date,Score,reviews
0,2018年12月11日,5,A0CUK8B7V8HX 設定那輸入邀請碼 天天有禮物收 可加line叫我簽約sabrilatang 再送禮包
1,2018年12月11日,5,很好玩，新手加入遊戲八小時內輸入MBB8W4USQMKX或2Q62P9M472KX其中一組推薦碼可得禮包，一起加油喔！
2,2018年12月15日,1,你這太誇張、招募4星要點讚要1萬5我才玩第二天而已、怎麼積攢也不可能1萬5、分明是有錢人的世界、我是窮人只給的起一星
3,2018年12月22日,5,12/23更新 322YNV17UY8Y 新手八小時限時邀請碼哦 麻煩輸入了請進入簽約畫面同時簽約!!! 我的id. 3191100 中午晚上我都會在線 會送禮哦~
4,2018年11月24日,5,5100345X8HHW輸入邀請碼 每日可互相獲得五星合同 看見千萬別錯過唷
5,2018年11月15日,5,（生產問題）雖然有一鍵生產，但各別單一生產希望能改成按下去不放自己會補滿。著樣手不用一直點會更好
6,2018年10月30日,5,是有bug了麼，怎麼課了一次金再課一次同價格的會顯示錯誤說你已擁有這項商品，請你們修正一下
7,2018年10月31日,4,進入游戲時出現SDK始初化異常，不能登入
8,2018年11月4日,1,一款壽命半年多的遊戲，把玩家想真正體驗拍部好戲的門檻設到非常高，很明顯遊戲公司只想玩短期。
9,2018年11月13日,5,可以把拍電影的劇本選項多一點嗎只有三個有點少或者是可以花點鑽石刷新的劇本出來選嗎？
10,2018年11月27日,4,新手夥伴請在開始遊戲後的八個小時內(邀請碼只能在前八個小時填寫)加我好友，我的ID 3168011 告訴我你要邀請碼，我會給邀請碼(有限制)一起拿獎勵唷
11,2018年12月12日,5,新加入的朋友於8小時內於設定輸入98M8H4UWMQPX作邀請碼，即可獲5星人物卷!
12,2018年10月31日,5,SDK異常是甚麼意思？ 我挽了一天遊戲而已 就挽不到了
13,2018年11月22日,4,票房領秀是否可不要限定在八小時內，剛開始都還在探索如何玩，根本來不及使用這功能
14,2018年12月28日,4,"藝人合約收集太困難，希望能增添一鍵生產功能。新人在進入遊戲8小時內輸入邀請碼V6BV3AV7Y8NY，我的id:2161531,請加好友聯繫一起簽約成夥伴公司哦。"
15,2018年10月30日,5,玩起來還不錯，個人覺得小課一下ＯＫ，上次終身祕書沒拿到跟粉絲團反應也有積極處理而不是甚麼都沒做，只是處理速度慢了點但官方其實很有心的！
16,2018年12月9日,5,挺不錯的經營遊戲，最初確實有點難搞，但很快就能上手。 邀請碼：TAB39N8X6XFX 遊戲內的設定>輸入拿禮包
17,2018年12月15日,1,一直不停的閃退到最初的畫面，完全進不去，看其他人說這遊戲有多好玩，實際下載後根本無法使用，閃退到讓自己火都來了，乾脆刪除好了，下載有屁用，又無法順利進行遊戲
18,2018年12月13日,1,爛透了，登入無法初始化，買的兩個月卡獎勵都不能拿，活動的鑽石也都沒拿到，客服最後只說會技術回饋，根本都沒解決問題…爛透了
19,2018年12月25日,4,很好玩，但，我好不容易已經搜集到田原阿麗莎的30張合同，我也已經按合成了，可是為何卻沒有讓我有簽約合同，我不就白白浪費了嗎？請快速讓寶貝媗影城跟田原阿麗莎簽合同，我要田原阿麗莎，拜託
20,2018年11月22日,3,電影的取名可不可以不要有限制（exp:狼性，風雲，美少女戰士這些名字輸入在拍攝電影的名字欄後就顯示不合法，超傻眼的）
21,2018年12月5日,4,只有買秘書+月卡 ，現在五星角色足夠了，多多收集轉輪代幣，慢慢收集其他五星碎片，這遊戲就是農，培養等級比收集五星還麻煩
22,2018年10月30日,5,裡面有好多功能喔！原本以為就單純拍拍片選演員傳票房啊～結果自己進來玩以後發現還有很多元，就連劇本也要自己搜索，還要找贊助商之類的，需要用心去玩的遊戲！
23,2018年10月31日,2,昨天更新完要進入遊戲時，顯示SDK異常，希望官方能盡快改善
24,2018年12月6日,4,"邀請碼Y79V8K139QXW(需街區2檔) 先加遊戲好友Id:3170627 這樣比較好聯絡得到對方,需雙方同時簽約🙂"
25,2018年12月10日,5,這個遊戲很好玩 我很喜歡 但是我覺得有一個小缺點 那就是朋友不能刪除 有些都變成幽靈了 變幽靈我沒有辦法解任務找更多的好友幫忙 希望這點可以改進 其他真的好玩 歡迎大家來玩 玩了快2個月了
26,2018年12月26日,5,看到廣告覺得題材很有趣下載了，結果一下子就玩入迷了！電影大賣時真的很有成功感！ 歡迎使用邀請碼拿獎勵(在設定可以找到)：B4QS0MV696KY
27,2018年11月19日,1,平日任務難度高，連過個任務都有點難，玩到街區六檔良好片子拍不出來，不課金有點難玩，容易讓人放棄
28,2018年11月13日,1,不喜歡拍電影 票的數量只能個 根本玩不夠癮..容易膩 上線時間頂多拍2部電影
29,2018年11月30日,5,2M8V9SUT46WW我的邀請碼！歡迎想認真玩的新手玩家8小時以內到右邊的設定圖案，輸入唷！
30,2018年12月24日,5,這種特殊行業的經營遊戲非常有趣！拍片找藝人很有趣，只是空窗等待的時間過長，常常不知道還能幹嘛，讚數跟升級物品太難刷到，不然或許是一款很耐玩的遊戲。希望能多多開發類似的經營遊戲
31,2018年11月23日,5,不知不覺時間就過了 無課也能輕鬆玩，想嘗試的人請加邀請碼 B2BW44VXX4CW
32,2018年12月3日,5,創立公司8小時內，輸入邀請碼UBH8A6QY1T2X，和我簽約成為夥伴公司，可以每日互送禮，還有星探卡等好禮拿哦！ :)
33,2018年10月30日,5,到目前為止遇到算蠻佛心的公司了，雖然在市場推廣那部分用到錢還蠻多的，但我還有看過其他遊戲更坑的，感覺就是不課金不行，至少王牌還可以等票房營收慢慢賺取，很佛心的啦
34,2018年11月8日,5,希望能增加確定消費的視窗，都不小心按到，錢都被扣掉~五星藝人以上也太難集，有些還一次才給一片，等於要收50次才能合~還算不錯的遊戲~
35,2018年12月5日,3,整體遊戲是有趣的，但是五星藝人入手條件太苛刻。助理入手條件就等於再入手一個五星藝人一樣難。目前玩到170級已經開始想放棄遊戲。遊戲的作業感太重，想減輕點作業感的方式就是課金。雖然我覺得付出與收穫沒太大的正比就是了。
36,2018年12月27日,1,fb 已經四個小時多登不進去了，能趕快處理嗎？花錢玩還不能登入，也沒維修，感覺很差
37,2018年10月30日,5,覺得玩久之後越來越有手感了，大約可以了解要如何才能拍出大賣電影，而且我沒課金也沒買什麼白金的，一次大賣等級狂飆許多ε٩(๑> ₃ <)۶з
38,2018年11月15日,1,藝人期待值市場幾乎所有都符合 但票房只有一般 反而我隨便拍的都大賣 還有得金什抹的獎 是不是大賣是靠運氣的 剛剛有去看官網有看到什抹有關顏值的 阿我們這麼努力拍 你卻拿顏值來塘塞我們？？
39,2018年12月25日,3,三星以下的藝人合同碎片沒有用途，又不能刪除，看了礙眼。另外，股票的價值跟拍片所得比例差距太大，等於是裝飾。
40,2018年12月7日,1,上5區後 我不知道到底是有調整數據還是？ 角色.劇本.屬性.星級4 都符合 口碑永遠都15～40 永遠都在一般跟良好 我前4區 一般+良好還不到30 上5一禮拜只有1大賣 其他都刷一般+良好 這搞毛哦
41,2018年12月10日,5,遊戲介面清楚明瞭，畫風可愛清晰，更棒的是不會有擾人的廣告置入，是一款很容易上手且令人入迷的遊戲。
42,2018年10月30日,5,喔天~這波的更新也太牛逼了吧~看了一下我最喜歡的就是可以一鍵收禮功能！終於不用再一個一個慢慢點了，還沒這功能之前還真是累死我了...嗯這次更新改的我很滿意
43,2018年11月22日,1,8WQK1Q1BPW1W 邀請碼要在註冊後8小時輸入 一開始不知道 為什麼一定要有期限呀
44,2018年11月6日,5,新手輸入邀請碼V1YHVCSCAQ6V 簽約成功立馬拿獎勵~長期玩還能拿五星演員碎片！
45,2018年11月25日,4,五星角色太難得到，一天拍一部特賣片後，愛心難收集到萬眾矚目，事務限制可放寬，其餘不錯
46,2018年12月27日,1,為什麼FB登入一直進不去
47,2018年12月5日,3,為什麼今天一直跳出什麼直播的廣告，是你們的問題還是我手機的問題，詢問一下?他跳到我一直跳出遊戲
48,2018年12月8日,1,別的遊戲是課金讓你玩得爽，這遊戲是你不課金就讓你玩的不爽，要入坑的人考慮
49,2018年11月18日,5,SUSF2CX88Y4V，是我的邀請碼。活躍常上，新手8小時內簽約，就持續玩著有東西送了~
50,2018年11月23日,5,8019NQKW49BW 加入遊戲8小時內輸入 邀請碼 讓我們一起成長一起拿禮物
51,2018年12月13日,4,我的五星藝人購買都沒有下來 讚數有扣掉 該如何處置
52,2018年11月8日,5,很不錯玩~ 新人8小時內設定內加邀請碼長期簽約拿禮物呦~~邀請碼9Y88YQ1VF63V~一起加油ฅ'ω'ฅ
53,2018年10月31日,1,Sdk初始化 異常 又入唔到遊戲啦
54,2018年12月6日,5,為何常常幸運輪盤抽到金幣都不會給，好多次了，尤其是6百多萬的，已經好多次了，能不能改進跟補償啊！
55,2018年11月4日,5,邀請碼HHSM623MKN5V 新手八小時內加有5星合同
56,2018年11月10日,1,包含超多玩家無辦法控制的因素令票房下降，標籤每個角色都至少中三個，數值合格以上還一直鬧緋聞，這關玩家什麼事，名字都用一樣的還是會出現名字不貼切，WTF? 後悔課第二個月的至尊月卡 ，完了不會再課也不會再玩
57,2018年11月26日,1,有病吧，1440鑽石買一個包結果出一個碎片，要三百個才能合成一個角色，怎玩
