,Date,Score,reviews
0,2018年12月24日,4,每次fb登入一定要重打帳號密碼嗎？
1,2018年12月23日,3,什麼時候才要出櫻木啊
2,2018年12月6日,4,有儲值的都打不過，沒儲值對有儲值就是廢物
3,2018年12月7日,5,為什麼儲了錢，遊戲裡面却沒收到，要怎麼處理
4,2018年12月13日,1,什麼人都有 爛的要命
5,2018年12月15日,2,匹配都要等超久
6,2018年12月5日,5,這次的更新我很喜歡
7,2018年12月15日,1,我充了2次150台幣，只有一次成功，垃圾遊戲，垃圾體驗
8,2018年12月7日,5,很不錯喔！可以在更好的
9,2018年12月12日,1,反應的問題牛頭不對馬嘴的，趕緊收一收吧
10,2018年12月14日,1,假投真傳超廢
11,2018年12月23日,2,怎麼又登不進去了
12,2018年12月7日,4,對你好一點！給４星，技能商店賣得很貴，本來１７０多鑽石的變成３７０多貴鬆鬆！希望賣便宜一點！不過這次更新除了技能變貴以外都變好了！加油！努力做到最好最高境界好讓其他玩家覺得不用課金也可以好好玩！讓你正面對品價變得更多！OuO!加油！！！！！
13,2018年12月18日,3,有些問題希望貴公司改進 最近體驗遇到的問題，時常遇到對方或我方抄截掉球（場上無人持球狀態）時，第一時間無法撲球，其按鍵依然滯留在上一個狀態中（變成抄截及要球）約1～2秒；也遇到抄截或被抄截掉球時，造成其站位產生位移（不在原本的所停留位置）。最後常見有玩家原本在禁區移動，下一秒飄移到外線。
14,2018年12月7日,4,"12/6號更新後，進去第一次還沒有問題，隔天要進去，他就顯示""請求資源中""，求解"
15,2018年12月27日,3,為什麼12/27號更新過後就無法登入？
16,2018年12月6日,4,時效性 商品全不見了
17,2018年12月23日,2,不能跟好友玩
18,2018年12月7日,1,亂改
19,2018年12月23日,1,騙錢的遊戲
20,2018年12月19日,1,北七
21,2018年12月5日,3,好坑
22,2018年12月5日,5,無聊的遊戲
23,2018年12月9日,4,還不錯
24,2018年12月16日,1,我進不去
25,2018年12月22日,5,很好玩
26,2018年12月24日,5,超好玩
27,2018年12月28日,5,坐在醋
28,2018年12月19日,1,更新完之後變得好卡(´-ι_-｀)
29,2018年12月22日,1,支付失敗？？？249港幤google 收了你一句支付失敗就算？？？？
30,2018年12月7日,5,在唷
31,2018年12月14日,5,喜歡
32,2018年11月11日,1,單排位自動選隊友的公平性極差 常常50級配隊到兩個不到10級的 對面三個滿等 一個滿等虐菜的遊戲 真的不建議剛進的新手來玩 機制太差了
33,2018年10月9日,1,極度建議新手別玩此遊戲，如果你是客金玩家請進入，如果不是請小心排位，如果打球不給力，會有客金玩家私郵件噴你，並且勸退遊戲，雖然他打的比我爛，但人家是客金玩家，我猜客服也不會理我的回應
34,2018年9月22日,5,之前我也出現過和大家遇過的一樣的白畫面 進不去遊戲就跳出 其實原因是下載的主程式在SD卡裡面 只要移動到內部空間就可以玩了 希望大家看到有很多幫助 就是說程式要在內部空間
35,2018年10月8日,5,遊戲公司是不是有比以前偷懶許多 最近回遊 從以前的不會閃退到現在每一場都閃退. 這遊戲很棒別這樣 做等大金剛
36,2018年10月21日,1,每次遇到外掛的玩家網路都卡住然後我再登入遊戲就收到扣球評 請問這遊戲是不是壞掉了
37,2018年9月27日,2,你說登入問題已修復。但還是無法開啟遊戲啊~連續兩次更新後遊戲都無法開啟~就算砍掉重灌也是一樣..第一次更新後無法開啟.你們工程師有補救辦法~怎麼第二次的更新無法開啟遊戲你們的補救辦法怎麼還沒搞出來~=.=真的很無言嘞~~你說去粉絲團我去了也是沒看到補救辦法啊~耍我啊~~
38,2018年10月19日,1,可以出個等級區域嗎 （1-20）（21-30）（31-40）（41-50）不然高等級都配對到底等級的跟本玩不下去 如果又配到不配合的玩家那就更玩不下去 。
39,2018年11月18日,5,回鍋後 雖然之前外掛導致人數流失 但目前已鮮少外掛出現 因此改為五顆星 官方加油
40,2018年10月27日,2,遊戲平衡沒有改好 這遊戲遲早會倒 等級差這麼多 還想要其他新手加入來玩？
41,2018年10月30日,1,可以传球吗 一直按了都不传 就算有传 也他们两个传 就死不给我 什么意思 你们自己玩啦
42,2018年11月5日,2,衝啥小 天梯配對一堆新手給我是要打三小，每次都配一堆爛的，別人都黃金3到底會不會配啊，糞遊戲
43,2018年10月31日,1,連這款遊戲都有外掛 我很不愛外掛 害我想好好玩個遊戲也不行 能趕緊用好嗎？ 要不然我要刪掉這款遊戲了哦！
44,2018年11月23日,1,78根本就沒要買 王者訓練包 3690 請還我3690鑽石 爛遊戲 故意設計在右下角 78
