,Date,Score,reviews
0,2018年4月26日,5,薔薇和炙心要怎麼拿呢？希望美女們可以來當夥伴，就可以拿去跟朋友炫耀惹
1,2018年4月27日,5,手遊活動多玩的就是比較爽，感覺跟動漫角色群更接近了，配音也很自然說
2,2018年5月3日,5,看過動畫的就知道超神的女性腳色做得超美，遊戲的配音聽起來就有新感覺
3,2018年4月26日,5,戰鬥連招爽度滿點，卡牌培育搭配方式相當多變有趣，連線速度也很快
4,2018年4月30日,5,畫風很棒 遊戲也沒有一直要你儲值 加上是喜歡的實況主代言的 是個好玩的遊戲
5,2018年4月26日,5,超愛炙心，總算等到出遊戲，不過動畫也要持續產出阿~難產太令人傷心了
6,2018年4月27日,5,伺服氣剛開的時候更新有點慢，過了顛峰時段馬上就能玩了，官方事前準備做得很不錯
7,2018年4月28日,5,技能特效又酷又精美，角色動作也很帥氣流暢，果然這就是我期待的超神手遊啊
8,2018年4月29日,1,下載跟新浪費了8分鍾還說我網路再睡覺勒，你家系統才再躺，近不去的東西
9,2018年5月16日,5,天使彥的門檻太高了，先首儲用個萌萌先，衝戰力獎勵很不錯，開服必搶
10,2018年5月15日,5,時裝造型風格還真多又好看，還是喜歡美美的女角，蕾娜、炙心都是我的女神
11,2018年4月26日,5,我超喜歡天使彥，不知道一開始是不是就能用，還是要抽阿~
12,2018年5月3日,5,科幻風世界觀和3D動作玩法果然很搭呢！地圖場景和技能特效都超酷超炫
13,2018年4月26日,5,這部動畫很奇妙，男的長得普通，女的都長超美的，遊戲玩女角就是爽阿
14,2018年4月30日,1,是我網路差還是你們伺服器不好，整個手機就你們遊戲連不進去，看來我沒有玩這遊戲的命
15,2018年5月4日,5,我是超神粉 也可來玩陸服 我65了 要加我好友來密
16,2018年4月30日,5,今天玩突然帳號不見真是嚇到我，好在聯繫小編就幫我回復，不然我就見不到瑞萌萌了
17,2018年12月21日,1,廢物遊戲 被吃錢客服不會鳥你的 喜歡英雄聯盟的還是玩英雄聯盟就好 這真的很坑
18,2018年4月30日,5,假日想玩的時候不太好登，登入後發現官方有發放全服補償，有誠意阿~
19,2018年4月26日,5,現代科幻風真是太酷了，人物造型也好美，整個畫面呈現相當高水準
20,2018年4月29日,5,劇情真是超展開，天使惡魔各有魅力，莫甘娜跟天使彥我都想要
21,2018年4月30日,5,難得看到一款近未來的遊戲這麼有吸引力，戰鬥動畫做得超級屌
22,2018年5月16日,5,想不到天使惡魔都只是宇宙外的文明，大家都對地球好有興趣阿~
23,2018年4月26日,5,遊戲下載的時候黑屏，問了粉絲團小編教了解決方法，果然就可以玩了，小編很厲害
24,2018年4月27日,5,看了黑甲就迷上薔薇了，玩這款手遊一定要把她加到隊伍
25,2018年5月16日,4,我沒遊戲時常出現超神學園“停止運作”“屢次停止運作”還一直出現，真的很煩人，有處理方式？？
26,2018年4月26日,5,遊戲畫面真棒，不虧是做動畫出身的，玩起來感覺不會差太多
27,2018年4月26日,5,3D畫面看起來相當華麗，戰鬥也相當有魄力，真希望趕快玩到
28,2018年5月7日,5,3D動畫改編的遊戲真不錯，細節處都不會有破圖問題，完成度超棒
29,2018年4月26日,2,玩過一陣，不是動畫粉絲絕對不會入坑。也不完全是浪費我時間，只是沒有感覺，玩了一小時果斷刪了
30,2018年5月12日,1,玩到34等了！一樣常斷線要不然就是登不進！十連抽都抽了三次！也沒抽到s級角色！可惜了！這麼好玩的遊戲！
31,2018年4月30日,5,看過動畫再來玩感覺超棒的，我也是超神學院的一員!!
32,2018年5月7日,5,感覺得出官方很用心經營，線路跟BUG都有即時修正，補償也都有發放
33,2018年4月26日,5,地球真是超受歡迎，各種文明、宇宙戰艦都要來湊一腳XD
34,2018年5月15日,5,活動和各種獎勵多到領到手軟，官方送的很大方，五星奉上！
35,2018年5月16日,5,戰鬥的打擊感快速，3D模組的人物做得精細，少見的高畫質遊戲
36,2018年4月26日,5,唔哇~沒參加到事前登入，葛小倫的時裝拿不到了QQ
37,2018年5月8日,5,葛小倫還是跟動畫一樣帥，不知道蕾娜有沒有黑甲造型裝備可以穿？
38,2018年5月16日,5,感覺地球軍也是很威的，可以跟外星文明對抗也是很厲害
39,2018年5月10日,5,閒著在地圖逛來逛去都能看到喜歡的動漫人物超開心，好想要莫甘娜喔
40,2018年4月26日,5,這部動畫的妹子素質都超高的，我超愛炙心~
41,2018年5月16日,5,這遊戲的妹子個個是女神，想抽到隊伍裡面不知道要課多少，畫面讚就是棒
42,2018年5月7日,5,彥雖然個性高傲，但是個性直率、明確表達愛意，在遊戲裡面能將目光轉移到我身上就好啦
