,Date,Score,reviews
0,2018年5月31日,5,很好打發時間的好遊戲
1,2018年6月8日,5,這個手遊遊戲不錯玩 我很喜歡
2,2018年6月1日,5,希望遊戲越玩越好玩
3,2018年6月9日,4,"雖然步調有點快但總體來說還是蠻新穎的,推推👍"
4,2018年5月31日,1,光LAG就飽啦
5,2018年6月12日,5,畫風不錯，剛玩1天還在慢慢摸索中
6,2018年6月2日,5,人物可愛 遊戲內容豐富
7,2018年6月8日,5,讚讚讚很重要所以說三邊
8,2018年6月5日,5,現在遊戲登錄不了請處理
9,2018年6月2日,1,檔案太大下載要很久
10,2018年6月9日,5,很不錯玩的忍者遊戲
11,2018年6月9日,5,好玩喔！衝等超快的
12,2018年6月7日,3,會閃退麻煩處理一下好嗎？謝謝
13,2018年6月7日,5,很好玩，日系風格很棒！ 整體而言很不錯！
14,2018年5月31日,5,玩遊戲開心就好
15,2018年5月31日,5,遊戲畫面不錯
16,2018年6月12日,1,玩很久，點數一直下不來
17,2018年5月31日,5,非常刺激，做的很細緻
18,2018年6月4日,4,目前還可以
19,2018年5月31日,5,好棒升級快
20,2018年6月2日,4,玩的很開心
21,2018年6月3日,5,就差1丁點
22,2018年6月4日,5,還不錯玩
23,2018年6月4日,5,很有趣味的遊戲
24,2018年6月5日,5,遊戲不錯玩
25,2018年6月8日,5,很好玩的遊戲
26,2018年6月13日,4,動作華麗順暢
27,2018年6月12日,5,好玩，不知道有免費好裝備嗎？
28,2018年6月2日,5,這遊戲超好玩。
29,2018年6月5日,5,真的好玩 真的好好玩
30,2018年6月1日,5,好好好
31,2018年6月4日,5,不錯玩
32,2018年6月4日,5,不錯的感覺
33,2018年6月6日,5,不錯玩
34,2018年6月4日,4,還可以
35,2018年6月4日,5,可以好
36,2018年6月6日,4,剛入坑
37,2018年6月9日,4,還不錯
38,2018年6月11日,5,很好玩
39,2018年6月8日,5,還不錯
40,2018年6月8日,5,very good
41,2018年6月13日,5,good game
42,2018年6月13日,3,還不錯
43,2018年6月13日,1,沒有點數
44,2018年6月1日,1,垃圾
45,2018年5月31日,5,好玩
46,2018年6月1日,5,還好
47,2018年6月1日,5,好玩
48,2018年6月4日,5,好玩
49,2018年6月3日,5,好玩
50,2018年6月3日,5,不錯。
51,2018年6月3日,5,Ok
52,2018年6月9日,5,好
53,2018年5月30日,5,不錯
54,2018年5月30日,5,有趣
55,2018年6月1日,5,好
56,2018年6月1日,3,不錯
57,2018年6月2日,5,好玩
58,2018年6月3日,5,好玩
59,2018年6月3日,5,棒
60,2018年6月4日,5,不錯
61,2018年6月5日,5,不錯
62,2018年6月5日,5,不錯
63,2018年6月5日,5,好玩
64,2018年6月8日,5,2023021AE9
65,2018年6月10日,5,ok
66,2018年6月9日,5,我覺得很好玩∪･ω･∪
67,2018年6月9日,4,可以
68,2018年6月11日,5,好玩
69,2018年6月8日,5,好玩
70,2018年6月9日,4,Awww
71,2018年6月12日,5,好玩
72,2018年6月12日,5,好玩
73,2018年6月13日,5,好玩
74,2018年6月10日,5,讚讚 讚讚
75,2018年6月3日,5,👍
76,2018年6月11日,5,👍
77,2018年6月4日,1,一堆抄襲陰陽師，妖狐就不說了，大Boss絡新婦還有時裝根本跟荒一模一樣，連顏色都懶得改，一開遊戲從頭到尾放著讓它跑，毫無樂趣可言。
78,2018年6月4日,1,要作手遊請把基本環境建製好，光下載主檔（373M），在家中（100M/40M）WIFI環境，居然要7~8分鐘!難怪其他評論說會Lag!
79,2018年6月6日,1,滿滿的抄襲，連練等根本毫無意義，玩一玩很無趣，應該不到幾個月倒
80,2018年5月28日,1,怎樣?一個坑不夠，再刻意多開一個版本來騙?然後原本舊版的在商店消失，又是什麼妖術?
81,2018年6月4日,1,連玩都沒玩。單純為廣告畫面不實給一星
82,2018年5月28日,5,忍者超帥 陰陽師也很正! 都不知道要選哪個好呢~
83,2018年6月2日,5,我喜歡這樣ㄉ遊戲，還蠻有新鮮感 難怪會有那麼多人喜歡
84,2018年6月7日,1,上傳圖像一直顯示失敗，明明就有問題，反應客服也沒有理，沒有用，客服是假的嗎？
85,2018年6月2日,5,請問是大打逼抖抖嗎
86,2018年5月30日,1,FB亂盜別人家的遊戲畫面當廣告。
87,2018年6月9日,1,只玩了一分鐘就刪除了
88,2018年5月30日,5,角色都很漂亮萌萌der
89,2018年5月28日,5,日系風so good
90,2018年6月5日,1,無法下載 就是一直下載中...這樣 無限循環... 然後載了一整晚，還是下載中...
91,2018年6月3日,4,有一個好像愛里
92,2018年6月11日,2,免洗遊戲，只玩七天就刪了
93,2018年6月5日,5,時裝活動可增加，卷軸葫蘆什麼時候才會有呢？
94,2018年6月7日,1,中國產垃圾遊戲
95,2018年6月1日,2,不喜歡打鬥的遊戲
96,2018年5月30日,1,真是棒呆了
97,2018年5月30日,1,速度夭壽慢
98,2018年5月31日,1,廣告不實
99,2018年6月3日,5,還不錯玩
100,2018年5月31日,4,檔案太大，下載不下，不知如何是好～
101,2018年6月3日,1,秒刪
102,2018年6月4日,5,點數太少
103,2018年5月30日,1,可以做好點?
104,2018年6月4日,3,後宮有裸體?
105,2018年6月5日,5,好玩
106,2018年6月17日,1,超級難玩。。。
