,Date,Score,reviews
0,2018年12月7日,5,賠率看起來高卻難中，這禮拜玩起來小輸
1,2018年12月15日,4,中獎次數比其他業者來的優。。禮上往來才有人更想去玩。。不是嗎～呵呵…
2,2018年12月7日,5,我都用手動慢慢轉!
3,2018年12月16日,5,不用花大錢就能玩了
4,2018年12月7日,5,雖然賠率不錯，但是爽度不足
5,2018年12月7日,5,玩這種遊戲都只是運氣拉
6,2018年12月7日,5,期待廠商良心，機台放鬆點
7,2018年12月7日,5,自動5分鐘就輸光，煩ㄟ
8,2018年12月7日,5,我都玩骰子的，每次都沒很多
9,2018年12月7日,5,除個五百來玩玩
10,2018年12月22日,3,剛玩感覺還不錯，已後就不知道了
11,2018年12月17日,5,中獎率高的不錯玩遊戲
12,2018年12月10日,1,紅鑽活動提早結束
13,2018年12月7日,5,小儲還行
14,2018年12月18日,1,快速沒電的好方法
15,2018年12月7日,5,反正我只是在打發時間~
16,2018年12月25日,5,還不錯，無聊時無壓力的玩
17,2018年12月20日,1,這是找死的網遊
18,2018年12月7日,5,打發時間的好物
19,2018年12月14日,4,不於至評
20,2018年12月21日,5,不錯玩哦！
21,2018年12月7日,5,誰說儲值玩家才能稱霸?
22,2018年12月26日,4,好玩！
23,2018年12月16日,4,基本上，蠻耐玩的
24,2018年12月15日,5,還能玩的樣子
25,2018年12月11日,5,速度再塊
26,2018年12月12日,1,沒有遊戲體驗
27,2018年12月12日,5,好玩好放鬆
28,2018年12月15日,5,還不錯玩
29,2018年12月19日,4,中大獎耶
30,2018年12月19日,5,很不錯玩
31,2018年12月20日,5,我家有錢人
32,2018年12月22日,5,還不錯玩
33,2018年12月13日,5,好玩。懷舊
34,2018年12月11日,5,不錯玩
35,2018年12月12日,5,很好玩
36,2018年12月13日,5,簡單易懂
37,2018年12月17日,5,好好好
38,2018年12月15日,5,好好好
39,2018年12月18日,5,不錯玩
40,2018年12月19日,5,比較鬆
41,2018年12月19日,5,不錯玩
42,2018年12月20日,5,剛玩
43,2018年12月24日,4,先給四顆
44,2018年12月10日,5,很硬。
45,2018年12月21日,3,OK
46,2018年12月8日,5,好玩
47,2018年12月9日,4,Good
48,2018年12月7日,5,好玩
49,2018年12月16日,5,棒
50,2018年12月11日,5,好
51,2018年12月13日,5,有趣
52,2018年12月13日,5,好玩
53,2018年12月13日,4,Ok
54,2018年12月15日,5,幹嘛
55,2018年12月15日,5,good
56,2018年12月16日,5,ok
57,2018年12月16日,5,好玩
58,2018年12月17日,5,good
59,2018年12月18日,5,好玩
60,2018年12月18日,5,fun
61,2018年12月19日,5,good
62,2018年12月21日,5,好玩
63,2018年12月23日,5,好玩
64,2018年12月24日,5,good
65,2018年12月12日,5,讚讚讚
66,2018年12月23日,5,👍
67,2018年11月29日,5,滿貫大亨的賠率挺高，玩來玩趣還是麻將最順手，搓牌好有賭神fu，像開心捕魚很像遊樂場玩過的遊戲，遠古鱷超大尾，看起來超奇幻
68,2018年11月29日,5,王牌5PK的賠率超高，又是超熟的撲克牌玩法，開了同花順超爽的~幸運跑馬地的主播超熱血，跑馬的學問大，要連贏跟獨贏很不容易
69,2018年11月29日,5,飛天西遊是街機移植的遊戲，雖然賠率不錯，但是爽度不足，重點機子挺多，種類也多，四枚幸運星是比大小的遊戲，短短幾秒輸贏實在刺激，心臟不夠大顆受不了
70,2018年11月29日,5,滿貫大亨的遊戲很多，玩起來也不會太咬，比其他款佛心多了，森林舞會的玩法簡單，出乎意料的好出獎，賠率也頗高，玩得爽，給五星
71,2018年11月29日,1,11/30 12:35p.m. 下載完回line介面顯 示活動已暫停或結束(可惜沒截到圖
72,2018年11月29日,5,現在是11/29下午五點半，剛剛下載有得到點數喔！感恩
73,2018年11月28日,1,下載說要給line點數4點，雖說有名額限制，也不用下載完才說活動已結束吧，你結束活動就下架，騙下載數很沒意義！
74,2018年11月29日,5,明明就有送Line點數4點，有個叫“鐵寶”的不知存何居心竟故意留言說活動有名額限制拿不到點數，真是惡質!😡
75,2018年12月24日,1,該把遊戲給刪了，別人都可以中幾百萬，真懷疑是不是官方自己在自導自演的，都充幾十萬了都沒中什麼叫做百萬的
76,2018年12月2日,5,還沒開始玩不知道好不好玩 不知道會不會很會吃不會吐
77,2018年12月2日,1,請問流局為何是你們贏誰敢儲值吖一定咬光的
78,2018年12月1日,1,一堆假人頭，跟詐騙集團一樣惡劣，還敢一堆人頭評5星，不要臉到極點，樂透也作假，比賽活動也作假，百分之95以上玩家輸，而且輸的不是小數目，垃圾到極點
79,2018年12月13日,5,這個滿貫大亨的遊戲是我目前最喜愛的手遊戲，也是你個打發時間的好物啊！讚啦！
80,2018年11月25日,3,機台太硬了點，再放鬆一點比較理想
81,2018年11月29日,4,送紅鑽的數量能提高一點會更好
82,2018年11月29日,5,沒有結束啊有的話不會再顯示活動 結束嗎？可是..現在玩確實有得到耶
83,2018年11月29日,5,11/30早上10點 有得到line points哦
84,2018年12月5日,5,有時候晚了快要5個小時沒有贏過大 獎小奬比較多有時候都改進 這樣玩玩遊戲才會這麼爽😁😁😁😁😁😁
85,2018年11月23日,1,這款遊戲機台硬死人。辦活動也做弊。樂透更離譜。真的是爛
86,2018年11月30日,5,多開點無課金機子
87,2018年11月29日,4,有得到line點數啊 為什麼樓下說沒有 11/29 11：44 PM
88,2018年11月29日,5,我有拿到4點啊~給5顆星
89,2018年12月3日,1,爛死了 一定要儲值才能倍率壓大
90,2018年12月2日,5,遊戲蠻好玩打發時間好遊戲
91,2018年12月12日,1,剛開始還不錯，越玩到後面越難玩
92,2018年12月3日,5,土除直到現在一直吃
93,2018年12月4日,5,好遊戲好畫面消遣愉樂好
94,2018年11月30日,5,網路穩定不卡
95,2018年12月5日,4,還蠻好打發時間的
96,2018年11月30日,5,好玩好開！
97,2018年11月26日,1,沒有爛可以按。缺德公司！
98,2018年11月27日,5,真的滿好玩的
99,2018年11月30日,5,想賭隨時能玩，還挺穩定的
100,2018年12月5日,5,好玩有趣，不錯玩，值得推薦
101,2018年11月30日,5,尬議妹賣
102,2018年11月30日,5,中獎率還行
103,2018年11月30日,5,小儲還行
104,2018年12月4日,5,真的很敢開
105,2018年12月5日,1,隨機是最佳代表
106,2018年12月3日,5,畫面乾淨舒服，遊戲種類豐富
107,2018年11月29日,5,打發時間的好遊戲
108,2018年11月30日,5,今天心情好玩的爽
109,2018年11月30日,5,可以解解手癮
110,2018年11月30日,5,玩了不會手機發燙
111,2018年12月6日,4,好玩歸好玩，但是非會員，分數會重整
112,2018年12月7日,5,讚啦！
113,2018年12月9日,5,Very nice!
114,2018年11月29日,4,普通好玩的遊戲
115,2018年11月29日,5,好好玩的遊戲
116,2018年11月30日,5,好玩 畫面精美
117,2018年12月2日,5,提高中率
118,2018年11月30日,5,就是喜歡這種的
119,2018年11月30日,5,經典款都有
120,2018年11月30日,5,可以給五星
121,2018年12月2日,5,就是這樣子
122,2018年11月30日,5,省電可玩很久
123,2018年11月30日,5,很好玩的遊戲
124,2018年12月9日,3,沒13張
125,2018年12月6日,2,內容節目很爛
126,2018年12月20日,5,希望好運
127,2018年11月30日,5,還行，不會太咬
128,2018年11月29日,5,小投小贏
129,2018年11月30日,5,爽啦，中獎了
130,2018年11月30日,5,殺時間，過癮
131,2018年11月24日,5,很好玩的
132,2018年11月26日,5,打發時間
133,2018年11月27日,5,讚 啦
134,2018年11月28日,5,好遊戲
135,2018年11月30日,5,逼真好玩
136,2018年12月1日,4,還不錯
137,2018年11月30日,5,不會無聊
138,2018年11月30日,5,好評五星
139,2018年11月29日,5,簡單玩
140,2018年11月30日,5,儲值試試
141,2018年12月3日,5,非常棒的遊戲
142,2018年12月12日,5,只會咬
143,2018年11月26日,1,我的寶石全部不見了，為甚麼？？ 要人儲值，寶石那後又不見？？
144,2018年11月30日,5,消磨時間~
145,2018年11月23日,5,Ss
146,2018年11月22日,1,開遊戲就閃退??
147,2018年11月30日,5,不錯哦
148,2018年12月1日,5,。。。
