,Date,Score,reviews
0,2018年5月24日,1,用手機儲值 登入遊戲也是同個帳號 卻沒有 返禮按鈕 之前儲的怎麼算 該怎麼解決這問題 請回答!
1,2018年5月24日,1,為什麼fb無法登陸 我們都有儲值的人 請你們趕快解決問題 等公測等那麼久 還給我出這個問題
2,2018年5月25日,2,語音太吵一堆沒素質的小朋友亂吵打擾許多人玩遊戲可不可以設個檢舉或者改善當前問題
3,2018年6月12日,1,更新後不能玩 在不快點出來處理 我要申請退費 V5不多 才更新完就這樣 不如不要更新 要就用好
4,2018年7月9日,4,能否改善一下亂鬥跟戰場的分配平均戰力 一進去都遇到怪物根本無法打
5,2018年5月24日,4,"斜45角的角色移動，配上即時即景的切入戰鬥畫面，有本格角色扮演的感覺，畫面設定上讓我想起了天外魔境，整體來說，設定上是很吸引 人啦，不過， 
新手介紹的帶入感弱了一點，比如， 先從學園開始新手介面，到了戰鬥再回述之前開頭的劇情，可能更緊湊些"
6,2018年7月6日,1,爛活動+爛設定 這有什麼用 人數剩幾百人 過沒幾天又要合服 玩屁哦 關服算了 浪費時間玩你這廢遊戲
7,2018年5月23日,3,FB怎麼不能登入阿阿阿 之前封測綁定，更新就無法登入 解釋一下，一直在加載中…… 有誠意一點好嗎？
8,2018年8月31日,1,有一堆人濫用語音功能吵架，我在這請求遊戲公司處理，或是直接關閉語音功能，如果不處理有可能會把事情鬧大，謝謝!
9,2018年5月25日,4,遊戲很好玩可是一堆人罵髒話侮辱實在是太讓我生氣了希望以後罵髒話的人可以檢舉！
10,2018年5月25日,1,還沒做好就不要急得上市，更新檔一直更新連續三次每次都一樣的容量3次更新好還叫我一直更新到底要更新幾次
11,2018年5月23日,3,操作和畫風上都不錯 就是臉書無法登入 一直呈現加載中 希望能趕快處理
12,2018年5月24日,1,半夜三點要登入結果全給我顯示系統忙請稍後再試是三小真的很失望
13,2018年5月28日,3,遊戲很好玩，但是移動時常常會因為任務表而移動不順暢，而且每次自動打怪都會自動開啟
14,2018年6月2日,3,"繪師好棒 
，不過bug也不是沒有，不過整體來說還不錯，寫程是式的人也爆肝吧，辛苦了，而且沒滿三個月的遊戲最好不要儲值這是常識，還有希忘有儲值和沒儲值不要差太多，要有一個平均值，像神魔之塔就是一個不錯的參考。"
15,2018年7月29日,5,玩了兩個多月apk版的下載了很多次都無法開啟 ，希望官方能多新增點數卡儲值功能，讓玩家能有更多消費選擇
16,2018年5月26日,1,我都把不要的程式刪了但還是沒有辦法進去啊，為什麼？（商家請改善 求求你們我只想玩一個游戲TωT）
17,2018年5月28日,1,為什麼更新後 一年4班不見了 而且連帳號裡面的角色也不見了 耖 這在搞什麼鬼啊 儲了一千多塊 維修就不見了?
18,2018年5月25日,1,用FB登入卻照樣吃掉封測返禮，回覆了信件也不知道要拖多久才會處理，真的是值得一顆星的好營運啊？
19,2018年6月9日,2,請問昨天斷線的補償也太爛了吧 50鑽能幹嘛 我剛好夥伴洗髓到優良 就因為斷線沒了 50鑽就能了事嗎？
20,2018年5月24日,1,從約莫1300時到現在1915了，臉書無法登入，還不給人刷退，貴公司請問你們是打算消極方式解決嗎
21,2018年5月25日,1,玩家素質低 不斷的利用語音言語攻擊別人 重點是還沒有檢舉功能 真棒
22,2018年6月11日,1,超爛一天維護幾次還只會推廣放火。。。我們是玩遊戲不是來看那麼不出名的人是誰都沒聽過
23,2018年5月28日,1,不要臉明明就是抄襲大陸版 而且哪是日本漫畫明明就是大陸畫的 只是把角色改個名字而已
24,2018年5月28日,2,四天開了10幾個伺服器 每個都是暢通狀態 所以給一星 遊戲風格很好 很漂亮 給兩星
