,Date,Score,reviews
0,2017年7月22日,1,無法連接跨服伺服器，請稍後再試  我都已經到了我家網路最好的地方了 點下去 還是一樣  請問可以儘快處理嗎？  拜託
1,2018年2月23日,1,問題一堆，反應又不了了之，重點還吃鑽，等等刷退退遊，帳號什麼的要鎖要怎樣隨便官方處理，玩這麼多遊戲第一個讓我想刷退的，代理商也真的好棒棒
2,2017年7月14日,1,還真的是假希望！ 而且還是拿其他遊戲下去改的 只差在模組跟對話不同而已 這樣的遊戲還有人真的願意花大錢玩，我也是醉了
3,2017年7月23日,1,表面像是學希望，骨子裏卻沒有希望的內涵，炒短線的免洗遊戲，過幾個月後在改個遊戲名稱繼續騙無知的來玩，總之就是披著狼皮的羊。
4,2017年7月18日,1,我剛剛儲職了一个月卡   但東西沒有進去啊  錢都拿了東西呢-.-  而且客服根本就是擺設的  電話就一直忙線   給點回應好嗎
5,2017年8月11日,1,廣告不實 勸有想要進去試試看的玩家三思 明明都是線上遊戲的畫面卻都拿來當做你們廣告來吸引玩家 進去才知道內容根本完全不一樣
6,2017年8月19日,1,不好意思我用電腦模擬起器所以東西都會顯示出來但怎麼一換手機很多東都會閃跳拜託修一下謝謝
7,2017年8月29日,1,爛透了 為什麼綁定Google信箱的不能登入apk 首儲就差了快兩倍 商品Googleplay貴了10% 簡直就是詐欺 退款啦
8,2017年7月18日,5,我玩的不是遊戲 玩的是我國小時與朋友一起打怪練功農紅寶石的回憶 可以問一下登入時的歌嗎 好好聽
9,2017年8月17日,1,死愛錢就算了！連活動規則也不說清楚以為還有一天能打活動商品誰知道是剩一天給人換。。。白痴喔都打不到了誰換的到誰回去留活動商品等最後一天換的。。要玩的玩家退坑比較好不然會花死你什麼都要錢。。。。
10,2018年4月8日,1,聊天的系統  是否能夠增加  時間 這樣才知道是幾點留言 還是 幾點發佈訊息  還有  怎麼沒有倉庫為何一直閃退
11,2018年3月22日,5,一直更新 工程師到底在幹什麼 半夜更新還更新不完全 工程師該換了 是否可以出翅膀任務 雖然我們沒有錢儲值 但我們也是付出比別人快一倍的時間在練
12,2017年12月8日,1,為什麼 同樣的儲值，goole的 綁定帳號，會比其他的绑定帳號少给幾倍的鑽石，這样太不公平了，是趕人不讓goole绑定帳號的人玩嗎？十分失望，下次想再玩你們的産品真要想想
13,2017年8月19日,1,Google Play 商店一直登入不近去，手機恢復原廠設定重新下載更新後也一樣，連我的遊戲帳號都不見了，客服能幫我查詢看看到底怎麼回事嗎？
14,2017年7月24日,1,重新安裝還是一樣，掉圖，寵物，裝備無法顯示，背包永遠是空的，是嫌我平板爛嗎？還要我寄信或打電話聯絡客服？過兩天再登一次，如果還是老樣子就砍囉，可惜一個好題材，搞到負評一堆，遊戲還要經營嗎？
15,2017年7月23日,1,一星都嫌太高了。先不說和其他免洗遊戲差不多的介面，內容除了部分人物和BGM取自希望就說是希望續作？拜託不要笑死人了。
16,2017年7月20日,4,太多限制，錢不夠用，我的戰力遠遠超越推薦戰鬥數值還是打不過，不知道是bug還是哪招，困難就算了，一般的關卡比困難還要難過，到現在還卡在這
17,2017年8月5日,3,為什麼這幾天我的角色在釋放絕技的時候會卡住就不繼續釋放了？ 才剛開始釋放就自己停下來了 等於說傷害力非常小
18,2017年12月30日,4,請問一下有關儲值的問題，我點選6000鑽的選項看是3300，但iOS那邊卻只要2900多，我查了一下國際匯率發現3300這個根本不符合匯率，想請問要怎麼樣才能像iOS 那樣照匯率調整價格
19,2017年8月9日,4,愛情聖殿中的採集任務會發光的物品不知道在哪，從來沒有採集到過，請問這是個bug嗎？ 希望趕快修復，不然很無解
20,2017年7月19日,2,我昨天11.5*PM用新創帳號登入發現七日活動禮包還在第一天，結果過了凌晨就到第二天  那請問第一天的還補嗎？這樣我該刪除角色自認倒楣嗎？
21,2017年8月17日,2,雖然還玩不到一個禮拜但前幾天都還蠻順的，而這兩天一直再重登玩不到一小時就給我出現兩三次說什麼你的網路不順請察明？…明明訊號還都是滿格的所以就來抱怨一下了，一直中斷我的任務害我獎勵都拿最少的叫人怎麼玩。
22,2017年7月24日,1,假希望…改名叫絕望吧!回覆只會回官方語言。只會複製貼上。就連遊戲也只是複製女神聖域然後貼上!!官方表示:我們只要會複製貼上即可!就有白痴玩家認為這就是希望。哈
23,2017年9月10日,1,23服這次營運活動在不處理啊 本來送克雷特碎片結果送整隻出來的？會不會太扯有儲值的每個人都有一百隻克雷特還說會處理到現在擺著那我們這些花錢慢慢用的要幹嘛？扯鈴隊的欸你們
24,2017年9月4日,1,我是看著遊戲名字跟結婚系統來的，可是一看到遊戲介面我直接刪了……這跟外頭上萬個免洗手遊有何差別?
25,2017年7月28日,5,對戰模式可以除消鎖定目標嗎，有時明明沒上鎖定，他還是追最遠那個，最近那個打不到，幾麻煩自由控制比較好。不然打打下又鎖了最遠那個又打不最近個個。
26,2017年7月23日,1,玩到一半手機沒電斷線後，就無法重新登入帳號，那因為你們的bug導致我無法遊戲，裡面活動獎勵因此損失要怎麼辦
27,2017年9月11日,2,之前已經玩過這款遊戲了，現在想回遊卻找不到自己的角色，會刪玩家角色是怎樣，點我的角色還說網路不好要重連，根本找不回來啊
28,2017年8月17日,2,每次更新完就一直顯示斷線   請問這樣玩家要怎麼玩?  官方真的沒辦法改善這個斷線問題嗎？   不只一次了    每次斷線都玩的很火大  已經有好多玩家不玩了
29,2017年8月29日,1,無止盡的重連網路，搞什麼東西?看影片聽音樂沒問題，就連你們的遊戲就說我網路有問題?遊戲沒內容就算了，伺服器好點是多難?
30,2017年7月14日,1,昨天玩還好好的，今天光登進去就等快十分鐘，以為是網路問題，結果大家都一樣，要解任務結果出現連接跨服中……
31,2017年12月16日,1,小編你走近一點來 我在告訴你一次音樂秀豆要一個月了  一天到晚維修什 品質不顧 會慢慢沒人的
32,2017年7月21日,3,我買了時裝200鑽，為何就是無法顯示出來。人物一樣是同樣衣服啊？200鑽30天不是嗎？根本沒有啊。  獅子城  關小心
33,2017年7月14日,3,希望語音跟音效可以分開，中文配音聽得很煩，沒戰鬥音效又覺得很乾==遊戲整體普普，遊戲模式沒有特別新奇，但戰鬥畫面很不錯。總結：NPC語音太煩人了，戰力跟搶旗什麼的不太順眼，別走得跟大陸手遊的模式一樣。
34,2017年10月2日,2,問題一直不解決 拜託 要進遊戲一直載入不了google play是要怎麼玩 重開機 刪除重安裝重登入 都是這個問題 可不可以解決一下啊
35,2017年7月25日,1,不就完全套用女神聖諭那款遊戲嗎，除了打著希望名號外，沒有一個地方不一樣，小丑的技能完全是跟刺客一摸一樣，整個傻眼
36,2017年7月23日,1,希望是個很可愛的遊戲，結果你們把怪改的這麼醜，暴牙蜘蛛還用嘔吐來攻擊，麻煩這是希望還是絕望阿？請別破壞我的回憶好唄！
37,2017年8月16日,1,為什麼我昨天下載完了都開始玩了今天又說什麼我沒wife 要在下載一次那就每天都這樣角色存檔都沒了
38,2017年9月1日,2,酷傻寶箱 每一次打都撿不到寶箱根本浪費時間 不能有打的先各發 剩下的再來搶嗎
39,2017年8月28日,1,原本是一直都卡在選擇伺服器畫面進不去，砍掉程式重新下載後就完全沒辦法進入了是讓不讓人玩
