,Date,Score,reviews
0,2018年12月14日,4,"為何又連不上FB,每次寄邀請都沒有聯繫到好友，麻煩一下，是什麼問題呢？"
1,2018年12月26日,5,3357關也太難了吧！ 為什麼有時候沒辦法連結FB!
2,2018年12月26日,1,4053不能玩。進去玩一次就跳出來了，騙愛心嗎？
3,2018年12月22日,1,請問4049關！沒辦法過關吧，步數少，妨礙也多！
4,2018年12月14日,3,看……3999又卡關東西又下不來，又不會自動更新，真是他的草枝擺……
5,2018年12月7日,3,遊戲有bug，1993過關要件為清除果凍及掉落2🍒，已達到要件，但介面上確顯示還有1🍒未掉落，糖果中也沒有🍒.......😵
6,2018年12月21日,4,為什麼這次更新後我的道具又全部不見了，已經不知道是第幾次了，是想逼走玩家嗎？
7,2018年12月13日,3,I can't connect with my Facebook friends. I'm sure that I have login Facebook on candy crush.It went wrong this night.
8,2018年12月27日,1,"為什麼 Android 版只開放至4175, 而朋友的iPhone 版却玩至4190 ? 太大细超吧 ! Android 玩家不需重視嗎 ?"
9,2018年12月21日,1,為什麼寶物會忽然全部都不見存了很久，叫人家要怎麼玩
10,2018年12月19日,1,設計4005嗰個，你自己玩下先🤔傻的嗎❓
11,2018年12月19日,2,關卡4121是笨蛋嗎？又跑不出餅干
12,2018年12月6日,4,為什麼把我的武器全部都歸零 把我的武器都吃掉了 太扯了
13,2018年12月26日,1,"4030！！！見鬼了！ 「超級變態」，根本無法過關，當我是神啊？！！就是要人買道具(我看傻子買了道具也無法過，白花錢而已），根本無法過關，真的有夠奸詐！ 吃屎吧！欺人太甚！真不懂怎麼回事， 只會減步數(由20減至14） 還要達到150000分，我看影片過關的，最後一步只有7萬多分，居然可以自動跳到超過15萬分，所以過不過關根本是由你們來決定，我再努力也沒有用,老狗變不出新把戲，才會讓人那麼火大， 莫名其妙！拜託來個示範，不用任何道具來看看!爛!!! 浪費大家的時間，根本無法過關！ 設計者有自己玩過嗎？是不是為了賺錢，越來越變態！！「設計者已失去初心」，真為你們感到悲哀，可憐啊！！ 遊戲~是讓人殺時間的,不是用來糟蹋人的 ,這遊戲只會讓人越玩越火大, 對身體不好, 爛東西!!! 而且最近的廣告也太多了吧!又臭又長，每個幾乎都要30秒，真是浪費時間。"
14,2018年12月19日,1,剛剛更新我的42顆彩色球怎麼歸零 我原有道具都不見
15,2018年12月18日,2,4003關，分數太高，用盡法實都過不到，請改善。
16,2018年12月26日,1,4005關到底在刁難什麼啊？設計有問題還刁難玩家
17,2018年12月26日,5,遇到相當難的4162，我舉白旗投降了!
18,2018年12月25日,4,請編輯們盡快更新4131關卡？thanks！
19,2018年12月28日,1,"3964甚麼設計 過不了 ,太難了 七 八。"
20,2018年12月15日,1,3995点能樣玩呀😡你教我玩
21,2018年12月12日,3,4045關卡，難度也太高了吧！
22,2018年12月23日,5,非常好玩，也有許多活動，之中也帶有挑戰性，是個不錯的遊戲
23,2018年12月16日,1,4042很難過關ㄚ，怎麼過
24,2018年12月25日,1,為什麼換個手機所有的道具都不見了？關卡正常 道具連一個都不剩😡😡😡
25,2018年12月18日,5,已經過到3650努力中
26,2018年12月24日,1,什麼爛東西，要過關就當機，老是當機，當屁啊當當當
27,2018年12月23日,5,A very good game for you to use a mobile phone to kill time.
28,2018年12月20日,1,４１１７怎麼玩啊怎麼都沒牌
29,2018年12月26日,1,#3860 hard to pass as not enough moves
30,2018年12月17日,3,贈品多一點點，會更好
31,2018年12月23日,4,4083很難過關！請再放寬標準^_^
32,2018年12月14日,3,爬完lucky beans 之後卻沒有得到選擇到的獎勵
33,2018年12月27日,1,4044超級爛!玩幾百次了還不能過關！爛！爛！爛!
34,2018年12月5日,1,一直不能看影片拿獎勵 一直不能看影片拿獎勵 一直不能看影片拿獎勵 爛透了
35,2018年12月8日,5,有些關卡需動腦，很有挑戰性，是每天必玩的好遊戲。
36,2018年12月12日,1,更新後除咗關卡照舊但其他嘢全部唔見晒！請解釋！！！！！
37,2018年12月20日,1,4014步數少，怎麼過！！
38,2018年12月11日,2,4067怎麼攪的，快快修正
39,2018年12月27日,1,玩過非常多款消消樂 只有這款最吃運氣
40,2018年12月27日,3,3896~3900 玩咗好耐都未能過關，拜托盡快處理。謝謝！
41,2018年12月6日,2,家用電惱不能過關，停留很久了，唔該盡快開關，謝謝
42,2018年12月14日,1,Ok啦！
43,2018年12月17日,5,真的非常非常好玩 超級推薦的！
44,2018年12月27日,1,4044是什麼爛關
45,2018年12月23日,1,"最近都連不上fb,越來越不好玩"
46,2018年12月6日,4,最近遊戲廣告按下去就當機
47,2018年12月6日,5,糖果傳奇關卡到幾關
48,2018年12月21日,2,請問有中文版嗎 去哪裡下載
49,2018年12月17日,4,4138過吾到
50,2018年12月28日,3,換手機如何保留生命、寶物?
51,2018年12月7日,1,新關卡新關卡，更新很慢，效率差~
52,2018年12月13日,5,4009不會玩
53,2018年12月28日,1,3953関卡関，过不了
54,2018年12月9日,3,為什麼一更新，所有的魔法道具全數歸零
55,2018年12月11日,3,3967關一星期過不了關真的太……爛
56,2018年12月28日,1,希平英文，迷你淘磁等廣告一直當機，不但沒送分，還當機，生氣
57,2018年12月26日,2,小心廣告受騙！
58,2018年12月25日,1,一個没有好評的遊戲
59,2018年12月18日,3,廣告太多讓人玩不下去
60,2018年12月22日,4,請幫我更新FB的遊戲紀錄，我要重新玩
61,2018年12月23日,1,給的移動次數根本難玩
62,2018年12月15日,5,不錯玩 久沒玩 下載回來
63,2018年12月11日,1,4059不可能過關
64,2018年12月6日,1,3931改善一下
65,2018年12月12日,1,別傻了!!!!!系統讓你過，你才能過。
66,2018年12月11日,1,"Remove all the advertisements, please!"
67,2018年12月10日,1,廣告多到不像樣，比以前多很多!!!
68,2018年12月22日,5,遊戲好玩，但為何換了手機等級就從零開始呢？
69,2018年12月17日,5,太棒了!
70,2018年12月27日,1,4060？處理一下18步怎麼過？👹👹👹
71,2018年12月27日,4,關關難過，關關過~#4220~過啦
72,2018年12月27日,1,4034根本就唔夠步數，絕對冇誠意設計，很差很差很差👎👎👎
73,2018年12月22日,5,呵呵！！真的很不錯
74,2018年12月14日,4,打發時間還不錯
75,2018年12月21日,5,好打發時間的遊戲
76,2018年12月22日,5,so much fun tonight
77,2018年12月9日,5,4003 has bug
78,2018年12月23日,4,可以動動腦的遊戲
