,Date,Score,reviews
0,2017年8月15日,5,目前獎勵應該要多一點
1,2017年8月6日,3,為何無法開啓遊戲，一直無反應
2,2017年8月2日,5,各位叫我十八就可以了，遊戲開不起來，呵呵
3,2017年8月22日,1,為何連續技能不能用變成要手動?
4,2017年8月21日,1,下載好後 進入遊戲就畫面全部黒頻。。。有夠爛的 砍掉遊戲~.~
5,2017年9月2日,1,更新後開不了，一直在重開，火都上來了
6,2017年8月29日,1,都開不進去
7,2017年8月19日,1,不予置評，下載後連登入都無法。
8,2017年7月26日,5,青乌子
9,2017年8月19日,3,拼命閃退
10,2017年9月2日,4,閃退
11,2017年7月23日,1,更新完聊天都不能用是要怎麼玩   跟你們反應也不回   不要沒次更新都出問題可以嗎？不能全部測試好沒問題在開放嗎？  你們這樣都已經玩不下去了   在不處理  就不玩了  也叫朋友都不要玩了   錢也有花   你們這樣叫玩家怎麼玩的下去
12,2017年7月23日,2,一直更新～人家更新是越來越好現在卻是越更新問題越多～啊現在都不能打字聊天是怎樣；要叫人玩單機嗎？
13,2017年7月22日,3,我昨天玩還好好的，今天忽然要我重登，但之前好像沒有綁定，我不想重完，畢竟都玩到84級了，希望你們可以幫我找回帳號!謝謝
14,2017年7月21日,1,聊天系統常常壞，更新之後寶器欄位還不見是怎樣
15,2017年7月25日,1,看到所有的問題幾乎都一樣，看來官方也無任何意願要幫忙，只是一直叫玩家去反應，不知道是在反應什麼鬼
16,2017年7月21日,1,聊天系統是要壞多久才要修 真的很爛很誇張
17,2017年7月23日,1,罪惡值和懲罰值是怎樣，而且我沒有惡意攻擊別人，還有戰鬥力都上不去誒
18,2017年7月19日,1,遊戲還沒進就一直狂閃根本沒辦法玩
19,2017年7月22日,1,爛耶。更新到寶器不見。還把玩家都更新成啞巴
20,2017年7月21日,1,聊天系統都壞了官方都還不修太爛了
21,2017年7月23日,5,更新後無法打字聊天
22,2017年7月20日,2,更新後聊天系統全部故障，重新安裝還是不行
23,2017年7月24日,1,為何一定要WiFi不用就不能下載
24,2017年7月21日,1,更新完，聊天頻道看不到，重新下載後還是一樣
25,2017年7月24日,1,為什麼更新後聊天都不能用
26,2017年7月22日,5,聊天程式無法連結。是要叫我玩單機遊戲嗎？
27,2017年8月27日,1,更新後，聊天系統對話欄空白
28,2017年7月20日,1,登不進去 一直跳掉
29,2017年7月21日,1,一直跳，伺服器一直沒跑
30,2017年7月19日,1,搞什麼，聊天系統常常壞，不能對話是要怎麼玩？
31,2017年7月20日,1,為何有的副本不見了！
32,2017年7月21日,1,更新後一堆問題
33,2017年7月23日,1,全部頻道都看不見
34,2017年7月22日,1,聊天都不能  要人玩單機嗎？
35,2017年7月23日,1,很爛ㄋ，聊天都不見了，怎玩啦，刪游戲，不玩了，都一堆問題。
36,2017年7月23日,3,不可以聊天
37,2017年7月22日,1,無言以對
38,2017年5月25日,1,連維修還要等這麼久任務解完就沒得玩就是要人花錢你們不知道這遊戲已經跑走很多玩家了嗎？還越改越爛再下去不會有人在玩老九門了
39,2017年5月26日,5,裝備方面可以調率可以再高一點點，主線跟分線任務的打人等級也不要差了20多等，大部份這遊戲還是很好的，加油，看好後續更新發展
40,2017年5月24日,4,先說遊戲很多欺負弱小的玩家，為何要設定可以玩家打玩家呢== 意思是有錢儲值就可以欺負人嗎? 如果有想要多一些系統建議增加玩家與玩家之間情侶系統之類增加互動性! 謝謝
41,2017年6月5日,1,外掛一堆也不抓，16服那裡多到靠北，戰力50萬也能當跨服之王，攻城戰一堆人打不死兼飄移，算了  不玩了 錢再多也贏不了外掛
42,2017年5月25日,1,客服爛透了，請看看你們客服處理事情的放式，完全是沒在解決問題的回答，你們的客服只會做複製貼上的回答嗎？請給玩家有意義的答案而不是敷衍
43,2017年5月30日,4,70幾級過後到103級以前每天打完副本和一組日常任務後就沒東西可打了，沒任務就沒經驗值，升等就變慢。建議多一些可以一起組隊的任務，大家一起玩比自己掛網打那少到可憐的經驗值好，不然真的會厭倦，就不想繼續玩了！
44,2017年6月14日,2,高等玩家欺負低等玩家，你們都不會處理的嗎？特別是奶奶的家幫派裡的幾個人，沒幹嘛就隨便攻擊玩家，很令人傻眼和生氣，可以處理一下嗎？這個問題都不處理好，還叫我推薦遊戲？什麼都好，就這一點不好，希望你們直接處理，不要給網址說有小姐姐會解決我們的問題😒😒😒😒
45,2017年5月30日,2,打九點活動突然跳出遊戲重開然後就進不去。。。獎勵也沒了，可以設定九點活動結束前都可進入戰場嗎，我花不少錢玩，你們品質要做好啊
46,2017年5月28日,3,很多東西都需要儲值才可以買到，希望能開放遊戲能正常得到，不然玩久大家就知道這是一款課金遊戲，人只會越來越少，還有寵物跟本不會放輔助技能，請修正好嗎
47,2017年5月25日,2,畫面太卡了！已經設置最低畫素了！切換地圖都等了快半分鐘！其他遊戲都超級順所以不是我手機的問題！還有移動的操作鍵、才動了一次，後面居然自己左右搖晃，人物就自己在原地左右左右的移動，像個瘋子！
48,2017年6月21日,1,換手機就進不去馬的為什麼一和服戰力瞬間掉五萬多  你們騙很大欸   難怪一堆人合服就不玩   整天只想著騙錢
49,2017年5月26日,1,現在 怎樣啦…是要倒閉了嗎 請你們 有問題 可以貼文說清楚嗎… 乾脆所有玩家別玩此遊戲了
50,2017年5月29日,1,不好意識  昨天我剛儲值  結果沒有遊戲黃金   電信費都扣了   官方要怎麼補嘗
51,2017年5月27日,1,為什麼這兩天我都沒辦法進入遊戲，今天還不可以進入遊戲，如果都沒辦法，把我之前儲值的錢退給我，儲值那麼多結果沒辦法進去，是在騙錢嗎
52,2017年5月31日,1,客服真濫，組隊的三個人都卡死動不了，也沒辦法脫離隊伍，發訊息給客服只會給你網址要你從新下載，那你脫離卡死是放好看的喔…………什麼濫客服，別讓人覺得遊戲變濫，本來給五星，因為問題你們不處理，只好給一星了，不處理大不了不玩了。
53,2017年5月24日,4,建言系統維護因通知用戶，我剛進入遊戲ㄧ直進不去遊戲，請問系統維護到幾點呢？創意可取。
54,2017年6月6日,1,能否盡快修復商店的版本?apk包下載後一直跟我說版本太低，要來商店下載最新版本，商店版卻不能登入，請修復
55,2017年5月25日,1,維修說到12點結果變成快五點太扯，而且更新後還進不去，爛!小編請別回官腔說詞!
56,2017年5月24日,2,為什麼我的OPPO手機，更新後只跑的動卻沒辦法跑進遊戲，重新安裝也是一樣，可以幫我處理嗎？
57,2017年5月25日,1,現在是怎樣  進入畫面顯示初始化完成   然後畫面就反黑   沒儲值不給玩喔
58,2017年5月24日,1,早上下載完，注冊時，說要輸入驗證碼，結果只出現三碼，遊戲就一直出現驗證錯誤，好不容易進去了，發現伺服器是空白的，說是在維護中，現在更新完，又是當在那邊，是我帶賽？還是這個遊戲存心不讓我玩？
59,2017年6月4日,1,一下載打開按下載更新就跳回主畫面，等了一下子在打開，就一直閃，完全不能玩 手機是s7
60,2017年5月24日,4,更新完之後，無法正常進入遊戲，跑完資料條之後，畫面就卡住了T_T
61,2017年5月24日,1,更新完後不能進入  砍掉重下載一樣不能進去  麻煩儘快改善
62,2017年6月10日,2,我zenfone2下載初始成功動話也結束 全部都是黑屏完全沒有反應請修改
63,2017年6月17日,3,系統連FB都不能登，容量明明多到可以安裝系統，卻說我系統容量不足，然後玩遊戲看不到怪也看不到人物，讓人玩的很無趣，不過好玩就是了，
64,2017年5月28日,1,遇到你們這種遊戲客服，倒楣是我們這些玩家，給差評，真可惜你們沒有負五夥星選項
65,2017年6月10日,1,為什麼我儲值兩次 金條沒給我 首儲的東西也沒給 重點是 我重登案手動領取居然沒紀錄？！遊戲騙錢？
66,2017年6月15日,1,沒辦法進去，按進入就跳出來怎么玩，給你們一個字爛
67,2017年5月27日,1,很囉嗦，下載玩還要一些驗證，取得帳號這麼麻煩，不玩也罷
68,2017年7月5日,3,嚴重閃退  進不到3分鐘就一直初使化  這樣要怎麼玩
69,2017年6月24日,1,是類 3 小朋友 已經在玩了 退出 再進 又要重新 下載  爛透了 第二次刪掉
70,2017年5月26日,4,遊戲劇情跟原著很接近 日常任務…有點太多  全解要花近3小時
71,2017年5月27日,4,我密碼忘了。當初手機沒綁定  就不能找回密碼嗎？一定要我等24小時在來試？沒其他方法嗎
72,2017年6月28日,1,為啥下載好不能玩我用臉書的帳號按完之后出現白的不能玩幹
73,2017年5月29日,5,剛剛下載完，想要玩看看結果遇到維修，不知道何時能玩耶
74,2017年6月3日,1,"為何安裝後啟動遊戲就是一片黑幕?平版上週購買的新機種耶！與系統相沖突,可惜只能刪除了!"
75,2017年6月19日,4,請問為何更新後不能用goole的帳號直接登入了？！
76,2017年6月10日,4,登進去後就卡在畫面上了，完全沒有跑的意思，網路以及訊號都是滿格沒問題的
77,2017年5月26日,1,這是什麼好遊戲，連下載程式都要那麼久，另外遊戲的主題曲有夠難聽的說。
78,2017年6月10日,2,為什麼儲值了五次，顯示付款成功，信用卡刷卡訊息也跑出來了，確卻還是一直沒到帳，手動收帳也沒有
79,2017年7月21日,1,馬的累 更新完不能打字 所有的頻道都是空白的 我是在玩單機版哦
80,2017年5月31日,4,還不錯玩 劇情不錯 可是 新手剛進去老是被殺 能不能改成新手不能被擊殺？
81,2017年5月25日,3,更新完進不去，客服人員解說一下，啥時更新好都沒回應是安怎
82,2017年6月11日,1,到底有沒有修、初使化成功但畫面跳個不停進不去
83,2017年6月1日,5,請問一下 為甚麼更新後載進去載不 進去 重新下載後在載進去還是不行 可以給點回應嘛？ 謝謝
84,2017年5月25日,1,更新後打不開，請別回覆疑難雜症去你們客服網沒誠意解決
85,2017年6月28日,1,本來都想試試玩一下，但一見到塵位停個樣就不想玩了。
86,2017年7月10日,4,有處理好了也有補償了 可是今天又是這麼了 突然全部擋掉了
87,2017年6月29日,1,爛  用臉書登不進去   註冊  收不到驗證碼  搞屁噢
88,2017年6月13日,1,用手機玩都卡在進入遊戲那裡，已經好幾天了遊戲也進不去要怎麼玩
89,2017年6月3日,1,經常卡住 通知消息一直關不掉 還沒玩 就有這麼多問題
90,2017年6月13日,1,爛遊戲，看到唸稿式的介紹遊戲，讓我有股想摔手機情緒，那個女的唸稿式，介紹遊戲的聲音，令人發火，靠
91,2017年5月30日,3,一直初始化，每個人都是透明的，明明把很多東西刪了還是說我容量太小。
92,2017年6月10日,1,一開始播完動畫完就一直黑屏    不能玩請馬上改善
93,2017年5月28日,2,不太能鎖定敵人也很難接連擊讓我不太想課金
94,2017年5月29日,2,客服很沒效率，對於問題處理非常不積極
95,2017年6月5日,1,下載完就一直自動開始 連一顆都不想給
96,2017年5月25日,3,今天維護公告說到12：00，現在更新資料庫後仍然說還在維護中...到底...
97,2017年6月20日,1,卡住用FB帳號登入那玩皮屁哦
98,2017年6月7日,1,一直卡在登陸成功卻進不去刪了從下載也一樣、搞什麼
99,2017年7月28日,1,只能給一星，因為伺服器作太爛了我完全登不進去
100,2017年6月1日,1,是多缺連18app也在打你們廣告 給你們讚=1星
