,Date,Score,reviews
0,2018年8月30日,1,有事嗎？ 根本就沒有過聯盟的選項，還過去的聯盟中進行攻擊？ 聯盟在哪？ 聯盟在哪？ 聯盟在哪？
1,2018年9月2日,1,這次更新讓很多玩家離開！
2,2018年8月30日,3,說好的歐力入侵呢？公告說有，入遊戲看確沒有
3,2018年9月1日,1,找不到歐力入侵入口
4,2018年9月6日,1,爛透了更新完更難了
5,2018年9月1日,4,呵呵呵呵呵呵呵呵呵呵~太好玩ㄌ
6,2018年9月7日,5,好玩
7,2018年8月31日,5,好玩好玩
8,2018年9月2日,1,!!!∑(°Д°ノ)ノ
9,2018年8月24日,1,快倒了 連5倍也來臨了 高杯的玩家 有鑰匙 沒對手 送個3000有用嗎 鼓勵誰 戰術本來就是找有利的玩家攻擊 不是逼玩家 空戰一堆砲 陸戰一堆地雷 連挑有利的攻擊多沒有 只能看黑影 就開槍
10,2018年8月17日,2,"基本上官方很需要賺錢沒錯，但是你知道嗎？像歐力入侵，跟想炒高傳說卡片的價值，根本難長久，難度高但是遊戲快樂反饋少，更多的是中途放棄又或者隨便玩的玩家出現。。。這種類型遊戲通常還是靠幫會與團體對戰吸引人。。 
傳說卡片拿一堆有啥用?打獎牌第一? 有快樂嗎？"
11,2018年7月31日,1,11連抽活動花了4000顆紅寶石 連1張卡片都沒有 改名黑心活動好了
12,2018年8月6日,1,有沒有那麼誇張，上次暴風雪不給領，這次雪怪也不給，想賺錢也不是這樣賺的。
13,2018年8月23日,1,"入侵活動很難打, 傳說卡片掉落太低, 整個活動, 一張傳奇卡片也沒掉"
14,2018年8月5日,5,打發時間還有部落戰爭的模式強化版
15,2018年8月3日,3,玩到都不會玩了！差距太大了？
16,2018年7月31日,4,滿有趣的一款遊戲。
17,2018年8月4日,5,防衛戰要點哪裡才能玩呢？
18,2018年8月23日,4,角色可以再多一點
19,2018年8月19日,2,我的帳號不見了
20,2018年8月1日,5,好玩的軟體^_^
21,2018年10月21日,5,非常好玩
22,2018年8月24日,5,可愛，好玩
23,2018年8月17日,5,好玩
24,2018年8月25日,4,這個遊戲還不錯玩!😀😀😎
25,2018年8月25日,4,玩玩看....
26,2018年6月30日,3,"簡單容易上手是優點，但1不能指定攻擊位置會亂跑，2以金杯配對,打的好的反容易配到高等級對手,3配來配去都是那幾個人為其缺點"
27,2018年7月1日,1,"這麼多人反應為什麼都不改！ 就不能以等級高低去尋找對手嗎？目前用英雄點數尋找對手，等級都高10等以上這樣哪打的贏，一直打不贏誰還會想繼續玩 
打贏要增加憤怒值，那打輸為什麼不能減少憤怒值！真的是很不公平的遊戲"
28,2018年7月28日,1,"原本相當不錯… 直到更新後 哪無意義的小視窗出現！ 那提醒通知的小視窗不但多此一舉！而且擾民！ 一場不到３分鐘的遊戲 有的甚至才幾秒… 卻場場通知… 
我在此誓言： 若今年８月底前 不改回或改善… 我將刪除本遊戲 並且不再回鍋！"
29,2018年7月9日,5,安安熊熊你好你好棒太好玩起多多指教創作人謝謝啦你給我樂趣繼續做啊
30,2018年6月30日,5,為什麼被偷鑽石的時候都要花那麼多的月幣（1000）被偷錢的時候就只要花10塊月幣
31,2018年7月1日,1,請問到底怎麼關閉攻防時邀請好友阿，朋友已經被我line洗頻到爆了
32,2018年7月1日,2,對手之配對極不合理 對手之級數往往高自己10級以上 傳說卡片之機率太低 十分騙錢
33,2018年6月30日,1,剛進入攻擊，無緣無故就輸了，浪費我一支鑰匙
34,2018年7月2日,5,喜歡，會一直玩下去
35,2018年9月29日,5,很開心玩遊
36,2018年7月4日,3,更新後會閃退，會害我輸👿👿👿
37,2018年6月30日,5,有意思的遊戲
38,2018年7月3日,5,還不錯
39,2018年7月2日,5,👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑
40,2018年6月30日,4,好玩
41,2018年7月14日,1,爛遊戲
42,2018年7月23日,5,很好玩
43,2018年7月27日,5,是輸在
44,2018年7月30日,5,很好玩
45,2018年7月3日,5,Nice
46,2018年7月21日,5,NA
47,2018年8月1日,3,立竿見影
48,2018年6月27日,4,可以請官方抓一下外掛嗎，南宮千軍、你是瘋兒我是傻，這兩個人都是外掛，每場進攻動作都一樣，可以去看他們進攻的重播！
49,2018年6月27日,2,一堆人外掛，還有我的手機oppoA57無法使用魔法骷髏術。
50,2018年6月27日,4,希望發送友情點數的時候可以自行更改想要說的話
51,2018年6月18日,3,希望能改善壓等打衝名次的現象
52,2018年6月26日,4,內容有趣～不會乏味 可以打造內心你的王國
53,2018年6月6日,5,這是玩家對玩家嗎？
54,2018年6月30日,1,無法更新，錯誤代碼-506
55,2018年6月13日,5,還算不錯玩。
56,2018年6月2日,5,還能接受的遊戲
57,2018年6月21日,2,詛咒很討厭
58,2018年6月26日,5,還不錯的遊戲
59,2018年6月10日,2,不好玩，耗電快
60,2018年7月1日,5,不錯玩的遊戲
61,2018年6月10日,5,很有趣
62,2018年6月16日,5,👍👍棒
63,2018年6月28日,5,好玩
64,2018年6月17日,5,好玩
65,2018年4月18日,3,"兩次平衡修正沒有改善遊戲品質，最強的 AI 
還是存在，最前面關卡玩家人數還是不足。遊戲商沒有提供好的遊戲品質，只會出組合包，總結，適合不課金消遣時間的遊戲。 這次修正有嚴重Bug 
，導致西西不會攻擊，常常失敗。"
66,2018年4月20日,3,看樹等級扣卡片 太不合理啦 看等級扣還比較好呢 一堆人等級比我高 樹卻低我一級 我打他扣25% 他打我卻多五十% 這樣合理嗎？拜託 想一下好嗎？
67,2018年4月28日,4,不錯玩，殺時間，但配冰戰術要用點腦袋我24級8xx杯 有人24級不到500杯，建議如果現行兵法ok新月樹就先不要升級把高等可以多50趴卡片 可以刷卡片
68,2018年4月22日,1,改版完，友情點數根本完全被癈武功，即是不想人幫朋友戰鬥 另外百萬登入任務我一顆鑽石都拿不到
69,2018年4月23日,2,打到獎杯1490 經常找不到人能打 一直尋找對手根本有鑰匙也打不完 還有最近更新人物會打一打卡住的bug
70,2018年5月27日,3,其實排陣容有點困難 每次都要花很大一段時間 而且能不能開放2個陣容替換 還有...障礙物清除所需的月光石有點多 生成速度也有點頻繁 改正後會給5星
71,2018年5月2日,2,"請問現在輸贏分數到底怎麼算得? 我被打不管被扣幾趴都是輸是怎樣? 明明等級也都差不多為什麼- 16% 也是我輸? 
那我打別人40幾%為什麼也是我輸啊。。到底什麼鬼"
72,2018年4月21日,1,我才29級1200杯以上只能打33up， 要我怎麼打，也不能選低關卡的練卡片，不課金永遠不能升級。
73,2018年5月19日,3,打發時間的遊戲，類似「搶救莎莉」，只是多了攻防及佈陣，最近很多人會發現bug情形越來越嚴重，本來贏面，突然bug頓了1-2秒，結果瞬間兵死光了，會有這種異常現象，不外乎2點，1:遊戲本身出現異常問題。2:這遊戲的外掛程式已經開始荼毒遊戲了。
74,2018年5月12日,1,友情點數不知擺在那要幹嘛用的……滿到爆！不能隨意送好友也不能抽卡！？所以它的用處是佔信箱空間嗎？
75,2018年5月23日,5,我覺得巨型砲臺應該要修正，把砲彈丟出去的動作要做出來，而不是只有一顆砲彈做拋物線而以
76,2018年5月15日,1,"為什麼詛咒值不到100%還是會一直被攻擊啊！ 而且明明就剛被打過下線沒勝場，一登入就在給我詛咒倒數，是在數三小？！ 
而且30000多的月光幣突然驟降到1000多，可以別那麼黑嗎？ 這麼坑爹跟種花電信有什麼分別！？"
77,2018年4月24日,1,安裝後等待許久始終停留綠底色的啟始畫面中，進不去！刪了換別的遊戲吧！爆爛的
