,Date,Score,reviews
0,2018年12月16日,1,Ip位址無故被封鎖，客服也無回應
1,2018年12月19日,5,好玩，boss 關卡都有技巧不會單調無趣，銀幣比較難賺
2,2018年12月12日,1,為什麼會卡在進入遊戲的畫面
3,2018年12月24日,4,還算不錯 推薦給大家
4,2018年12月8日,4,伺服器開太急了，要小心死服
5,2018年12月21日,1,中國出品遊戲寫台北？政治不要在遊戲上出現
6,2018年12月28日,1,開個聖騎士職業
7,2018年12月8日,4,整體中上，僅有一問希望改善 問：「找回前一日未達成」功能中的「精英副本找回獎勵」僅侷限於首位與二位角色這點可否將【找回精英功能改成任兩隻角色已使用找回功能後其餘則無】而不是侷限於首位二位?玩了多名角色後的想法 小小的唸一下..是否為Q版(MT)角色配音員為不同人?大多與印象中的聲音不同聽著怪彆扭的。
8,2018年12月10日,1,11服 註冊滿 這樣怎麼跟朋友玩啦 😑😑😑
9,2018年12月23日,1,朋友在S12，快開放創角啦~QQ
10,2018年12月6日,4,可愛！好玩！
11,2018年12月6日,5,看錯服務器了
12,2018年12月21日,5,好玩，又不用花大錢
13,2018年12月12日,5,可以在多像聯盟的角色嗎？
14,2018年12月5日,5,有童年的回憶
15,2018年12月7日,1,卡住不能玩
16,2018年12月8日,1,"Mate 20, 9.0 玩不到，開不到App,"
17,2018年12月8日,2,為什麼還是會一直不時的閃退？？
18,2018年12月5日,5,不錯玩
19,2018年12月17日,5,很好玩
20,2018年12月22日,5,還可以
21,2018年12月22日,1,難玩。
22,2018年12月7日,5,good
23,2018年11月25日,3,請問為什麼獎勵跑到我第二隻角色身上 玩第一隻角色玩那麼久沒收到信箱開第二隻就有得到是怎麼回事 其他帳密也沒收到 路上卻看到一堆人騎那隻豹 能給個答案嗎
24,2018年11月21日,5,請加開伺服器分散流量不然卡到玩不下去 手遊做成這樣沒話說了比PC遊戲優畫面又細緻 先給5星
25,2018年11月23日,1,會不會太扯 下載後就一直卡在登入畫面 什麼東西都沒跑出來 刪了在從新下載還是一樣 既然這樣當初廣告打那麼大幹嘛 想玩都不用玩 那還急著打廣告開服?
26,2018年11月21日,1,雖然遊戲運行順暢畫面也不錯但是忍無可忍 過場老是給我卡在loading一進去副本或者競技場換地圖一直卡卡卡loading刪了
27,2018年11月28日,1,媽的 剛剛登入要強制我綁定帳號結果也沒綁到啊 我現在整個腳色全都消失了 搞毛啊 玩了5天現在全不見？
28,2018年11月23日,1,跟本不能玩都載好了進去確是看圖沒在下載我看廣告才來玩結果體驗是這樣1星不多說
29,2018年11月25日,5,玩了以後發現畫面真的像回到魔獸一樣的感覺…只是封測的時候副本都要等很久，希望正式的時候，不要再排那麼久了，手機電量有限啊...其他的真心覺得很棒
30,2018年11月23日,1,這遊戲 太令我失望了 說要預約送座騎稱號 開服又不給我 開po又叫我 私訊?私訊完又話要去找客服?客服完又冇回音 ?是在耍我嗎? 有冇搞錯 難道真是期望太高 注定難過?如果不盡快給回我 我和 朋友們就馬上轉game了 害我久等那麼耐
31,2018年11月25日,5,好耐冇玩GAME…試下呢隻 比心機廠商就一定要好好支持。近期發現既超級神作，果然沒有讓我失望
32,2018年11月22日,1,維修完之後角色登入ㄧ直登不進去，顯示錯誤訊息請重新登入，試了很多次都ㄧ樣，重新安裝也沒用，能處理ㄧ下嗎
33,2018年11月26日,3,可以一開始登入遊戲 把那個動畫改掉嗎 因為OPPO 卡在那邊 連載入都沒跑 因為前面動畫跑不出來 謝謝
34,2018年11月22日,1,卡登入畫面都不會動，連進都不能進5顆星怎麼來的害人期待那麼久爛遊戲不值得玩
35,2018年11月26日,2,8服伺服器可以再多開點人數嗎？朋友都在那裡我缺沒辦法玩這樣很難給星評分能幫忙想個辦法嗎？感謝
36,2018年11月27日,5,"估唔到角色技能又幾正斗 ok啦,新game黎講節奏算係幾快比其他同類型黎算係有誠意"
37,2018年11月28日,1,"根本唔吸引，改埋啲麒麟怪既名。 畫風成隻喜洋洋咁樣樣， 難為啲youtubers絞盡腦汁度橋hardsell隻game. 你賣得好唔好唔關我事，啲低質廣告阻住我睇Youtube, 特登下載評1星！"
38,2018年11月28日,1,剛剛登入時我的人物通通不見了 你說的方式我試過了 之前玩的都不見了 便新創的角色 到底要不要處理
39,2018年11月25日,5,一試難忘 勁好玩極力推薦這個手遊，畫質真心勁正，背景音樂和配樂都做得Very Nice，推薦大家下載。
40,2018年11月25日,5,聽返Ｄ音樂好有回憶 依好多回憶都變左手機GAME 但呢隻仲愈出愈好 支持
41,2018年11月22日,1,開服當天整天沒法玩，既然還沒準備好為什麼要急著開服呢？明明知道會因此得負評價
42,2018年11月27日,5,輕鬆玩～試下無妨最buy呢種玩法 人多一齊玩真係唔錯痴左線，玩唔停手XD
43,2018年11月22日,1,遊戲走來走去！飛來飛去！蠻無聊的！重點下線要再上線居然還有一千多人排隊登錄遊戲！哈哈根本無需再考慮直接刪除遊戲！ 遊戲本身很普通！還要排隊才能玩！真好笑欸......
44,2018年11月24日,5,劇情有點多，有些我根本看不完就跳過，後來又覺得好像有點可惜，畢竟魔獸的任務是一大賣點，所以重創了一隻角色重玩看劇情XD
45,2018年11月25日,5,"難得一隻好玩嘅GAME 真心係幾爽既,希望可以再加多少少職業同角玩喇"
46,2018年11月22日,5,隻game真係可以24個鐘不停玩 今個月又做左滅團之星，有無巴打收留我
47,2018年11月22日,1,容量1.5g，下載完只有一個畫面，還真順，那個畫面從頭到尾都不會動，一個畫面要1.5g.我看我還是刪擋好了，不敢想像後面會有多順。
48,2018年11月23日,5,唸書時玩的魔獸，真的很有懷念感，MT4真的內容把我帶進以前的時光，除了魔獸，也沒有其他讓我再玩這麼長時間的遊戲了，真的很懷念
49,2018年11月22日,1,說好維護2小時，結果變成8小時，維護以後直接無法登錄，找客服，客服不理！寫email發現email是假的！這遊戲還有什麼是真的！
50,2018年11月27日,5,我覺得這遊戲本來就是要花時間跟精力去培養的，沒有花錢也可以玩的很好阿，我也是花時間去練
51,2018年11月24日,5,人物風格我還蠻喜歡的，玩法也很多樣，而且需要很用心玩，雖然有點累，但我覺得這才是遊戲，不錯給五星
52,2018年11月28日,3,畫面是不錯，只是真的太lag了，有時候還會回朔，只能說改善空間還很大，虧我還滿期待這遊戲的說
53,2018年11月25日,5,唔係大陸GAME就比5星 諗返起由第一集到衣家真係幾感動
54,2018年11月27日,5,"每隻角色都唔同,玩得過 建議大家初期入公會先玩過好多同類遊戲呢隻最好"
55,2018年11月22日,5,11/22維修完有部分玩家包括我，剛開始任務送的戰熊，竟然不見了，這樣在成就會少其他玩家一隻座騎…
56,2018年11月24日,1,沒預約禮包無心給玩家遊戲權益無心處理玩家需求補發給我就幫你打5星
57,2018年11月22日,2,遊戲太卡，耗電量又太大 邊充邊玩還會耗電 遊戲是不錯啦， 還有伺服器排隊這點不人性 該改進
58,2018年11月23日,1,為什麼救助村民要一直救明明下面讀取條一直跑但是還是沒救到已經不知道跑完幾次了
59,2018年11月22日,1,"登入卡在一隻牛的畫面完全不會動,用換了兩WIFI跟個人手機網路都還是一樣!"
60,2018年11月21日,1,玩遊戲會一直卡住死當，一直斷線，我是sony xa1 有衝突嗎？其他遊戲沒遇過這情形
61,2018年11月25日,5,"good game, can't stop playing 俾朋友叫左一齊玩,本身無興趣, 一試就黎晒料"
62,2018年11月21日,1,很好的遊戲，可惜1:耗電量恐怖，（玩了2H電量從91剩下38）2:動畫太多太耗時3:畫面切換過久（實際測量最短的切換時間要大約6秒）4:人物頭上的血條跟實際血條未同步5:副本沒有自動功能（僅有解任務時才有）……，這是我玩2H的感想。若有改善我再來玩。
63,2018年11月22日,1,維修後紫裝武器，紫裝皮帶，紫裝胸甲……紫裝就算了，公會不見，連爐石都不見了，等級卡在22級 經驗值16500/17000就拿不到經驗值了
64,2018年11月25日,5,雖然跟魔獸還是有那麼點不一樣，但時代不一樣了吧，現在玩這個滿滿的回憶感
65,2018年11月21日,1,卡畫面或加載不了的快退遊戲吧，下一款會更好，不用跟官方打嘴炮，不玩不消費就好。
66,2018年11月22日,1,事前預約都沒簡訊，看到電視才知道開始，下載完推薦伺服器要等1400多個，真不知道要說什麼
67,2018年11月26日,1,一進遊戲就看到抄襲阿阿阿，是以為那個遊戲沒人玩了才去複製人家的職業圖示來當技能介面圖嗎？！？！
68,2018年11月24日,5,"呢種GAME開正我果範 琴晚滅左好多次團,都算開心既"
69,2018年11月22日,1,好險還沒儲值，玩家一直砍來砍去是怎麼了，和平都還可以砍，沒有安全區，不要說野外打怪，城鎮都照砍不誤，這遊戲不適合和平主意者，對我來說，這遊戲有夠爛
70,2018年11月22日,5,打算長玩，有冇人跟？ 講起我叫MT 真係上咗年紀嘅球迷先識....以前真係好經典架
71,2018年11月25日,5,都給五星 但是麻煩請把 副本以及戰場維修好 因為進去後 狂斷線 暈倒
72,2018年11月22日,2,事前預約好禮以及永久座騎 到底有沒有要給予啦 簡訊也沒有序號也沒有 事前預約是預約假的嗎？
73,2018年11月23日,5,玩到條仔同我分手CRAZY 課得多都唔太有用，都係要用心機去慢慢養大
74,2018年11月22日,4,我的是HTC m9u很想玩這款遊戲可以幫我看看嗎？很喜歡這系列的麻煩了我卡在登入畫面
75,2018年12月2日,1,從開始玩一直到昨天伺服器不穩定臨時維修前，我對這款遊戲蠻喜歡的。維修過後雖然有了補償，也是我不斷斷線的開始……打什麼都斷。在維修前我從來都沒斷線過，偏偏我又是補，補一斷就滅團了。本來沒事的，現在被嫌棄到一個不行，對此失望到極點，耐心也磨光了……在此勸各位，如果剛開始接觸，發現有斷線的情形，就別跟我一樣搞到後面被駡雷……
76,2018年11月23日,5,下載開始玩了以後停不下來，如果不是我媽叫我還真的忘了時間，給五星
77,2018年11月27日,5,終於等到你出！點都要支持下 見咁多人話好玩就試下！童年回憶多人戰幾刺激
78,2018年11月22日,4,搞什麼鬼 第二伺服器進不去 一直顯示連接錯誤 重登也一樣 其他伺服就進的去
79,2018年11月22日,2,因為廣告特地下載 真是奇特的遊戲 連登錄畫面都出不來 我不知道怎麼玩
80,2018年11月21日,3,傻眼 要排到一千多號才能進入伺服器 可以一次開4服嗎
81,2018年11月22日,1,傻眼耶，綁定後密碼一直錯誤，點忘記密碼用手機找回，也一直收不到認證碼，昨天才儲值，今天就不給玩？
82,2018年11月24日,5,"好多討論區都有提呢隻 第一次玩呢類型嘅遊戲,估唔到D系統變化咁多"
83,2018年11月22日,3,可以多開幾服？一直關閉伺服器，都還沒登就關閉這樣子還要繼續玩？何況剛上架欸
84,2018年11月28日,1,同樣的東西別的玩家都可以正常贈送好友，我的就不能贈送好友，多次打副本死亡會當機又不是單機遊戲還當機的
85,2018年11月27日,5,可能胃口被養刁了，需要手動操控的遊戲反而玩起來沒那麼順利，看來要加強自己的技術了..
86,2018年11月26日,5,"看到廣告好奇下載一下,風格還蠻不錯的,是我喜歡的類型..內容也很豐富,繼續遊戲中,大家一起來玩吧"
87,2018年11月27日,5,"圖片5星DL完再講 每隻角色都唔同,玩得過最近太多垃圾,顯得呢隻特別OK"
88,2018年11月23日,5,"我等級應該也沒衝太快啊!但為什麼副本找不到人一起打,快來人加入跟我一起下副本打寶啊!"
89,2018年11月23日,1,遊戲不好的原因是在裡面的銀幕左上方的個人的角色圖像，這一點要改進，因為沒有顯示角色人頭，就這樣了
90,2018年11月23日,5,我第一次玩這種遊戲，所以蠻好玩的，不錯！希望可以出多一點東西
91,2018年11月28日,1,你這遊戲怎老是當掉，解個任務採集物品踩了老半天數量是0，解個任務沒經驗值的，打個副本，沒匹配，也說我正在匹配，到底搞不搞的定啊你們
92,2018年11月24日,5,看到電視上廣告來的，覺得畫面好像不錯，哈哈哈。遊戲很有趣，正在玩精靈法師
93,2018年11月24日,5,"MT系列也算是魔獸回憶之一呢!想不到有手遊版,畫面流暢,內容很豐富,好玩"
94,2018年11月23日,5,看到電視上廣告來的，覺得畫面好像不錯，哈哈哈。遊戲很有趣，正在玩精靈法師
95,2018年11月23日,5,唔知點解咁多人俾一星評 玩落唔差 有無兄弟可以帶一帶玩
96,2018年11月29日,1,垃圾遊戲 事前登入也登入了 拉了一票人來玩就我沒拿到 花了幾萬 客服只會擺爛 一個推一個 一隻座騎而已 其他人都拿到了 客服就是不處理
