,Date,Score,reviews
0,2018年12月21日,5,遊戲不錯但介面剛進看不懂，而且好玩不用解釋，比傳說好太多了，外觀也平易近人，價值很符合。
1,2018年12月15日,2,匹配時間真久啊XD 我不如拿那些時間去玩幾場傳說XD
2,2018年12月22日,1,是安怎 不回應 斷網斷成這樣 又不賠償 準備提告
3,2018年12月21日,3,重新下載，複製檔案到一半就閃退，重開也一樣，記憶體和網路都夠
4,2018年12月23日,4,回到大廳會卡畫面欸 重開都又跳出 遊戲中移動有時會自己停下來 考驗我的操作......
5,2018年12月24日,5,為什麼我重新開機後就被刪了而且空間也沒多出來
6,2018年12月17日,5,比某某某絕還好很平衡沒新角就有優勢的問題
7,2018年12月20日,5,太棒了！跟傳說X決比起來差很多欸！但是剛完2天就閃退了，重載沒事了！ 感謝你們對台灣電競的發展！！！！！！
8,2018年12月28日,2,不是有犬夜叉嗎 桔梗ㄋ那結梗什麼時候會出現
9,2018年12月28日,5,整體遊戲做的很棒，只是部分內容過於繁雜，對於新玩家有些難以熟悉。
10,2018年12月6日,3,請問一下為什麼更新後，我已解鎖的角色直接沒了？然後沒有任何告知及補償？
11,2018年12月22日,5,相對於其他遊戲 不管是不是日式 這種古裝風格一直是我的菜~~
12,2018年12月25日,3,網路連線品質不佳 用行動4G網路常常爆p 希望能改善
13,2018年12月28日,5,角色平衡很好，遊戲也很棒。 只是同類型遊戲競爭太大，玩家流失了很多
14,2018年12月4日,5,喜歡裡面的角色 希望可以出更多的角色造型
15,2018年12月17日,5,遊戲很不錯 不知道課金的方式有沒有第三方
16,2018年12月21日,1,什麼角色都沒在平衡的 想必你們一定是用腳在平衡對吧 難怪
17,2018年12月7日,1,這次的更新也非常的卡頓呢，有什麼解決的辦法嗎？不然有出活動的時候感覺這麼卡頓遊戲體驗會很差😥
18,2018年12月16日,4,遊戲好玩但是這次改版真的改的很爛… 明明就是團隊遊戲為什麼資質賽還要規定5人只能排到5人 回覆了遊戲問題還是只有很官方的回答 所以到底有沒有要修回來？ 沒辦法跟朋友一起玩都只能跟路人打這跟單機遊戲又差了多少… 希望可以認真的考慮一下
19,2018年12月7日,3,會當當的 人物模擬在跟精緻些就好了
20,2018年12月17日,5,比傳說好多了 但是人數真的太少 排都很久
21,2018年12月21日,5,酒吞童子可以改強一點嗎？被削弱很多，也一直被放風箏。
22,2018年12月20日,2,我的手機一進入螢幕就只顯示一半而已
23,2018年12月20日,5,很喜歡畫風 還有不強求課金的角色和造型
24,2018年12月8日,4,為什麼開遊戲會一直閃退？ 重新安裝了之後也是一樣
25,2018年12月25日,5,希望遊戲的連線品質能夠優化，蠻容易爆ping的
26,2018年12月25日,2,為什麼我登不進去我的帳號中心可以修復嗎
27,2018年12月8日,4,登入時上方會少一區，跟本不能玩，希望能改善
28,2018年12月25日,5,角色平衡做到很好，開放內容對玩家很友善，MOBA在手機上也可以這麼好玩，很驚艷
29,2018年12月4日,2,我不懂為什麼我遊戲的大頭照無法更換
30,2018年12月7日,5,好玩，控制也不錯 （一點也沒輸傳說
31,2018年12月7日,5,連我這個白痴都會玩了
32,2018年12月20日,4,如果伺服器可以再穩定一點就好了
33,2018年12月26日,3,為什麼加好友都不給加，一直講該地區不能加好友，明明同地區
34,2018年12月26日,3,這遊戲出了這麼久 怎麼伺服器還是這麼爛
35,2018年12月4日,1,久久回鍋來玩結果帳號不見是哪招？
36,2018年12月16日,5,我喜歡日本妖怪希望未來出更多的妖怪
37,2018年12月28日,2,我綁定的帳號不見了，請問要聯繫哪裡才能找回呢？
38,2018年12月23日,3,無法更改自己的圖片，選好了但都上傳不了
39,2018年12月18日,5,希望可以有蒐集東西換腳色的活動
40,2018年12月24日,4,還是新人 太多角色 真的很多不會用
41,2018年12月26日,4,為什麼我進不去，每次都在複製檔案時跳掉
42,2018年12月7日,2,可否檢舉不要只扣人品質
43,2018年12月12日,1,角色平衡也差太大了吧
44,2018年12月21日,4,演員再少一點就更好了
45,2018年12月24日,3,連線品質很差，時常莫名奇妙斷線欸
46,2018年12月22日,3,容量太大
47,2018年12月14日,2,因為我怎麼登都登不進
48,2018年12月21日,5,很佛心而已角色平衡很好
49,2018年12月22日,5,總希望能不要當一點
50,2018年12月21日,5,覺得需要更多玩家的加入
51,2018年12月9日,5,我覺得有些要靠技術
52,2018年12月9日,4,不錯只是匹配的人很少
53,2018年12月13日,5,我不知到要寫啥
54,2018年12月14日,5,佛心遊戲不玩嗎
55,2018年12月22日,5,用腳做平衡的遊戲 加油
56,2018年12月29日,3,空間夠但自己退出
57,2018年12月29日,5,因為我朋友 覺得很好玩
58,2018年12月5日,1,不讓我進去。還說什麽複製資料
59,2018年12月10日,3,點進遊戲一直閃退，請處理一下
60,2018年12月20日,5,網路伺服器不是那麼穩定，希望可以改善
61,2018年12月26日,5,希望外觀能便宜一點●ω● 不錯玩，我hen推薦玩喔～
62,2018年12月8日,3,為什麼我換不了頭貼？？選好我想要的結果回來還是沒換
63,2018年12月11日,1,唉！玩家素質真的低，操作又爛，優化又差，難怪沒人玩
64,2018年12月21日,5,很棒！做的很細緻！角色也很多好玩的
65,2018年12月22日,5,希望能多加推廣此遊戲
66,2018年12月25日,2,連進去都無法進入
67,2018年12月14日,1,連線品質超爛
68,2018年12月6日,5,希望有更多活動
69,2018年12月13日,5,比傳說對決好多了
70,2018年12月12日,3,犬夜叉到底要出了沒啊！
71,2018年12月14日,4,很有日式風格
72,2018年12月15日,5,整體來說角色還蠻平衡的
73,2018年12月21日,5,平衡性不錯的對戰遊戲
74,2018年12月28日,1,oppo r11一直閃退
75,2018年12月22日,5,優美的角色和震撼的操作讓我愛上，了！
76,2018年12月19日,5,好遊戲大家一起支持！
77,2018年12月29日,1,真的讓人很錯愕，我換手機以前明明有綁定帳號（臉書），結果之後換手機下載後我用臉書登入結果莫名其妙的帳號被刷新，強制重新辦帳號到底是怎樣？現在找不會來是我的問題嘛？當初綁定好才拿到以津真天的，結果咧現在我怎麼玩？我花那麼多時間在上面，就這樣被強制重玩？遊戲這樣做的嘛？會不會太誇張啊，可不可以幫我找回帳號啊！我ID都還記得欸
78,2018年12月10日,5,在MOBA類中以日系為主題 顯獨樹一幟 角色在真實與動畫之間的平衡 完美 角色設定與造型打扮 不過於裸露👙 動畫特效和中日英語配音 毫不馬虎🐎🐅 劇情動畫與故事內容 很用心喔 數據統計和出裝分析的縝密貼心💕 讓玩家可以時時刻刻增進自己的遊戲技巧 間接提昇整體的遊戲品質✨ 說真的 以一個MOBA手遊來說 可以說是非常值得上癮的😎😎😎
79,2018年12月11日,5,絡新婦好玩！
80,2018年12月21日,5,新體驗，愛日系的會很喜歡
81,2018年12月13日,1,為什麼我登錄進去？
82,2018年12月10日,5,殺人跟切菜一樣
83,2018年12月21日,4,配對系統需加強
84,2018年12月21日,5,請大家多多支持
85,2018年12月29日,5,我愛山兔
86,2018年12月28日,5,腳色平衡很高
87,2018年12月11日,1,排位賽根本亂排，低端高端混著配，打屁啊~
88,2018年12月11日,5,我愛跳妹
89,2018年12月16日,5,超好玩 推！
90,2018年12月17日,1,一直叫我評分
91,2018年12月19日,4,給個4星
92,2018年12月20日,4,好玩不過錢賺太少
93,2018年12月21日,5,簡單易上手，方便雷隊友，人物很可愛
94,2018年12月26日,1,舉報就是個裝飾
95,2018年12月22日,5,我愛這遊戲
96,2018年12月22日,4,希望鬼切出來
97,2018年12月8日,4,好玩，但角色不是好看，希望出一點漂亮的角色。
98,2018年12月15日,5,很好玩真棒很可愛
99,2018年12月28日,5,平衡度很好，一起好好玩
100,2018年12月21日,5,很好玩，畫風很美很喜歡
101,2018年12月21日,5,畫面美麗，遊戲流暢，軟體資源效益很高（省電，不發熱）
102,2018年12月21日,5,面靈氣我老婆♥超可愛
103,2018年12月7日,5,超棒的!!
104,2018年12月14日,4,畫風好看 遊戲好玩 讚＞w＜b
105,2018年12月21日,5,跟老婆一樣有味道。
106,2018年12月15日,5,好玩！
107,2018年12月9日,5,角色畫風可以
108,2018年12月8日,5,很好玩的遊戲
109,2018年12月12日,5,可多給錢
110,2018年12月14日,5,池子可以餓
111,2018年12月15日,5,靠北好玩
