,Date,Score,reviews
0,2018年12月28日,1,荒野你改的越來越爛啊你要不要把他改回來我觀戰別人就不能留言了
1,2018年12月13日,5,【特訓通行證】升級高級通行證的玩家輸入$HeN醉_餓餓$的邀請碼：&Qg0XRE2Q1ur90igB&，雙方均可得特訓積分*100以及特訓勳章*1！（可直接複製本條消息在相關介面粘貼）
2,2018年12月1日,3,很好玩但是太耗電了，不然打個幾場手機就沒電了😭
3,2018年12月18日,5,遊戲很好玩，服裝和槍都很漂亮，跑車也超帥的~希望未來可以新增在超商儲值的辦法(例如 : Mycard、ibon)，不然沒有信用卡只能找代儲，風險高又麻煩！！
4,2018年12月1日,3,每次下車都卡在地底下 出不去 被毒死 你們bug也太嚴重了吧
5,2018年11月28日,4,現在登入怎麼變成安卓審核服 我的人物勒
6,2018年12月24日,1,郵件的一鍵刪除是假的嗎？爛透了，檢舉外掛沒用。底下的回覆是官方耍玩家用的，沒改進抓外掛，我是不改評論，也不會儲值的，請官方放心。(2018/12/25，續更評分，官方繼續回覆官方答案，我的評論還是無感，不修改評論，反正你們也無所謂。
7,2018年12月15日,3,一開始玩的時候我覺得非常好玩到了最後這遊戲變得有一點點不好玩了。
8,2018年11月28日,1,綁定人物全不見 儲值全沒了 太誇張 直接全部歸零喔
9,2018年12月3日,4,為什麼一直抽不到好東西呢？我花了15000才抽到了一件好衣服，希望可以改進
10,2018年11月29日,5,很好有東京地圖可送6000鑽真好有這遊戲，永遠都玩不膩
11,2018年11月29日,1,有事嗎 用模擬器一直當機 打到一半當機 要開車也當機 趕快解決好嗎
12,2018年12月28日,1,為何有一堆bug不修，推薦好幾次，不管是嗎？爛遊戲，比free-form爛，希望公司倒，爛遊戲，很喜歡讓別人儲值，推薦大家不要玩這遊戲，外掛多，檢舉沒用，爛
13,2018年12月3日,1,用模擬器玩就很不公平 手機平板操縱旋轉不能這麼快有點瑕疵
14,2018年12月4日,1,跑更新 跑了快2小時 我都睡著了 還在跑 之前更新都跑的很快 現在怎麼了
15,2018年12月14日,3,為何每次玩時明明網路滿格 卻一直當機 請快點修正
16,2018年12月5日,1,坑錢的遊戲！新的賽季還要充值去升級通行證，上一季就花錢了，新的一季還要人花錢，都不怕玩家不玩一樣！！
17,2018年12月13日,4,新地圖 都市前線 有問題 我跳傘開不了傘我會直接摔死
18,2018年12月27日,1,欸欸現在是怎樣更新之後移動鍵常常卡住到底是怎樣一前不會現在就會卡住請馬上改回來給五星不改連遊戲都刪！！！！！！！！
19,2018年12月27日,3,有些手機有瀏海會遮擋到遊戲畫面，希望可以新增調整遊戲的畫面大小
20,2018年12月29日,3,为什么我的耳机插上去说话队友听不到拿下来说话又可以听的到了
21,2018年11月28日,3,無言 我的角色不見了 什麼安卓審核服 你在跟我開玩笑嗎？
22,2018年12月1日,1,為甚麼突然要進去荒野的時候進不去啊畫面一直卡在主畫面啊！我重新下載還是一樣啊我等了一兩個小時還是等不到啊 ヽ(#`Д´)ノ浪費我的時間和錢
23,2018年11月29日,5,我今天更新結果沒辦法進去你快點處理我有一大堆套裝欸
24,2018年11月30日,4,為什麼一早更新完伺服器變成安卓審核服 然後原本的遊戲資料都不見了？
25,2018年12月19日,2,進不去遊戲裡 每次都這樣 一直未選擇伺服器
26,2018年12月1日,1,非常爛 儲值已扣款卻沒收到要有的點數 官方處理的速度也是非常非常的慢 幾乎都不想處理 金額也不小3000台幣 有這麼不積極的官方實在是...
27,2018年12月3日,1,進都進不去進去了玩一下退了退了再進不能上車了臥槽
28,2018年12月25日,3,沒辦法與LINE連動，完全無法登入，一直重複解開LINE密碼的畫面，根本不能玩
29,2018年11月29日,5,公測的都市陣線電梯要修一下 因為會被電梯外東西擋住
30,2018年12月2日,5,我神女每次打很多人的時候就可以殺死所有人
31,2018年11月30日,1,更新完之後單排每次玩到一半就遊戲崩潰完全動不了連也連不回去一定要完全退到主畫面才可以然後就一直週而復始重開斷線重開斷線……
32,2018年12月27日,5,更新之後問題都解決了
33,2018年11月28日,5,希望能有讓無課玩家抽到更好東西的寶箱
34,2018年12月2日,1,首先，你們遊戲品質都做的很棒，這姑且不論，但令我最不爽的一點，就是抽獎方面，我都儲了4000元了，結果連一台跑車都沒有，請改善抽獎的機率問題，不然很快又有人要退抗了，最近沒場都是電腦知道為什麼嗎？因為所有人都因為抽不到跑車啊!所以請改善。
35,2018年11月30日,1,我他們不知道怎麼儲值啦，那些有儲值的炫耀一大堆自己的好東西，還有一堆強到外掛的人跟真的外掛，破爛公司破爛遊戲最喜歡做的就是破壞遊戲體驗
36,2018年11月30日,5,遊戲很用心 讓玩家有多種模式 地圖可以選擇
37,2018年12月7日,4,有外掛。 而且舉報之後沒有通知。好像抓不到。請盡快處理這個問題，不然遊戲會越來越無聊。
38,2018年12月28日,1,為什麼明明打對的引繼碼卻一直說不正確
39,2018年12月23日,1,今天打五場有兩場遇到遁地掛 貴遊戲這品質？
40,2018年12月28日,5,為什麼HTC的手機怎麼當害我都殺不到人
41,2018年11月29日,4,衣服，槍造型，車子造型可以多出一點。但希望補給可以很容易抽到好東西。
42,2018年12月6日,3,我真的快對這遊戲絕望了，已經好幾次，不能邊走邊滑螢幕了，很煩...重新刪掉一樣...更新樣。越來越絕望了乾
43,2018年12月2日,4,最近有儲值一直沒抽到東西 雖然有兩台車子，但我想要主宰 其他新車我都不要我的名字是Top.夕陽下 拜託可提高命中率嗎？
44,2018年12月1日,4,我希望能夠指定要聽到指定的人的留言因為有人會亂罵
45,2018年12月2日,1,根本沒辦法加好友 輸入朋友的ID跟名字都找不到朋友
46,2018年12月11日,1,只能說爛 明明網路正常 卻說網路連結不上是怎樣
47,2018年12月24日,5,我花了1萬給我全部消失騙錢嗎
48,2018年11月29日,3,到底在搞甚么请问？登录也卡顿 玩游戏也卡顿 触控一直触控不了 没有反应 整个卡顿请问要玩家怎么玩阿到底在更新甚么？都不修复的？ 一直掉KD是要怎么玩？
49,2018年12月6日,4,點進去時我就一直卡在一開始的畫面，就是跑數據的那個畫面，我連跑的東西都沒顯示出來叫我怎麼玩？
50,2018年12月10日,5,這遊戲好玩，但我抽到M4A1影子特工永久卻突然消失了拜託幫我處理一下
51,2018年12月18日,1,我為什么突然都點不進去，一直跳回來，可以幫我解決嗎，我沒辦法玩了
52,2018年12月7日,2,遊戲是能玩，但匹配時會閃退
53,2018年12月27日,5,希望你們可以改竟卡在說什麼 獲得服務器訊息
54,2018年12月2日,3,抽到的東西都無顯示在倉庫中
55,2018年11月30日,5,為什麼遊戲打不開 我明明有網路 但都沒數字說要開始了？
56,2018年12月12日,3,為何我無法律下載 每次下載到最後就無法繼續下載
57,2018年12月15日,1,line綁定之後一直跑到賴的界面不給我玩
58,2018年12月7日,1,我的帳號可幫我找回嗎 名字：王牌。殺手 。裡面有儲，儲了也不少 拜託了官方！！！
59,2018年11月29日,1,今天跟新完就一直閃退完全沒辦法玩
60,2018年11月28日,1,為啥更新完我的人物不見了。請問現在是什麼情況
61,2018年11月30日,5,不好玩1周年要給槍造型給禮包自己選
62,2018年12月1日,5,下載新地圖後整個遊戲會有些蕩 甚至整個手機
63,2018年12月3日,4,我希望那些槍的鑽石在少一點 這樣我買不起
64,2018年12月9日,3,遊戲準備時間可以再快點，都滿人了還要要幾十秒
65,2018年12月5日,5,雖然畫質不錯！！但是，可以不要有外掛嗎？可以不要有卡頓嗎？不然玩家會流光光阿！
66,2018年11月29日,1,跟金幣沒什麼兩樣抽不到好槍要賠我一把好槍
67,2018年12月12日,4,送點槍因為有的人沒除值我有處值
68,2018年12月8日,1,网路4格一样卡到炸，开门回朔2秒，怎么玩啊？官方
69,2018年12月3日,3,都市地圖更新後，模擬器遊玩上容易當機，任何地圖都會，麻煩改善一下，謝謝
70,2018年12月8日,4,我只是一個月沒玩而已，現在一更新就整個帳號不見了，好友名單和鑽石全都不見，現在變成一個全部重新的帳，到底是怎樣啊?我該怎麼做才能恢復原本的帳號？
71,2018年12月15日,4,這遊戲如果容量小一點我才想玩
72,2018年11月30日,1,為什麼更新完，我按瞄準器時，鏡頭會自動向左偏移，而且很不好控制
73,2018年12月29日,5,為什麼在激戰原野的纜車上開槍就掉下去了
74,2018年12月8日,2,武器倍數鏡不好取得 更新怎麼都無法
75,2018年12月22日,4,這遊戲我覺得只能5年紀適合遊玩
76,2018年12月7日,5,玩的時候會卡卡的希望改竟永遠之持荒野
77,2018年11月29日,1,完全進不了遊戲！更新完後就瘋狂閃退
78,2018年12月1日,5,為什麼重載了一次之後，會卡在登入前，它說獲取服務信息0%？
79,2018年11月28日,1,外掛多如牛毛，我們中國人的伺服跟日本鬼子分開好不..沒什麼好叫好交流，語言也不同，到底？搞好嘛 難怪退一堆人
80,2018年12月8日,1,欸欸，為什麼我十連抽軍需，卻被你們的爛系統吃掉，浪費我1200點欸
81,2018年12月9日,1,有補助瞄準，這什麼爛遊戲！ 射擊遊戲本來就不該有補助瞄準 這毫無意義可言啊...
82,2018年12月15日,5,我不用儲值就可以拿到要儲值的東西
83,2018年12月23日,1,抽遊戲的車太難抽了~也都沒保底多少能抽到
84,2018年11月30日,5,希望能送我進擊巨人的槍
85,2018年12月14日,2,為什麼偵數設定不能調到極限
86,2018年11月28日,1,為什麼變安卓審核服 而且人物都被洗掉了
87,2018年12月17日,5,請問台灣新的儲值方式點卡是哪一種
88,2018年12月1日,1,一段時間沒儲值 還會降vip
89,2018年12月2日,1,狂閃退又登不進是怎樣
90,2018年11月30日,5,為何我的畫質怎麼調都是模糊的
91,2018年12月8日,1,為啥一直顯示網路連接不上
92,2018年12月18日,1,為什麼我的遊戲到主畫面之後就進不去了
93,2018年12月28日,2,進入遊戲後當機之後開不起來
94,2018年11月30日,4,之前的fb登入 重新下載後就不能登入ㄌ
95,2018年12月1日,2,感覺一堆外掛 不然就是電腦跟手機沒分開的感覺
96,2018年12月16日,5,超級好玩！！！！👍👍👍👍。我順便還要恭喜你們滿一周年哦！喜望你們繼續做出新的模式，創造出更多的快樂！
97,2018年11月28日,5,奇怪餒，剛更新玩沒跑出東京地圖欸
98,2018年12月5日,5,為什麼一直登入不進去 一直跳出來
99,2018年11月28日,4,請問號應該不會消失吧... 我怎麼更新三次還進不去
100,2018年12月13日,1,乾 有時不時就斷線或當機，遊戲就跳出去，媽的
101,2018年11月30日,1,更新完不給登是殺小
102,2018年12月1日,5,新地圖一直閃退 沒辦法玩
103,2018年12月4日,1,爛檔案20天還沒下載好
104,2018年12月5日,4,為什麼我之前的帳號 會不見請改善
105,2018年12月16日,4,現在玩比之前還會當機
106,2018年12月18日,5,很好玩 希望能有跟多的東西
107,2018年12月19日,1,外掛一大堆是要玩什麼
108,2018年12月21日,2,遊戲更新後一直lag還會回溯
109,2018年12月21日,5,线上回报无法登入怎么联系客服
110,2018年12月23日,4,進入有點慢所以不給5星
111,2018年12月23日,5,妳們可以用情侶互換照
112,2018年12月28日,1,Samsung note3 下載完後登不進去
113,2018年11月28日,1,不像絕地那麼好控制 還是偏好絕地
114,2018年11月29日,1,為什麼帳號認證失敗，明明幾小時前還可以用。
115,2018年12月21日,5,好玩是好玩但他不讓我登入啊
116,2018年12月1日,3,一直在line那邊卡住，登不進去
117,2018年12月3日,1,我以前的帳號因為更新，不但找不到，加好友也找不到
118,2018年12月1日,2,本來好好的，但突然就不能登錄了
119,2018年12月15日,5,非常好玩，就算刪除了，也讓我印象深刻
120,2018年12月16日,1,我有綁定為何要重新
121,2018年12月15日,2,很卡很卡還是很卡，爛爛爛，越更新越爛，現在超想把遊戲給砍了！並告訴我所認識的朋友，叫他們不要玩這款很卡很爛的遊戲!憤怒中
122,2018年12月21日,4,我的号无缘无故就被禁言10天，
123,2018年11月28日,5,為什麼更新了全部都要重來
124,2018年12月1日,3,我的另一隻手機無法下載
125,2018年11月30日,5,我覺得人可以換ㄧ下
126,2018年12月3日,1,下戴侯沒辨法登入
127,2018年12月12日,1,一進去就閃退無法玩
128,2018年12月13日,1,當死了是要給誰玩
129,2018年12月16日,3,為什麼我的81式步槍怎麼不見了
130,2018年12月18日,5,目前最好的吃機手遊
131,2018年12月20日,2,想玩可是一直進不去 希望改善一下
132,2018年12月20日,3,B ug太多 而且會跳圖
133,2018年12月25日,1,為什麼都連不上服務！這也太爛了吧
134,2018年12月27日,1,很難吃雞 想移除了
135,2018年12月27日,3,這一兩天進不去
136,2018年11月28日,1,怎麼更新完了 怎麼都要重新玩了 太誇張了吧
137,2018年12月19日,1,狗遊戲跳一直跳到箱子上
138,2018年12月28日,1,一直卡在本地資源29.26的位置登不進去
139,2018年11月29日,5,這次更新活動算是讓人心服口服了
140,2018年11月28日,1,原本安卓帳號為何不見了，有綁定fb 的
141,2018年11月28日,1,是怎樣我的帳號也不見了
142,2018年11月30日,5,為什麼很久沒完帳號就不見了
143,2018年12月1日,1,登不進去 很煩 幹
144,2018年11月30日,1,根本進不去要玩個甚麼!
145,2018年11月30日,3,一進去的時候會當機
146,2018年12月7日,5,有時候都等不進去
147,2018年12月8日,2,為什麼進去時一直出現line
148,2018年12月6日,2,fb帳號完全登不進去
149,2018年12月11日,1,怎麼按都會一直跳出去
150,2018年12月18日,5,我覺得這個遊戲很好玩
151,2018年12月26日,5,希望遊戲速度可以快一點
152,2018年12月24日,1,荒野無法進入畫面怎麼辦
153,2018年11月28日,3,更新之後顯示安卓審核服，然後原本的帳號整個消失了...
154,2018年11月30日,3,為什麼都儲到菁英5了，呢但是都抽不到跑車，
155,2018年12月1日,5,很好玩因為我覺得很刺激
156,2018年12月1日,5,公平，寫信給官網也有回覆，對玩家回饋很好~
157,2018年12月15日,1,我告死你們我跟你們講
158,2018年12月28日,3,生化模式太少了拉 不能在加幾場嗎？
159,2018年12月14日,5,好玩希望可以在真實一點 ㄥ！
160,2018年12月26日,4,喜望可以出售物品
161,2018年12月28日,5,可以了謝謝觀方的改善
162,2018年12月28日,5,好到無法說，不過跑車太貴
163,2018年12月23日,4,"希望有湯姆森衝鋒槍,as12 散彈槍"
164,2018年12月25日,5,想儲又不知道怎麼儲，請教一下
165,2018年12月21日,1,很爛欸，遊戲莫名其妙開不起來
166,2018年12月21日,1,為什麼我還個手機卻還要重新開始呢？
167,2018年12月17日,3,請問如果檢舉別人，那你們都會怎麼處理呢？
168,2018年12月9日,1,當死了是怎樣
169,2018年12月7日,1,載了就沒了，根本不能玩
170,2018年12月12日,1,越來越難吃雞 不太想玩了
171,2018年12月14日,3,今天(12.14)晚上完全進不去， 重新下載。重開機。都試過了
172,2018年12月15日,4,下雨天會不能玩
173,2018年12月8日,2,之前都能用fb登入 為什麼現在不行 按用fb登入之後會顯示登入失敗......😭
174,2018年12月10日,3,一個更新之後原本的所有內容都不見了，在搞什麼？(之前的評論) 為何今天(2018.11.29.)打開遊戲會一直跳出？ 我紀錄都在Knives Out(不是新地圖那個)都打不開，請問怎辦？ 幸好我自己找到解決方法，不然的話就一直無法使用，還耗掉了好幾個(大約350個)鑽石補簽，但應該還有幾天的登入禮沒能領取，實在是太不貼心了！
175,2018年12月6日,5,要不要花錢你可以自己決定，不要在那邊怪公司坑錢，他們是不用賺錢哦？ 遊戲都免費了還在那邊嫌遊戲不好 ╮(′～‵〞)╭ 真的不懂。
176,2018年12月9日,4,麻煩把送禮用回來啊！
177,2018年12月8日,5,不錯但會卡
178,2018年12月8日,1,為何新版不能索要東西
179,2018年12月4日,2,登太久久超爛
180,2018年12月3日,1,資源包下載完後不能玩！！！一直跳掉
181,2018年12月7日,5,很好玩很喜歡但是為什麼一直閃退?
182,2018年12月2日,1,mate20pro 更新完一直閃退怎麼玩？
183,2018年12月2日,1,用line登的帳號不見了
184,2018年12月3日,5,這遊戲真的很棒👍 我很喜歡
185,2018年11月30日,1,進不去 也沒玩到
186,2018年11月30日,4,為什麼我進不去荒野行動
187,2018年12月3日,1,可以恢復贈禮功能嗎
188,2018年12月2日,4,為什麼跟新後，花寶石跟金幣買的永久槍都不見？？
189,2018年11月30日,5,希望可以更新進擊的巨人
190,2018年11月30日,1,更新完登不進去
191,2018年11月30日,5,非常好玩，但造型槍不好抽
192,2018年11月28日,1,我的帳號呢怎麼不見了*煞姐*為什麼要重新玩
193,2018年11月29日,3,今天更新完，一直閃退，一碰到車就當，卡讀取，災情慘重。
194,2018年11月29日,2,更新後無法進入遊戲
195,2018年11月28日,1,為什麼帳號不見了 無言
196,2018年11月30日,5,可以抽個種東西
197,2018年11月30日,1,沒有毛瑟是正樣
198,2018年11月29日,4,無法換頭像，每次換都會與伺服器斷線
199,2018年11月28日,3,今天更新後進不去了
200,2018年12月29日,5,M16A4步槍太少
201,2018年12月29日,5,M16A4 步槍太少
202,2018年12月28日,3,為什麼我現在一直登不進去？
203,2018年12月16日,1,一直進不去
204,2018年12月26日,3,請問一下，情侶要怎麼解除。謝謝
205,2018年12月25日,1,音樂怪怪的
