,Date,Score,reviews
0,2018年12月17日,1,講的這些我都知道也已經設定了 現在更誇張的是 按任務或背包或是商店 都會閃退黑屏 打活動王也是一出王就卡 不然就黑屏閃退 真的都是我們的問題不是你們問題嗎 這隻手機sony xz3 十月才出 都跑不動你們遊戲 我想這手機我可以砸了對吧？
1,2018年12月12日,1,我的ipad 卡在100%，重新安裝也是一樣，但是用手機share wifi 就可以馬上登入，這樣讓人要怎玩，剛儲值就發生這樣
2,2018年11月22日,1,每次回報問題都給罐頭訊息，遊戲不穩定，禮包貴到爆，遊戲中賺錢太難，代理商無心經營，只想爆賺，沒顧慮玩家遊玩品質。
3,2018年11月23日,1,這次更新一直無法玩裂縫，召喚石，裝備副本與新的蝙蝠俠，今天修正後還是沒改善
4,2018年12月15日,1,你們遊戲到底有什麼問題啊！卡的很嚴重、害我一直花紅鑽、也玩的很不順、真的很爛
5,2018年11月21日,5,1.希望可以買傳送卷。 2.金幣副本給的金幣也太少，比韓版少很多。 以上請盡快改善可以嗎～
6,2018年11月28日,4,"The costumes and weapon masks are causing game crash, long standing problem since monster strike. Please fix."
7,2018年11月21日,5,"我用的手機是 C9 Pro, 嘗試很多次，登入完後即閃退，但我用其他手機玩又正常，希望修復"
8,2018年12月4日,2,坦的霸體根本沒用 反射傷害沒實裝 是玩個屁 常閃退 打時空都不給特性石 是要玩什麼 資源也摳的太緊了
9,2018年12月3日,2,助手外掛都不抓的，去買商城包月的都是白痴嗎？那不如直接買外掛就好了
10,2018年12月15日,4,整體不錯就是動畫太多 希望有手動關閉的功能 這樣更簡化 給沒時間玩的人多一點時間
11,2018年12月6日,1,活動狩獵當得太嚴重了，請改進一下，不然活動會變的沒意義
12,2018年12月17日,1,為什麼新手送的東西都SR等，那舊玩家幹嘛還花時間花錢去洗裝啊，都給新手玩就好了 到底能不能解決閃退的問題啊，打個活動一直閃退，原本可以拿到的獎勵都沒了
13,2018年12月2日,5,尼亞到底是誰，找了一個多小時，按任務一直亂跳，一開始跳商城，重開後又跳每週任務，主線點了也不會自動巡路，求解
14,2018年12月12日,1,活動打王伺服器直接沒回應是怎樣，Lag到伺服器連不上，是不想送核心就不要辦活動
15,2018年12月12日,1,"經典地爛，我用寛頻外加用XZ3,根本支援不了這遊戲，這不是手機遊戲了，乾脆變回pc game吧，爛爆了"
16,2018年12月20日,1,不把時空箱子改回來，下個月我準備退坑了，爛死了1星都不值。
17,2018年12月4日,1,聖騎打什麼都慢打人又不痛被打就秒殺玩屁哦
18,2018年11月25日,1,"抽寵機率太騙錢，繼上課HK$238 50箱+“一萬六千鑽”才開出第一隻SR後，今次HK$238 50箱+半價寵800鑽 20箱,70個箱= 1隻S...……官方覺得我以後還敢課金抽寵嗎 = =”"
19,2018年12月10日,1,活動分流一樣搞死人
20,2018年11月25日,3,更新後常閃退，請改善bug
21,2018年12月18日,1,我用華為Y7 ，都換了2只手機了，還是閃退到抓狂，真想開罵了
22,2018年12月23日,1,從開服玩到2次合服到最近棄遊。這遊戲除了搶錢還是搶錢！當玩家都是課長。強者越強弱者越弱。每次維修改版就是要玩家花錢。想變強嗎？請課吧！砸吧！否則...就別玩了！比這好玩的遊戲多的是。因為沒有它你會得到更多更輕鬆。請三思！
23,2018年11月22日,5,人物漂亮才會捨棄M 來玩天二呀
24,2018年11月28日,5,玩這款遊戲手機要什麼等級才夠
25,2018年12月2日,4,錢如果能賺多點更好
26,2018年11月23日,1,遊戲平衡越來越差，可以申請退費了嗎？
27,2018年11月23日,5,高質素遊戲畫面等同Playstation👍
28,2018年11月22日,3,更新後看不見其他玩家
29,2018年11月22日,1,有花錢強化沒過，沒花錢強化MAX
30,2018年12月7日,3,更新後經常彈岀，越更新越差
31,2018年11月29日,5,我都帶你去死
32,2018年12月5日,3,一直斷線，是快倒了嗎
33,2018年11月27日,5,好玩的遊戲
34,2018年11月21日,5,有考慮要新增暗器功能嗎？
35,2018年11月23日,5,非常的好玩本來一直想說到底好不好玩？玩了一下結果我真的是上癮了哈哈對了你們可以把流暢度提高嗎我就只有這要求拜託囉！😆😆😆😆😆😆😆😆😆😆😄😄😄😄😄😏😉我給【50顆星】
36,2018年11月29日,2,一直閃退
37,2018年12月13日,5,常不能上網
38,2018年12月12日,4,入五到遊戲
39,2018年12月19日,5,能玩就好
40,2018年11月23日,1,I'm hat you
41,2018年11月23日,1,......一進去就會閃退請感快修復
42,2018年11月21日,5,好遊戲
43,2018年12月20日,5,蠻好玩的
44,2018年11月23日,4,Good
45,2018年11月26日,5,好
46,2018年12月2日,5,好玩
47,2018年12月14日,5,Fun
48,2018年12月19日,5,no
49,2018年11月2日,4,"這次改版召喚石改的很好，最多可連續打20顆,5開沒彈窗過，手遊如果要花太多時間在操控上那一切就沒意義了。"
50,2018年11月3日,1,這次改版太糟糕了，手機lag到爆，手遊是不給手機玩嗎？只給桌機加模擬器玩？？真的不懂，不要再叫我去反應，因為lag到連官方申訴頁面都開不起來
51,2018年10月30日,5,如能把紅人死亡會隨機掉裝備，可改善一般玩豙不會被亂殺的情形。這様遊戲更加良性公平。
52,2018年11月16日,1,每次更新不知您們是否有優化好，反而讓裝置越來越LAG甚至無法動彈，這樣容易耗損裝置效能與壽命……等等，所以只能給予一星
53,2018年10月31日,5,為什麼我進去祭壇時空任務打到一半螢幕會變黑屏 只看的頭上名子 ，我是用2018IPAD玩的
54,2018年10月30日,2,能請官方修正馬伕勒石的數量嗎？馬伕勒碎片一天才幾個，蒐集100碎片才1顆衝裝備一次要10顆以上還不一定過…若衝一件裝備需要5張卷軸就需配5顆馬伕勒可以嗎？血盟購買的碎片真的太少，還有時裝部分一直出新的能否之前舊的時裝回收賣回系統獲取少量或是一半藍鑽石呢？買新時裝後舊時裝只能當灰塵以上兩個問題，感謝。
55,2018年10月31日,5,發生嚴重洗鑽事件，只停帳號7天完全不是解決方法敷衍了事
56,2018年11月18日,5,強化系統成功率極低的用意是想讓人花錢，我能接受，但是卻沒考慮到花錢之後的玩家一樣強化失敗很沒保障，之後就不會想再花錢甚至不會想再玩下去了，並不會因為一直失敗而一直花錢，別把玩家當傻瓜，官方怎麼不想想為何現在玩的人越來越少了，花了錢還買不到強化成功率誰還會想再花，從剛開始一群朋友在玩，到現在幾乎全部都因為強化系統太爛而退坑不玩，有些朋友花了錢買卷軸馬夫到最後裝備強化甚至比不上沒花錢的玩家，這樣對花錢的人實在不公平，希望官方真的有誠意改善，不然只會一直流失玩家而已
57,2018年11月16日,1,我是4G+網路滿格，手機性能規格又好 ，為何一直自己退出遊戲😠沒怎樣一直自己退出遊戲 不想儲值了 要刪遊戲
58,2018年11月4日,5,你們用心在經營這個遊戲 但是不要把一些動作搞得太複雜 你可以成就不要輕易將軍
59,2018年10月30日,2,問題好多…紅點修不好閃退修不好…可以再好一點嗎？
60,2018年11月20日,1,一直閃退！安卓手機一晚可以閃退四五次，蘋果手機就不會，安卓版的天堂肯定有問題啦
61,2018年11月11日,3,閃退閃得很誇張、 解任解到不曉得在玩什麼了...
62,2018年11月21日,1,內容好 太好了 好到手機平板玩不起來 每次副本 完美閃退
63,2018年11月20日,2,請問雄獅的號角要去哪裡收集?
64,2018年10月31日,1,剛改版完小額買沒給商品是怎麼回事
65,2018年11月14日,3,安卓9動畫會破圖
66,2018年11月10日,2,點主線任務會跳去公會
67,2018年11月4日,1,為啥我的角色常常被刪掉
68,2018年12月1日,1,從測試玩到現在遊戲變爛了
69,2018年11月6日,5,每次更新完，問題就一堆，這樣的水平還想賺甚麼錢
70,2018年11月4日,5,自動組隊 會自動取消 要怎麼玩
71,2018年11月6日,1,機率極度人為，不是很休閒的遊戲，小課等於沒課，大課極沒意義，PVP別說，連基本打怪都能讓你被怪虐的嫑嫑，組隊只是假像，除非閒到只能盯著手機，不能離開手，只花30分鐘甚至一小時在手機或電腦前解任，解到讓你不知道在玩什麼，整個世頻就是仇恨，相互叫罵，不掛沒資源，掛了不是閃退，就是被白目殺，總之就是閒到眼睛離不開畫面的人，和錢多到可以拿來燒肉吃的大爺，才能體會遊戲的樂趣
72,2018年11月14日,5,非常好的遊戲！
73,2018年11月2日,4,遊戲內容豐富有趣
74,2018年11月21日,4,打怪賺聲望都比較刺激。
75,2018年11月16日,1,強化沒有一個規則，你來強化30給我看，老是閃退，爛爛爛，，
76,2018年11月22日,3,能繼續經營
77,2018年11月10日,5,遊戲玩得開心，最實際了~
78,2018年11月3日,1,垃圾遊戲
79,2018年11月25日,5,超好玩。
80,2018年10月30日,3,太會閃退了...
81,2018年11月6日,5,很好
82,2018年11月22日,5,很棒了
