,Date,Score,reviews
0,2018年12月28日,5,有五星給五星
1,2018年12月27日,5,嗯，有逐步在改善，好吧，給你五星
2,2018年12月27日,5,遊戲順暢，操作簡單，好玩
3,2018年12月28日,5,音效佳，故事劇本不錯。
4,2018年12月28日,4,卡池可以分開嗎？角色，龍，護符
5,2018年12月27日,5,不錯玩啊
6,2018年12月28日,5,還不錯
7,2018年12月28日,5,還不錯
8,2018年12月27日,1,垃圾遊戲
9,2018年12月28日,5,真可愛~
10,2018年12月27日,5,good
11,2018年12月28日,5,好玩
12,2018年12月17日,5,不得不說這遊戲沒甚麼缺點硬要說抽不太到五星角..玩遊戲兼看動畫bgm與聲優表現的都很好讓人深入情境的感覺老任出品果然不錯
13,2018年12月21日,5,我不知道為什麼會有這個問題 可能是我手機的關係不過我還是有反應一下結束關卡的時候加好友如果對方已經滿的話遊戲就無法繼續必須重開 繼續的按鈕不會出現
14,2018年12月16日,3,有時候打完，就會突然斷線一定要重開，等修好Bug我在給5星 4G滿格/Wifi滿格 還是會斷 不是網路問題
15,2018年12月23日,5,最不像日系手遊的遊戲；只要有點耐心根本不需要課金就能拿金色角色且經常辦活動稀有材料隨手可得！！
16,2018年12月16日,5,劇情很棒！ 音樂超愛的！ 不過AI超笨 戰鬥中都不會閃避根本用臉接敵人攻擊 然後 沒有部位攻擊貼圖 還有我課了7個單 還中不了全部活動裡角色和龍 = =
17,2018年12月17日,2,護符，一卡車的護符，再怎麼強大的護符，裝在爛角色身上一樣沒有用啊，我已經戰力不夠了，打不過去了，還是護符，失落的龍絆？不如說是失落的五星
18,2018年12月27日,5,對這次發生錯誤的處理方式有點不能諒解，信用是很重要的讓玩家不敢課金甚至連存石頭都覺得懶了
19,2018年12月26日,3,對mix3的手機可以支援滿版的解析度嗎？畫面下方一大片黑畫面 非常的無奈
20,2018年12月28日,5,常常被打飛到地圖外或是封閉區域，然後就回不去了
21,2018年12月16日,5,遊戲裡讀取還是有點頓頓的，當然遊戲沒有完美的，但是能盡所能去改善，相信這是非常值得走長遠的遊戲
22,2018年12月17日,5,雖然角色有點難抽 但不用太好的角色也能玩整套遊戲 偶爾送個五星卷nice
23,2018年12月17日,1,開服到現在只有抽到唯一一隻五星腳色其他都是垃圾三星角所以給你我全部抽到的腳色平均星星
24,2018年12月27日,4,糞game+1 禮裝，角色，龍混合一池，抽卡機率被暗改調低，送個10抽卷，打發誰啊！可惜最低只能評1星，不然連1星我都不想給，已退坑!任天堂算倒楣，找了cy這個有詐欺前例的合作，招牌算是半砸了
25,2018年12月19日,1,龍族跟角色5星機率低到爆炸 唯一的5星角色還是課新手禮包750才有
26,2018年12月13日,4,打龍龍鱗掉落太少了，一場超級下來初階龍鱗才2～4個，戰鬥AI太笨。
27,2018年12月27日,4,控制差 太多報告 不再詳述 不過公司不錯 可以玩 就是活動比較單調 兩個不停循環
28,2018年12月22日,2,系統算完整 音樂不錯 但是畫面差 操控性更慘已經是2018的遊戲 卻還輸2014的操作性 加油好嗎大廠？
29,2018年12月18日,5,操控手感差些 劇情 音樂 人物 圖像算是優質 目前已知BUG就是在戰友人數滿時 如果在按下邀請戰友 會提醒戰友已滿無法再邀請 然後遊戲會直接卡死...得重新啟動遊戲
30,2018年12月18日,4,要抽到5星不容易啊 然後檔案真的好大 手機必須清空才能玩
31,2018年12月20日,4,副本结束加了好友，但是别人好友满了确定后结算界面就会卡住只能关掉游戏在打开这不修一下吗？
32,2018年12月21日,5,很好玩的遊戲，主線劇情和活動劇情全部都有很專業的日文配音，畫風也很不錯 剛剛遇到選擇再戰後，重複申請路人好友，跳出已申請過後，底下的再戰與繼續按鈕都不見了
33,2018年12月20日,5,團隊遊戲由能量更改共鬥之翼，我覺得這樣活用性太低，應該改成團隊遊戲可以使用能量及共鬥之翼，且共鬥之翼由一小時恢復一個改為半小時半個共鬥之翼，這樣能量半小時恢復5能量相當於半個共鬥之翼，這樣不會出現能量20及25都要三個翅膀這樣的差異，希望官方可以朝這方面讓玩家更好進行遊戲，謝謝
34,2018年12月22日,3,只要戰鬥結束後加好友 如果對方好友已滿的話 遊戲就會當機 希望能改善
35,2018年12月20日,2,抽獎機率很多人提，就不說了。關卡難度跳太大且作業感太重，近99%的玩家只能每天打重複的關卡，尤其迎擊不知要打幾千場。最難真龍的副本至少也要打個幾百場。
36,2018年12月21日,5,很重視玩家意見，更新的速度也很快，而且每次更新都會送10連抽，連線時隊友幾乎都五星角，說抽不到的應該是少數的非洲人吧...
37,2018年12月17日,4,還不錯 用skip券過場也簡短多了 想抽誰就中誰的感覺超棒
38,2018年12月16日,5,佛心公司 願意傾聽玩家意見與問題 積極改善與補償 推一個
39,2018年12月17日,5,整體而言不錯玩，但不知道是我手殘還是手機慘 有點遲鈍
40,2018年12月19日,4,希望能提高抽中五星的機率，我已經抽了十多次十連抽了，一次五星的都沒中
41,2018年12月20日,5,有開必抽五星卷，也來了10抽卷補償，有感聽見了聲音，繼續加油~希望不會在破壞遊戲體驗了！
42,2018年12月27日,4,好玩，但bug還是很多。申請完好友續戰又彈出來，再點申請就會卡遊
43,2018年12月18日,3,"角色要升級的時候就顯示有新資料，之後就一直進不到遊戲裡面，因為被""有新資料""給擋住了。"
44,2018年12月19日,1,抄人反去告人，共慘任+黑農cy大合作。
45,2018年12月27日,5,真龍級難度，技術能力要求高，很不錯的挑戰。 希望能繼續維持角色間平衡
46,2018年12月27日,4,好玩，節奏也很爽快，但是背景音樂和遊戲很不配音。。。單調而重複的音樂。。。boss戰卻播那有氣無力無一分緊張感的vocal.....希望可以改善。。。。音樂很影響遊戲的耐玩性哦
47,2018年12月16日,4,能解釋一下為什麼每次共鬥一直斷線嗎？我的機型是Oppo AX5
48,2018年12月27日,4,遊戲挺好玩，劇情令人期待 但卡池滿滿的護符，希望能提高五星角色、五星龍的機率
49,2018年12月18日,2,好遊戲爛營運，頂配莉莉真火開幕死亡，為了吸金也不帶這樣？
50,2018年12月25日,4,還不錯 聽說這遊戲蠻佛心的 只是抽獎 五星機率較低
51,2018年12月14日,5,很棒的遊戲遊玩方式，營運也很願意傾聽玩家們的心聲改進
52,2018年12月17日,5,為什一直顯示有新資料 然後又進不去?
53,2018年12月18日,3,完全抽唔到好野，十抽全三星，一百抽有五星啊，不过重复噪
54,2018年12月20日,1,無緣無故鎖帳號莫名其妙
55,2018年12月23日,5,寶石跟鑽石是平等的非常好，還有角色的升階也很好
56,2018年12月28日,4,一個池抽三種東西，坑錢也有一個限度，自動AI還是有等於無！
57,2018年12月17日,5,雖然機率很低，但整體而言系統很完整 官方又很注重玩家聲音，很棒
58,2018年12月17日,4,进城出新资料提示，但是已经退出下载后，进去还会反复强制弹出
59,2018年12月16日,5,總算改善了許多BUG 也有很多補償，玩家的意見也有積極做改善 送的東西也很好
60,2018年12月25日,4,遊戲本身很好，但最近網路連線狀況不太好，常常轉很久或斷線
61,2018年12月23日,4,遊戲本身還好，但每場打完申請好友時有高機率卡住，好煩
62,2018年12月17日,5,真的很佛 每次新角出來都送10連
63,2018年12月17日,4,更新之後一直顯示認證失敗欸
64,2018年12月23日,5,抽到貞德就是爽，免費石頭浪費掉，害我花了900才中，不計較了
65,2018年12月20日,1,連線品質超級差，戰友申請時額滿容易發生死當
66,2018年12月15日,5,真的很佛心，有bug也會馬上改掉，中獎的機率也不會很低。
67,2018年12月15日,4,共鬥之翼太缺了 輕鬆玩的玩家跟朋友玩個幾場就沒了根本玩不久 而且每日任務有送回體力的蜂蜜 但沒有靈鳥之灰 登入獎勵也沒送 怎麼玩得長久
68,2018年12月17日,5,更新後關卡結束無法繼續遊戲，只能關遊戲重開
69,2018年12月14日,3,一直跑出用戶認證失敗
70,2018年12月15日,5,好玩，但能不能幫我修復只要我打完一關在申請戰友時，如果對戰方好友滿了，就會整個螢幕停住，也沒有繼續的按鍵
71,2018年12月16日,4,cy的游戏玩法还是可以再加强，另外，技能和装备对动作的补正希望提高，动作幅度可以有更好的体验
72,2018年12月23日,5,很好玩的遊戲加倍有感剛玩抽到兩隻加倍角
73,2018年12月19日,1,垃圾騙課遊戲，彩圈出無用龍符，角色龍一樣都無
74,2018年12月23日,1,玩了兩三天都正常，現在卻一直驗證失敗，到底是怎樣。
75,2018年12月19日,4,"Despite the small chance of getting a five star, it is a good game"
76,2018年12月20日,4,如果可以再多送一點石就好
77,2018年12月24日,4,跟白貓比操控還是差了點，畫面開精緻其實沒什意義...
78,2018年12月26日,5,好玩，但是希望改善這段時間玩的時候遇到的問題 1.增加英雄之證獲得手段 2.遊戲變化性可能要多點（每天做一樣的事會膩） 3.有競技場模式可能會蠻好玩的 4.抽獎抽到好卡機率大一點，我抽很多次十抽都很失望QQ 祝大家抽到好卡
79,2018年12月25日,1,網路滿格有閃退是斷線情況
80,2018年12月23日,1,下載後一直認證失敗是什麼回事
81,2018年12月19日,1,節慶限定角色太難抽了 10連抽獎券只抽到護符啊 ┻━┻ ︵ヽ(`Д´)ﾉ︵ ┻━┻
82,2018年12月16日,4,抽角色遊戲機率過低，建議有保底機制
83,2018年12月16日,5,做的很用心，每次更新送十連抽好評
84,2018年12月20日,5,萬聖節玩到現在，很好玩，官方也很好，可惜是活動太一致，可以創新!
85,2018年12月20日,5,不錯玩XDD 有時候關卡勝利會卡住
86,2018年12月16日,4,希望控制角色性能能再好一點
87,2018年12月25日,3,ZenFone 3 連線 有問題 卡住了
88,2018年12月26日,3,畫質不錯 音樂不錯 白貓的操作 中規中矩
89,2018年12月26日,3,過關後加戰友畫面之後，接關的按鈕不見，都要重開= =
90,2018年12月27日,2,有在改善，讓無課玩家也能很快跟上。繼續加油!
91,2018年12月27日,5,在點申請好友時，如果申請對象申請已滿，會卡住畫面
92,2018年12月16日,3,希望開放四星龍突破石頭
93,2018年12月28日,5,製作團隊用心到很感人QQQQQ
94,2018年12月27日,5,佛心公司 角色超好抽
95,2018年12月18日,5,抽抽3合1很坑的卡池，課金抽數少但活動石送的多，不每池都抽的話，一個月也可以累積百來抽喜歡的池，營運真的很用心，有在改善玩家抱怨的地方，活動不難4星也可以輕鬆clear拿稱號，不拼真龍不強求每池5星可以玩的很開心，希望這遊戲能越做越好。這次送的4000石和5星必中券加限定池是新手入坑的好時機。
96,2018年12月28日,5,歌和劇情都很棒很好玩wwww
97,2018年12月24日,5,介面的歌百聽不膩 看餐餐自由配來玩的˙ˇ˙
98,2018年12月19日,5,還不錯的遊戲，但是有一點難操控方向
99,2018年12月17日,5,"劇情.任務.角色.技能.戰鬥...一直到美術與音樂都很不錯,值得遊玩體驗!"
100,2018年12月28日,4,更新好慢 而且石頭難賺
101,2018年12月15日,5,希望可以出更多女僕角色
102,2018年12月25日,5,很好玩推薦大家一起玩
103,2018年12月24日,2,玩咗一段時間還可以，繼續玩吧
104,2018年12月25日,5,不錯玩 雖然是個大坑
105,2018年12月17日,5,整體來說不錯，音樂好聽是真的，玩這個很不錯
106,2018年12月17日,5,打完任一關卡後即當機，請協助處理，謝謝
107,2018年12月16日,5,很久沒這麼棒的遊戲了，送禮很大方
108,2018年12月17日,1,一直跳更新怎麼玩
109,2018年12月19日,2,多人混戰一直連線中斷
110,2018年12月20日,5,角色設定很有趣
111,2018年12月23日,4,操作系統的背景還蠻有意思的喔
112,2018年12月23日,1,容量太多不想下載
113,2018年12月22日,5,操作簡單畫風好看
114,2018年12月17日,5,有誠意的公司，會聆聽玩家的意見
115,2018年12月18日,5,太神啦～歌曲都是DAOKO的
116,2018年12月23日,5,我觉得很有趣！
117,2018年12月17日,5,請把中五星角色的機率提高！！！！！！！
118,2018年12月15日,5,"Nice Game, it's worth to try"
119,2018年12月17日,3,操作方式不太直覺
120,2018年12月20日,4,跟白貓有的拼
121,2018年12月16日,5,代入感強
122,2018年12月20日,5,佛心手遊
123,2018年12月24日,5,用心經營的好遊戲
124,2018年12月28日,5,nice a lot of 5 stars
125,2018年12月25日,5,一句話！有誠意！
126,2018年12月18日,5,送石大方，抽卡看臉，整體算佛
127,2018年12月27日,1,無法更新 更新一直跳出
128,2018年12月15日,5,直接送5星卷了==
129,2018年12月26日,4,故事，人物都不錯，但戰鬥操作稍微粗糙了一點… …
130,2018年12月28日,5,"我更新唔到隻Game, 如何處理?"
131,2018年12月23日,5,很期待主線劇情增加。
132,2018年12月25日,5,共鬥斷線終於修好了，補推。
133,2018年12月20日,4,遊戯好玩，晝面華麗
134,2018年12月19日,5,佛心公司！！！！！ 出問題 即時處理 回饋也很好 真的是好遊戲！！！
135,2018年12月27日,5,農!
136,2018年12月18日,3,就美工、圖像和音樂很好。故事不錯。其他算了。
137,2018年12月14日,5,制作很用心
138,2018年12月17日,5,石頭給很多，超佛
139,2018年12月17日,5,可以提高抽到的機率就好了……
140,2018年12月28日,5,超優的遊戲
141,2018年12月17日,5,無法更新QwQ
142,2018年12月15日,5,打鬥很順暢
143,2018年12月18日,5,還不錯玩
144,2018年12月22日,4,有劇情讚
145,2018年12月26日,4,好玩但耗電
146,2018年12月22日,3,開不了商城
147,2018年12月28日,5,繼續優化吧
148,2018年12月28日,5,佛心公司
149,2018年12月18日,5,"好玩,但是五星有d難抽。"
150,2018年12月28日,5,好玩 !
151,2018年12月28日,5,很喜歡，活動多，獎勵也送的很大方。
152,2018年12月23日,5,我只能說音樂配的太好了我要網址！~>_<~
153,2018年12月24日,5,配音滿分，故事滿分，遊戲操作滿分，誠意滿分！
154,2018年12月19日,5,送石，真佛心
155,2018年12月21日,3,還不錯玩～
156,2018年12月14日,1,好ㄛ
157,2018年12月16日,5,能固定控制器？
158,2018年12月28日,4,有在進步
159,2018年12月17日,5,蠻有趣的
160,2018年12月28日,5,good
161,2018年12月28日,5,好玩
162,2018年12月28日,5,不錯
163,2018年12月27日,5,非常好
164,2018年12月27日,5,good
165,2018年12月24日,4,好靚卡通
166,2018年12月24日,5,簡單易上手
167,2018年12月26日,5,0k
168,2018年12月23日,4,不好抽
169,2018年12月25日,5,棒
170,2018年12月25日,5,不錯唷
171,2018年12月25日,5,可愛
172,2018年12月25日,5,good
173,2018年12月24日,5,不錯
174,2018年12月24日,5,ww
175,2018年12月21日,5,超棒
176,2018年12月23日,5,XDDDDD
177,2018年12月18日,5,可以了
178,2018年12月22日,4,good
179,2018年12月22日,5,好玩
180,2018年12月21日,5,OK
181,2018年12月21日,5,好玩
182,2018年12月20日,5,好玩
183,2018年12月17日,5,很棒
184,2018年12月20日,5,不錯
185,2018年12月20日,4,ok
186,2018年12月20日,5,棒
187,2018年12月19日,5,Good
188,2018年12月19日,5,不錯
189,2018年12月19日,5,very good
190,2018年12月18日,5,good≧ω≦
191,2018年12月18日,4,容量太大……
192,2018年12月18日,5,good
193,2018年12月18日,5,小品遊戲
194,2018年12月18日,5,好玩
195,2018年12月18日,4,加油
196,2018年12月18日,5,刚刚玩
197,2018年12月17日,5,還不錯
198,2018年12月17日,5,Nice
199,2018年12月15日,5,好玩
200,2018年12月28日,5,牛。 。。。
201,2018年12月28日,5,😄😄😄😄😄
202,2018年12月25日,5,可愛
203,2018年12月1日,3,遊戲公司送的很大方，但是活動抽了70抽也沒有活動角…機率真的太低了
204,2018年11月29日,1,建議改名叫失落的護符，這是驗血統的遊戲，抽不到五星kimoji不爽 u know? 60抽0五星，給一堆用不到的護符，我玩這個不就是為了龍嗎？
205,2018年12月2日,1,12/2抽池不誠實機率不處理負評，處理後再改評分
206,2018年11月29日,5,"堅。佛心遊戲! 繼Puzzle.and dragon 之後已經好一段時間無再係遊戲安日系Game , 今次dragalia lost 最好玩嘅地方就係我係由原本第一個活動打到今日，最後我係覺得有d 唔好意思先儲返200蚊果個新手換五星角套餐。 老任又好cygames 都好，兩間我都唔係Fans ， 不過今次哩款遊戲絕對岩晒想比長期經營嘅你。"
207,2018年12月21日,5,……
208,2018年12月21日,5,好玩**
209,2018年12月2日,1,12/02 轉蛋機率顯示不實 有暗改嫌疑 Cygames有不良前例
210,2018年12月6日,1,這遊戲 五星角色真好抽 一次十連就中了 說難抽的一定沒認真玩這遊戲 連線品質改善一下好嗎 共鬥一直斷..
211,2018年12月8日,1,連線極差，4G信號滿格還場場斷線，boss又設計要連線打，非房主斷線就直接任務失敗，就算不耗體也浪費時間，且完全沒改善
212,2018年12月15日,4,一個不錯的遊戲 雖然劇情有點心急的把傳說五龍塞給玩家 但是我真的想吐槽那操控太敏感
213,2018年12月12日,2,遊戲公司有誠意於玩家互動溝通。強化遊戲內容和改善遊戲問題。 可惜連線問題從開服到現在一點改進也沒有。真的令人討厭
214,2018年12月16日,2,五星人物超難抽到，經常抽到卡。雖說一隊五人除了自己外，四個隊員也是呆滯的。每次活動也有專用角加乘卡，要高分便要養和抽，但活動過後便成廢物
215,2018年12月12日,5,真的是佛心遊戲 五星角色真的不難抽，玩這麼多手遊，第一次見到這麼好抽的遊戲。對於升星、升級難度也不會太高，比起其他遊戲來說，真的好練多了。
216,2018年12月2日,1,連線品質真的差勁到爆，玩一個小時大概有20分鐘以上在斷線重開，而且還遲遲不做改善...做一個斷線自動重連或切換單人模式的機制很難嗎？
217,2018年12月3日,1,團體戰經常斷線...共鬥之翼每天都99個根本用不掉，總評:連線品質非常的爛，玩了一個多月未見改善...差不多要離開了。
218,2018年11月29日,5,聖誕抽30抽沒中5星，但謝謝官方每次活動送10連票給玩家賭非或歐，8888
219,2018年11月30日,3,基本上 石頭很好拿 但是 有再多的石頭也抽不到 抽到了 也不見得是自己要的 角色/龍符/還有看起來像[技能/還是被動的] 全部塞進同個卡池裡 機率低到莫名奇妙
220,2018年11月28日,5,佛系營運商 （你想課金也不一定讓你課） bug跟平衡問題也是有的 但官方迅速的跟進和補償 著實讓已習慣性被其他一般手游剝削虐待的玩家感到受寵若驚
221,2018年12月1日,2,"這次的活動到底在幹什麼，連續搜尋20間活動房都給我跳""""房間已滿請選擇別的房間""""每次刷新都一秒就點房間了還是這樣，到底我是在跟誰比手速？重點是我重刷兩次那個房間又跑出來，點進去還是沒位置...？？之前還沒這麼誇張的，氣到我上來送評價"
222,2018年12月6日,3,3次保低5星(0隻5星角 0隻5星龍 3隻4星龍1光30攻2光體力龍 忘了多少4星重複角 up的4星符2突滿) 3個龍符，已放棄課金 如果改低5星龍符機率，再考慮課金
223,2018年12月10日,1,轉了手機 連動不了自己 以前的account 登入遊戲按進連動 acount的網站 網站出現“要求的內容有誤“ 請盡快修復
224,2018年12月4日,5,劇情、動作整體來說都很好，每個小段落都要下載檔案，最後遊戲會多大阿？人物講話有點慢
225,2018年11月29日,4,連線遊玩部分 需改進 平均3場斷1場
226,2018年12月5日,4,共鬥的連線真的很差，不管進房還是別人進房都很lag，而且AI真的很智障...但故事以及語音真的很不錯，希望可以多加些關於龍族故事的外傳或漫畫
227,2018年12月7日,5,為什麼常常連線伺服器失敗啊？我明明網路好好的，一直連遊戲都進不去是怎樣？
228,2018年11月29日,5,儘管剛出時問題很多，不過營運方都有對玩家做出的意見做出回饋，已經越來越好了
229,2018年12月2日,5,真的還不錯玩 但是中五星機率有點底 30抽1隻 是我太非洲嗎zz
230,2018年12月11日,1,4G網路滿格，大概有10%機率能夠多人連線不斷線，就跟抽sr卡機率一樣呢，十分推薦時間太多的M系玩家遊玩
231,2018年12月2日,2,連線優化做的很差 團體戰打個兩三場就連續斷線 遊戲體驗差到直接關遊戲 先給2星 改善了我再改5星
232,2018年12月8日,4,控制上感覺還是有違和 然後聖城感覺像bug進去建造一兩個建築下面的選項會直接變成黑色但是其他的功能還是能用 就是不能跳回主選單跟其他功能
233,2018年12月1日,4,遊戲整體體驗唔錯， 除咗因為等級高，卡池機率變得非常難先外，都係值得推介嘅，希望快出其他主線故事
