,Date,Score,reviews
0,2018年3月31日,5,很好玩
1,2018年3月17日,5,不錯玩！
2,2018年3月17日,5,好玩
3,2018年3月11日,1,本給五星……看來你們太過自滿，看GOOGLE  PLAY 就知道我前前後後花了多少，遊戲品質這樣差，一直出狀況……懶得多說了! 又無法登入……你們就繼續爛下去吧!
4,2018年3月11日,1,每次更新完就不能登入甘脆不要更新算了
5,2018年3月10日,5,！！！
6,2018年2月27日,5,很好
7,2018年2月23日,1,開發人員才可以看到這一個平路我不想被別人看到刪除你生會再見我不想回來你的遊戲名譽請讓我玩遊戲 我我不想跟你有緣醜請你讓我安裝神鬼戰艦遊戲因為是因為你之前給我更新我的2017年哪時候安裝2016年還是2017年安裝遊戲已經兩三年都沒辦法玩了你都是說網路問題還有說無法驗證的問題不讓我安裝 我想玩你神鬼戰艦你如果神鬼戰艦可以讓我安裝我就把那評論刪掉因為你都用更新來阻擋我的網路我很不滿我才會傳給你讓你知道我也沒有讓別人知道啊你為什麼就不那麼安裝呢 如果你有問題你也可以重新再測試版本請不要對我一個人生攻擊我也不會先幫你的評論認為來啊你可以讓我更新以後可以玩我還是可以把你評論給刪掉請你讓我玩遊戲不要故意做出讓我不讓我 我希望可以自動給我這個版本
8,2018年2月20日,1,哪時候可以將因為你們遊戲本身出現的bug而封鎖的帳號還我呢？我看都超過半年了!我熬夜打的活動腳色+抽的好卡都沒了!!!!
9,2018年2月16日,5,好玩
10,2018年2月11日,1,太慢了
11,2018年2月10日,4,遊戲本身非常好玩，很有趣又很耐玩。 但可惜新手們在一開始很難打到球。 因為遊戲設定是玩家和玩家之間組隊參加比賽，隊伍球員不足的球隊就無法比賽。 當然新手玩家一開始是被拋棄四散到各個球隊去。 我想這應該是玩家過多加上組球隊的玩家太多了。 我個人認為應該給新手玩家一點打比賽保障，例如說專門設計給等級還不高的新手玩家所待的小聯盟。 遊戲中的聯盟可以分級。 這樣每一位玩家都有球打，新手就不會因為一進到遊戲就因為沒球打而被嚇跑了。
12,2018年2月9日,5,好玩
13,2018年2月7日,5,還行
14,2018年2月7日,4,明明只有開比賽跟BP卡通知，但遊戲還是會不定時的跑出活動通知，再通知下去我就要退坑了
15,2018年2月5日,1,代理賺飽也放棄這遊戲了，玩家少、課金需求量超大，如同遊戲標語～不想輸！就一起狂課吧！
16,2018年1月15日,5,超好玩
17,2018年1月14日,5,顯示錯誤
18,2018年1月8日,2,無法下載更新，已嘗試所提供的多種方法，還是一樣。
19,2018年1月2日,3,如果遇到一群有興趣的朋友，會很好玩，但容易燒錢，是有點坑錢的遊戲，請有心理準備
20,2017年12月29日,1,上一筆購買的G幣沒入帳
21,2017年12月25日,1,都登不進去
22,2017年12月24日,5,骰子可以再多一點嗎？
23,2017年12月23日,1,完全進不去
24,2017年12月19日,5,你們的遊戲真的很有趨
