,Date,Score,reviews
0,2018年1月27日,5,還不錯玩，會介紹給朋友玩
1,2018年1月26日,1,全都是騙人的 咬掉了五千多萬分 咬到一分也不剩 連開一個小小個JP 也都沒有我玩過最不會開的 騙最大 咬最兇 的一個遊戲 你們所開的JP 都是內定的嗎？
2,2018年2月7日,4,還可以繼續加油像老子有錢的遊戲那樣
3,2018年1月26日,1,遊戲剛開始很好玩，等一儲值下去就死路一條，每次儲值都不用幾分鐘就咬光，失望。
4,2018年1月27日,4,提高中獎率，開大牌，不要一直死咬，客戶自然回流
5,2018年2月7日,1,咬太兇了，8百多萬咬光，連小JP都沒見過
6,2018年2月8日,5,很棒很利害   可以交易更棒
7,2018年1月27日,5,都值得去玩
8,2018年1月26日,5,怎麼回分
9,2018年2月7日,4,遊戲簡單易懂好玩
10,2018年2月12日,5,這是不錯的娛樂活動
11,2018年1月28日,5,可以玩玩看
12,2018年2月1日,5,他非常好玩，而且中獎機率很高
13,2018年2月7日,5,休閒娛樂的好遊戲
14,2018年1月26日,5,還不錯
15,2018年1月26日,5,很好玩
16,2018年1月28日,5,還滿有趣的
17,2018年1月28日,5,超讚的
18,2018年1月28日,5,New  Playa
19,2018年2月1日,1,很好玩
20,2018年1月28日,5,Fans
21,2018年1月28日,1,要注意注意，台子變硬了，超級狂咬。我只玩海盜，專補雙刀跟槍，直接稱雙刀台好了，再多錢也不夠輸，幾千萬撐不住，結果還是光光光。big win super win補牌機率變低了，少的可憐~~ 凌晨2點多又儲值2千八百萬，同一機台早上9點咬光，真是好棒棒。媽阿！趕快砍掉壓壓驚，法克，不用再聯絡
22,2018年1月28日,5,Good
23,2018年1月28日,5,好玩
24,2018年1月31日,5,好玩
25,2018年2月2日,5,好玩
26,2018年2月8日,5,好玩
27,2018年2月13日,4,好玩
28,2018年1月28日,3,得分機制 比例差太多  壓越多輸越快  各機種本身設定差異性太小 得分線條都一樣換個圖片而已 只有進入遊戲才有差異  還需增加線條得分玩法（新鮮感）進入遊戲的機率沒有連續的機會 一定要隔一段時間才會在進入 缺少期待 就知到時間還沒到不會進 拖台錢  加樂比海盜SCAITET進入遊戲的方式有瑕疵 只要圖形沒有在123的位子 就進不了 比如位子23已有SCAITET 可4跟5的位子完全不會中有待改善 希望能調高得分恭喜的分數 很煩中沒幾分就一直跳出話面（指外開 ）真不知該哭該笑
29,2017年12月31日,5,我覺得這個遊戲跟別人的不同點是我有幾百萬玩一個台一直輸他懂的在最後中了大獎資金又恢復，不像有些只想讓玩家一直輸了，讓玩家在除點的遊戲比起來好多了，懂得制衡賠率。
30,2018年1月7日,5,中獎機率這麼高是要B4其他app了XD 不要被一開始只有6000金幣嚇到，官方給的序號換完就有20萬金幣啦
31,2018年1月7日,5,每天下班的樂趣就是狂掃海盜拉霸機台，把阿呆沒用完的金幣通通收割666666 賺錢跟賺水一樣快233
32,2018年1月3日,5,是不錯玩不過不能像星城宅神爺能夠交易這樣會有更多人想玩而且我們也能介紹更多人來玩
