,Date,Score,reviews
0,2018年12月28日,2,特殊討伐bug可以盡快維修完成嗎？換了討伐卻無法完成，影響遊戲心情。
1,2018年12月20日,4,今天更新后也无法启动游戏
2,2018年12月20日,1,為什麼1顆星 自己有點B數
3,2018年12月21日,4,黑色玫瑰碎片好難掉，到現在還湊不到40個
4,2018年12月20日,1,無法更新，遊戲內無法更新。google卻顯示連更新的按鍵都沒有
5,2018年12月21日,4,畫面超好 可是介面很雜 可惜了優美的遊戲風景
6,2018年12月21日,5,競技場戰力分配誇張不公平，讓人止步
7,2018年12月26日,4,購買物品沒有到帳號，一直跟我說我已經擁有這個物品了
8,2018年12月23日,4,"遊戲說明介紹得很詳細, 只是鏡頭無法任意拉近拉遠, 很可惜 ."
9,2018年12月26日,5,目前最強手遊RPG沒有之一，但還是希望後面劇情能有語音，韓語也OK
10,2018年12月21日,5,還不錯 畫面好 懶人功能很人性化
11,2018年12月27日,4,人物頭髮不會飄動 硬邦邦 像帶殼似的
12,2018年12月20日,5,我給你5星，希望你給我紅好紅滿。一週沒紅一星一星掉。
13,2018年12月20日,3,從頭到尾就是刷刷刷，pvp不靠技術靠裝備碾壓，除了捏角色系統很好之外沒啥好玩的。。。
14,2018年12月21日,2,"自重昨天更新後,用任何模擬器都會閃退"
15,2018年12月24日,5,棒到不行 順又華麗強到有點扯很棒
16,2018年12月21日,4,說版本過低需更新，又沒有更新處，請問要如何處理
17,2018年12月20日,1,遊戲容易中斷連線，有些任務無法自動執行，或是視為沒有執行
18,2018年12月20日,1,對戰出現問題 自動跳脫地圖卡地圖
19,2018年12月27日,1,特殊討伐第四關進去NPC會自己不見，怎麼通關= =
20,2018年12月22日,1,你們休想在賺到我的錢，超級爛
21,2018年12月20日,5,完全不懂在玩什麼 好復雜
22,2018年12月26日,4,怎麼了？這次更新不僅會當機還會斷線
23,2018年12月20日,2,在Google 更新了，可是去到開啟遊戲又回到Google.
24,2018年12月22日,5,很驚艷的遊戲，無論是畫面的內容都是一流
25,2018年12月28日,1,黑暗騎士1+1活動有問題！人物腳色不見蹤影？
26,2018年12月20日,1,購買珍珠禮包但沒收到
27,2018年12月28日,1,希望可以杜絕非法外掛加速
28,2018年12月24日,2,更新後PVP加速器氾濫
29,2018年12月20日,1,更新後都開不了遊戲
30,2018年12月20日,4,可以出轉服卷了嗎
31,2018年12月27日,5,希望讓我當歐洲人
32,2018年12月23日,5,為什麼會一直卡在空間不足
33,2018年12月20日,5,付款了 沒有拿到東西 請客服幫忙一下！！
34,2018年12月25日,5,伺服器：凱波嵐ID：隨峰漂 花了錢抽不到好東西，別的玩家不花錢就能抽到好的，原本可以快點進入遊戲改版後玩個分身也要重開遊戲還要等那麼久才進入遊戲，越玩越無趣但是還是給團隊滿分辛苦了，二千五百多萬不見也算懶得聯絡了，加油啦…您們辛苦啦，希望能讓我抽到好東西一下
35,2018年12月26日,5,雖然電腦版比較好玩，但是只要是黑沙，都很讚，手機方便玩~~
36,2018年12月22日,5,客服電話給我 留出來！
37,2018年12月23日,1,為什麼創建不了家族名稱
38,2018年12月21日,3,更新後我找不到我角色了
39,2018年12月24日,1,！！！！！！！！！！！儲了 錢扣去了 沒東西！！ 麻煩處理
40,2018年12月22日,4,請問全部容量需求是幾G？
41,2018年12月26日,5,6：00開服是早上還是晚上
42,2018年12月20日,4,至少開始抓外掛了
43,2018年12月20日,3,外掛請處理!
44,2018年12月22日,5,這遊戲好玩喔
45,2018年12月24日,5,捏臉系統是最棒的體驗。
46,2018年12月26日,4,魅族手机不能玩
47,2018年12月28日,5,遊戲規劃用心 好遊戲
48,2018年12月20日,5,畫面精美 !
49,2018年12月23日,5,非常喜歡你們掛機省電系統，讓手機不會一直發燙下去，遊戲也很精細。 昨日更新後，到現在都一直無法打不到黑騎士的玫瑰花，是發生什麼事嗎？活動日期不是還持續中嗎？就差三片了，但打了一天連一朵都沒有～～是更新出了問題嗎？
50,2018年12月24日,5,不能用點卡，失望
51,2018年12月22日,5,Good有效率
52,2018年12月20日,1,遊戲無法開啟
53,2018年12月20日,4,沒有辦法更新啊
54,2018年12月23日,5,讚人物很美
55,2018年12月22日,5,好玩，可以來試試
56,2018年12月24日,5,真是太有意思了。
57,2018年12月26日,1,系統很差，一直卡，怎麼玩啊！
58,2018年12月26日,5,超極好玩~
59,2018年12月24日,5,正，有趣味
60,2018年12月20日,5,外掛沙漠
61,2018年12月25日,4,滿好玩，畫面真實。
62,2018年12月27日,4,還可以
63,2018年12月22日,5,很好玩的
64,2018年12月27日,5,很好玩哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦
65,2018年12月21日,5,不知道
66,2018年12月20日,1,無法遊戲
67,2018年12月26日,5,很好玩
68,2018年12月26日,4,自由的遊戲
69,2018年12月26日,5,不錯玩
70,2018年12月26日,5,還不錯
71,2018年12月22日,1,畫面當了
72,2018年12月23日,5,超好玩
73,2018年12月25日,2,還在摸索
74,2018年12月22日,5,good job
75,2018年12月27日,1,大便遊戲
76,2018年12月24日,5,玩玩看
77,2018年12月25日,2,選角時沒顯現人物出來是要如何創角？？？？？
78,2018年12月20日,5,好玩
79,2018年12月27日,4,GOOD
80,2018年12月25日,5,好玩
81,2018年12月23日,3,好
82,2018年12月25日,5,很棒
83,2018年12月24日,5,好玩
84,2018年12月22日,5,Good
85,2018年12月26日,5,好玩的
86,2018年12月20日,5,體驗中。。。
87,2018年12月24日,5,。。
88,2018年12月27日,5,，，
89,2018年12月23日,5,聖誕時裝沒有附帽子？？？鹿角的那個？？？
90,2018年12月6日,4,今天黑暗騎士改版，唯一問題 為何我黑暗騎士只要是交易所買的輔助系武器就是無法裝配上去~？ 只能用解任務送的裝備… 如果是BUG麻煩快處理
91,2018年12月11日,1,每天凌晨都會莫名其妙的斷線 常常都白掛 線路從11月初改版時就一直有問題 到現在還是會無故斷線實在糟糕
92,2018年12月9日,1,很棒的團隊，無視玩家的問題PK場明明有問題還在哪邊嘴硬沒問題，真的是很棒的團隊 回覆了你們也不理有什麼用?我也只能給一星我也沒其它辦法
93,2018年12月6日,4,完蛋黑騎的裝備跑去法師那之人物了啦無法交意移轉角色 喔no 我的老天鵝 官方幫幫我解答吧
94,2018年12月5日,4,除了職業競技平衡 模擬器掛機容易掉線比較殘念以外 其他方面真心做的不錯 值得一玩
95,2018年12月7日,5,偶爾會被踢線 希望可以改善 整體而言是款很棒的遊戲 動作很細膩 招式也很華麗
96,2018年12月11日,3,鬥技場一直無法配對，排隊了10分鐘沒配到半次，很多天了，可以趕快修復嗎？
97,2018年12月10日,4,希望能夠把裝備中的武器在人物上顯示出來，不然有的畫的這麼好看，例如：級落美英斧頭，級卡爾拉斯斧頭…。都不會顯示出，有點可惜
98,2018年12月5日,5,實際上非常棒，活動很大方，珍珠一直送，古代幣大放送，折價的時候很阿薩力，是我值得真心推薦的一款好遊戲
99,2018年12月5日,1,檢舉系統好像是增設好看的 公頻整日幣商洗頻 檢舉無效 外掛多的離譜 玩單機遊戲也沒那麼受氣
100,2018年12月17日,5,更新後每天晚上都連線出問題，久久未見改善，所以改給一星，希望貴公司重視。
101,2018年12月7日,5,請問 我買珍珠為甚麼都看到珍珠 錢都扣了 也沒補進 暫先給1星
102,2018年12月6日,5,禮包付款了 未收到 已經反應了 請速處理! 不然 怎麼敢儲值下一筆
103,2018年12月7日,5,這是我玩過最好玩的動作遊戲，殺敵動作俐落爽快，很值得推薦，一定要下載來玩看看喔
104,2018年12月8日,1,遊戲下載好一打開我卻看到容量不足。。。 更新後還是一樣 但是手機記憶體是夠的
105,2018年12月19日,1,不想搞活動就別搞了，還限五分內要領，當每個玩家都跟官方一樣閒閒沒事做嗎？
106,2018年12月20日,1,自從我寫下牢騷後 再也沒見過任何的橙裝了...金幣起碼刷超過五萬以上....這想法真恐怖@@ 黑沙萬歲！黑沙最棒了！我給你五星！ ps.發表後開始給橙了 真神奇...可是我還是有個疑問 就是連續刷五萬金幣手鐲就是拿不到橙 官方的機率...比坊間任何一台博弈機台還硬...這算哪門子的機率？
107,2018年12月19日,3,狂戰士一點也不狂暴，太陽神殿是破產地區，領地做用不大，錢很難賺，剩下都好玩。
108,2018年12月14日,5,我昨天不小心把未完成貝迪爾太刀潛力轉移到另外一個橘武的上面了，可以重新申請一把黑騎的專屬武器未完成貝迪爾太刀嗎？ 我昨天已經去客服中心把問題提上去了
109,2018年12月9日,1,為什麼一直登入失敗啊？是被鎖了還是要倒了，我紫珠還沒領完欸
110,2018年12月10日,1,這次更新完對戰有問題，要排數十次才有人，麻煩處理一下。
111,2018年12月16日,1,岩岩買左個黑精靈等級1～40$78元又係冇比到我喎，麻煩請開發人員處理
112,2018年12月6日,4,對戰系統又壞掉了？？一直無線轉圈圈中(超級難配對)，可以麻煩修正一下嗎？
113,2018年12月23日,1,古幣1萬5抽武器給我 0橘！0橘！0橘! 這機率會不會太黑啦！ 掛討罰掛五六個小時 換來這樣機率 不求紅武 連個橘的都不給 真的太扯
114,2018年12月20日,1,黑色沙漠遊戲因遊戲出現加速程式外掛導致消費者利益以及遊戲連線品值不佳導致斷線.卡畫面.延遲使玩家消費者無力再繼續玩下去 是遊戲公司程式管理不佳導致外掛加速程式連線品質差異破壞遊戲部分內容 並非要消費者買單 花錢不是受氣 近期一直與遊戲開發商協調得不出個答案 一直說遊戲購買內容已經消耗 那遊戲出現外掛加速程式是不是該全額退款遊戲下架？ 申訴是要討公道 而不是讓線上遊戲成為消費者懼怕的消費地方 消費者站出來舉報
115,2018年12月18日,4,今天早上中午都可以正常遊玩，晚上回到家要玩時，變成帳號遺失無法登回舊的帳號，只能變成從零開始玩起
116,2018年12月8日,5,1 新出的知識沒文字 有些親蜜度解不了 2 改版了不能打對戰 配對都沒人
117,2018年12月7日,5,人物制作太生動了睫毛眼睛頭髮都制做的栩栩如生這個可以給6顆星遊戲任務多多加油^_^
