,Date,Score,reviews
0,2018年8月13日,1,很多人反應版本停用包括本人，合理懷疑伺服器關閉 (倒閉 ？ ) 而且這是無預警的，相當的惡劣。
1,2018年8月10日,1,一開game就話（版本已經停用），搞到我登唔入，究竟想點？？
2,2018年8月10日,1,今天開遊戲說什麼版本已停用，但遊戲又沒得更新 什麼意思 倒閉了????請盡快回覆
3,2018年7月1日,1,史上壽命最短遊戲，應該一年就倒了，營運是垃圾，大概玩蟹的，阿達瑪的大家以後可以考慮別碰
4,2018年8月14日,1,"突然顯示版本停用，查看其他人流言，都是機器人在回答，機器人日期也不改一下都是,4,5月，有這麼懶的QA跟研發，遊戲授權給貴公司真不值得. 
聽客服建議重灌後現在全部歸零了. 客服回答取回帳號要身份證正反面影本，本人簽帳號切結書，還要我機器的MAC。 
真是怪了，bug不是我造成的，還要我的個資，這是線上釣魚要我準備金條跟貴公司換蘋果嗎？ 還沒投錢的玩家你們參考看看這間公司的態度跟其他人的流言再決定吧。"
5,2018年11月20日,1,有問題回報客服時居然要求帳號密碼可登入時間這麼離譜的要求
6,2018年11月22日,1,您好，這遊戲對少課金的玩家極度不友善。而且蠻誇張的是，遊戲裡面沒有半個人好友欄不是滿的（傻眼==”）在排冠軍對決的時候不是等了兩分鐘排不到，強迫玩家手動重排，就是顯示目前在匹配的玩家過多，請等候十分鐘後再排，傻眼
7,2018年8月11日,1,一直版本停用，是想怎樣？ 所以遊客帳號就不能用了的意思嗎？
8,2018年8月10日,4,請問是倒了嗎？找不到您的版本是怎麼了
9,2018年8月10日,1,更新不給更又停用是叫大家不要玩了吧
10,2018年6月24日,1,很不公平的游戲，要新的服跟前面的服打團戰，不被全滅才怪。
11,2018年6月14日,1,還沒開始玩就更新資料不存在到底是怎樣
12,2018年9月10日,1,活動任務領取一直帳號存在異常是怎樣...刪掉重裝還是一樣...看來準備棄坑的時間到了
13,2018年9月27日,3,突然來了極大幅度的更新，給補個星回來。舊玩家歡迎回坑。
14,2018年4月19日,1,重新安裝就都重頭來過了，那就刪了吧！
15,2018年8月10日,1,忽然話你的版本停用了，就無法登入遊戲了。這是叫人放棄遊戲吧！
16,2018年5月9日,1,為什麼系統跟我說版本已停用?
17,2018年5月9日,4,為什麼今天突然版本停止使用，完全無法開啟
18,2018年8月11日,1,軟體版本停用，帳號未綁定，看來只能棄Game了，糞公司。
19,2018年8月10日,1,為何遊戲說 版本停用，但是也不能更新
20,2018年8月10日,1,遊戲真的倒了！版本已停用！騙錢的遊戲還停服！
21,2018年7月8日,1,官方停止更新，等關服
22,2018年8月10日,1,版本停用是啥鬼 爛代理商
23,2018年8月10日,2,你的版本已停用 playstore又無更新
24,2018年10月20日,4,Bug 修正速度與遊戲更新加快很多了，推薦。
25,2018年8月11日,1,第一次看到程式停用的，應該是倒了
26,2018年8月10日,1,惡意更新導致沒人，最後就不了了之？
27,2018年8月11日,1,版本停用，帳號還不能設定成聯動，爛透了。
28,2018年8月10日,3,為什麼一進去就說 你的版本已停用
29,2018年8月10日,1,一般單機氪金收菜遊戲，但客服很白爛。
30,2018年8月10日,1,突然版本停用無法進行遊戲，是遊戲倒了嗎？
31,2018年8月14日,1,又出現新的問題:登入顯示“未知錯誤”，應該是惡意倒閉了吧!
32,2018年9月11日,4,好像要一個多月沒玩了，一直停在停用，今天重灌又可以玩了。
33,2018年8月10日,1,突然跟我說版本不適用，又不能更新版本，是怎樣
34,2018年5月9日,5,5/10更新 舊版本過期 要移除或是要等等
35,2018年8月6日,1,給客服的問題都沒有解決
36,2018年10月11日,1,啊 !!!又無法登入了，00XX...請不要裝傻面對客戶吧！當客戶是.....
37,2018年8月13日,5,停版本，但鼓起勇氣刪掉並重新安裝，進遊戲後會要求登入帳密；其實只要玩家當初有帳密，遊戲等級都還在。。很慶幸。。就繼續玩吧！
38,2018年6月18日,1,無視玩家說合服就合服
39,2018年8月10日,1,遊戲停用無預警結束了
40,2018年10月19日,4,剛剛開始不能登入，說更新的資料不在不能玩了。
41,2018年8月10日,1,我的版本為什麼停用了!
42,2018年8月10日,1,搞啥 版本停用
43,2018年6月17日,5,遊戲密碼找不回來
44,2018年9月1日,2,請問什麼時候更新版本? 1.0.8版卡很久了 海外版都已經1.0.227
45,2018年10月11日,1,啦幾狀況一堆
46,2018年6月9日,5,"我都登入不進去,就跑了很久"
47,2018年8月11日,2,為何停用呢?不完了:可惡'、都玩那麼久了
48,2018年10月11日,3,又登入不了 更新不存在 是甚麼玩法?
49,2018年8月10日,1,簡單點吧，連登入都不能，大家一起刪吧
50,2018年8月12日,1,正好不想玩了，停用剛好
51,2018年8月11日,1,您的版本已經停用
52,2018年8月10日,2,無法登入，也沒公告
53,2018年11月29日,3,地獄勢力要入侵到何時？
54,2018年8月11日,1,不爽讓人玩，乾脆下架吧，
55,2018年8月10日,3,你的版本已經停用。不能玩了？
56,2018年8月10日,3,倒了嗎~那就刪了吧
57,2018年8月10日,4,它說我的版本已停用，什麼意思?
58,2018年6月18日,3,Bug多，失衡的遊戲，索姆獨強
59,2018年8月11日,1,版本不能用
60,2018年8月10日,1,更新完，就不能玩，可以關門了
61,2018年8月11日,1,代理商很爛的名作
62,2018年8月10日,2,您的版本停用… 搞什麼鬼…
63,2018年8月11日,2,版本1.08 顯示 您的版本已經停用 ??? 請問能如何解決?
64,2018年11月28日,1,智障 6665002
65,2018年8月10日,3,版本已經停用？？有誰可以回答我！！
66,2018年8月10日,2,版本停用了？现在该怎么处理？
67,2018年5月22日,5,雙人模式？OwO
68,2018年5月27日,1,各種坑
69,2018年8月11日,1,把垃
70,2018年5月10日,3,好的謝謝
71,2018年10月13日,4,不錯的遊戲
72,2018年8月10日,1,系統出問題
73,2018年5月16日,1,更新太平繁，登錄過慢~~
74,2018年9月13日,1,爛公司，回應全制式化，完全沒誠意，之後遇到你們公司直接送差評就好。遊戲擺爛，一堆東西都不出。每次更新檔案只有1m左右。新的覺醒呢？對岸都不知道出到那個新版本了，你還在假更新啊？浪費玩家的網路流量嗎？是準備讓玩家提告求償嗎？還是把玩家當白痴？又或是當成提款機？結果發現領不到錢就惡搞玩家？硬斷連線也沒通知，明明網路正常，開別的遊戲網頁都沒事，就你們的有事。賠償也賠不多，賺飽了想跑啊？你們就只配一星評價！！！
75,2018年8月10日,1,版本停用？
76,2018年5月5日,5,好玩
77,2018年5月9日,5,Good
78,2018年8月10日,1,糟透了
79,2018年8月11日,1,有人重灌能玩嗎？？？
80,2018年3月12日,5,我玩過的心得....初始三星的兵團都滿好用的，鑽石留著十抽最划算，玩過電腦版的就知道哪些兵種好用跟現有的英雄很好搭配，首儲的鳳凰也很華麗好用^:-)喜歡:-D:-D
81,2018年3月15日,5,很好玩 就是拿任務 活動獎勵 體力 簽到什麼的能不能弄到同一位置 分太多太散實在是不方便
82,2018年3月19日,4,增加上場的單位才能使戰鬥更豐富。每天有太多的事情要做都是無腦的事情很浪費時間。
83,2018年3月23日,1,有時候打競技場是我贏，確判定我輸，還有裝備的進階要材常常隔天會不見欸.....一星差評
84,2018年3月29日,5,希望內容能增設 （好友租兵團系統  ）更多元…。感謝遊戲公司有聽到我們的心聲。想再問問，大惡魔啥時出呢？
85,2018年4月13日,5,我給5星，實至名歸，遊戲的創新好玩碾壓只會靠廣告名氣灌水的遊戲。
86,2018年3月15日,5,十分耐玩遊戲，活動十分多，但是英雄或兵團滿星後碎片就沒用途，希望後面能開放用途，謝謝。
87,2018年3月29日,1,我很喜歡這遊戲 但遊戲遇到漏洞 客服處理態度消極 很令人失望
88,2018年4月5日,1,非常不值得推薦，打戰役或解任務，遇到差自己30多萬戰力的卻莫名其妙輸了，只因為有比蒙或大天使。所以要人一直花錢，其他的的是廢物。戰力值都是假的。那有什麼公平性。只知道要挖錢洞給人投錢，卻失去遊戲的公平性。
89,2018年3月21日,5,我忘記註冊帳號，有儲值紀錄，可以找回帳號嗎
90,2018年3月8日,1,福利比陸服差道具比陸服貴，連斷線出包補償都沒誠意！這種台灣代理商你們還要送錢給牠們花嗎？還有今天莫名其妙更新居然重新下載遊戲!?更新什麼都不用講了是不是??
91,2018年3月10日,4,就是刀塔...
92,2018年3月16日,5,Good Game
93,2018年1月4日,1,FB都已經更新了  還是分享出現問題   （分享物品還是拿不到）我既然已經有分享出去FB不是就要拿到獎勵  可是卻沒有   你們程式真的爛到沒話說了  再沒改善你們遊戲品質  我也沒打算再花錢繼續玩你們爛遊戲玩下去意願了
94,2017年11月28日,5,魔法真的很好玩一直以來都是玩法師這款手遊真的把魔法師變成英雄操作上順暢華麗的策略戰場讓我愛不釋手期待後期的屠龍
95,2017年12月4日,5,雖然遊戲有VIP系統，不過無課玩家用銀鑰匙也可以抽到不少碎片，用來強化兵種沒甚麼困難，希望後期也能玩得順順利利
96,2017年12月4日,5,和單機一樣是奇幻風格的策略遊戲，不過從寫實風轉換成Q版很驚艷，經典的自由探索玩法很花體力，希望官方能多送一些體力
97,2017年12月3日,5,教學設計得簡單好懂，一開始跟著劇情跑關卡最容易，等級提升後可以玩的內容會越來越多，22級後開了聯盟就是單機玩法啦
98,2017年12月4日,5,雖然手機版的畫面不像單機版的寫實風，不過玩起來各種細節都很到位，戰鬥看小兵衝撞也很有魄力，對老玩家來講還是挺好玩的
99,2017年12月20日,5,很耐玩的遊戲 很讚 一開始試玩而已 不知不覺就陷入了 很多值得挑戰的關卡 靠著策略的排列 即使戰力很大差距也能pass 剛開始完幾天而已 就已經玩到不想上班了...
100,2017年11月29日,5,真心覺得遊戲做得很親民，非常容易上手，引導模式讓第一次的玩家喜歡上這款遊戲。戰鬥模式也與一般的不同很有特色，過場動畫也很精緻。值得推薦的好遊戲。
101,2017年12月4日,5,加入了有很多魔法門單機老玩家的聯盟覺得很親切，雖然一開始玩都很意外，不過以手遊來說魔法門的要素都有抓到
102,2017年12月7日,5,能在手機上玩到這麼經典的遊戲真是太棒了，進步的畫面自然不多說，熟悉的兵種和各種場景的細節都有完整重現，各種龐大奇幻生物也都有保留，真是充滿回憶的好遊戲
103,2017年12月8日,1,APK什麼時候才會出啦 一直開服一直出活動儲值給信用卡的儲阿我們用點卡的就不是人阿 廢遊戲 公測出了APK也要跟著出阿 真的是狗眼看人低
104,2017年12月6日,5,遊戲教學不會太囉嗦，玩家只要一直升級跑關卡練功就對了，玩到22級開放聯盟就能體驗到魔法門的精髓，持續玩下去絕對值得
105,2017年12月7日,5,人類英雄女王的氣勢真不錯，希望不會像單機版那樣有點遺憾的結局，畫面升級跟中文配音是滿好的進步，期待這款可以玩得久些
106,2018年1月19日,1,有克也沒用 ，越克越弱化你的部隊，打什麼輸什麼 ，能得物品的活動居然都用自動不能手動控制技能，輸贏都官方控制，每個活動都要鑽石，官方假帳號一堆看評論就知了居然都說好話，當玩家白吃喔，真後悔花了一堆錢
107,2017年12月7日,5,不能自由挑選種族有點可惜，不過老玩家對各個種族特性都很熟悉，畫面的大進步讓人願意繼續玩下去，操作上也變得容易
108,2017年12月4日,5,精美的畫面和人物造型，加上很有深度的音樂與配音，讓整體遊戲質感相當棒，老玩家熟悉的玩法在等級升上去後就玩的到了
109,2017年12月3日,5,登入相當快速，遊細介面的感覺就像單機的城堡介面一樣，一開始配的士兵也挺不錯的，不過最最基本的農民怎麼沒看到XD
110,2017年12月4日,5,玩魔法門探索地圖找物資跟寶藏是很獨特的玩法，手機板也有保留這些樂趣，畫面風格和音樂做得也很不錯，整體來講挺好玩的
111,2017年12月7日,5,目前看來能使用的英雄還滿多的，慢慢收集碎片之後也能召喚，每個英雄都有很獨特樣貌的幾件時裝可以切換，期待之後的活動會推出
112,2017年12月4日,5,雖然遊戲有VIP系統，不過無課玩家用銀鑰匙也可以抽到不少碎片，用來強化兵種沒甚麼困難，希望後期也能玩得順順利利
113,2017年12月4日,5,看到以前的資源收集和征戰玩法就是一個感動，玩法也比以前更多元，放到手遊上時常會忍不住打開玩一下
114,2018年2月14日,2,在這裡寫意見，只會叫你跟客服連絡，跟客服連絡，也只會說往上反應，這個遊戲有什麼缺點大家跟客服都很清楚，問題是能解決問題的人永遠不會去處理，刪遊戲就好了，再玩下去只是氣死自己
115,2017年11月28日,1,登都登不進去 能不能把最簡單的問題處理好再開放 開個半成品出來雷人很好玩嘛？
116,2017年12月6日,5,懷念從酒館自由雇用英雄的時代，那時候的玩家才像是魔法門真正的主宰，手機板也多了不少新特色，玩起來別有一番風味
117,2017年12月31日,1,12/2開服，說每日全勤簽到送橙色寶物一套，12月時間到才說簽到未滿一個月，跟客服反應，居然說系統設定沒有問題，裝笑維，那你為什麼不要12/1開服，損失都算玩家的， 難怪反應什麼問題，全部都叫大家私下跟客服反應，夠爛了，怒刪遊戲
118,2017年11月29日,5,魔法門之英雄無敵系列正統手遊，百萬骨灰級玩家多人在線共同回味。延續兵種、寶物、行動力等經典元素設定，再現傳奇英雄與宏偉的史詩劇情。還不錯完的好遊戲。
119,2017年12月6日,5,地圖探索真是魔法門最大的樂趣，即使在關卡終都有寶物可以尋找，找到全部還有額外獎勵，對於魔法門老玩家來說玩得很盡興
120,2017年12月4日,5,有中文配音還滿意外的，畢竟以前英文語音聽習慣了，歐美Q版風格和單機版印象差滿多的，不過很可愛喔～
121,2017年12月3日,5,一開始沒啥英雄可用很可惜，兵團位置的擺設很有挑戰性，中文配音挺有氣勢，前期比單機板容易許多，玩起來毫無壓力
122,2017年11月30日,3,想首抽一個好點的兵種，然後認真玩，卻首抽一次也要很久，唯有放棄玩別的遊戲，希望日後有機會再試  就算很認真簽到滿一個月，攢下來的鑽石竟連一抽也不夠，夠諷刺沒有?
123,2017年12月31日,1,爛字。一直促銷。我課金了。各種評價分9等，我算上中。伺服抽對手，不論低級、高等。戰爭由硬定由電腦制度，結果是輸的不理解，明明贏面大到最後反輸。一些訓練關卡卡死，根本無法過，騙人的
124,2017年12月4日,5,玩法還滿多變的，這麼經典老款的遊戲能做成手遊真的很感動，每天都會趁上班休息時間偷玩
125,2017年12月4日,5,遊戲的中文配音陣容還蠻強大，算是遊戲業界比較少見的，官方也是下重本在經營，細節都注意到的沒道理不推
126,2017年12月4日,5,這種美式Q版遊戲和中文配音還滿搭的，兵種資訊介紹很詳細，分類多也能搭配出更多種陣形配置
127,2018年2月5日,1,領土戰爭六服積分備戰任務都未重置，打完也沒任何獎勵，遊戲公司一直未處理，只會叫你一直貼圖，沒發獎勵自己不知道?沒重置到活動自己不知道?有些時間過去了，要怎麼拍出來，難道要請消保官才能處理嗎 ?
128,2017年12月4日,5,蠻喜歡這種策略對戰模式如果是用聯盟玩法和加競技場代替卡牌成為核心，應該會更有看頭
129,2018年2月6日,4,"02-04,6服領土戰，隔天五點獎勵沒領到，全伺服器都沒領到，不是只有我，反應客服說要拍照，就沒領到要拍啥？拍了領地積分給你就是無限等待，獎勵有沒有發你伺服器不知道嗎，處理快速，改好評"
130,2018年1月11日,1,這遊戲，活動都是走儲值路線，送的鑽石也沒大陸魔法門送的多，在不改善就代表你門只有想賺錢 ！
131,2017年12月4日,5,戰鬥可以自動施放技能、加快速度可以貼近不同玩家需求，中文配音很有臨場感，喜歡魔法門多樣化的英雄都很還原
132,2018年2月6日,1,領土爭奪獎勵未發放，客服反應丟皮球，幹。一直叫你截圖截圖截你妹，傳了圖又不理睬。獎勵有發沒發自己都不知道。
133,2017年12月7日,5,手機版的畫面比電腦版好多了，熟悉的玩法很容易上手，中文配音跟各種音效讓人驚艷，戰鬥的兵種配置很有挑戰性
134,2017年12月7日,5,遊戲的功能引導相當即時便利，每次升級都能預覽之後會開放的系統，關卡地圖還藏了不少野外資源獎勵，不要無腦刷到底就可惜了
135,2017年12月7日,5,魔法門這麼經典好玩的遊戲總算出手遊了，從學生變成上班族的老玩家覺得很感動，手機隨時都能玩太棒了
136,2017年12月7日,5,遊戲畫面就像是單機強化版，總算等到魔法門手遊了，以前厲害經典的英雄和怪物手遊版都有保留，中文配音也很不錯
137,2017年12月2日,5,"有玩heroes of might n magic 尤其係鍾意3風格的應會like, 除了遊戲還有回憶。。。"
138,2017年12月7日,5,隨手就可以玩到以前喜愛的遊戲真是太讚了，初期玩法雖然比較老套，22級之後就可以像電腦版自由探索這樣玩了
139,2017年12月10日,5,我從沒玩過英雄無敵系列，但這支遊戲對無課玩家蠻友善的，我倒是覺得比天m好玩，推一個！
140,2017年12月4日,5,不能從酒館招募英雄這點有點可惜，色彩豐富的畫面和各種奇幻風格的場景不輸單機水準，整體遊戲的水準相當不錯
141,2017年12月7日,5,逐步解鎖遊戲功能比較不會玩膩，遊戲內的引導簡單好懂，將部隊放在正確的位置放著自動打也可以輕鬆獲勝
142,2017年12月3日,5,一開始只有人族可以玩，不過上手是很容易，不像單機可以自由選開始種族有點遺憾，不過這充滿回憶的遊戲就是棒啦
143,2017年12月6日,5,戰鬥的節奏感很快，兵種配置很講求玩家對兵種的了解，介面和地圖探索保有了魔法門傳統風格，玩過後感覺得對得起這招牌
144,2017年12月4日,5,現在的資源是用來升級兵種而不是建築，不須經營城堡縮短了遊戲時間，比較符合現在沒啥時間玩的年紀，重溫回憶真是很棒
145,2018年3月4日,2,英雄對決中，戰力遠勝對方，還會打輸，好多疑問。花大錢衝的戰力，比不上不花錢等級比較高的玩家。那還需要花錢做啥？
146,2017年12月20日,1,你們現在是怎樣? 大半夜凌晨2點，居然無法登入，一直寫授權失敗，想去官網找客服電話，居然連官網也無法連入。  你們公司提供的遊戲服務品質真爛。大半夜跟人家斷什麼線。又不是尖峰時段高承載。
147,2017年12月3日,5,遊戲玩法多元，隨著等級逐步開放功能的設計可以慢慢熟悉，英雄風格鮮明，想要玩哪個英雄真是難以抉擇
148,2017年12月8日,5,非常好玩。兵種多樣性與英雄搭配出不同風格陣型，遊戲類型非常豐富。主線內有許多小彩蛋。英雄交鋒是我最喜歡的部分。官方活動送的算大方，無課或小課都能體驗完整內容，活動沒有綁定時間可以很輕鬆的讓人想玩就玩無壓力。
149,2017年12月6日,5,學生時代就玩過魔法門的遊戲，照著以往的經驗去升級絕對沒問題，畫面比十幾年前的遊戲好上許多，各個細節都稱得上正宗
