,Date,Score,reviews
0,2018年12月18日,1,真的很傻眼， 928關卡是不是設計錯誤啊？明明已經消除所有的東西了！還是顯示要再消滅5格綠地，但關卡沒有下一步了！一直重複928就是無法過關 我有免費2個半小時的時間都被浪費掉了！ 請改善好嗎
1,2018年12月5日,3,遊戲設計用心 但更新太頻密 更新了打開遊戲還要下載很久 很麻煩
2,2018年12月6日,2,後面的關卡越來越難，越來越蝦 步數少關卡要的東西多，根本就沒辦法過關
3,2018年12月8日,4,每次購買後就再沒有廣告睇。
4,2018年12月7日,1,有連結臉書帳號但更換手機後原有進度全部消失，需要重新開始= =
5,2018年12月25日,3,一直打不開 停留在Playrix畫面，難道要重新安裝? 那不就要從第一關玩起?!
6,2018年12月13日,4,有很多不應該的任務都要過関才能完成比較麻煩
7,2018年12月24日,2,我換手機了卻無法登入我原本的帳號 已經練好多等了 怎麼辦？
8,2018年12月24日,4,遊戲場景吸引，但每到節日關卡非常難玩，每每令人想放棄。
9,2018年12月4日,4,900元買5次有點貴，其餘都很好
10,2018年12月11日,5,"不太難, 又可考驗自己的設計眼光。"
11,2018年12月21日,2,2044關太爛了！什麼鬼啊！
12,2018年12月7日,1,更新完後進去一直閃退，刪掉重新下載之後也一樣
13,2018年11月30日,5,比梦幻花園快好多
14,2018年12月7日,1,最近遊戲更新後我就登入進不去了，不知道是怎麼一回事?
15,2018年12月14日,5,如果玩了很多次，還是不過關，都很希望下次是順利完成的^_^
16,2018年12月5日,1,更新完直接閃退 完全沒辦法進去
17,2018年12月27日,1,這游戲太難過關，可以改變一下容意過關
18,2018年12月2日,4,可不可以減少愛心的時間 這樣等 好久
19,2018年12月19日,2,更新太慢， 要等一個禮拜先有新關卡
20,2018年12月7日,4,通關所需的星星數太多，建議有些關卡一顆星就好，例如:睡覺……等。
21,2018年12月2日,5,好多些獎勵機會更好
22,2018年12月21日,1,換手機連結fb遊戲怎麼從頭開始了。不想玩了
23,2018年12月19日,2,請不要再用熊大農場的影片好嗎！都一直當機！
24,2018年12月26日,1,waste too much time and money on fixing the car of Austin's dad.😑
25,2018年12月28日,5,我想知如我換了手機，那怎樣下載之前的進度?謝謝
26,2018年12月8日,5,希望有空白物件的功能，有時候物件擺太滿不是很美觀；另外希望有調色的功能，有些家具外觀很好看，但是顏色不是很討喜。
27,2018年12月21日,1,越後面越要花道具，等級高低跟本毫無關係
28,2018年12月15日,5,很好玩！消磨時間又可以裝飾自己喜歡的風格~
29,2018年12月8日,5,很有趣，可以打照出自己想要的
30,2018年12月5日,3,為什麼不可以選擇使用免費時間
31,2018年12月27日,5,很好玩 可以玩很久不膩
32,2018年12月2日,4,更新完後就無法打開遊戲了
33,2018年12月26日,5,裡面的顏色畫風非常療癒
34,2018年12月27日,5,我也想要這些裝簧
35,2018年12月1日,5,後面的關卡好難 失敗感好大
36,2018年12月1日,3,一個地點花太多花樣太複雜了
37,2018年12月19日,5,會想讓任務可以快點解開，繼續佈置家裡
38,2018年12月1日,5,加油！
39,2018年12月6日,5,不錯玩!可以有無限的想像空間。完成生活上不可能的夢想^^
40,2018年12月6日,4,是個很不錯打發時間的遊戲
41,2018年12月23日,3,为什么我的游戏进度都不见了
42,2018年12月5日,4,好玩 但仍然容易卡關
43,2018年12月10日,5,完成一關給的金幣太少
44,2018年12月10日,5,遊戲給的免費時間可以保留
45,2018年12月15日,1,獎金太少還不錯玩
46,2018年12月27日,5,可以跟小孩一起玩的遊戲
47,2018年12月9日,5,為何好友送的愛心都不見
48,2018年12月17日,4,圖像可以再大一些些
49,2018年12月19日,3,928無法通關！bug煩請修復
50,2018年12月20日,5,我也進不去了，也是停在playrix的畫面.... 謝謝!重新安裝就好了
51,2018年12月14日,4,非文字能表達我的意見！
52,2018年12月5日,5,Too hard after round 50
53,2018年12月1日,5,Fun to play at leisure time
54,2018年12月3日,3,這兩天無法登入
55,2018年12月10日,4,希望能更新快點
56,2018年12月11日,5,我們玩家 遊戲超好玩
57,2018年12月6日,4,系統出問題打不開趕快修復
58,2018年12月20日,1,請不要太難过关，會令人放棄去玩，討厭，真的討厭到了極點。
59,2018年12月4日,4,今天玩狗狗破關任務，在第一大關以破關卻沒有拿到獎勵？？？
60,2018年11月30日,5,很好 很大的空間的任務
61,2018年12月6日,4,這個遊戲蠻有挑戰性和動動腦的 還算不錯~😊
