,Date,Score,reviews
0,2018年10月15日,5,perfect
1,2018年10月22日,5,ok
2,2018年10月6日,4,好玩 但4星好難抽 希望可以出個保底之類的 不然花那麼多錢 抽一堆2星真的很悶
3,2018年10月9日,3,以前都沒有廣告現在就有我真的不喜歡
4,2018年10月5日,4,都新出Drew了為什麼不出Bobby lashley
5,2018年10月8日,5,為什麼我已經有更新了，它還說我沒有更新
6,2018年10月7日,5,我超喜歡玩，但，一直抽不到chan
7,2018年10月5日,1,垃圾有遊戲廢物
8,2018年9月15日,3,"我充錢上去,但無收到金幣,快還錢給我。。。。請大家不要充錢收不到任何東西。"
9,2018年9月20日,1,更新後，遊戲過程會跑出一堆廣告
10,2018年10月9日,5,操縱性可再高一點
11,2018年11月20日,5,希望可以有更多招式
12,2018年9月17日,5,我的世界盒裝 的人士的 的人士的
13,2018年10月18日,5,Rey Mysterio please
14,2018年9月30日,5,好好玩😊😊
15,2018年9月22日,5,棒
16,2018年9月11日,3,藥水的價格上漲了 以前700藥的只要8金條 現在要11 有理由嗎
17,2018年8月23日,2,會當，抽不到好的。AI一直防禦就好啦，最好是要等他出擊我們才能出擊，我們出擊衝鋒一定就要被格檔，太不公平了吧，然後真的連一個好的都沒抽到，爛機率。
18,2018年9月7日,5,招式不能連續，遇到雙打又不能夠呼叫隊友出來支援!! 麻煩修改一下，不然會被打假的!! 謝謝~~
19,2018年9月1日,5,"很好玩的 有一次我抽寶箱一抽四星, 不過真係好難"
20,2018年9月2日,3,抽的東西爛的要命，但整體不錯
21,2018年8月23日,5,我都抽不到江西南😢
22,2018年8月23日,5,超好玩我愛玩
23,2018年8月23日,4,怎麼切換Facebook的帳號
24,2018年8月24日,5,為什麼很多東西、都要花金錢是在諞嗎，，
25,2018年9月2日,1,不要花錢，會後悔的
26,2018年8月19日,5,還可以
27,2018年8月21日,5,Varry good
28,2018年9月8日,5,還不錯
29,2018年10月26日,5,this game is cool
30,2018年8月22日,5,好
31,2018年8月23日,5,好玩
32,2018年8月24日,5,很棒
33,2018年9月3日,5,好玩
34,2018年9月7日,5,很棒
35,2018年9月11日,5,Good
36,2018年11月4日,5,我上國中後就很喜歡看WWE，所以下載了這個遊戲，不是抽不到3星，是靠機率，慢慢存鑰匙就好了，我也是玩久了才有3星superstar，不過這遊戲我覺得可以再新增女性superstar，這樣會更好玩，更多元化。
37,2018年7月29日,5,"金條送多點,建議7日登入可以送金條,4星角色取得可以容易點,例如登入送4星鑰匙"
38,2018年7月27日,1,我花了820元買金條，結果被扣帳，金條卻沒給
39,2018年8月6日,5,登入獎勵要再好點 不然很難玩
40,2018年8月3日,5,好玩又不花錢人物又很像
41,2018年7月24日,5,可加搖杆控制superstar移動
42,2018年7月25日,1,"會lag,資料沒有了"
43,2018年7月20日,5,很好玩 是一個很棒的遊戲
44,2018年7月14日,5,好玩 抒壓 大推
45,2018年7月14日,5,打發時間還不錯
46,2018年7月24日,5,前期升級很難
47,2018年7月15日,5,爆發力十足
48,2018年8月3日,5,錢多一點
49,2018年7月17日,4,還好
50,2018年7月23日,5,棒
51,2018年7月24日,5,好玩
52,2018年7月2日,4,"希望改善或增加東西 1. 增加摔角选手出場音樂 2.改善給多一點黃金 3.增加出售选手 4.增加觀眾沒有觀眾減了很多分數 最後一項[注意] 4. 
改善你們遊戲戴入中 太慢了!!!!! 以下就是這樣 你們遊戲是不錯的但是有很多問題或改善 你們能改善的話我贊助你們"
53,2018年6月29日,2,"越改版越爛，對戰中一直發生卡死,或是已經放招式了，對手卻不會扣血！！！官方不是說更多賽事？能拿4星超級巨星？結果是要求買那些沒有用的商品.....我開了不知道多少個.....從來也沒有4星的超級巨星！ 
我帳號的2位超級巨星是慢慢收集4星鑰匙收集到的！"
54,2018年7月13日,1,最好是對手能防禦普通放招 我們就只能一直被格擋這根本是逼我們拿現金換腳色？
55,2018年7月4日,4,非常好玩
56,2018年7月9日,5,好玩 不錯
57,2018年7月9日,5,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍@
58,2018年7月7日,5,好玩
59,2018年6月17日,1,是怎樣一更新完打到一半就當掉 有沒有認真在經營啊？
60,2018年6月17日,5,與WWE人物做的很像
61,2018年6月27日,5,希望有女角
62,2018年6月22日,5,繼續加油，努力
63,2018年6月16日,5,畫質好
64,2018年6月20日,5,非常有意思
65,2018年6月21日,5,很好玩
66,2018年6月23日,5,棒
67,2018年6月22日,5,太棒了
68,2018年6月11日,5,可不可以讓我們抽到一些好東西
69,2018年6月7日,5,很好玩的好操縱
70,2018年6月12日,5,Very good!
71,2018年6月12日,5,It is very interesting
72,2018年6月8日,5,GOOD
73,2018年5月12日,1,一直卡。里面都不知道是什么样。 说实话一星都不想给
74,2018年5月27日,2,垃圾騙錢遊戲，這垃圾遊戲你要課金才會有1星以上。
75,2018年5月18日,5,女男混打也不錯哦
76,2018年5月22日,5,打發時間的遊戲！
77,2018年5月20日,5,每日送100
78,2018年5月27日,5,鑽石多一點
79,2018年5月29日,5,我要DA
80,2018年5月10日,4,John cena
81,2018年5月11日,5,很激烈
82,2018年5月23日,5,有趣好玩
83,2018年5月30日,5,真好玩
84,2018年5月12日,5,好玩
85,2018年5月11日,5,好玩
86,2018年5月13日,5,好玩
87,2018年5月24日,5,Gd
88,2018年5月27日,5,好玩
89,2018年4月29日,3,希望能增加女選手和ELIAS四星及Umaga和Cmpunk，希望能有選手出場，及美國冠軍腰帶男士洲際冠軍腰帶和BookerT四星的
90,2018年4月21日,5,東西都回來了，前進摔角狂熱吧~讚
91,2018年5月4日,4,希望可以多送一點東西
92,2018年5月6日,4,如果有出場或勝利的專屬音樂就更好了
93,2018年5月1日,5,希望會有更多不一
94,2018年5月3日,5,不錯， 畫質也好
95,2018年4月24日,5,遊戲角色，很多，很好玩
96,2018年5月12日,5,我想要ROMAN REIGNS!!!✊✊✊
97,2018年5月2日,5,好好玩
98,2018年4月24日,5,Good Game
99,2018年4月27日,5,好玩
100,2018年4月24日,5,哦 好玩
101,2018年5月5日,5,好玩
102,2018年6月20日,1,"不要玩了 防不了對手緊按的摔技是怎樣，對手都防的了自己放的，不要越改越爛了好嗎？ 太扯了！ 普攻四次被防守暈眩沒改！ 對手普攻四次沒暈眩沒改！ 
現在緊摔技防守不了，對方可以防成功！ 搞屁阿！！"
103,2018年11月15日,1,点解每次轉輪盤，都是同樣轉到同樣物件……？？ 就算買点數比錢你們，都是同樣不討好東西，—直没變的下等東西呵，希望你们比些少少幸运我们， 不要太市侩，拜托！！
