,Date,Score,reviews
0,2017年8月20日,3,進不去遊戲裡面
1,2017年8月29日,5,還不錯
2,2017年9月26日,5,加油
3,2017年8月19日,1,對於貴公司 每周6的升星+5趴 機率 個人表示十分無感 我可以裝備從+9一路掉到+5 當然啦+5+6一百啪一定上去可以+6+7只有70 呵呵70呢直接掉 連續5～7次 活動已經越出越爛了 還這樣改機制0.0 我們團內已經有位差一件全+10的大大堵爛 直接不玩了 真的不知道你們公司有想好好經營嗎 0.0可能我需要直接寫信給googlepay反應嗎？
4,2017年5月28日,4,真心喜歡這遊戲 只不過體力回的有些慢 刷裝需要大量體力 一下子就沒了希望能改短一些 劇情配音很有韻味 從小就是仙劍迷了 繼續陪著我們一起走下去吧
5,2017年5月30日,5,這國產遊戲作的已不輸國外了  光是獎勵 很敢送  很難在找到此款手遊  內容  劇情 很有看頭 而且不會很容易斷線  除非你手機太老舊 不然別斷言此款手遊 幻劍 幻璃鏡非常耐玩的手機遊戲
6,2017年5月31日,5,這大概是我玩過最好玩的手遊了 畫風 玩法 流暢度 等等 都是我遇過最棒的 唯一需要改進的是有時候點活動或跑劇情的時候會卡住然後就動不了了 不過整體來說還是超讚的
7,2017年5月29日,5,原本只是點廣告隨意載的XD 但是意外的很好玩欸 畫面跟人物設計都蠻精緻的 戰鬥的流暢度也很夠！ 就算是自動戰鬥也會需要點擊   還滿喜歡這種互動感的 官方繼續加油喔😳
8,2017年6月10日,1,遊戲裝備升級難度太高 沒有花台幣是不可能把裝備升級起來的 本來要買月卡但看到材料都在終身卡才有就放棄購買 每次抽獎都抽到爛東西
9,2017年6月10日,5,很好玩 但是活動大部份需要消費 久了休閒玩家就棄坑了 而且集章兌換的活動明明結束了 通靈還一直送能幹嘛  希望送點有用的
10,2017年6月2日,4,遊戲品質不錯玩 但廣告適量就好 我轉個影片都有仙劍的廣告 別阻止我看影片阿啊啊啊啊啊 雖然遊戲好玩 廣告有點多  (我會想哭的~TT) 希望改善一下 我會感激涕零的XD
11,2017年5月27日,4,場景和動畫以及戰鬥過程很不錯 但是我覺得對遊戲玩家會有一個共同的困擾 就是戰鬥時不是自己控制工具 而是靠近以後自動戰鬥 我希望下次改版後可以增加攻擊的按鈕 這樣會更好
12,2017年5月26日,5,大推 故事很棒 畫面也很好 玩法也很爽快 對於百合控的我 小緗跟壇霜 元黎跟聽玉這兩對萌死我啦 希望後續劇情不要雷
13,2017年6月1日,5,"希望遊戲運行的部分能再流暢一些,才能有更好的體驗 最近打金幣的副本有些卡卡，其他部分只能說非常完美 非常好玩"
