,Date,Score,reviews
0,2018年9月24日,3,好玩的（●＾o＾●）
1,2018年9月19日,4,好玩
2,2018年9月17日,5,我覺得這個遊戲超級棒！
3,2018年10月16日,5,爸爸爸爸爸爸爸爸爸爸吧阿伯 吧檯球衣褲
4,2018年9月14日,1,廢物遊戲一直閃退
5,2018年9月13日,1,語言問題
6,2018年8月25日,3,"我非常支持你們那些不支持這個game的人，不過對喜歡玩的人來說還是非常贊的👍（我刪除了很多game，不過還是放不下這個game)真的很好很好☺，不過這些廣告很煩人😈😈 ,還一直重复"
7,2018年8月6日,5,"X*jsjdjDjjskjsjxjwiscjdjfnxnnsjwidhhdkpxjcm The same time and consideration 
of course and I am a bit and it has taken the same time I will try the best 
thing in my mind I was thinking it would help and advice from a future 
usufructuary"
8,2018年9月2日,5,很可愛的遊戲 看到兩顆球互相碰在一起的笑容就覺得很滿足 真的很喜歡這個遊戲 提醒一點 網路關掉就不會有廣告了
9,2018年8月20日,3,是說真的廣告太多，玩家輸了就會想再試，然後廣告那麼多在擋，還害人按到廣告頁面，浪費時間在耗，還得等叉叉出來才能按掉，煩人
10,2018年9月4日,3,一開始不可能很快就判斷想不想花錢買去廣告 因此因該蠻多都會先試玩 然後被廣告煩到不想玩了= =
11,2018年8月28日,1,幹 我都已經 照你們的提示話了 又未必能過關 不然真的很好玩 你們會不會做遊戲啊
12,2018年8月8日,2,我知道免費遊戲需要一定的廣告去維持，但是你們的廣告真的是多到太誇張
13,2018年8月14日,2,太難了(我已經跳下跳下跳到第200關)，沒有Wifi又不能使用提示…好不容易找到Wifi，照着提示畫又未必能通關…😠
14,2018年9月10日,2,ㄍㄋㄋ的當死了 遊戲差廣告多 拜託畫筆不是只有90度可以畫 你是用小畫家當底是不是
15,2018年8月4日,5,有些關卡需要精密繪製 但這很不符合手指繪圖 應該往巧思的方向設計
16,2018年8月28日,5,說真的 有一個一直說 game的 不要以為烙英文 別人不會認為你英文程度好 只覺得你很87
17,2018年8月31日,1,幹 我是下載遊戲app還是廣告影片循環器啊 媽的廣告多到有完沒完
18,2018年8月14日,1,爛！！！一直跳掉，而且為什麼變成簡體字？原本的LoveBolls變成戀愛球球，還很卡，建議想玩好玩遊戲的人不要下載。
19,2018年8月17日,1,廣告還未準備就續是怎樣，那題只是想看看你們的答案…
20,2018年8月8日,3,如果你们把广告全部移除，一个都没有，我就给你们五星，广告多到我差点摔手机
21,2018年8月23日,5,吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃吃蔬菜下次長期餐廳廳長的感覺好奇的地方可以與我們也因為這可是現在我現在我現在我現在我現在我現在有很多網友分享一下的問題上也因此也因此也因此對我們可以從。
22,2018年8月7日,2,為什麼會圖然跳回第一關要我重新玩，而且很多廣告，我都玩到一百多關了竟然要我重新玩！！！！
23,2018年8月4日,2,非常好玩的益智遊戲，真的被廣告拖垮了廣告實在是太多了，唉～怒刪除
24,2018年8月18日,5,廣告太多了啦害我都一直按到廣告的頁面煩死人了
25,2018年8月9日,1,"Too many ads, very disturbing And some stages are kinda stupid"
26,2018年8月23日,5,這一款遊戲，值得爸爸媽媽與小孩一起玩，可以相互分享討論，如何過關的遊戲。
27,2018年8月17日,5,我覺得很好玩會讓我玩一局，有會想再玩一局讓我一直玩
28,2018年8月24日,1,超爛，廣告一大堆，我是要玩遊戲還是看廣告？？，一顆星都不想給，爛死
29,2018年8月2日,2,好玩但廣告多到一個爆炸
30,2018年8月10日,5,每個人都說廣告，傻子?欠你們是不是，要爽不要付錢嗎
31,2018年8月7日,1,廣告太多浪費時間，影響創作者的美意，直接刪除
32,2018年8月18日,1,支那爛遊戲，超過一半都在看爛廣告，玩個屁
33,2018年8月6日,2,廣告多到讓遊戲的價值蕩然無存
34,2018年9月8日,5,等待更新後的新關卡...目前都在玩每日挑戰的關卡，遊戲開發人員辛苦了期待有新的關卡謝謝
35,2018年8月1日,5,很好玩希望你們多出一點關卡
36,2018年8月31日,1,廣告一大堆贏了輸了都有廣告 連解答都要廣告。你們是多缺錢？
37,2018年9月5日,4,為何我關畢廣告後不是黑屏就是跳game?所以我把它刪了
38,2018年9月4日,5,很好的動腦遊戲，但今天很奇怪的出現音樂聲？即使我在設定裡關掉音樂，依然如故！
39,2018年8月15日,2,已經被廣告收賣的遊戲
40,2018年8月3日,5,廣告好多，拜託少一點Pleas
41,2018年8月4日,4,廣告太多了拉!!!
42,2018年9月12日,5,如果你很聰明，就有辦法不靠提示就能過關
43,2018年8月23日,5,我才8歲而已我就玩到315關了
44,2018年8月6日,3,很好玩 但廣告很煩
45,2018年8月14日,5,好玩好玩!!!!!喜望角色多一點拜託拜託
46,2018年9月4日,2,簡單乏味，關卡大致上都一樣，還不如另一個同類型的遊戲
47,2018年7月31日,1,廣告多到誇張
48,2018年8月31日,1,玩個遊戲這麼多廣告 浪費時間
49,2018年8月13日,4,第三十六怎麼破啊！
50,2018年8月28日,1,一直跳掉，廣告太多，請快點改善
51,2018年8月1日,4,需要動腦，很有趣!!!
52,2018年8月2日,5,好好呀OK 又好玩
53,2018年8月5日,5,我覺的很有去
54,2018年9月7日,1,廣告多到很火大
55,2018年7月31日,3,打的很庫存誇張
56,2018年8月25日,1,廣告非常多 又很難關閉…
57,2018年9月15日,1,過多廣告 爛死了
58,2018年9月12日,1,LOVE BALL MORE LIKE SUCK BALL
59,2018年9月16日,1,廣告太多，很討厭，又一直閃退
60,2018年8月4日,5,很好玩!
61,2018年8月13日,2,玩到一半會跳出來
62,2018年8月19日,5,可以移動到球
63,2018年8月24日,4,石亏乙无
64,2018年9月5日,5,超級好玩又簡單
65,2018年8月9日,2,廣告一堆，爛死了
66,2018年8月23日,1,太多廣告了!！！
67,2018年9月1日,1,廣告太多，其餘還好
68,2018年8月17日,1,廣告多，移除貴，指難畫
69,2018年8月7日,5,應該還好吧
70,2018年8月10日,2,一直跳出廣告
71,2018年8月24日,5,可以動動腦
72,2018年8月24日,5,超簡單地，這是一種好玩的遊戲……
73,2018年9月1日,5,一直閃退
74,2018年9月8日,5,更加好一點
75,2018年8月3日,1,廣告太多
76,2018年7月31日,5,很好玩
77,2018年8月5日,3,太多廣告
78,2018年8月5日,3,不要廣告
79,2018年8月1日,5,好恩愛
80,2018年8月10日,2,廣告太多了
81,2018年8月14日,3,滿好玩
82,2018年8月17日,4,很好玩
83,2018年8月23日,5,"慈。側行程言之過早此情形Iditarod,gjxc {©{[®{[®→℃¥"
84,2018年7月31日,1,廣告
85,2018年8月4日,1,一堆廣告
86,2018年8月12日,5,可以打
87,2018年8月12日,5,非常思考
88,2018年8月14日,5,超好玩
89,2018年8月17日,1,廣告太多
90,2018年8月26日,5,沒有關卡了
91,2018年9月7日,5,很好玩的
92,2018年11月23日,1,簡單啲
93,2018年8月2日,5,很好
94,2018年8月3日,4,好玩哦~!😀😀
