,Date,Score,reviews
0,2017年6月21日,4,挺好玩
1,2017年6月15日,1,官方能在爛一點 我問為何我蓋得防禦空城怎不見了  跟我說被打飛了  這三小回答??90多個空城就被你們這些官方刪掉的 誰會無聊到去打6等空城???官方工讀生是沒帶腦????每次有問題都回答一些沒腦的答案??好玩嗎???
2,2017年5月14日,4,更新有短暫不能登陸，但更新App後好多了？
3,2017年5月12日,4,沒花錢的永遠給人家打好玩的
4,2017年4月22日,1,奇怪了，復活節活動問題到現在都沒處理，真的有遊戲客服人員嗎？還是只派一個在遊戲商店有人申訴才處理
5,2017年4月28日,1,朋友使用Android phone和FB帳號玩遊戲，FB程式更新後，再也無法登入。儲值而無法玩遊戲，玩家都流失，要如何繼續玩下去?
6,2017年4月29日,1,為什麼fb更新後遊戲開起來什麼都沒有，而且任何按鍵都不能按，請盡快改善
7,2017年4月26日,2,今早咋都黑幕進不去，處理一下
8,2017年4月30日,4,😊😄😁
9,2017年4月19日,1,更新後品值變差了，野外打怪一直當頻😬
10,2017年4月19日,2,麻煩程式的連線可以好一點嗎？  真噁心!
11,2017年4月18日,3,遊戲好玩，只是客服每次都不回覆，回覆了就是很多天之後，不特別再去提醒它回覆可能還不會理人(非假日)，明明說一個工作天內就會回覆？
12,2017年4月17日,1,系統不斷錯誤，這怎玩，我打了一個分城把它們全滅了，然後分城的兵全復活了？！！這系統甚麼回事！要求賠償
13,2017年4月18日,1,客服要回不回，更新系統狂當
14,2017年4月17日,1,越來越差~4/17 更新後，點沒幾次就卡在黑幕~死當！才幾小時時間就6次了！
15,2017年4月11日,1,今天更新完，玩一玩美國變大唐，我沒換自己變，然後挖完礦城自己飛走是哪招是沒更新好？？
16,2017年4月3日,5,S20華人盟碼WTN，這邊有制度保護了新手玩家的權益
17,2017年4月1日,1,如果沒有想要花很多錢的話，就別玩了
18,2017年3月29日,5,非常好玩，獎勵也很好
19,2017年4月17日,3,無即時中文翻譯  ， 無法跟其他人溝通
20,2017年4月2日,5,好玩 不過建築時間過長
21,2017年4月2日,4,好玩但都英文
22,2017年4月13日,3,分成怎麼用
23,2017年4月8日,5,不錯玩遊戲
24,2017年3月25日,5,之前就出现登入游戏连接服务器闪退，现在更强，明明有连接网络，上其他游戏没问题，就是你们说我失去网络，厉害👍到没人有的境界了，可以维修吗？不要十问九不应得
25,2017年3月24日,1,都還沒開始就一直閃退
26,2017年3月21日,5,正！！！！
27,2017年3月28日,5,很合打發時間
28,2017年3月29日,4,好玩到爆
29,2017年3月18日,5,外掛抓起來
30,2017年3月16日,1,"付錢不是問題,但希望能夠杜絕外掛, 玩家們課金了也受到不公平對待。全那麼課金的意義何在？倒不如每個人也用外掛程式好了。"
31,2017年3月15日,1,"要不斷課金的遊戲, 而且打擊外掛方面極度不積極, 錢識賺問題唔識解決"
32,2017年3月13日,4,還不錯，只是不花錢的話，升級真的是慢，且只能乖乖的挨打。
