,Date,Score,reviews
0,2018年2月25日,1,騙錢遊戲 活動常常自行更改 欺騙消費者
1,2018年1月31日,1,官方會用bug名義騙玩家的錢
2,2017年12月20日,1,廢廢物質感覺得到了得到了得到了得到了了了了了當初一定價款曲解救；戈！！
3,2018年4月24日,1,誘騙玩家儲值在回朔收回
4,2018年8月4日,5,雖然有bug但是處理挺快
5,2018年8月24日,3,一直莫名的關閉遊戲，最近開始當機，當到手機也跟著當機。
6,2018年2月3日,5,Zenfonr4 pro Android 7.1.1版本，會閃退。 請協助
7,2018年5月13日,1,馬的，負評打完就洗掉，要不要臉啊
8,2018年1月25日,1,多日來已進不去
9,2017年12月16日,1,到底要怎麼邀人
10,2018年1月29日,1,畫面全當了是怎樣
11,2018年6月2日,5,一個人超級想要
12,2018年8月4日,3,惡夢模式的太難了，是想讓玩家破不了關嗎？
13,2018年1月11日,1,為什麼我進不去？一直卡在下載畫面
14,2017年12月19日,1,一直閃退是怎樣，兩天了耶
15,2018年2月26日,5,請問如何把遊戲轉到另一部電話？
16,2018年1月10日,1,S2~遊戲閃退要幾次啊
17,2018年9月19日,1,常常會閃退
18,2018年1月29日,5,請問五顆星是不是有福利呢？
19,2018年1月5日,1,"貴遊戲的小編陳建周先生胡亂說本人妨害他人聲譽，我問点妨害又說不出，只会在粉團冊除我post, 未交代清楚更把我拉進黑名單，是要欺騙自己，或是不想其他玩家知道這遊戲是多不公平嗎？反映無人理，投訴又無門，這樣可留得到玩家支持嗎？希望会有人跟進事件  補充：投訴無人理，拿不到禮品無人理，充值問題無人理，遊戲卡爆無人理，總之下載後有什麼問題想追回全部無人理，不如直接改名（無人理越南大戰）"
20,2017年12月13日,1,沒什麼可玩性，相當失望
21,2017年12月17日,1,改版之後，狂閃退
22,2018年2月22日,1,經常閃退
23,2017年12月30日,4,情報局不見了，我只更新一次，可否解決？
24,2018年4月20日,2,會自動退出
25,2018年9月19日,1,狂閃退是要怎麼玩呢?
26,2018年1月29日,1,人物碎片突然不見?可以給個答案嗎？
27,2018年3月1日,1,外掛太多了
28,2018年5月26日,5,很好玩
29,2018年12月22日,5,加油加油吧吧吧
