,Date,Score,reviews
0,2018年6月16日,5,太棒了
1,2018年10月25日,1,有綁定，帳號不見??
2,2018年5月2日,1,遊戲有好轉 但目前參加組隊冒險 或是競技相關 與玩家對決 或是一起解任務 都會突然跳出 造成蠻多困擾 請儘速改善 完全沒回應 dam
3,2018年5月4日,3,l請修復 狂斬 玩到一半他會自己跳出來 不管是副本或冒險都會 好不容易50等 也有花一些錢在遊戲 請修復 謝謝
4,2018年4月30日,1,更新完之後這一兩天一直閃退 玩試煉 洗到大吉 進入到一半就突然閃退 是怎樣 是要我們要消費才不會有這種情形發生嗎
5,2018年5月1日,1,從4/27 到5/1 因為閃退問題重新下載 遇到帳號綁定問題 要我耐心等待 等了5天 處理態度消極 我看大家還是別玩了
6,2018年4月29日,2,太扯了一直閃退怎麼玩啊好不容易刷到50級武器大吉就給閃退快沒信心了組隊副本也一樣令牌都沒了啦
7,2018年4月26日,1,改個版就給我一直閃退，我試練洗到大吉一關沒打閃退出去變垃圾了，是要怎麼補常，當大吉很好洗就對了
8,2018年5月1日,2,即時對戰會閃退，而且總是匹配到課金一堆的，或是一看就等級高很多的，平衡後根本沒用，還是一樣根本不用打，請快改進，不然我覺得玩家會越來越少
9,2018年4月26日,3,競技的平衡真的不夠 有些打起來傷害還是天差地別 我好不容易爬上去 今天一直閃退掉分 分數怎麼辦？
10,2018年4月30日,1,閃退嚴重，花鑽石刷試煉刷到大吉又閃退，鑽石都白花了！ 好像問題出在符文，使用戰意卻不能閃避，一閃避就閃退..快改善吧！
11,2018年5月12日,5,連技玩起來爽感十足，而且技能也很酷炫，是個靠戰力但又吃技術的遊戲，非常好玩，美中不足的是體力令牌恢復有點慢啊！這是稍微差的地方
12,2018年5月5日,1,突然又登不進去是怎麼回事 為什麼伺服器未開放?這是哪招? 為什麼組隊會一直跳出 進去次數直接少一次 求補償
13,2018年6月14日,1,從5/2~今天有有閃退問題 前幾天都玩的好好的 現在打任何的冒險都會閃退 要怎麼玩下去 （已改善）
14,2018年4月28日,1,遊戲再一直這樣下去完全不行啊，按回避就閃退，這怎麽玩？幾天了都沒有改善，還一直說著官方語言說解決了，但問題為什麽還在？這個遊戲遲早會玩完。
15,2018年4月29日,1,我真的不想再講了，只是有點慶幸，還好沒有付出太多的錢，還有跳離的機會，錢就算了不想再付出時間在這超爛的手遊身上。
16,2018年4月27日,1,只要按下迴避馬上就程式錯誤關閉，更新沒搞好，維修也沒完整4小時到底修了啥小
17,2018年5月13日,1,到了現在還是一樣 按迴避就閃退 最近玩都這樣 打個副本狂閃退 登入在打又一樣 打個副本閃退幾十次 搞的現在連玩的興趣都沒
18,2018年4月26日,1,玩冒險時使用迴避會跳遊戲到底是怎樣問題怎麼一堆可以別在出包了嗎？
19,2018年4月26日,5,遊戲是不錯 才玩第二天就進不去了 一直連線中斷 伺服器搞好點 我再改五星
20,2018年4月28日,1,一直說閃退已改善是在講幹話嗎？分明什麼都沒改善，瘋狂閃退，到底有沒有打算改善啊
21,2018年5月4日,1,連接伺服器失敗 請檢查網路設置後重新登入 已經4g滿格了你們到底想怎麼樣
22,2018年4月26日,1,無法找到1-6區的伺服器 只顯示新開的7區伺服器？！重新下載更新ˇ後，連遊戲都不能連了。。。
23,2018年4月28日,1,從早上登入到現在都顯示讀不到角色資料，是在搞什麼
