,Date,Score,reviews
0,2018年12月12日,5,會突然跳出去其餘的都還不錯 劇情一跳出去重登要從頭開始看 希望可以改進
1,2018年12月19日,5,您好，買了特權補給，信用卡刷卡成功，但是購買的體力等數值卻沒有提升？已按修復更新了一遍依舊如此，能否幫我處理呢？謝謝您。
2,2018年12月19日,5,希望過年前出點數卡，點數卡真的比較方便啊🙄🙄🙄電信帳單，學生黨都會被家長發現又要被訓，真的很需要點數卡🙇🙇🙇
3,2018年12月23日,3,任務給的錢太少，升級花的錢太多，整個遊戲生態就是一個不平衡。這樣的遊戲無法讓人想長久玩下去。
4,2018年12月11日,5,起子我來了！白夫人報到！終於上架了啊啊啊啊QUQ這次應該方便課了XD
5,2018年12月12日,4,在解壓縮的時候卡住，重開機後就直接卡在最一開始疊紙logo那邊了qwq
6,2018年12月18日,5,不知道會不會像暖暖一樣推出辣椒卡或mycard儲值管道，希望能早日氪金
7,2018年12月13日,5,下面蘋果布朗尼第一次玩台灣代理的別國遊戲？ 大部分代理遊戲都是從最初開始一步一步跟上進度，懂？
8,2018年12月11日,4,我們的名字比較生癖的字會顯示不出來…希望可以改善(簡中版可以顯示）
9,2018年12月13日,5,台版很用心，可以綁定臉書登入超方便，唯一美中不足的是……字體太細看的很吃力，可以改看起來舒服的字體嗎？
10,2018年12月11日,5,陸版的語音感覺比台版小聲欸 都被BGM蓋掉了（只聽了1-4
11,2018年12月17日,3,我真的很想儲值，可是我只有18歲沒辦法課QQ拜託弄出辣椒卡給我們課好嗎？
12,2018年12月12日,4,台版許墨聲音好評！不過我愛杉田智和嘿嘿嘿
13,2018年12月11日,5,愛人生！終於在Google play上架了！到時候再補評論，許墨我來了！
14,2018年12月25日,5,一堆雞雞歪歪的說陸版好回去玩阿 也不看看多亂多複雜一堆東西 為了搶先玩去下載陸版 現在台版開始就在吵 怎不乾脆吵說把陸版帳號整個搬到台版的
15,2018年12月26日,5,這個手遊真棒 真的能夠感覺到有男友的樣子 但我還是希望可以由女主自己打給他們 或者是可以讓他們多打些電話給我們
16,2018年12月25日,5,故事性很好，需要花點時間，但沒關係 有關係的是要你花錢儲值的套路 有點玩不下去
17,2018年12月24日,5,背景樂好聽但太大聲了，很容易壓過語音，希望可以有調整音量大小的設定
18,2018年12月23日,1,好氣喔 早上起床城市漫步就歸零了wtf 100才能加100好感度還歸零就不用玩啦 還有卡都抽到許墨還有周棋洛 啊我就喜歡白起還有李澤言啊 很氣ㄟ
19,2018年12月27日,5,想詢問事前登入的獎勵序號要輸在遊戲哪裡QQ
20,2018年12月11日,4,起了個大早發現自己居然還排這麼後面哈哈?!! 等中午來更改星星~
21,2018年12月28日,4,聲優畫風超棒的 可惜還是有Bug 明明什麼情況都沒有就冒出驚嘆號讓你點，點完還不知道發生什麼事
22,2018年12月28日,5,一款很令人心動的遊戲 遊戲劇情和關卡都很吸引人 會有很想征服這些關卡的衝動 是個讓我大推的戀愛手遊
23,2018年12月25日,5,很有質感 而且男主真的都很帥 劇情也有一種會讓人想玩下去的感覺 最喜歡許墨跟白起❤
24,2018年12月25日,4,這次更新後一次抽多張卡 就不能回覆前面卡片的動態 因為更新前不會有這樣的狀況 想請問這部分可以改善嗎？
25,2018年12月26日,5,遊戲的背景音樂希望可以自己調整大小 感覺背景音樂太大聲了，我想聽對話的聲音R 可是把聲音弄大，音樂就會一起變大很困擾 完全把音樂關掉又很怪
