,Date,Score,reviews
0,2018年12月20日,4,容易卡住不動 打NPC的時候最嚴重
1,2018年12月9日,1,完全不能玩可以玩我就會給更多心
2,2018年12月4日,1,都不把路人會盪修掉
3,2018年12月12日,3,常常斷線，還有有些翻譯可以修正一下嗎？ 如：競技決鬥的勝敗場
4,2018年12月16日,5,好玩 除了有時會斷線沒什麼其他問題
5,2018年12月22日,3,"devs, I found a bug where when I got a card, it disappeared. can't find it in the deck editor."
6,2018年12月24日,1,希望改成一回合的限制秒數
7,2018年12月7日,1,媽的 牌位機制不配對同等的一下就被打爆^^
8,2018年12月15日,5,希望BF卡组出多几张牌
9,2018年12月4日,4,寶石越來越少了 有點難過
10,2018年12月4日,5,如何觀看街頭決鬥重溫
11,2018年12月12日,5,請大家多支持遊戲王
12,2018年12月16日,5,更新之後突然無法進入伺服器了
13,2018年12月21日,3,三星a7 2018 不能正常開啟遊戲
14,2018年12月14日,1,商店維護是怎樣2018/4/12是殺小
15,2018年12月16日,4,可惜舊紀錄無法找回
16,2018年12月8日,5,希望可以拿到三神獸
17,2018年12月12日,4,"不差,大包主流不禁就很白目"
18,2018年12月4日,5,打發時間的好遊戲
19,2018年12月18日,2,套牌組三十張魔陷 抽完全都是怪獸卡 真佛心的抽牌系統\^。^/
20,2018年12月14日,3,改一改。戰鬥 被要求重開
21,2018年12月15日,1,新活動的卡不能使用
22,2018年12月24日,5,還可以，算不坑又能晚了
23,2018年12月22日,5,面白いケー厶!
24,2018年12月25日,1,帳號資料遺失，有氪金
25,2018年12月20日,3,網絡又出問題，loading.......
26,2018年12月15日,5,挚爱青眼！
27,2018年12月9日,4,台湾服吗？想玩日服怎么弄
28,2018年12月22日,1,垃圾遊戲 !
29,2018年12月7日,5,很酷，動畫很帥
30,2018年12月25日,2,請問為什麼我的資料不見了？
31,2018年12月22日,5,好玩!!
32,2018年12月16日,5,非常棒的一款游戏
33,2018年12月14日,4,Master Duel plz
34,2018年12月4日,4,期望，可以更好的。
35,2018年12月21日,5,为什么你们的问题我都没有：）
36,2018年12月27日,5,好遊戲，推一波
37,2018年11月30日,5,神遊戲
38,2018年12月5日,1,回鍋玩家資料沒了...
39,2018年12月10日,5,情怀五星
40,2018年12月13日,5,重現童年
41,2018年12月17日,5,很好玩
42,2018年12月26日,5,很好玩
43,2018年12月24日,5,遊戲好玩
44,2018年12月1日,5,nice
45,2018年12月1日,5,好玩
46,2018年12月4日,5,好玩
47,2018年12月3日,5,GOOD
48,2018年12月12日,5,棒
49,2018年12月24日,5,gd
50,2018年12月15日,5,好玩
51,2018年12月16日,5,ok
52,2018年12月18日,5,好
53,2018年12月26日,5,goodhhgh
54,2018年12月22日,5,xx
55,2018年12月25日,5,好
56,2018年12月26日,5,好
57,2018年12月21日,1,有時候感覺牌都沒洗一樣？？？？
58,2018年12月23日,5,……
59,2018年10月26日,5,這是我目前玩過畫面設計最有感覺的遊戲了，除了戰盤只有三格，其他都很完美！不過希望精簡一下卡包系統，有點不知道怎麼買
60,2018年11月12日,1,今天終於出了我最喜歡的黑羽卡包，但為何就是只出一半。裝甲之翼、疾風之蓋爾、大旗風神都沒有。本來我還很期待可以實現大旗風神的墓地同調召喚
61,2018年10月19日,5,這款遊戲王遊戲非常讚，可是想問一下如果神之卡沒拿到還有拿到的機會嗎，因為沒拿到太陽神的翼神龍，不知道還有沒有重複的活動可以拿到的機會。
62,2018年10月23日,5,換了新手機 之前玩到54階的記錄都沒了 (後來給我找回 開始遊戲前按 傳輸資料 就ok了)
63,2018年11月12日,5,能不能開放40張好不好啦 30張就不夠放我想要的卡～還有抽四張卡 能不能開放五張卡啊 融合也是一樣 場地也要弄
64,2018年11月13日,5,媲美實體的遊戲，遊玩過程也很讚。 然而，在某些方面仍有不盡人意的問題，如： 卡片商人的卡片長期不更換。 誇世代的人物的對話沒有交集e.g.遊戲和遊星、萬丈目和海馬等等
65,2018年11月3日,1,新開放的角色 有一個技能 有問題 就是 技能名稱是 上吧 育幼 就是這個技能有問題 如果可以解決的話 我就給 五星 最高 謝謝
66,2018年11月30日,1,垃圾系統打階級玩家明明都是20張牌組我13張怪獸卡一張五星以上6張陷阱魔法卡連五長都是前兩回合只有抽到一隻四星卡其他都是魔法陷阱卡垃圾系統
67,2018年10月22日,3,最近的連線狀況不是很優，常常在自家網路訊號滿格的地方都會顯示斷線。還有拜託把同步的搭配卡出滿，有也不要放在技能裡 最後，請把一些角色語音的中文字幕修正一下，起碼弄到和原作一樣
68,2018年11月27日,2,傑克任務打一般決鬥者會出現? 我打了9次，他一直顯示快到了 打了17次還是快到了?! 第18次才出現，還是30等的而已 而且掉卡機率也太低 30掉卡機率趨近於零 40等分數8000才有機率掉好卡
69,2018年12月5日,4,這遊戲的效能一直拉不起來，不知道是伺服器爛還是程式本身的問題，就算是電腦版也一樣。
70,2018年10月26日,4,有點吃運氣，例如一個帶海馬人的玩家手上，一開始就有青眼白龍跟海馬人，第一回合就一隻3000攻擊力的腳色基本上輸定了
