,Date,Score,reviews
0,2018年6月7日,5,很好
1,2018年6月10日,5,好玩
2,2018年9月23日,5,好玩
3,2018年11月26日,5,棒
4,2018年5月4日,5,好玩 很好升等☆☆^_^
5,2018年4月19日,1,重新下載一直出現資源解壓失敗還要我確認儲存空間，是怎麼回事啊
6,2018年4月21日,1,怎麼安裝後一直說記憶體不夠，不能壓縮，明明還有空間，逼人退遊嗎？
7,2018年4月23日,1,一樣問題，一直減壓縮失敗，我手機裡面根本沒什麼東西，一直在從新下載都沒用，是快倒了是不是啊
8,2018年4月25日,3,首儲的東西應該都可以得到不是只能選一個
9,2018年4月24日,1,花好幾萬沒有一次活動有抽到的，所以因該不適合玩這個遊戲(>﹏<)
10,2018年4月20日,1,進不去，一直減壓失敗，重下了也進不去，早知道就不更新了
11,2018年4月18日,1,下載了！不能登入！顯示儲存不足不能解壓！手機儲存很足夠，發生何事？？？？？
12,2018年5月11日,5,下載apk也無法登入
13,2018年1月24日,5,怎麼今天更新後  點進遊戲進登入畫面的載入  都卡在95%   無法載入到登入畫面  到底是什麼問題  還是遊戲還不穩定要給他時間載入？ 以前都跑很快   怎麼今天我更新後就變慢  而且還卡在95%……
14,2018年1月30日,2,存超過兩個月換到的武器傳奇技竟然是職業限定？好歹也不要讓別的職業拿到吧？另外祭壇王公會王的血量能再調整一下嗎？出來就被被秒殺，又不是每個人都能在祭壇撐到王出現
15,2018年2月3日,3,"下載完  一直在""正在下載更新""頁面  跑到30%後 又重新1%開始執行 無法進入遊戲  重新安裝過 也沒用"
16,2018年1月23日,5,我今天改版卡在載入資源95手機容量沒有問題請你們檢查一下
17,2018年3月5日,4,"我以前玩過然後我再次下載, 我剛下載可是更新的檔案都下載好了，然後它就會顯示正在整理更新內容永遠跑到中間就不會在跑了 到現在我還是不能玩"
18,2018年3月14日,2,等級太高的人有好多  一些100等以下的關卡根本不會有人進來 不知道要不要繼續儲值這遊戲。
19,2018年1月27日,5,我商店裡面改名卡為什麼不見了？ 是不是一個人只可以改一次名字呢？
20,2018年2月23日,1,你這遊戲還讓不讓人玩？ 下載完後跑下載更新不給跑，屏幕沒有黑屏也是剛開機上來，新手機都下載不了，要怎麼玩？可以盡快改善嗎？不要只是說說都不做👌？
21,2018年4月1日,1,剛改版完就一堆問題 曾經是給五星好評的 目前看來是連一星的不如了…
22,2018年1月18日,1,它一直顯示網路不佳更新失敗 可是我網路明明是好的
23,2018年4月5日,1,我下載更新時要181.6mb 可是我一到66.7mb他就跳回0mb 我讓他跑了4小時了😱😤
24,2018年4月4日,1,我想問為什麼下載完卻跑出你的手機平臺需要支援下載 這麼什麼問題
25,2018年1月17日,4,卡在載入資源94%就沒反應了，現在是怎麼呢？
26,2018年3月1日,3,為什麼它說網路連線不穩什麼的？但我明天有連網路啊
27,2018年1月20日,5,請問為什麼晚上10點以後登不了?拜託告訴我
