,Date,Score,reviews
0,2018年10月17日,1,現在是怎麼樣 王者3-7 不知多少天還是開不到戒指 105戒指是要用到啥時啊可以誇張一點
1,2018年10月23日,1,遊戲超坑。無底洞的那種。要玩三思。後面王者副本。王的設計是設計給土豪玩的。非常吃裝。整隊人馬，裝等到了。跑位等等一切正常。還會狂暴。非土豪真心覺得勿入。
2,2018年11月2日,4,為了抽你們的座騎儲值了兩三千台幣就是抽不到，別人花了兩三百就抽中座騎跟稱號，幹，課多金的反而抽不到，怎麼一回事啊？
3,2018年10月2日,3,如果創角色的部分，可以增加刪除角色的選項鈕，會更體貼玩家。 小小建議，非常感謝。
4,2018年11月3日,3,簡單的說 涼了 活動一直重複 禮包一直出 還重複 說明了就是圈錢 沒想到一個始祖ip被搞得連糞遊都不如
5,2018年10月7日,1,非常好玩的遊戲，太好玩了。直到更新後不能玩。 也過了一段時間了，也沒改善
6,2018年10月18日,1,偷偷更新啥，請說一下好嗎?又不是當賊，難道說明更新啥，也要回報原廠嗎。。。
7,2018年12月6日,1,建議冒險王者副本應該要出新，不然老打同樣內容的地下城會很厭倦。真心期望你們能夠好好經營這款本質非常棒的遊戲
8,2018年11月21日,1,垃圾改版，一個紋章打爆之前所有努力；只要夠油瞬間多幾百主屬之前努力拼考古的衝紅裝的都是白癡
9,2018年12月2日,3,我用夜神模凝器了 一樣出現 新版本測試問題 網路連線失敗 請問是play商店 遊戲更薪日期是9/12號的關係嗎?
10,2018年12月13日,3,都沒有人 是要怎麼組隊打 晚上尖峰時間 等了快十分鐘也組不成 這遊要怎麼玩下去呢？21服
11,2018年12月2日,1,糞game，王者九級打到裝滿也打不過王者十級，公會副本出裝竟然是讓全部的人用金幣競標，擺明就是要你花錢才玩的下去，謝謝刪除不再聯絡
12,2018年11月12日,3,160王者，王的技能秒殺16x裝等玩家，有些課金玩家也是被秒殺。遊戲設計失衡，不用兩補無法過關。 已經讓不少玩家覺得擺明過關機率0的遊戲，推坑的人不少。
13,2018年11月9日,2,我的手機是ASUS ZF5Z，經常在遊戲中死當自動關機重新啟動，不知道怎麼解決，可能沒辦法繼續玩了
14,2018年12月2日,1,打160王者開的裝備都是168的同部位，而且已經一個星期了，是跳針嗎？反應很多次了依然沒有回應，很差勁
15,2018年11月25日,3,紅石城堡的3王有點誇張喔 我玩狂戰跟本打不出什麼傷害 一堆對近戰不利的技能怎麼玩？？狂戰這職業也沒保命技 輸出也低的跟狗屎一樣 能改進嗎？？
16,2018年10月17日,1,爛遊戲，王者10天都抽到同樣的裝，抽獎機率極低，一直要玩家花錢，給的機率又低，虧設計還不錯，我看這遊戲過陣子要收起來，看着大家都退坑不玩，我也要退了，差不多退3分之2玩家了，超不推薦的遊戲
17,2018年12月11日,1,搞甚麼~錢收的多多~系統維護卻是爛死~系統有問題就先處理好~修一半有屁用~打個王者活動~打一半自動跳出~賠個200鑽有屁用~這誰要花錢阿~
18,2018年11月17日,2,任務一堆解完都半天過去，不解又沒錢升裝備等級，解完錢也不夠升，玩到後面除了那些課金的還在玩根本沒人，套裝還要用錢標，沒課根本拿不到套裝，還出一堆禮包要我們買單，你們是想錢想瘋了就對了，你乾脆改名就課金之王3D好了
19,2018年12月1日,1,有結婚系統，可是沒離婚系統設計，一旦結婚就無法離婚，另一方沒玩了或怎樣，沒離婚系統不方便也感覺差。
20,2018年10月28日,3,世界事件任務護送任務也太難了吧 單人根本無法完成 例如護送戰車任務 打好久戰車根本都不動
21,2018年12月16日,1,為何我用Google Play 付帳了！ 點圈卻沒有入帳 可以幫我處理一下嗎
22,2018年10月7日,5,遊戲上都非常好，可惜職業失衡 坦克沒人玩，跨職業要優先上路 避免玩家出走
23,2018年11月18日,1,遊戲本身不錯，但經營有問題，玩的人越來越少，連跨服匹配常常都要等很久，這樣要怎麼玩？遊戲公司好好經營吧！一直出禮包沒有玩家也不是解決的辦法，快想辦法解決玩家流失的問題，不然這個遊戲很快會消失!!
24,2018年9月29日,1,爛死了遊戲職業嚴重失衡，牧師補血補輸非牧師職業不能打也沒輔助技，乾脆拉掉改成八個職業就好還不用佔你們主機空間。近戰輸出永遠比遠攻差還要貼怪打那誰還要玩近戰，也順便把近戰職業拉掉省空間
25,2018年10月2日,1,爛遊戲，註冊完後完後玩一下，就一直出現服務器尚未對外開放，明明就綠燈，順便帶走幾個課長跳走了
26,2018年10月7日,1,霜月大廳，托托快跑，車站，特定副本閃退嚴重，刪除重新下載問題依舊。
27,2018年11月24日,1,客服一問三不知 只會叫你重登 bug回報死不改 重登一樣的問題是叫重登之王嗎
28,2018年9月29日,5,LINE語音 會使遊戲閃爍黑頻 NOTE8
29,2018年10月16日,1,卡死在60級，我都不太想開進去玩了
30,2018年11月20日,1,由開始的喜歡到厭煩反覆的任務每天都要花好幾小時去完成
31,2018年10月26日,3,建議等級別一直卡在60 造成很多人退遊 可以設定每100龍魂等級 升一等 這樣也好 地圖啊 王啊多出 現狀在不打破 只會跑掉更多人 ！ 外掛什麼的不意外沒有一個遊戲無外掛存在的 但還是希望嚴格抓取外掛對克金 無克金玩家 有個交代。
32,2018年9月28日,2,更新完之後無法開啟遊戲，閃退
33,2018年11月28日,2,傳說武器附魔後，升級，附魔會不見，這個畫面有事先告知嗎?可以還來?二級貴，沒有說明就是惡意入坑!!!造成損失。 主要裝備是打王者，根本配不太到人，都跑光了。 反應也是回等原廠，真是
34,2018年10月30日,5,感覺游戲真的粉好玩，，近戰輸出太低了，，我玩角色，，角鬥士輸出都不高，希望近戰職業的能更改一下輸出能力，，，
35,2018年12月2日,5,真的太好玩了！ 不過王者地下城開到武器的機率好低
36,2018年10月31日,5,流暢好操作 劇情看起來也不錯 來玩看看
37,2018年10月12日,1,這遊戲容量超可怕，試試看更新幾次就知道，完全不刪檔，直接增量到6G多。在來國戰完全不親民，是一個全天候的概念，等於只要跟你同伺服器的有“一群”屁孩，那很抱歉，單機的不用玩了，而且不只是國戰系統，而是幾乎所有的每天都能遇見，照三餐或許沒有，但照早晚一定有的
38,2018年12月13日,1,貴遊戲一直欺騙玩家，一直維修結果答案都是不會合服
39,2018年10月1日,2,請問剛除值但為何顯示斷線後就沒入帳了
40,2018年10月6日,1,儲值點卷後發生無配送的問題，是否需再跟購買者確認？
41,2018年10月12日,1,每天等王者12點的裝備，永遠都是重覆的，裝等卡住沒辦法升級
42,2018年10月30日,3,為什麼我點冒險起程他顯示伺服器尚未對外開放，請稍後
43,2018年12月14日,3,剛合服就崩潰 直接踢出不給上線
44,2018年10月16日,1,只有我那個伺服器無法登入腳色，是被官方黑走了嗎？
45,2018年10月19日,1,早上跟下午玩的好好的，突然要更新1.29g的東西，現在進遊戲又要下載更新檔，還出現驗證錯誤？？？
