,Date,Score,reviews
0,2018年4月28日,1,更新完 登入的時候 fb的角色不見 還請維護消費者的權益 投訴消費者基金會 已截圖
1,2018年5月16日,1,能不能改可以自動掛機的系統還有在玩遊戲的時候會盪機啊希望你們可以改掉記得改自動掛機的系統
2,2018年6月3日,1,"一直沒有辦法進入遊戲只要在準備進行更新的地方就會顯示""瑯琊榜3D-風起長林 沒有回應"""
3,2018年12月27日,2,請問8月時我有綁定一個帳號，可是我現在用都找不到了，你們把它刪掉了嗎？
4,2018年5月13日,3,不能玩 我剛下載完但更新一直無法成功請趕快修改我連進入都無法進入遊戲
5,2018年5月18日,3,我已經練到47等，結果後天要重新創角色，等級也沒了。所以我要把它刪了，我為了這個放棄我要活下去欸！
6,2018年7月13日,1,只有交朋友人物好看而已，回饋問題都不會處理，代理的遊戲就是如此，每天都有東西壞都沒有補償。
7,2018年5月17日,1,下載更新只需要1.2GB，手機內部還48多GB是怎樣一直無法更新，是我的手機有問題還是你們阿！
8,2018年5月17日,4,遊戲整體還不錯 希望之後能有夫妻戰場 只是有時候系統怪怪的卡卡的 望能改善
9,2018年5月23日,3,某個時段也要提示一下吧！上午、下午或晚上，像小童就有提示在上午和下午會在潭邊玩耍，不要讓玩家像瘋子一樣，都找不到
10,2018年5月25日,5,我強烈建議這遊戲開啟能夠邀請別人單挑的功能這樣會更好玩
11,2018年5月11日,3,"最近怎麼常斷線呢？很困擾…… 戰場跟單人pk,活動也跟前面幾服匹配打，對於新服玩家很吃虧，能改善嗎？ 還有衝爆擊很無感……"
12,2018年5月12日,1,今早又在狂斷線，已經好連續幾天了，伺服器有問題，請快處理，該修就修，該換就換
13,2018年5月24日,4,為什麼我遊戲的幫派名稱會是學徒，連續兩天都這樣了，重登後才會恢復，能處理一下嗎？
14,2018年5月11日,1,為什麼這麼久啊可是呢可是要看別人玩就等一下就好啦 為什麼會這樣啊 請幫忙客服林明瑜
15,2018年7月30日,4,為什麼 這次更新的節日活動 收集春夢回 會出現接取次數已結束 的問題？
16,2018年5月13日,1,幹你娘咧，改名卡那麼難用，都很正常的名字也沒有人取，就是沒法使用，你過濾的字也太多了
17,2018年5月15日,2,請告訴我現在為什麼不能上線，只是下線重開就不能上了，什麼時候才能修好
18,2018年6月14日,3,明明是幫眾，但常常登入之後人物頭上顯示的卻是學徒，都要重登幾次才會正常
19,2018年5月18日,5,"不知道為什麼在幫頻不能發言，按了脫離卡死、清理手機空間、清除快取、重新開機都沒用。 
重新下載一次，用google登錄的那個帳號，兩個遊戲角色(S5)都不見了(゜-゜) 而且還有76級的帳號qwq 可以幫忙找回嗎qwq"
20,2018年7月30日,1,為什麼剛進去畫面整個是粉紅色的，選好角色按確認之後就沒東西可以按了
21,2018年4月27日,3,為何更新後便沒辦法進去，進去後雖然可以選服，但是一進去畫面就黑屏，還閃退
22,2018年5月12日,1,是想要賺下載次數嗎？! 突然出現網路異常，然後大家都一起下載更新...那就算了還跑那麼久?? 在考驗玩家的耐心嗎？!
23,2018年5月23日,1,重開遊戲也是73%重下載好了還是一樣，我連一次都沒玩到
24,2018年5月5日,3,本來好好的，為什麼突然顯示網路無法連線，但我的網路是正常的呀。
25,2018年4月28日,1,搞屁啊 要交換幫主給人一直冷卻個小耖
26,2018年4月28日,1,再跑的時候只跑到了73就卡住了(இωஇ )
27,2018年5月12日,1,"2018/05/11時間08：44幫幫忙，伺服器s3大斷線，能快處理嗎？是要讓玩家玩的很不順嗎？還有回話時別屁話，我用的是光纖網路，比手機速度快。2018/05/13 
時間：08：48 一大早就一直斷線，怎樣？不來維修就跑是嗎？一定要這麼垃圾嗎？不敢回我話嗎？"
28,2018年6月20日,4,3D的環繞，真的很好看，但也可在多加一些有趣的地方，或許會有更多人來玩，也不覺得膩，謝謝
